geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
51510200201,51510200201,Census Tract 2002.01; Alexandria city; Virginia,2779,1883,664,Alexandria city,Virginia,79557,0.6884026344929851,0.2070683231327095,51510,2779,1883,664,0.006291,0.00741752448699999,0.003469242894,0.7864723670234747,0.694838033722327,0.8359196530686724,-0.27150048994684123,-0.4391843155776683,-0.19628722249678707,-4.746558629088252,-7.67812280292223,-3.431628465585132,-170.80095822555782,-276.2908529299111,-123.48429167272874,0.7678065540338055,0.6699955850218674,0.821071522326159,-0.3024113883195263,-0.4925471486015267,-0.2179206960764183,-5.286964252048511,-8.611048616837278,-3.8098397561675417,-190.247004391814,-309.86141118522056,-170.80095822555782,-0.5404056229602592,-0.9329258139150484,-0.37821129058240954,-19.446046166256178,-33.5705582553094,-13.609618228946008,0.8612656237186855,0.8185958842934036,0.9056874125377632,-0.1610819850005173,-0.22160399189299737,-0.1041337067918058,-1.0522816574066267,-1.4476467736372822,-0.6802622253160414,-55.88325318144592,-76.87980741568148,-36.12651223133518,0.8484980031673012,0.8023733811361813,0.896759869370187,-0.17855315659809123,-0.2463025612639023,-0.11512572557726145,-1.1664135599000784,-1.6089922618562469,-0.7520685154220821,-61.94442697291972,-85.44834104387927,-39.93991053755083,-0.11413190249345172,-0.16134548821896444,-0.07180629010604067,-6.061173791473804,-8.568533628197793,-3.8133983062156487,0.8185958842934036,0.7776262674531569,0.9056874125377632,-0.22160399189299737,-0.2859647903550771,-0.1041337067918058,-1.0914520160920829,-1.4084441543593942,-0.5128831085133977,-164.37530362832575,-212.11508348786057,-77.24143200502976,0.8023733811361813,-0.2463025612639023,-1.2130983055121798,0.7583121498872029,-0.3187181560373886,-1.5697622186342544,0.896759869370187,-0.11512572557726145,-0.567021397999178,-182.6955279385813,-236.40997268588168,-85.39478885529788,-0.12164628942009692,-0.16131806427486017,-0.05413828948578025,-18.32022431025556,-24.29488919802111,-8.15335685026811,0.4496
51510202002,51510202002,Census Tract 2020.02; Alexandria city; Virginia,1761,1129,433,Alexandria city,Virginia,25908,0.5798452475342727,0.24593612726839348,51510,1761,1129,433,0.006291,0.00741752448699999,0.003469242894,0.8221089084635446,0.7431137249495414,0.8640219896207774,-0.2163838509777489,-0.3456890465425081,-0.15737795103907473,-2.3971978902482936,-3.829699163357896,-1.7435039190667887,-136.12708065010185,-217.4729791798919,-99.00646899868194,0.806161938245103,0.721374540775512,0.8514855360092919,-0.24044556379932083,-0.3862424350670214,-0.1744180701961888,-2.66376439671815,-4.278967891010678,-1.9322820441830384,-151.26430418615274,-242.98511590066315,-136.12708065010185,-0.26656650646985636,-0.4492687276527825,-0.18877812511624947,-15.1372235360509,-25.512136720771295,-10.71993896174046,0.8853275852609401,0.8493912743493185,0.922392191222463,-0.12952540579119254,-0.17731371889363506,-0.08413753879971816,-0.5073219007122906,-0.694497981627636,-0.32954782765891627,-44.93550936335612,-61.51443592804571,-29.189355859957153,0.8746099140092776,0.835638757725955,0.9149706841883049,-0.1433668701694963,-0.19668934782456177,-0.09293119143716276,-0.5615358054991461,-0.7703879650381505,-0.3639905884669692,-49.73744955705456,-68.23631222658553,-32.24008755243305,-0.0542139047868555,-0.07588998341051456,-0.03444276080805292,-4.80194019369845,-6.721876298539819,-3.0507316924759005,0.8493912743493185,0.8145601297670942,0.922392191222463,-0.17731371889363506,-0.22765645341115365,-0.08413753879971816,-0.5694940928183899,-0.7311842886077493,-0.2702319461217819,-131.52288517745723,-168.86473178008066,-62.40922543228219,0.835638757725955,-0.19668934782456177,-0.6317245073043833,0.7980231016856784,-0.2530965555855241,-0.8128925061072149,0.9149706841883049,-0.09293119143716276,-0.29847529504350667,-145.89480538207468,-187.73498986309812,-68.93193880912395,-0.06223041448599342,-0.08170821749946555,-0.02824334892172475,-14.37192020461742,-18.87025808301745,-6.522713376841745,0.1154
51510200105,51510200105,Census Tract 2001.05; Alexandria city; Virginia,3425,2301,922,Alexandria city,Virginia,24690,0.611460491308151,0.22055057852325777,51510,3425,2301,922,0.006291,0.00741752448699999,0.003469242894,0.8115669663572255,0.7287181524713483,0.8557416045534693,-0.23218420839449547,-0.3722726634551867,-0.16857705022044076,-5.002797678408466,-8.021238090853286,-3.6322749135585153,-146.0670855009771,-234.196732579658,-106.05182229367928,0.7947980584616594,0.706017631333186,0.8425135839735615,-0.25818123151371464,-0.41639522247012695,-0.18692448290706792,-5.562947086525767,-8.971932530116522,-4.027601082741648,-162.4218127452779,-261.95423445595685,-146.0670855009771,-0.5601494081173017,-0.950694439263236,-0.3953261691831327,-16.35472724430078,-27.757501876298857,-11.54236990315716,0.8782514441029645,0.8403050389598206,0.9174956975164474,-0.13862608107794003,-0.19004403595848876,-0.08992336716878561,-1.1066142849629388,-1.5170698279022516,-0.7178337718787384,-48.092754670271134,-65.93089212960676,-31.19660025548624,0.866923468351199,0.8258110021568565,0.9096292980366087,-0.15350435938930007,-0.21093082725732148,-0.09934893495454902,-1.225383532329518,-1.6838033995259976,-0.7930755148069537,-53.254390800935155,-73.17702735880042,-34.466558661753744,-0.11876924736657912,-0.1667335716237459,-0.07524174292821528,-5.161636130664021,-7.246135229193651,-3.269958406267505,0.8403050389598206,0.803626411931283,0.9174956975164474,-0.19004403595848876,-0.24435930073128137,-0.08992336716878561,-1.2997030996846275,-1.671162891250039,-0.6149820932495782,-140.96562903303987,-181.2541096800476,-66.7008777927959,0.8258110021568565,-0.21093082725732148,-1.4425469792972898,0.786248123570757,-0.27186313076142654,-1.8592604180316057,0.9096292980366087,-0.09934893495454902,-0.679443151475684,-156.4584576244349,-201.6551429535364,-73.69231577827375,-0.14284387961266232,-0.18809752678156677,-0.06446105822610582,-15.492828591395044,-20.401033273488803,-6.991437985477854,0.4808
51510200304,51510200304,Census Tract 2003.04; Alexandria city; Virginia,1972,1086,335,Alexandria city,Virginia,37675,0.5848918113533677,0.23012751229771655,51510,1972,1086,335,0.006291,0.00741752448699999,0.003469242894,0.8204170186559081,0.7407969107069646,0.86269488420686,-0.21889231605446616,-0.3498976379986117,-0.15915837488635956,-2.7155456769089312,-4.340778312160353,-1.9744952434006935,-137.70515602986467,-220.12060406492665,-100.1265336410088,0.804337147892724,0.7189009852778433,0.85004701166490515,-0.2432597482534425,-0.3910121428106217,-0.17640552378555674,-3.017844434389466,-4.850838773911438,-2.188460820066097,-153.03470762624065,-245.98573904216215,-137.70515602986467,-0.3022987574805347,-0.5100604617510847,-0.21396557666540317,-15.329551596375998,-25.86513497723553,-10.850181372484949,0.8841942484535534,0.847934327182159,0.9216088423292202,-0.1309732015888925,-0.17933661598909795,-0.08505903380078096,-0.4934543439235306,-0.6756682367904449,-0.32046822716207757,-45.43778489166949,-62.2162280654185,-29.509044858386517,0.8733784144264214,0.8340621995527613,0.9141159697613436,-0.14497906460939444,-0.19895134983484145,-0.09395310122530616,-0.5462228023869508,-0.7495686645395276,-0.3539774958715396,-50.29675896749086,-69.02105566662317,-32.594612879515616,-0.05276845846342015,-0.07390042774908279,-0.03350926870946202,-4.858974075821377,-6.804827601204677,-3.0855680211291,0.847934327182159,0.8128049163243275,0.9216088423292202,-0.17933661598909795,-0.2303075189581868,-0.08505903380078096,-0.4456283030724747,-0.5722844065732101,-0.2113607011293809,-133.02337405148498,-170.83116614125674,-63.092746605785344,0.8340621995527613,-0.19895134983484145,-0.4943683805557493,0.7961317681954009,-0.25607347922657214,-0.6363094863825188,0.9141159697613436,-0.09395310122530616,-0.2334613087043799,-147.57265091216397,-189.9431302634385,-69.68994289682982,-0.04874007748327458,-0.06402507980930872,-0.02210060757499898,-14.549276860678978,-19.111964122181707,-6.597196291044473,0.7497
51510200111,51510200111,Census Tract 2001.11; Alexandria city; Virginia,2999,1812,469,Alexandria city,Virginia,33295,0.6633639596880404,0.2066681144466056,51510,2999,1812,469,0.006291,0.00741752448699999,0.003469242894,0.7945523499411534,0.7056868293023696,0.8423192352227958,-0.25857031330165037,-0.4170591804704412,-0.1871983426040332,-4.878370857101067,-7.868534193714297,-3.5318166551925967,-162.66658409806826,-262.37193043395456,-117.76647733219728,0.7764880351319265,0.6815115385335976,0.8279886626742728,-0.28784985055191276,-0.4673265872382605,-0.20774600556746473,-5.430779366056427,-8.816914729387374,-3.919483432953737,-181.08634098220833,-293.99515603158966,-162.66658409806826,-0.5524085089553603,-0.9483805356730768,-0.3876667777611402,-18.419756884140057,-31.623225597635106,-12.926534770294772,0.8667568155167583,0.8255982499726239,0.9095133131466668,-0.15372614567074666,-0.21124287755353055,-0.0994891284661618,-0.9663637693443272,-1.327929367571585,-0.6254153369542107,-53.33133384902468,-73.28528518606981,-34.51519519614849,0.8544506644448361,0.8099265581662649,0.900927755122536,-0.1703425857240476,-0.2346798483359723,-0.10996691389975992,-1.0708191667845532,-1.4752604499226805,-0.6912815055347958,-59.095980506873794,-81.41613962045697,-38.1501934621852,-0.10445539744022604,-0.14733108235109538,-0.06586616858058514,-5.764646657849118,-8.130854434387162,-3.6349982660367073,0.8255982499726239,0.7859936134794727,0.9095133131466668,-0.21124287755353055,-0.27227496871527235,-0.0994891284661618,-0.7348757327531404,-0.9471953301444224,-0.3461046688497925,-156.68992169576555,-201.9606247642691,-73.79630465880437,0.8099265581662649,-0.2346798483359723,-0.8164087116479971,0.7672924395812679,-0.30328405235652633,-1.0550703190045572,0.900927755122536,-0.10996691389975992,-0.3825549877306949,-174.07435216375205,-224.9616884871124,-81.56822766112897,-0.08153297889485667,-0.10787498886013493,-0.03645031888090239,-17.384430467986494,-23.001063722843263,-7.771923002324604,0.3329
51013103403,51013103403,Census Tract 1034.03; Arlington County; Virginia,1338,784,159,Alexandria city,Virginia,32855,0.4916410987987817,0.2619164999147667,51013,1338,784,159,0.005362,0.00741752448699999,0.003469242894,0.8522497102976204,0.7847975355147024,0.8875496860849907,-0.17336502191450742,-0.2742139911845658,-0.12669748598642527,-1.243782385162478,-1.9673087929389368,-0.908972868771626,-92.95832475055887,-147.0335420731642,-67.93519198592124,0.8387326481333017,0.7660081557473535,0.8770249371861611,-0.19227503808945287,-0.3054691291430874,-0.14021843347851765,-1.3794495731672949,-2.191544279482484,-1.005976959537204,-103.09787542356464,-163.79254704652345,-92.95832475055887,-0.13566718800481703,-0.22423548654354697,-0.0970040907655778,-10.139550673005758,-16.759004973359268,-7.249932045259926,0.9053723539559954,0.8752639713524542,0.9361916329168182,-0.1045179319100392,-0.1425124679298798,-0.06815737808335154,-0.28427690457839183,-0.3876177274709565,-0.18538032767804152,-36.25980925744794,-49.44103666721384,-23.64544995893387,0.8964167270548185,0.8636801873489247,0.9300391507115148,-0.1155525882314857,-0.15783598448577404,-0.07522355293856466,-0.3142899165546256,-0.4292959521942965,-0.20459952077094185,-40.08799956053898,-54.75713675947659,-26.096877649354827,-0.03001301197623379,-0.04167822472333993,-0.01921919309290032,-3.828190303091046,-5.316100092262746,-2.4514276904209593,0.8752639713524542,0.8458572365057367,0.9361916329168182,-0.1425124679298798,-0.18223260006739664,-0.06815737808335154,-0.168077265571057,-0.2149226489594052,-0.08038388432357337,-105.70897205726855,-135.17147733295923,-50.55590209029771,0.8636801873489247,-0.15783598448577404,-0.186149612496624,0.8318150543878066,-0.202190312287595,-0.23846050319595863,0.9300391507115148,-0.07522355293856466,-0.08871763480143012,-117.0752279852981,-149.9751592427413,-55.79725459209442,-0.01807234692556697,-0.02353785423655346,-0.00833375047785675,-11.366255928029542,-14.803681909782055,-5.241352501796702,0.1202
51059451502,51059451502,Census Tract 4515.02; Fairfax County; Virginia,3360,1876,710,Alexandria city,Virginia,77777,0.6263540227257883,0.23000135287707105,51059,3360,1876,710,0.006862,0.00741752448699999,0.003469242894,0.8066477410247848,0.7220335474562047,0.8518683661729444,-0.23969850672311543,-0.3849771988062029,-0.17389028599869652,-5.526565474530301,-8.876157488379432,-4.009270078877466,-164.48111531340183,-264.1713538208164,-119.32351425230554,0.7895003268062897,0.698896899893546,0.8383198319509573,-0.26662392154444053,-0.43082620648670383,-0.1928621534251157,-6.147366454783515,-9.93326688114352,-4.446691525258563,-182.9573349637951,-295.6329428911762,-164.48111531340183,-0.6208009802532137,-1.0571093927640869,-0.43742144638109703,-18.476219650393265,-31.46158907035972,-13.01849542800884,0.8749375908552308,0.8360583748759445,0.915198037937346,-0.14293866265652574,-0.19608873022578288,-0.09265968516910177,-0.9302876508753524,-1.27620421805133,-0.6030569983290522,-49.58889396990152,-68.02794339292804,-32.14589543331835,0.8633259268811158,0.8212214070873538,0.9071238560622692,-0.15831109533874213,-0.21769840796859477,-0.10238529536737852,-1.0303360494149598,-1.416846476555181,-0.6663541839647205,-54.92196425452878,-75.52486548801605,-35.519945840336916,-0.10004839853960734,-0.14064225850385093,-0.06329718563566822,-5.333070284627257,-7.496922095088002,-3.3740504070185615,0.8360583748759445,0.798526653839201,0.915198037937346,-0.19608873022578288,-0.25230635094288245,-0.09265968516910177,-1.0326900002328818,-1.3287568608045566,-0.4879868934266613,-145.44929580744815,-187.14885363444455,-68.7305483699523,0.8212214070873538,-0.21769840796859477,-1.146496123040457,0.7807614440216879,-0.2808009509908921,-1.4788220302629584,0.9071238560622692,-0.10238529536737852,-0.5392062592023431,-161.47832718879675,-208.2847929947829,-75.94454354962579,-0.11380612280757509,-0.15006516945840187,-0.05121936577568181,-16.029031381348602,-21.13593936033829,-7.213995179673495,0.8328
51510200104,51510200104,Census Tract 2001.04; Alexandria city; Virginia,3003,2020,551,Alexandria city,Virginia,50870,0.674282678086783,0.21892851575411285,51510,3003,2020,551,0.006291,0.00741752448699999,0.003469242894,0.7910187214791291,0.7009352771333055,0.8395225408753829,-0.26419258210487856,-0.4266652465971087,-0.1911532464122819,-4.991092708667439,-8.06050565222626,-3.6112428547585353,-166.2035534021791,-268.41510663424106,-120.25450731796654,0.772690261201933,0.6764655895303937,0.824965140306677,-0.2941796347277405,-0.4782717930918049,-0.21217243146571577,-5.557604298462863,-9.035449974572655,-4.008334629351506,-185.06840820722152,-300.88078503405444,-166.2035534021791,-0.5665115897954243,-0.9749443223463956,-0.3970917745929703,-18.86485480504243,-32.46567839981337,-13.223169317115229,0.864357957148235,0.8225373644408611,0.9078429536659484,-0.15692808949117212,-0.21575024215437705,-0.10151210180341602,-1.099731751859215,-1.5119497888351607,-0.7113836784297414,-54.4421659336245,-74.84899944728518,-35.217013783650565,0.8518497452080042,0.8066241097244877,0.8991078714284564,-0.17391594659199036,-0.23973482560738504,-0.11221359725307642,-1.2187804569724432,-1.6800306471691548,-0.7863783742584349,-60.33566618675461,-83.16983401827498,-38.92962248804134,-0.11904870511322828,-0.1680808583339941,-0.07499469582869356,-5.893500253130114,-8.320834570989808,-3.71260870439077,0.8225373644408611,0.7823338167315805,0.9078429536659484,-0.21575024215437705,-0.2782267346920796,-0.10151210180341602,-0.8817833200452054,-1.1371282432516203,-0.414885643970375,-160.03327042562714,-206.37536175165528,-75.29685008536751,0.8066241097244877,-0.23973482560738504,-0.9798096555705286,0.7633633648351081,-0.30999212965375544,-1.2669551910786894,0.8991078714284564,-0.11221359725307642,-0.4586232550748766,-177.82389393294528,-229.937421248401,-83.23471053990502,-0.09802633552532314,-0.12982694782706883,-0.04373761110450169,-17.790623507318173,-23.562059496745704,-7.937860454537513,0.8684
51510200500,51510200500,Census Tract 2005; Alexandria city; Virginia,3055,1605,397,Alexandria city,Virginia,42746,0.7054886541473164,0.19369810412548452,51510,3055,1605,397,0.006291,0.00741752448699999,0.003469242894,0.7810059230684058,0.6875308695946446,0.8315806052644219,-0.28040002061855457,-0.45448014659993574,-0.20252924812024076,-5.389009398268104,-8.7346562099049,-3.892410632269148,-176.39965297113272,-285.91346022601965,-127.41114999244348,0.7619382222548492,0.6622491699939889,0.8163845685832792,-0.31244236185007285,-0.5100056675179779,-0.2249129129613015,-6.00483131460836,-9.801801474056356,-4.322602398767819,-196.55748983988084,-320.84456543555996,-176.39965297113272,-0.6158219163402556,-1.0671452641514565,-0.4301917664986705,-20.157836868748134,-34.9311052095403,-14.08156355151131,0.8575384986606601,0.8138516961714912,0.9030859170421908,-0.1661284030534399,-0.2287250916895361,-0.1073143552888351,-0.9250253497644664,-1.2735721529325914,-0.5975408010385219,-57.63397817847144,-79.35028990234214,-37.22995645099825,0.8444598177259682,0.7972596786550812,0.8939268394256431,-0.1841889679166539,-0.2542964692343741,-0.11865977829070436,-1.025589010297363,-1.4159570312713303,-0.6607136461850198,-63.899626809804545,-88.22162188606421,-41.16595926386417,-0.10056366053289656,-0.14238487833873914,-0.0631728451464979,-6.265648631333119,-8.871331983722065,-3.9360028128659126,0.8138516961714912,0.7719677033439502,0.9030859170421908,-0.2287250916895361,-0.29539098030691846,-0.1073143552888351,-0.6735398654541861,-0.8698547223772044,-0.3160147226901362,-169.65739683984538,-219.10698296655025,-79.60068581615522,0.7972596786550812,-0.2542964692343741,-0.7488413641389339,0.7522445402682228,-0.32935494572474616,-0.9698703548066604,0.8939268394256431,-0.11865977829070436,-0.34942423900403635,-188.62502875036117,-244.299837482786,-88.01618110932905,-0.07530149868474778,-0.1000156324294561,-0.03340951631390015,-18.967631910515813,-25.19285451623579,-8.415495293173842,0.5711
51510201500,51510201500,Census Tract 2015; Alexandria city; Virginia,2650,1925,667,Alexandria city,Virginia,57432,0.6862094947537152,0.1990630681575191,51510,2650,1925,667,0.006291,0.00741752448699999,0.003469242894,0.7871767979513931,0.6957815787660685,0.8364782448026734,-0.27036264610755006,-0.43723264673584294,-0.19548835395701372,-4.507256227655883,-7.289171038630249,-3.2590156720704693,-170.08514066625975,-275.06305806151886,-122.98172347435734,0.7685630713813444,0.6709964446129683,0.8216750791312099,-0.30112938968391,-0.4903208623956294,-0.2170260792834806,-5.020173224828917,-8.174212645126897,-3.618074321646798,-189.44049905014785,-308.46085453309047,-170.08514066625975,-0.5129169971730336,-0.8850416064966478,-0.3590586495763288,-19.355358383888063,-33.39779647157161,-13.549383002880331,0.8617452043746648,0.81920684158467,0.906021879435146,-0.1604358166700345,-0.22069293032954224,-0.10372610496276756,-1.0714373225817877,-1.4738519570809685,-0.6927132761864305,-55.6590816925604,-76.56373803018016,-35.98510525643795,0.8490177359881481,0.8030321403396595,0.8971241630847523,-0.1778316961024705,-0.24528016970407776,-0.11467290833133977,-1.1876120949605669,-1.638052735136098,-0.7658192317984168,-61.69413480314633,-85.0936485784986,-39.78281723628139,-0.11617477237877916,-0.16420077805512978,-0.0731059556119863,-6.03505311058593,-8.52991054831843,-3.797711979843444,0.81920684158467,0.7783555908617776,0.906021879435146,-0.22069293032954224,-0.2847598343744441,-0.10372610496276756,-1.0918758082897186,-1.4088461006057975,-0.5131837459761411,-163.69952148271642,-211.22130443865032,-76.93909235024604,0.8030321403396595,-0.24528016970407776,-1.213520900525327,0.7590945164663238,-0.3173590090666446,-1.5701301533549012,0.8971241630847523,-0.11467290833133977,-0.567342933397327,-181.9371664955512,-235.4018220921891,-85.0589105543219,-0.12164509223560804,-0.1612840527491037,-0.05415918742118586,-18.23764501283479,-24.180517653538793,-8.119818204075841,0.0586
51059420400,51059420400,Census Tract 4204; Fairfax County; Virginia,2932,1519,342,Alexandria city,Virginia,54421,0.5866930963367586,0.2519842051926494,51059,2932,1519,342,0.006862,0.00741752448699999,0.003469242894,0.8198139709824614,0.7399717137131752,0.8622216903296772,-0.21978892211559217,-0.3514030083420404,-0.15979452989363116,-4.4220177229896915,-7.070012063588714,-3.2149675080294444,-150.81915835571937,-241.1327443243081,-109.65100641300972,0.8036868208222424,0.7180201472799789,0.849534143654638,-0.2442657688188938,-0.3927185800958705,-0.17711572568239362,-4.914476800922551,-7.901255916883576,-3.5634592974427393,-167.61517056352494,-269.48348966178634,-150.81915835571937,-0.4924590779328595,-0.8312438532948621,-0.34849178941329484,-16.79601220780558,-28.350745337478244,-11.8858045502488,0.8837900746249954,0.8474149001280108,0.9213294004213554,-0.13149041691186014,-0.1800594960614212,-0.08538813538639481,-0.6929255634463631,-0.9488739232294175,-0.4499766843382423,-45.61721945005682,-62.46701272083065,-29.623218192116017,0.8729392716791673,0.8335001945672541,0.9138110873986134,-0.14555506029236306,-0.1997597679256585,-0.09431808586033293,-0.7670431392210286,-1.0526900210270502,-0.4970355583537491,-50.496585860502215,-69.30151553831799,-32.72123491466419,-0.07411757577466549,-0.10381609779763255,-0.04705887401550679,-4.879366410445391,-6.834502817487332,-3.098016722548176,0.8474149001280108,0.8121793391185261,0.9213294004213554,-0.1800594960614212,-0.23125515737117772,-0.08538813538639481,-0.45677373663414533,-0.5866465510506462,-0.21661205611372628,-133.55957211524716,-171.53407925457492,-63.33685851278546,0.8335001945672541,-0.1997597679256585,-0.5067492557762551,0.7954577749932509,-0.2571377531742456,-0.6523053486001279,0.9138110873986134,-0.09431808586033293,-0.23926549531110783,-148.1722970106009,-190.73255807021283,-69.96067114359879,-0.04997551914210974,-0.06565879754948167,-0.02265343919738158,-14.612724895353724,-19.198478815637916,-6.623812630813328,0.1095
