geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
02020001000,02020001000,Census Tract 10; Anchorage Municipality; Alaska,2018,1359,587,Anchorage municipality,Alaska,113714,0.5270120569458917,0.28367175378310727,02020,2018,1359,587,0.010074,0.006117034968,0.003246721792,0.840032381496425,0.7678081097424168,0.8780388057683588,-0.19043030010177744,-0.30240874941458834,-0.13890182692428354,-3.871320793628667,-6.147767866553973,-2.8237813549502992,-191.83948432253055,-304.6465741602563,-139.92970044352325,0.825516256967624,0.7477870922330973,0.8666925859254135,-0.2113631822022605,-0.33727903354646827,-0.1538116469892806,-4.296872303566245,-6.856657449605291,-3.1268880371118857,-212.92726975055723,-339.7748983947122,-191.83948432253055,-0.4255515099375775,-0.7088895830513184,-0.3031066821615864,-21.08778542802664,-35.12832423445582,-15.020152733478016,0.8972802156533137,0.8647953709551155,0.9306332628833784,-0.11447904740872453,-0.1563429148511271,-0.07453713496302806,-0.5051153187931083,-0.6898310482451867,-0.3288798216004856,-37.16816179493071,-50.76019486719549,-24.20013403977083,0.8876073732184806,0.8523239495464796,0.92396693149855,-0.1266242599742966,-0.17326281929787216,-0.08228981569517287,-0.5587035784417598,-0.7644866566033954,-0.3630869353750895,-41.11137442544222,-56.253617115775974,-26.71721378771814,-0.05358825964865144,-0.07465560835820872,-0.03420711377460389,-3.9432126305115114,-5.49342224858048,-2.5170797479473066,0.8647953709551155,0.8331648203133037,0.9306332628833784,-0.1563429148511271,-0.2002427078281575,-0.07453713496302806,-0.5613804302831705,-0.7190113961267741,-0.26764045519724294,-95.6355077143391,-122.4891645871847,-45.594626098337805,0.8523239495464796,-0.17326281929787216,-0.622134723163718,0.8180955236222697,-0.22235114497670705,-0.798396150921447,0.92396693149855,-0.08228981569517287,-0.2954780022290592,-105.98547242993492,-136.01297289973542,-50.33696801176477,-0.06075429288054745,-0.07938475479467288,-0.02783754703181623,-10.34996471559582,-13.523808312550749,-4.742341913426957,0.8882
02020001701,02020001701,Census Tract 17.01; Anchorage Municipality; Alaska,4055,2594,1140,Anchorage municipality,Alaska,137342,0.7158170173667823,0.22151131476298225,02020,4055,2594,1140,0.010074,0.006117034968,0.003246721792,0.7777199437477054,0.6831510647155579,0.8289686153180907,-0.2858098960162489,-0.463805081554499,-0.20631828699121657,-11.675354258956489,-18.94647004785699,-8.428116465871286,-287.9248892467691,-467.2372391580022,-207.84504231495157,0.7584126350861325,0.6576100238822369,0.8135643267793372,-0.3185434336631674,-0.5206580856180463,-0.22915910529005984,-13.012521563180742,-21.268919243563182,-9.361165492236314,-320.9006550722748,-524.5109554516198,-287.9248892467691,-1.3371673042242556,-2.3224491957061915,-0.933049026365028,-32.97576582550569,-57.27371629361755,-23.009840354254695,0.8552933074666109,0.8109972160822412,0.9015169588593038,-0.16918955318616025,-0.23304985537532663,-0.1092414736882016,-1.424913795745599,-1.9627450263163384,-0.9200312903162828,-54.931140930824945,-75.66480440695213,-35.46766732136788,0.8420280926319659,0.7941843043469358,0.8922186374738205,-0.18760883247286217,-0.25915356741066314,-0.1208015143366046,-1.5800408982708607,-2.182590393236806,-1.0173899102138422,-60.91136847613187,-84.1399534786741,-39.22089091032545,-0.15512710252526163,-0.21984536692046783,-0.09735861989755944,-5.980227545306925,-8.475149071721969,-3.7532235889575736,0.8109972160822412,0.7685671337110901,0.9015169588593038,-0.23304985537532663,-0.30112251244913,-0.1092414736882016,-1.625154490664766,-2.099853709665812,-0.7617866625375026,-142.55741146182157,-184.19769383033437,-66.82339145065812,0.7941843043469358,-0.25915356741066314,-1.8071866346835876,0.7486002876165018,-0.33582636360445406,-2.34185823465299,0.8922186374738205,-0.1208015143366046,-0.8423996796181745,-158.52514339329716,-205.4261609344728,-73.89470873843636,-0.18203214401882173,-0.24200452498717828,-0.08061301708067192,-15.967731931475589,-21.22846710413845,-7.071317287778239,0.4576
02020002000,02020002000,Census Tract 20; Anchorage Municipality; Alaska,2630,1442,610,Anchorage municipality,Alaska,94986,0.5027704749060001,0.2644873132646378,02020,2630,1442,610,0.010074,0.006117034968,0.003246721792,0.848386523354719,0.7794117134351173,0.8845460577717752,-0.1787080210158995,-0.2830189523232586,-0.13052338113298503,-4.734801107768271,-7.498479594602853,-3.4581673842336076,-180.03046037141715,-285.11329257045065,-131.4892541533691,0.834551490710297,0.7602275800097867,0.8737606784536294,-0.19824841382631497,-0.31539558192183265,-0.14447814448435398,-5.25251638993096,-8.356286092697825,-3.8278935364180544,-199.7154520886297,-317.72950922805416,-180.03046037141715,-0.5177152821626896,-0.8578064980949724,-0.3697261521844468,-19.684991717212533,-32.616216657603516,-14.05802860016908,0.9028183467433778,0.8719564627754176,0.9344391366710088,-0.1076425325284685,-0.14684625057657436,-0.07016065654372682,-0.503957883505209,-0.6875007852650983,-0.32847625512490825,-34.94853561062475,-47.676892182045655,-22.779213254154524,0.8936355014746709,0.8600907579847111,0.9281242529849574,-0.11902447737338906,-0.1626679983669536,-0.07744194463605678,-0.5572455635651533,-0.7615746140992904,-0.36256559183975945,-38.64393644695931,-52.813773515900856,-25.143244926474303,-0.05328768005994433,-0.07407382883419211,-0.0340893367148512,-3.6954008363345583,-5.136881333855209,-2.3640316723197783,0.8719564627754176,0.841842892047951,0.9344391366710088,-0.14684625057657436,-0.18787009957083584,-0.07016065654372682,-0.5479408263149232,-0.7010168607950312,-0.26179686556804715,-89.82636496965955,-114.92079685164448,-42.917518945581506,0.8600907579847111,-0.1626679983669536,-0.6069779588529854,0.8274736142988042,-0.20849774871358717,-0.7779866919744768,0.9281242529849574,-0.07744194463605678,-0.2889662008304944,-99.5045834185222,-127.53880196302896,-47.37150833286793,-0.0590371325380622,-0.07696983117944556,-0.02716933526244724,-9.678218448862657,-12.61800511138452,-4.453989387286434,0.941
02020002501,02020002501,Census Tract 25.01; Anchorage Municipality; Alaska,3008,1844,700,Anchorage municipality,Alaska,213068,0.5824853691453634,0.29320784336271555,02020,3008,1844,700,0.010074,0.006117034968,0.003246721792,0.8212233576283585,0.7419007758402966,0.863327456889655,-0.21769551573391335,-0.34788914173512403,-0.15830904255349504,-6.596738393514356,-10.541942723229637,-4.7971743264091975,-219.30646255034432,-350.46352138396395,-159.48052946839087,0.8052067791422826,0.7200794347301986,0.8507326652628222,-0.24191701548416408,-0.3887356752171138,-0.1754573920011214,-7.330712618074305,-11.77969856194871,-5.316813763194045,-243.7072013987469,-391.6123192137204,-219.30646255034432,-0.7339742245599483,-1.2377558387190746,-0.5196394367848471,-24.40073884840254,-41.14879782975647,-17.2752472335388,0.8847344963936034,0.8486287570683824,0.921982297410646,-0.1302825922084505,-0.1783715690410196,-0.0846195233991628,-0.779996014809189,-1.0679025543539429,-0.506613277396232,-42.29913312414257,-57.91228602787108,-27.473605064871585,0.8739654356975676,0.8348136062976439,0.9145234387108072,-0.14421001009248863,-0.19787218662492745,-0.09346568679495856,-0.8633788387305212,-1.1846518739977343,-0.5595748594319329,-46.82097823918228,-64.24359403458429,-30.345708212143865,-0.08338282392133223,-0.11674931964379144,-0.05296158203570089,-4.521845115039708,-6.331308006713201,-2.8721031472722824,0.8486287570683824,0.813641413514153,0.921982297410646,-0.1783715690410196,-0.2290426512103853,-0.0846195233991628,-0.7637735875846602,-0.980743334632148,-0.36233440852572113,-109.11051251209432,-140.1061906617354,-51.762058360817306,0.8348136062976439,-0.19787218662492745,-0.8472737593455121,0.7970330864019363,-0.2546530590270997,-1.090405166743856,0.9145234387108072,-0.09346568679495856,-0.4002130121030281,-121.0391084779303,-155.7721666776937,-57.17328744328973,-0.0835001717608519,-0.10966183211170788,-0.03787860357730699,-11.928595965835983,-15.665976015958268,-5.411229082472428,0.3697
02170000200,02170000200,Census Tract 2; Matanuska-Susitna Borough; Alaska,1415,1079,532,Anchorage municipality,Alaska,4847914,0.553622342465944,0.3569070634627676,02170,1415,1079,532,0.009872,0.006117034968,0.003246721792,0.8309566198930007,0.7552694879362879,0.8709508174478983,-0.20343225634181283,-0.3240307148279195,-0.14817045918878383,-2.8417207769680224,-4.526346171745429,-2.069775363953019,-200.82832346063765,-319.88312167812217,-146.27387731116744,0.8157107527205203,0.734365277172704,0.8589996645264759,-0.22592474926295483,-0.36172015628242393,-0.16414480854454186,-3.1559157114843046,-5.052825456690426,-2.29291913318168,-223.03291247238903,-357.0901382820089,-200.82832346063765,-0.3141949345162822,-0.5264792849449975,-0.22314376922866064,-22.204589011751395,-37.20701660388675,-15.769877684004284,0.891240046438671,0.8570022458265248,0.9264733524927482,-0.1220321663012402,-0.1668580856933027,-0.07936185893466084,-0.4275046486539658,-0.5845393838482055,-0.2780214811284799,-39.620449365520464,-54.17417829918494,-25.76658768567933,0.8810370292944919,0.8438789542539378,0.9194248250079756,-0.13502607353605794,-0.18500407547678063,-0.08763650143047372,-0.4730250709772933,-0.6481086477725593,-0.3070093147475059,-43.83920954377138,-60.06567634592765,-28.453133896895825,-0.04552042232332742,-0.0635692639243538,-0.02898783361902601,-4.21876017825092,-5.891498046742707,-2.6865462112164984,0.8570022458265248,0.8237417544889363,0.9264733524927482,-0.1668580856933027,-0.21397269781524844,-0.07936185893466084,-0.5430000282758798,-0.6963233485580475,-0.25826432963372353,-102.06767448794731,-130.88784747331718,-48.545926622880366,0.8438789542539378,-0.18500407547678063,-0.6020518442222366,0.807923402989749,-0.23774109810344005,-0.7736719647484733,0.9194248250079756,-0.08763650143047372,-0.28519218926084333,-113.16763989139784,-145.42706104294612,-53.60755437233897,-0.05905181594635678,-0.07734861619042588,-0.0269278596271198,-11.099965403450522,-14.539213569628924,-5.0616277494586095,0.6357
02020001402,02020001402,Census Tract 14.02; Anchorage Municipality; Alaska,1606,1076,477,Anchorage municipality,Alaska,80900,0.5422873536993379,0.29884258259608504,02020,1606,1076,477,0.010074,0.006117034968,0.003246721792,0.8348105055968247,0.7605852428241116,0.8739630136136487,-0.1978766358301608,-0.3147770212933964,-0.14421318113362205,-3.201415222340982,-5.092728322290538,-2.333202560304614,-199.340922935304,-317.1063712509675,-145.2803586740108,0.8198732111562231,0.7400527627848879,0.8622681782746687,-0.21970078591756123,-0.3512550054362426,-0.15973200124458015,-3.5545047420376195,-5.68289993717212,-2.584279129943868,-221.32657173335116,-353.85429247647073,-199.340922935304,-0.3530895196966375,-0.5901716148815819,-0.2510765696392543,-21.98564879804717,-36.747921225503234,-15.63365937977922,0.8938079460941706,0.860313203365496,0.9282430408891592,-0.1188085811609479,-0.1623673751466992,-0.07730406364491046,-0.4150545286562709,-0.5672259840337232,-0.2700596319375883,-38.57384095318502,-52.716169519862746,-25.09847880460858,0.8838297834765962,0.8474659286798341,0.921356856646347,-0.13143958112210408,-0.179988441019429,-0.08535579106656531,-0.45918058153988417,-0.6287846956920943,-0.298188121455837,-42.67477523604872,-58.437239376588686,-27.712650692921653,-0.04412605288361332,-0.06155871165837112,-0.0281284895182487,-4.100934282863691,-5.721069856725941,-2.614171888313076,0.860313203365496,0.8277425286889827,0.9282430408891592,-0.1623673751466992,-0.20810513576467643,-0.07730406364491046,-0.4737596967543677,-0.6072145092191196,-0.2255597820510659,-99.32069114347333,-127.29863924929133,-47.287166048441485,0.8474659286798341,-0.179988441019429,-0.5251748952621385,0.81224079151331,-0.23116200324890143,-0.6744904292588613,0.921356856646347,-0.08535579106656531,-0.2490533190882049,-110.09955875516528,-141.40260571464597,-52.2124358675482,-0.05141519850777076,-0.0672759200397417,-0.02349353703713902,-10.778867611691984,-14.103966465354652,-4.925269819106713,0.6715
02020001401,02020001401,Census Tract 14.01; Anchorage Municipality; Alaska,2161,1247,270,Anchorage municipality,Alaska,113165,0.5174465068687983,0.29099356891365585,02020,2161,1247,270,0.010074,0.006117034968,0.003246721792,0.8433189932210381,0.7723660282745385,0.8806007819693149,-0.1857909142785013,-0.294722920729689,-0.1355883624855169,-4.044652225824345,-6.416092638114146,-2.951746990710529,-187.1657670441622,-296.90387034308867,-136.59171636790973,0.8290697505772404,0.752671514130562,0.8694747481359467,-0.2061711325298617,-0.3286008321374246,-0.15011965803939026,-4.4883278244576905,-7.153611855960169,-3.2680920452269344,-207.69679891058263,-331.0324782952415,-187.1657670441622,-0.4436755986333454,-0.7375192178460228,-0.31634505451640527,-20.531031866420427,-34.128607952152834,-14.638827140972015,0.8994614520376732,0.8676140334540766,0.9321331776864896,-0.11177638322861196,-0.15258624393024028,-0.07280807500270789,-0.4525448036163194,-0.6177701389096903,-0.2947752919898431,-36.29068192592778,-49.54050833277389,-23.638756374486213,0.8899811559890639,0.8553802623377138,0.925605151081924,-0.1236192960610146,-0.16907069759483026,-0.08037428144292105,-0.5004927556539457,-0.6845101212824124,-0.32540830505310997,-40.13574624329957,-54.89255182697774,-26.0952931077073,-0.04794795203762631,-0.06673998237272205,-0.03063301306326688,-3.845064317371797,-5.352043494203853,-2.456536733221081,0.8676140334540766,0.8365783869204249,0.9321331776864896,-0.15258624393024028,-0.19534524873533432,-0.07280807500270789,-0.25201135523440554,-0.3226321036836084,-0.12024977600096932,-93.33753897570575,-119.49337173466976,-44.53695407443308,0.8553802623377138,-0.16907069759483026,-0.27923706969796713,0.8217832866705295,-0.21686582852216296,-0.3581754812372779,0.925605151081924,-0.08037428144292105,-0.13274611833083982,-103.421136925173,-132.65758564343625,-49.16522901142216,-0.02722571446356159,-0.03554337755366948,-0.0124963423298705,-10.083597949467254,-13.164213908766476,-4.628274936989074,0.4605
02020000702,02020000702,Census Tract 7.02; Anchorage Municipality; Alaska,4155,2527,1004,Anchorage municipality,Alaska,123693,0.6355398922263441,0.24674782668346232,02020,4155,2527,1004,0.010074,0.006117034968,0.003246721792,0.8036285930651258,0.7179412983948379,0.849488218309746,-0.24435592340722043,-0.3928715373189766,-0.17717936334624176,-10.228120733340027,-16.444608587182945,-7.416279885884414,-246.1641572404339,-395.7787866951371,-178.49049063500394,0.7862504709349777,0.6945409068120281,0.8357436700966474,-0.2718593335923092,-0.4398000034152661,-0.1965391253090288,-11.379343900060071,-18.408915448954396,-8.226630541448912,-273.87109266089226,-443.054523440539,-246.1641572404339,-1.1512231667200457,-1.9643068617714512,-0.8103506555644984,-27.706935420458382,-47.27573674540196,-19.503024201311636,0.8728999459910547,0.8334498711300466,0.9137837823478244,-0.1456066695761347,-0.19983220903751972,-0.0943507855114876,-1.194624965307131,-1.639516558435328,-0.7740978088192982,-47.27443471733799,-64.87995878256145,-30.63307514124647,0.861114521932254,0.8184034135599324,0.9055820188455088,-0.16128572278179792,-0.22189128665794491,-0.10426220838048536,-1.323263223749477,-1.8204995100660477,-0.8554157404462531,-52.36498708941342,-72.04192758472685,-33.85103840309668,-0.128638258442346,-0.18098295163071976,-0.08131793162695489,-5.090552372075425,-7.161968802165403,-3.217963261850213,0.8334498711300466,0.7953974295151611,0.9137837823478244,-0.19983220903751972,-0.25723313012157395,-0.0943507855114876,-1.2272701328568547,-1.5797980680892891,-0.5794556424489656,-122.2380610415194,-157.3504051881762,-57.714705423203746,0.8184034135599324,-0.22189128665794491,-1.3627460266194855,0.7773965365910421,-0.28634480979950755,-1.7585875393066923,0.9055820188455088,-0.10426220838048536,-0.640326676802349,-135.73167595811609,-175.1581214448897,-63.77755745043317,-0.1354758937626308,-0.1787894712174034,-0.06087103435338337,-13.493614916596693,-17.807716256713487,-6.062852027229419,0.9484
02020002601,02020002601,Census Tract 26.01; Anchorage Municipality; Alaska,2993,1701,688,Anchorage municipality,Alaska,184750,0.5318312342740262,0.27378561389983547,02020,2993,1701,688,0.010074,0.006117034968,0.003246721792,0.8383814234611507,0.7655220040752492,0.8767508928217608,-0.19277452006465937,-0.30629817912027274,-0.14057482939261196,-5.812437471788215,-9.23534403437768,-4.23853943808441,-194.20105151313783,-308.56478564576275,-141.61508313011728,0.8237317608069553,0.745338313539568,0.8652942912669876,-0.2139874259799894,-0.3416726093833262,-0.15567617872038952,-6.4520380226619825,-10.30193553171439,-4.693867500516608,-215.5709329322413,-344.2009866927628,-194.20105151313783,-0.6396005508737677,-1.0665914973367112,-0.4553280624321978,-21.369881419103496,-35.63620104700004,-15.213099312803132,0.8961833012048207,0.8633787838179441,0.9298785119885552,-0.11584315246178886,-0.1582401823425678,-0.07540930036278541,-0.6397639393253879,-0.8739089040972182,-0.4164609649912665,-37.611048755166834,-51.37618483816686,-24.48330188073289,0.8864138477388988,0.8507883013790476,0.9231426860391088,-0.12814122043652806,-0.17538052460182435,-0.08325615868838213,-0.7076821567289222,-0.968569422670247,-0.4597966036287584,-41.603889284475144,-56.94117711171352,-27.030958473178035,-0.06791821740353432,-0.09466051857302882,-0.04333563863749196,-3.992840529308308,-5.564992273546668,-2.5476565924451475,0.8633787838179441,0.8314503264025893,0.9298785119885552,-0.1582401823425678,-0.202717670851931,-0.07540930036278541,-0.6659569813677422,-0.85314138388815,-0.3173615531353225,-96.79607287321834,-124.0031081232776,-46.12813272315734,0.8507883013790476,-0.17538052460182435,-0.7380924555665341,0.8162438816788029,-0.2251240376139276,-0.9474390278325588,0.9231426860391088,-0.08325615868838213,-0.35038521379075505,-107.2808801695544,-137.7091610221742,-50.928083399819045,-0.07213547419879196,-0.09429764394440876,-0.03302366065543255,-10.48480729633604,-13.706052898896624,-4.799950676661708,0.7621
02020002821,02020002821,Census Tract 28.21; Anchorage Municipality; Alaska,3152,2489,1043,Anchorage municipality,Alaska,177774,0.7629668929882448,0.1816364448322746,02020,3152,2489,1043,0.010074,0.006117034968,0.003246721792,0.7628939038119,0.663508614711772,0.8171484808810373,-0.3107982577962258,-0.5071394369678226,-0.22376780156504103,-9.86885415777149,-16.103324312619637,-7.105354497509536,-313.09816490391785,-510.8922688013845,-225.42368329662236,0.7425241084054672,0.6368413033868767,0.8008129276925328,-0.34675761861449744,-0.5702499110559525,-0.2487310898956215,-11.010680659755554,-18.1072868477376,-7.898019982765964,-349.32362499224473,-574.4697603977665,-313.09816490391785,-1.1418265019840632,-2.0039625351179637,-0.7926654852564283,-36.22546008832688,-63.577491596382096,-25.148016664226784,0.845118252263947,0.7980929119679964,0.8943890816004547,-0.1832663622175331,-0.25298694551004874,-0.11808162752899554,-1.480992066069101,-2.0444104121776108,-0.954228323206377,-59.50148919522302,-82.13782290789919,-38.33781933332169,0.8310157014174411,0.7802949552674756,0.8844619167235683,-0.2033466976548421,-0.28156666046522394,-0.13063093061647582,-1.643263074817349,-2.2753656763460044,-1.055640377673821,-66.02101546072112,-91.41686124331072,-42.412228914175216,-0.16227100874824774,-0.23095526416839365,-0.10141205446744406,-6.519526265498101,-9.279038335411554,-4.074409580853518,0.7980929119679964,0.7532325254640599,0.8943890816004547,-0.25298694551004874,-0.327611283625742,-0.11808162752899554,-1.6140737817941753,-2.090182093997581,-0.7533687507941654,-154.75299921324788,-200.40096778500296,-72.2309444673217,0.7802949552674756,-0.28156666046522394,-1.7964142915279746,0.7321869290235229,-0.36577144491454466,-2.333646497748196,0.8844619167235683,-0.13063093061647582,-0.833434151214149,-172.2353107888758,-223.7436718838155,-79.90739704833643,-0.18234050973379937,-0.2434644037506151,-0.08006540041998356,-17.482311575627932,-23.342704098812565,-7.676452581014723,0.2474
02170001300,02170001300,Census Tract 13; Matanuska-Susitna Borough; Alaska,4061,2926,1416,Anchorage municipality,Alaska,7094797,0.6871832229986153,0.30412544675640696,02170,4061,2926,1416,0.009872,0.006117034968,0.003246721792,0.7868639610609142,0.6953624978202155,0.8362301905853058,-0.27086770965049467,-0.4380988378503954,-0.1958429763221849,-10.859138486488584,-17.563466524399217,-7.851382522607847,-267.40060296696834,-432.49117272591025,-193.33618622526097,0.7682270946170553,0.670551890316903,0.8214070522669834,-0.3016984261645686,-0.4913088971047413,-0.21742319747574823,-12.09514783103538,-19.69666801623732,-8.716537732056663,-297.8366863096622,-485.02014322180054,-267.40060296696834,-1.2360093445467957,-2.133201491838104,-0.8651552094488162,-30.436083342693813,-52.52897049589028,-21.30399432279774,0.8615322432520067,0.8189355274716011,0.9058733648240586,-0.1607226634087682,-0.22109734704931064,-0.10390705680393086,-1.5268505100145289,-2.100404447918591,-0.9871074763842876,-52.182177375752865,-71.78415748183838,-33.735730566790416,0.8487869414464454,0.8027395922712504,0.8969624026980947,-0.17815196154628335,-0.24573399596577297,-0.11487393116140047,-1.6924272381874423,-2.334450345151384,-1.0912917734263328,-57.840985583986416,-79.78299197373151,-37.296369563442674,-0.16557672817291347,-0.234045897232793,-0.10418429704204513,-5.658808208233543,-7.998834491893131,-3.56063899665226,0.8189355274716011,0.7780316954563307,0.9058733648240586,-0.22109734704931064,-0.28529468123208096,-0.10390705680393086,-1.9150836477774535,-2.4711430784539705,-0.9000139894465161,-135.2460203232665,-174.51575412810524,-63.56030998916074,0.8027395922712504,-0.24573399596577297,-2.12847943974699,0.7587470553263206,-0.3179622813427879,-2.754100733166106,0.8969624026980947,-0.11487393116140047,-0.9950060010174908,-150.3163446149004,-194.4986393478888,-70.26878538259116,-0.2133957919695364,-0.28295765471213485,-0.0949920115709748,-15.070324291633929,-19.982885219783533,-6.708475393430424,0.4143
