geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06029003210,06029003210,Census Tract 32.10; Kern County; California,3546,2664,880,Bakersfield city,California,26279,0.6428261997373895,0.28729538777964886,06029,3546,2664,880,0.01146099999999999,0.009493868073,0.003212018401,0.8012418186670744,0.7147117942061769,0.847604995878144,-0.24806266560521595,-0.3991653812159204,-0.17979483941570007,-10.081441862437892,-16.222362903374144,-7.306989209010677,-284.30462105013794,-457.4834434115663,-206.0628654543338,0.783682175150664,0.6911050139847777,0.8337058686519361,-0.27602749138418087,-0.4469581029866844,-0.19946378885032184,-11.217952125262029,-18.16469285779956,-8.106349200312005,-316.35510787540966,-512.2586818330388,-284.30462105013794,-1.1365102628241353,-1.9423299544254145,-0.7993599913013281,-32.05048682527172,-54.77523842147248,-22.54258294701997,0.8712870447616693,0.8313865737501447,0.9126635375840696,-0.14772738331434582,-0.20280989803490432,-0.0956940414724144,-1.2640761879032585,-1.735407187383076,-0.8188364028090047,-47.45030735372592,-65.14291243930465,-30.73710220754522,0.8593644465440113,0.8161750365987395,0.9043608848530044,-0.16365065371457185,-0.2252273779008453,-0.1057532637123517,-1.4003286990821784,-1.9272294606513851,-0.9049113268823183,-52.56489110668838,-72.3434482226496,-33.96814290098793,-0.1362525111789199,-0.19182227326830925,-0.08607492407331374,-5.114583752962458,-7.200535783344942,-3.2310406934427083,0.8313865737501447,0.792924026423689,0.9126635375840696,-0.20280989803490432,-0.261154873197981,-0.0956940414724144,-1.6943963659409278,-2.181845523231154,-0.7994858124979378,-192.54504158419635,-247.9369912762675,-90.8506605111293,0.8161750365987395,-0.2252273779008453,-1.88168553075214,0.7747377810419465,-0.29075930523886145,-2.4291788267427017,0.9043608848530044,-0.1057532637123517,-0.8835266298973358,-213.82790122183408,-276.0430484934888,-100.40075339742452,-0.18728916481121205,-0.2473333035115477,-0.08404081739939795,-21.28285963763773,-28.106057217221327,-9.55009288629522,0.3895
06029003219,06029003219,Census Tract 32.19; Kern County; California,3468,2228,573,Bakersfield city,California,489,0.8273275750546367,0.18872932492565528,06029,3468,2228,573,0.01146099999999999,0.009493868073,0.003212018401,0.743111169609348,0.6376046405258591,0.8012853003013343,-0.34569367397034007,-0.5683700155871801,-0.24799493965998923,-13.740199344493265,-22.59085978029972,-9.856992371940796,-396.1995197374067,-651.4088748644671,-284.2270003443136,0.7213718121315942,0.6095461831385542,0.7837289568596556,-0.3862476786347979,-0.6405647802616012,-0.27595132379301973,-15.352089148282296,-25.46036689873324,-10.96816772706756,-442.6784644833419,-734.1512946578212,-396.1995197374067,-1.6118898037890317,-2.8695071184335177,-1.111175355126763,-46.478944745935166,-82.74241979335403,-32.04081185486629,0.8314241715167278,0.7808090246861235,0.8847502436601667,-0.2027555058638088,-0.2807229019951311,-0.13026247482346076,-1.4509948382656392,-2.008958918489191,-0.9322073784546586,-65.12544157386172,-90.16871267904808,-41.84054660927552,0.8162156375318775,0.7617269245445111,0.8739825468612961,-0.2251664315374559,-0.31280642416305393,-0.1441876083123927,-1.6113758712475963,-2.2385606985281856,-1.0318608834409655,-72.32387213858152,-100.47399903627404,-46.3133251095586,-0.16038103298195705,-0.22960178003899445,-0.09965350498630687,-7.198430564719796,-10.305286357225963,-4.4727785002830736,0.7808090246861235,0.7327930900412722,0.8847502436601667,-0.2807229019951311,-0.3646416888888488,-0.13026247482346076,-1.5271287706583798,-1.983645830553865,-0.7086260922292689,-266.5146196611483,-346.186008822664,-123.66947508364204,0.7617269245445111,-0.31280642416305393,-1.7016626951029934,0.7103616412749558,-0.4077336695787821,-2.218065619707348,0.8739825468612961,-0.1441876083123927,-0.7843786291084127,-296.97429233909133,-387.0969667901131,-136.88981310792545,-0.17453392444461358,-0.23441978915348297,-0.07575253687914385,-30.459672677943033,-40.91095796744903,-13.220338024283397,0.2034
06029003207,06029003207,Census Tract 32.07; Kern County; California,2820,1487,329,Bakersfield city,California,32725,0.4897867530282669,0.24357932508404576,06029,2820,1487,329,0.01146099999999999,0.009493868073,0.003212018401,0.8528950913146561,0.7856985163833374,0.8880511326339124,-0.17247714306644177,-0.272752816949582,-0.12606128549608756,-5.57446471345026,-8.815376498866828,-4.07430326845926,-197.6760536684489,-312.6020035059159,-144.47883930706593,0.8394313340644135,0.7669755621060306,0.8775700029011586,-0.19128266889697176,-0.3038225067485983,-0.1395102347323861,-6.182259684403506,-9.819549494564832,-4.508973576755413,-219.22906682281936,-348.2109749845685,-197.6760536684489,-0.607794970953246,-1.0041729956980046,-0.4346703082961536,-21.553013154370426,-35.60897147865264,-15.41384071972176,0.9057985972031491,0.8758162773145912,0.9364839482472636,-0.103998176954257,-0.14179197841147484,-0.06782396203545611,-0.4967235143166735,-0.6772369658887438,-0.32394564754678973,-33.404405804752756,-45.54384437718519,-21.78518140866104,0.8968809676788028,0.8642797023042312,0.9303585894136464,-0.11497515951094074,-0.15703284172233686,-0.0748543748386789,-0.5491525617464861,-0.7500314648569447,-0.3575248068838786,-36.930232800705184,-50.43923771734665,-24.043362937718804,-0.05242904742981258,-0.0727944989682009,-0.03357915933708888,-3.5258269959524267,-4.895393340161459,-2.2581815290577594,0.8758162773145912,0.8465279534267129,0.9364839482472636,-0.14179197841147484,-0.1812958992695257,-0.06782396203545611,-0.4428847768230598,-0.5662745860976145,-0.21184696501066488,-134.61543368482063,-172.11993498407736,-64.39117477527807,0.8642797023042312,-0.15703284172233686,-0.49048934812281136,0.8325406236383273,-0.2011425888503196,-0.6282653755917763,0.9303585894136464,-0.0748543748386789,-0.2338063370443464,-149.08490824401562,-190.9621202406615,-71.06575594053082,-0.04760457129975154,-0.06199078949416181,-0.0219593720336815,-14.469474559194998,-18.842185256584138,-6.674581165252738,0.7288
06029003124,06029003124,Census Tract 31.24; Kern County; California,3463,2457,726,Bakersfield city,California,0,NA,NA,06029,3463,2457,726,0.01146099999999999,0.009493868073,0.003212018401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7685
06029003130,06029003130,Census Tract 31.30; Kern County; California,2974,1929,812,Bakersfield city,California,0,NA,NA,06029,2974,1929,812,0.01146099999999999,0.009493868073,0.003212018401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3005
06029003215,06029003215,Census Tract 32.15; Kern County; California,2451,1597,641,Bakersfield city,California,257130,0.7581707394049797,0.26433676717834265,06029,2451,1597,641,0.01146099999999999,0.009493868073,0.003212018401,0.7643890259259892,0.6654805936280178,0.8183431012659425,-0.3082343755374942,-0.5026734206451823,-0.22198134065411187,-8.658584410364327,-14.120554321409378,-6.235658083975338,-353.2674178035221,-576.1140074014434,-254.4128145236776,0.7441249866186807,0.6389236071500369,0.8021008344879123,-0.3438602627013248,-0.5651323394678894,-0.24672604366311765,-9.659348035979534,-15.875082251214268,-6.930759333922752,-394.0982470819883,-647.6981742641481,-353.2674178035221,-1.0007636256152068,-1.7545279298048904,-0.6951012499474141,-40.83082927846621,-71.58416686270462,-28.359904118621547,0.8461477189481303,0.7993961203027605,0.8951115573035296,-0.18182673971292823,-0.2509442748124215,-0.11717918491907373,-0.9326972415015656,-1.2872420924319887,-0.6010815719842717,-58.403083375176294,-80.60376283230987,-37.638169817424654,0.8321292859004038,0.7816966302391498,0.8852478507952061,-0.2017363370620372,-0.2792686591140391,-0.12962714238923442,-1.0348253803893823,-1.4325346668193333,-0.6649345322973592,-64.79808267936019,-89.701607189689,-41.636476662326814,-0.1021281388878168,-0.14529257438734455,-0.06385296031308751,-6.394999304183895,-9.09784435737912,-3.998306844902161,0.7993961203027605,0.7547783021074588,0.8951115573035296,-0.2509442748124215,-0.3248923521090153,-0.11717918491907373,-1.527138808634767,-1.9771549675926283,-0.7131020661374717,-238.24318387437864,-308.4485128849654,-111.2483722523357,0.7816966302391498,-0.2792686591140391,-1.6995088160000216,0.733839944293962,-0.36269496880837465,-2.207205416333445,0.8852478507952061,-0.12962714238923442,-0.788854975643485,-265.1339806552296,-344.3378184607559,-123.06629885233777,-0.17237000736525454,-0.2300504487408168,-0.07575290950601321,-26.89079678085094,-35.88930557579045,-11.817926600002062,0.9151
06029003137,06029003137,Census Tract 31.37; Kern County; California,2109,1255,427,Bakersfield city,California,0,NA,NA,06029,2109,1255,427,0.01146099999999999,0.009493868073,0.003212018401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8885
06029003128,06029003128,Census Tract 31.28; Kern County; California,2655,1673,453,Bakersfield city,California,2351,0.402609583150448,0.1939683538931944,06029,2655,1673,453,0.01146099999999999,0.009493868073,0.003212018401,0.8837940068258578,0.8292439464067192,0.9119478424854556,-0.13148538265324455,-0.2059177571729057,-0.09655394027202684,-4.000962791913359,-6.265862166715275,-2.938035503610193,-150.6953970588836,-236.00234149586723,-110.66047094577,0.8729435439953667,0.8138615679461263,0.9035808127166024,-0.14554945377465064,-0.22871018780701924,-0.10670787374680382,-4.428917779183425,-6.959412012821336,-3.2470090883871747,-166.8142289711271,-262.1247462456247,-150.6953970588836,-0.4279549872700654,-0.6935498461060616,-0.3089735847769819,-16.118831912243518,-26.1224047497575,-11.63742315544188,0.9260654183481184,0.902178646199676,0.9503298852819324,-0.07983732054670963,-0.10842791969460296,-0.05226618197251808,-0.4290223511079342,-0.5826598477325529,-0.28086313668512736,-25.643894268256673,-34.82724732412151,-16.787993824574258,0.9189795211336091,0.8929390128096877,0.945500636496501,-0.08816353031071669,-0.11989731174746002,-0.05764074755723417,-0.47376496100905474,-0.6442929976253592,-0.30974447623346113,-28.318288165514332,-38.5112371563275,-18.5143141801232,-0.04474260990112061,-0.06163314989280633,-0.02888133954833377,-2.6743938972576577,-3.683989832205997,-1.7263203555489404,0.902178646199676,0.8786675322292663,0.9503298852819324,-0.10842791969460296,-0.13808689102566615,-0.05226618197251808,-0.4663183653497107,-0.593873362881806,-0.22478233105590337,-102.94003650103988,-131.0978726008402,-49.620823632649746,0.8929390128096877,-0.11989731174746002,-0.5156450347970954,0.8673752724653568,-0.15290351448189368,-0.657595544858282,0.945500636496501,-0.05764074755723417,-0.24789684478067764,-113.82892600377384,-145.16457943891433,-54.723365293747825,-0.04932666944738473,-0.06372218197647594,-0.02311451372477427,-10.888889502733935,-14.06670683807416,-5.102541661098074,0.9236
06029003217,06029003217,Census Tract 32.17; Kern County; California,1918,1356,569,Bakersfield city,California,688,0.411408762480024,0.15280969313783777,06029,1918,1356,569,0.01146099999999999,0.009493868073,0.003212018401,0.8806251130493633,0.8247413730573814,0.9095069485470676,-0.13555698694223492,-0.21250131576753695,-0.0994968225338955,-2.9798405272476223,-4.671245998462519,-2.1871588533109523,-155.36186273449542,-243.5477580011741,-114.03330830609762,0.869501174205843,0.809001933533206,0.9009208201534992,-0.15008470335114585,-0.2360909888467582,-0.10997545803150556,-3.299191665836151,-5.18979886284523,-2.4175022935892447,-172.01207851074824,-270.5838823172695,-155.36186273449542,-0.3193511385885288,-0.5185528643827109,-0.23034344027829248,-16.650215776252807,-27.03612431609546,-12.009564143810868,0.9239993899439776,0.8994821621583928,0.9489231148196864,-0.08225179679028846,-0.11175078514109173,-0.05382615765453145,-0.3582474501965554,-0.4867302040383648,-0.2344396655890497,-26.41942848057193,-35.894557819938406,-17.289060884148206,0.9167245309291656,0.8900036970353665,0.9439611665853912,-0.09084023200124104,-0.12359083825273424,-0.05936561311872503,-0.3956543535782132,-0.538299519274753,-0.2585667469777329,-29.178049673909527,-39.69760466627971,-19.068344172399183,-0.03740690338165781,-0.05156931523638819,-0.02412708138868322,-2.758621193337597,-3.803046846341312,-1.7792832882509748,0.8994821621583928,0.875368932446928,0.9489231148196864,-0.11175078514109173,-0.14237547499508513,-0.05382615765453145,-0.6036789631635215,-0.7691138725909735,-0.2907694921600652,-106.09472111836934,-135.16939764340484,-51.10184396486207,0.8900036970353665,-0.12359083825273424,-0.6676390595262732,0.8637941172039882,-0.1576832720705439,-0.8518067597609674,0.9439611665853912,-0.05936561311872503,-0.3206936911434802,-117.33551134029408,-149.7024182356709,-56.36092990219335,-0.06396009636275168,-0.0826928871699939,-0.02992419898341497,-11.240790221924724,-14.533020592266064,-5.259085937331278,0.2912
06029003208,06029003208,Census Tract 32.08; Kern County; California,4295,2040,695,Bakersfield city,California,79280,0.5944496937676903,0.2955399258519634,06029,4295,2040,695,0.01146099999999999,0.009493868073,0.003212018401,0.8172222192700507,0.7364287830669679,0.8601870115084131,-0.22365738035513508,-0.3579045564125703,-0.16253789771414073,-11.00953342969462,-17.617849999885987,-8.000927202289088,-256.3337236250203,-410.1944121044468,-186.2846845701767,0.8008924187707099,0.7142394429269678,0.8473291915403484,-0.24860714942825948,-0.4000906977385337,-0.1801788608062864,-12.237685687570323,-19.694462595725827,-8.869303522295144,-284.92865395972814,-458.54394867813335,-256.3337236250203,-1.2281522578757027,-2.0766125958398405,-0.8683763200060568,-28.594930334707865,-48.34953657368662,-20.21830779990819,0.8820517524553435,0.8451818037392912,0.920127050239886,-0.13372032561165165,-0.1831773892619969,-0.08680643584958231,-0.8762047787627668,-1.2002730557116146,-0.5688006933191323,-42.95121464523367,-58.83691449566738,-27.882386927408444,0.8710507797713751,0.8310844417617791,0.912499380503888,-0.14803869444037487,-0.2032471668945508,-0.09589115495924332,-0.9700261416291012,-1.331780625633487,-0.6283284746133533,-47.55030106025006,-65.28336400164152,-30.8004154222232,-0.09382136286633425,-0.1315075699218724,-0.05952778129422098,-4.599086415016385,-6.446449505974137,-2.918028494814754,0.8451818037392912,0.8094910078640492,0.920127050239886,-0.1831773892619969,-0.23534417341909017,-0.08680643584958231,-1.208648067488926,-1.5528569412621025,-0.572769550641074,-173.90619676099652,-223.4326534190075,-82.41288498432719,0.8310844417617791,-0.2032471668945508,-1.3410732431519754,0.7925619740421984,-0.2617309847706079,-1.726963410819824,0.912499380503888,-0.09589115495924332,-0.6327126923127058,-192.9601788707878,-248.48394400285235,-91.03779745506556,-0.13242517566304943,-0.1741064695577217,-0.05994314167163173,-19.05398210979129,-25.05129058384485,-8.624912470738378,0.8184
06029003216,06029003216,Census Tract 32.16; Kern County; California,2510,1522,260,Bakersfield city,California,10725,0.5187714258339994,0.27734223616655984,06029,2510,1522,260,0.01146099999999999,0.009493868073,0.003212018401,0.8428630004289269,0.7717331028800951,0.8802454785771404,-0.1864324326623748,-0.2957847684231979,-0.1360467328005308,-5.363122297966128,-8.50887296955466,-3.9136713276134776,-213.67021107434772,-338.99892308982714,-155.92316046268834,0.8285766470516532,0.7519930768209042,0.8690888602162558,-0.20688895053743928,-0.3297994766488542,-0.1506303276642731,-5.951597197895074,-9.48737782270002,-4.333199205254187,-237.11542621095913,-377.9831801872518,-213.67021107434772,-0.5884748999289462,-0.978504853145358,-0.419527877640709,-23.4452151366114,-38.98425709742462,-16.71425807333502,0.8991590141465683,0.8672230746560066,0.9319252811885907,-0.11215033633305044,-0.15310584926105758,-0.07304740002823581,-0.5482684527377075,-0.7484873414036733,-0.3571062406006419,-36.02289439800969,-49.177880512724926,-23.462959303590136,0.8896519862982355,0.8549562811897231,0.925378069028966,-0.12403503325037578,-0.16965045114171198,-0.080639398607466,-0.6063690755549956,-0.8293688043654085,-0.39422118336693246,-39.84028091688539,-54.49203708051304,-25.901523217275457,-0.05810062281728812,-0.08088146296173515,-0.03711494276629057,-3.817386518875698,-5.3141565677881175,-2.43856391368532,0.8672230746560066,0.8361047426007481,0.9319252811885907,-0.15310584926105758,-0.1960223989274921,-0.07304740002823581,-0.3779273508631673,-0.4838628066403525,-0.1803106185253691,-145.35667340891052,-186.10107947705865,-69.35023789437273,0.8549562811897231,-0.16965045114171198,-0.41876614043272986,0.8212715065809224,-0.2176241255016278,-0.5371846316237567,0.925378069028966,-0.080639398607466,-0.19905075108498893,-161.06390016643456,-206.60947370144493,-76.5579811865342,-0.04083878956956255,-0.05332182498340421,-0.01874013255961984,-15.707226757524058,-20.508394224386233,-7.207743292161479,0.4226
