geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
25025010405,25025010405,Census Tract 104.05; Suffolk County; Massachusetts,3064,679,372,Boston city,Massachusetts,41932,0.5129336079492487,0.2599205900633559,25025,3064,679,372,0.007762,0.00798440667,0.00293016251099999,0.8448740340991386,0.7745257774300892,0.8818120821879945,-0.1836083956187233,-0.2911126125692604,-0.1340284627522363,-4.366715875852313,-6.923463726608604,-3.1875678350330774,-142.51683667925303,-225.9616098762599,-104.0328927882858,0.8307515480684828,0.7549869831770105,0.8707904341059457,-0.2037293247602413,-0.32452614718199047,-0.14838193075319644,-4.8452472655694745,-7.718130068363133,-3.528933034495336,-158.1347018788993,-251.89719544266103,-142.51683667925303,-0.4785313897171619,-0.794666341754529,-0.34136519946225885,-15.617865199646277,-25.935585566401073,-11.141161862345262,0.9004923704109941,0.8689470285699743,0.9328416565392984,-0.11050357877389858,-0.15081813634336205,-0.07199329381349566,-0.21985574837728217,-0.3000647997336079,-0.14323644234090924,-32.37934438546129,-44.19216490922061,-21.095205057571317,0.8911032780472314,0.8568259925132836,0.9263790493484566,-0.12220437814055114,-0.16709811413021147,-0.07947173535856912,-0.24313542881759984,-0.3324551235548554,-0.158115402649987,-35.807868750751076,-48.9624629683145,-23.286509963179235,-0.02327968044031766,-0.03239032382124751,-0.01487896030907776,-3.4285243652897894,-4.77029805909389,-2.1913049056079172,0.8689470285699743,0.8381937142492105,0.9328416565392984,-0.15081813634336205,-0.19304163584157047,-0.07199329381349566,-0.44795992016501024,-0.5733721280260264,-0.21383442953894496,-120.41933337769092,-154.13229248011464,-57.482373531974446,0.8568259925132836,-0.16709811413021147,-0.49631469848611354,0.8235288909261322,-0.21428648225736213,-0.636473555580265,0.9263790493484566,-0.07947173535856912,-0.2360468912409175,-133.41792970056815,-171.0950418226519,-63.45346538734341,-0.0483547783211033,-0.06310142755423853,-0.02221246170197255,-12.99859632287723,-16.96274934253724,-5.971091855368965,0.8245
25025110403,25025110403,Census Tract 1104.03; Suffolk County; Massachusetts,3344,2444,923,Boston city,Massachusetts,51196,0.6724676122307237,0.2029152905235636,25025,3344,2444,923,0.007762,0.00798440667,0.00293016251099999,0.7916050408921291,0.7017229252649259,0.839986803159904,-0.26325623049723423,-0.42506388774809334,-0.19049489377470025,-6.833112415583717,-11.033012678567143,-4.944509846162523,-204.33948611195325,-329.93458967007007,-147.86213654792235,0.7733202919231491,0.6773018029180504,0.8254669873059205,-0.2931252554011318,-0.476446682544848,-0.21143548485652164,-7.60839664922447,-12.366711077309445,-5.488046508677938,-227.52382324235853,-369.81791499131106,-204.33948611195325,-0.775284233640753,-1.3336983987422997,-0.5435366625154145,-23.184337130405297,-39.883325321241024,-16.254086797709764,0.864756269176095,0.8230454011357807,0.9081204120146594,-0.15639520133546964,-0.2149998027083641,-0.10117555642374151,-1.11999564170593,-1.539681780162079,-0.7245502500981363,-45.82633558534902,-62.99843617684447,-29.64608224624126,0.8522815579711399,0.8071721553808509,0.8994101436173764,-0.17332117613867476,-0.238893082886595,-0.11183980645143378,-1.2412079157996287,-1.7107891379145457,-0.8009203270000347,-50.785921268397246,-69.99955556115162,-32.77088081014872,-0.12121227409369872,-0.17110735775246666,-0.07637007690189834,-4.959585683048229,-7.001119384307147,-3.124798563907461,0.8230454011357807,0.7829410175101541,0.9081204120146594,-0.2149998027083641,-0.27723542084960545,-0.10117555642374151,-1.5844641276662588,-2.0431161969506744,-0.7456241249092804,-171.66458587933465,-221.35603433918465,-80.7826787550683,0.8071721553808509,-0.238893082886595,-1.7605482210365142,0.7640151148723521,-0.30887462896211826,-2.276284737807636,0.8994101436173764,-0.11183980645143378,-0.8242154603639569,-190.7419524416592,-246.6180647678912,-89.29744966023368,-0.17608409337025543,-0.23316854085696148,-0.07859133545467645,-19.077366562324535,-25.262030428706556,-8.51477090516538,0.3362
25025120600,25025120600,Census Tract 1206; Suffolk County; Massachusetts,2046,1069,525,Boston city,Massachusetts,27675,0.6325194168944238,0.23012801012280945,25025,2046,1069,525,0.007762,0.00798440667,0.00293016251099999,0.8046200929493922,0.7192843359947394,0.8502701180088664,-0.24282255534339053,-0.390270787166584,-0.17609684125059685,-3.8562776281812634,-6.1979106650734535,-2.796603092936474,-188.47886745753976,-302.92818499870253,-136.68636817871328,0.7873176017757729,0.6959702296953879,0.8365898826198215,-0.27013545454150634,-0.43684306789628025,-0.19532882332792728,-4.290035200617299,-6.9375274771003586,-3.1020272003696268,-209.67913981511728,-339.07758930109276,-188.47886745753976,-0.43375757243603585,-0.7396168120269051,-0.30542410743315296,-21.20027235757751,-36.14940430239027,-14.927864488423898,0.873569435237437,0.8343066936887487,0.914248573115165,-0.14472869546792125,-0.1985999963378765,-0.09379443338112065,-0.453340020969135,-0.6220834521668077,-0.29379640477178204,-42.407859772603835,-58.19302639539829,-27.483293243384665,0.8618410449661088,0.8193289506810686,0.9060887126167811,-0.16030677100012589,-0.2205110037534354,-0.1036446940300175,-0.5021359080984689,-0.690716258737126,-0.3246508068976695,-46.97248906440307,-64.61330764612966,-30.369579691082276,-0.04879588712933386,-0.06863280657031834,-0.03085440212588747,-4.564629291799238,-6.420281250731369,-2.8862864476976116,0.8343066936887487,0.7964250179530239,0.914248573115165,-0.1985999963378765,-0.25561098340457167,-0.09379443338112065,-0.8324941460966112,-1.0714735714308783,-0.3931687722359723,-158.57031354221166,-204.09020408207212,-74.88928994970902,0.8193289506810686,-0.2205110037534354,-0.9243410028180954,0.7785013739585563,-0.2845192487139209,-1.1926516282667798,0.9060887126167811,-0.1036446940300175,-0.4344592278197749,-176.06495291773246,-227.17173871748187,-82.75413863233808,-0.09184685672148418,-0.12117805683590133,-0.04129045558380256,-17.494639375520798,-23.081534635409778,-7.864848682629061,0.0359
25025060400,25025060400,Census Tract 604; Suffolk County; Massachusetts,4420,1430,555,Boston city,Massachusetts,22201,0.42777855488942407,0.24589888932670995,25025,4420,1430,555,0.007762,0.00798440667,0.00293016251099999,0.8747599757223333,0.8164298349910625,0.9049833347214908,-0.14317072997567096,-0.2248449984816479,-0.1049927237696048,-4.911907130834519,-7.713991201708318,-3.6020945667965525,-111.1291206071158,-174.52468782145513,-81.49535218996725,0.8631331451173032,0.8000382543235125,0.8959930478470671,-0.15856980543146218,-0.24994023047756503,-0.11608008834761108,-5.440219227534823,-8.574959424833521,-3.982480314233376,-123.08188297590095,-194.003606896686,-111.1291206071158,-0.5283120967003043,-0.8609682231252034,-0.3803857474368231,-11.952762368785166,-19.478919075230845,-8.606012385448485,0.9201680538091684,0.8944871099934323,0.9463115295273384,-0.08675800671448623,-0.11795909502524014,-0.05673445667461924,-0.3635275340895396,-0.4942642248464567,-0.2377248845827899,-25.421505880387382,-34.563931807444526,-16.6241178029923,0.91254411062721,0.8845685516803065,0.9411038379999468,-0.09583743772416652,-0.13049463277936182,-0.062582001711119,-0.4015715520525993,-0.5467897876252208,-0.26222687244647996,-28.081926716964983,-38.23704808567978,-18.33754352772587,-0.03804401796305973,-0.05252556277876408,-0.02450198786369006,-2.6604208365776034,-3.67311627823525,-1.713425724733571,0.8944871099934323,0.8692652052092252,0.9463115295273384,-0.11795909502524014,-0.1503969030479115,-0.05673445667461924,-0.5227175287342136,-0.6664606698929139,-0.251409990731869,-94.18333851066912,-120.0830035843088,-45.299097429165585,0.8845685516803065,-0.13049463277936182,-0.5782668300813191,0.8571711110257609,-0.1666282112603146,-0.7383872077753488,0.9411038379999468,-0.062582001711119,-0.27732248429573647,-104.1922216362737,-133.0427401397025,-49.96801518842098,-0.05554930134710545,-0.07192653788243497,-0.02591249356386749,-10.008883125604584,-12.959736555393688,-4.668917759255403,0.0055
25025061000,25025061000,Census Tract 610; Suffolk County; Massachusetts,1836,909,261,Boston city,Massachusetts,24182,0.4555815516752837,0.2512646418647268,25025,1836,909,261,0.007762,0.00798440667,0.00293016251099999,0.8648878085677439,0.8025047374377884,0.8973517775666207,-0.15621932705468716,-0.24609856284807516,-0.11439017005319142,-2.2262866288748127,-3.5071584943019305,-1.6301779739134727,-121.25744165984815,-191.02170448267591,-88.78964999528719,0.8524241650844763,0.7850410475370083,0.8876852430382772,-0.17312488425395448,-0.27381874251977645,-0.12652542986667598,-2.4672082654994014,-3.902199661849095,-1.803117949843755,-134.37953515791946,-212.5381079438505,-121.25744165984815,-0.24092163662458876,-0.39504116754716456,-0.17293997593028232,-13.122093498071283,-21.51640346117454,-9.419388667226706,0.913697155481928,0.8860668309254951,0.941892386671897,-0.09445453999750236,-0.12858304260808626,-0.06169241215912328,-0.2515813412538382,-0.34248321279948174,-0.16431883312953766,-27.67671520944314,-37.676921100053,-18.07687933218236,0.9054875850221652,0.8754132736277861,0.9362706623329868,-0.10437737252413144,-0.14231761172173693,-0.06806721627719621,-0.27801098154590426,-0.3790654810445777,-0.1812982368754845,-30.584266396689134,-41.701373052208766,-19.94480053635693,-0.02642964029206607,-0.03658226824509597,-0.01697940374594683,-2.9075511872459923,-4.024451952155773,-1.8679212041745696,0.8860668309254951,0.8589958025846625,0.941892386671897,-0.12858304260808626,-0.16415004239958458,-0.06169241215912328,-0.2679580780957624,-0.3420772209815827,-0.12856267716137187,-102.6659303048898,-131.0640693416026,-49.2577307131693,0.8754132736277861,-0.14231761172173693,-0.2965799606435612,0.846038537555013,-0.18197925462110023,-0.379232053717967,0.9362706623329868,-0.06806721627719621,-0.14184732360516625,-113.63216882895064,-145.2996374398341,-54.34763356519779,-0.02862188254779879,-0.03715483273638426,-0.01328464644379437,-10.966238524060842,-14.235568098231518,-5.089902852028496,0.4358
25025080500,25025080500,Census Tract 805; Suffolk County; Massachusetts,2229,1421,608,Boston city,Massachusetts,29742,0.4792326154625333,0.2315437908041559,25025,2229,1421,608,0.007762,0.00798440667,0.00293016251099999,0.8565776398604786,0.7908462440444171,0.8909105501556095,-0.1674364978320965,-0.2644682927062571,-0.12244714110225384,-2.896902232369022,-4.575697637320722,-2.118518966886363,-129.96420961727333,-205.2802887985968,-95.04347092356944,0.8434190512854153,0.772504934110238,0.8806787393289738,-0.18565023931573169,-0.29449011371272094,-0.13548784061931837,-3.2120272442206534,-5.095120113420415,-2.344142603499456,-144.10171575687096,-228.58322626381403,-129.96420961727333,-0.31512501185163133,-0.5194224760996926,-0.22562363661309304,-14.137506139597637,-23.302937465217255,-10.122190965145494,0.908228414380998,0.878966408230867,0.938149420148454,-0.1010446096663348,-0.1376999059756361,-0.0659282823430819,-0.4207255977269328,-0.5733494883086659,-0.2745096060789133,-29.607712718292245,-40.348310225803374,-19.318058133632174,0.8995278074207221,0.8676998164567272,0.9321787873795854,-0.11169437092486188,-0.15247229633345286,-0.07275558459237677,-0.46506865754911103,-0.6348581900956425,-0.30293686042906814,-32.728265837375865,-44.67686066823663,-21.31856864384716,-0.04434305982217823,-0.06150870178697654,-0.02842725435015486,-3.1205531190836195,-4.328550442433254,-2.00051051021498,0.878966408230867,0.8503555255849202,0.938149420148454,-0.1376999059756361,-0.17597871703385037,-0.0659282823430819,-0.668466845019987,-0.8542920703743753,-0.3200501161073018,-109.94520477302416,-140.50856420631172,-52.63982172817464,0.8676998164567272,-0.15247229633345286,-0.7401796984597028,0.8366823198565204,-0.1951967625794774,-0.9475864425260072,0.9321787873795854,-0.07275558459237677,-0.3531933863386663,-121.74008198350376,-155.85303331019858,-58.091017489912225,-0.07171285343971578,-0.09329437215163204,-0.03314327023136454,-11.79487721047957,-15.344469103886851,-5.45119576173759,0.9313
25025080900,25025080900,Census Tract 809; Suffolk County; Massachusetts,2917,767,326,Boston city,Massachusetts,30185,0.5203382009620281,0.2463210021270908,25025,2917,767,326,0.007762,0.00798440667,0.00293016251099999,0.8423240870058334,0.7709853099625393,0.8798255016356467,-0.18719150434679976,-0.2970415740457987,-0.13658901468636905,-4.238343992310171,-6.725542247317759,-3.092614869631155,-145.298045673986,-230.56366977434897,-106.02039319955963,0.8279939088381637,0.7511915838869172,0.8686327517329304,-0.20773835329681864,-0.3312183222629633,-0.15123450964172222,-4.703560691711657,-7.49936377297074,-3.424214563618503,-161.24650982899067,-257.09166174051217,-145.298045673986,-0.4652166994014859,-0.7738215256529806,-0.33159969398734823,-15.94846415500466,-26.5279919661632,-11.367833184345155,0.8988014992270938,0.8667609759682641,0.9316794942437884,-0.11259271469832856,-0.15372060778681665,-0.0733304813278786,-0.25304476789312363,-0.34547701973458467,-0.1648054643395106,-32.99149516207609,-45.04263621050648,-21.487022730053532,0.8892628857252219,0.854455175965804,0.9251096063756548,-0.12452685932627049,-0.17033640631842906,-0.08095299530803365,-0.2798659779995833,-0.3828199410244395,-0.1819365663476502,-36.488393481040845,-49.91133520527242,-23.72054320047591,-0.02682121010645966,-0.03734292128985483,-0.01713110200813961,-3.4968983189647536,-4.86869899476595,-2.2335204704223743,0.8667609759682641,0.8355449833425767,0.9316794942437884,-0.15372060778681665,-0.19682365394562623,-0.0733304813278786,-0.4001219178382211,-0.512315551092977,-0.1908731252585315,-122.73678461295128,-157.15200953772302,-58.550038422862436,0.854455175965804,-0.17033640631842906,-0.4433714552333786,0.8206667153321684,-0.2185214549553721,-0.5687931169697115,0.9251096063756548,-0.08095299530803365,-0.2107138932362253,-136.00351387526953,-174.47641624837777,-64.63616356939426,-0.04324953739515747,-0.05647756587673447,-0.01984076797769377,-13.266729262318242,-17.324406710654745,-6.086125146531831,0.4261
25025091900,25025091900,Census Tract 919; Suffolk County; Massachusetts,3096,1573,667,Boston city,Massachusetts,36575,0.5499539526032,0.20731704488727573,25025,3096,1573,667,0.007762,0.00798440667,0.00293016251099999,0.8322019178553328,0.7569857691590207,0.8719245291060573,-0.20163145331015284,-0.32102879702871806,-0.14688825307535772,-4.845436102477186,-7.714691817774272,-3.529893936668389,-156.50633405934065,-249.18255225369097,-114.01466203709266,0.8170555484595124,0.7362011417341683,0.8600561090254575,-0.22390699369879255,-0.3583244351461298,-0.162714838608745,-5.380742999438726,-8.610948966310788,-3.91022501926222,-173.79660850900277,-278.131426560426,-156.50633405934065,-0.53530689696154,-0.8962571485365158,-0.38033108259383086,-17.290274449662146,-28.948874306735007,-12.284595691015207,0.8920702980738988,0.858072387878571,0.9270457145805964,-0.12098788868897004,-0.1654028426113552,-0.07869545619161716,-0.557650798409858,-0.7623657891791212,-0.3627188179909457,-35.451417572146084,-48.46572086326264,-23.059047551871945,0.881939892837139,0.8450381570386345,0.9200496526726542,-0.1338641194504422,-0.18337851571627997,-0.08689786153942662,-0.6169992211524323,-0.8452182843134526,-0.4005248987536744,-39.22436243817116,-53.732885207466786,-25.46248561688966,-0.05934842274257435,-0.08285249513433135,-0.03780608076272868,-3.77294486602507,-5.267164344204154,-2.4034380650177165,0.858072387878571,0.8250344208591285,0.9270457145805964,-0.1654028426113552,-0.21207064180264815,-0.07869545619161716,-0.8808692543753042,-1.1294032506958034,-0.41910046238513227,-132.06435597830648,-169.3258246920245,-62.833652531504086,0.8450381570386345,-0.18337851571627997,-0.9766004855611836,0.8093181399261153,-0.23560803924559565,-1.2547539968387895,0.9200496526726542,-0.08689786153942662,-0.4627831861445176,-146.41686440197654,-188.11904000581555,-69.38278652841345,-0.09573123118587944,-0.12535074614298636,-0.04368272375938537,-14.352508423670082,-18.79321531379106,-6.54913399690935,0.911
25025000401,25025000401,Census Tract 4.01; Suffolk County; Massachusetts,3610,940,677,Boston city,Massachusetts,35950,0.583566621441047,0.2250955572934108,25025,3610,940,677,0.007762,0.00798440667,0.00293016251099999,0.8208609588599414,0.7414045885409799,0.8630431746805693,-0.21823311147463656,-0.3487912206854742,-0.15869058389821725,-6.115070734670726,-9.77341601240795,-4.4466402871068444,-169.3925411266129,-270.73174549606506,-123.17563122179624,0.8048159238977964,0.7195497000751694,0.8504245219332509,-0.2425201469137308,-0.3897580666012824,-0.17588330793510343,-6.795613383043206,-10.921340627782548,-4.928394512654106,-188.24413803443784,-302.5302112959154,-169.3925411266129,-0.6805426483724801,-1.1479246153745972,-0.4817542255472614,-18.851596907824938,-31.79846579985034,-13.344992397431062,0.8844917136796043,0.8483166684781047,0.9218144794561564,-0.13059284166706964,-0.17880508206212414,-0.0848169802995183,-0.35969875392633777,-0.49249227134063184,-0.2336158838116816,-38.26582488578061,-52.39279482347147,-24.85275359698741,0.8737016290202868,0.8344759037286864,0.9143403340437626,-0.14455549444418012,-0.19835695138913265,-0.09368466288411328,-0.398156825144641,-0.5463450165912846,-0.2580406098163797,-42.357109057940534,-58.12181027566857,-27.451128703870182,-0.03845807121830325,-0.05385274525065281,-0.02442472600469811,-4.09128417215992,-5.729015452197108,-2.5983751068827776,0.8483166684781047,0.8132654557318291,0.9218144794561564,-0.17880508206212414,-0.22961081520440957,-0.0848169802995183,-0.9665207356262304,-1.2411482462338463,-0.45847337920855985,-142.76524898467213,-183.3306124422225,-67.72132632327325,0.8344759037286864,-0.19835695138913265,-1.0722072569871974,0.7966279837990174,-0.25529107731205636,-1.3799614473862247,0.9143403340437626,-0.09368466288411328,-0.5064071347602326,-158.3762565712256,-203.8347780481868,-74.80164472086153,-0.10568652136096712,-0.13881320115237838,-0.04793375555167273,-15.611007586553493,-20.50416560596431,-7.080318397588291,0.4669
25021401000,25021401000,Census Tract 4010; Norfolk County; Massachusetts,2282,1592,509,Boston city,Massachusetts,42152,0.7040830004610678,0.23048570238593272,25021,2282,1592,509,0.01087099999999999,0.00798440667,0.00293016251099999,0.7814542052656505,0.6881291123694787,0.8319367235402896,-0.27966551752070523,-0.4532156568069565,-0.2020144942568716,-6.937836445088032,-11.243202698548703,-5.011499212045642,-304.02438409675864,-492.6907405148424,-219.6099567066451,0.7624193075377077,0.6628830663525312,0.8167691485701826,-0.3116142129579294,-0.5085616917361182,-0.2243361563675332,-7.730407604887814,-12.616206212270145,-5.565246568098656,-338.75581090656505,-552.8574150863341,-304.02438409675864,-0.792571159799782,-1.3730035137214394,-0.5537473560530142,-34.7314268098064,-60.16667457149164,-24.265878880500185,0.8578445165352052,0.8142409567487976,0.903299657689688,-0.16571241142736948,-0.22813768051281055,-0.10705234025842134,-0.7730183585504425,-1.0642209222259311,-0.4993797605909472,-48.5564295571886,-66.84804787851328,-31.368075414004217,0.8447913093736834,0.7976791458668545,0.8941595723635325,-0.18372429842038288,-0.25363688543377827,-0.11836861216695298,-0.8570405461331623,-1.1831700906229354,-0.5521681176023209,-53.834205159118234,-74.3197293104859,-34.68392698507041,-0.08402218758271973,-0.11894916839700408,-0.05278835701137369,-5.277775601929632,-7.471681431972619,-3.315851571066186,0.8142409567487976,0.7724316705565402,0.903299657689688,-0.22813768051281055,-0.29461289343495706,-0.10705234025842134,-0.92716590514409,-1.1973253580677257,-0.4350674545756104,-182.15440179648135,-235.23091514100705,-85.47494195984488,0.7976791458668545,-0.25363688543377827,-1.0307962802660815,0.7527418797503787,-0.32847663575144265,-1.3349497400893862,0.8941595723635325,-0.11836861216695298,-0.48105749648077134,-202.51400398154848,-262.2691041432979,-94.51031365044624,-0.10363037512199158,-0.1376243820216605,-0.04599004190516093,-20.359602185067107,-27.038189002290867,-9.03537169060136,0.3127
25025981600,25025981600,Census Tract 9816; Suffolk County; Massachusetts,0,0,0,Boston city,Massachusetts,47038,0.5786364564632592,0.2412344474656764,25025,0,0,0,0.007762,0.00798440667,0.00293016251099999,0.8225146803686453,0.743669740573915,0.8643401708766356,-0.21578377124139236,-0.34468292232552894,-0.15695189659619171,-0,-0,-0,NA,NA,NA,0.8065996400230152,0.7219682878087893,0.8518304634547239,-0.23977243527094355,-0.38510238868669866,-0.1739425189659838,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8855992662317383,0.8497406248008403,0.9225799236858162,-0.12917889403301058,-0.17682969463108464,-0.0839169315595785,-0,-0,-0,NA,NA,NA,0.8749051497750849,0.8360168290197967,0.9151755304510532,-0.1429810422959262,-0.19614816985498773,-0.09268655763462136,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8497406248008403,0.8149811141081542,0.9225799236858162,-0.17682969463108464,-0.2270222986630981,-0.0839169315595785,-0,-0,-0,NA,NA,NA,0.8360168290197967,-0.19614816985498773,-0,0.798476794773797,-0.2523845483616004,-0,0.9151755304510532,-0.09268655763462136,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
