geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48061013308,48061013308,Census Tract 133.08; Cameron County; Texas,2043,1198,363,Brownsville city,Texas,53179,0.7081763420366285,0.20051359226939852,48061,2043,1198,363,0.011033,0.006897320142,0.003436016044,0.7801494984224293,0.6863884437675757,0.8309001116873869,-0.28180560523609766,-0.45690098526574147,-0.20351409987080893,-6.352016418570235,-10.29873964940264,-4.587293083495879,-310.91612425698656,-504.0988570436926,-224.5371063874635,0.7610192054462296,0.6610388120730811,0.8156497343563724,-0.31402728451989875,-0.5127704784291017,-0.2260164601035492,-7.0783065705107315,-11.558061434622417,-5.094505711630783,-346.4663030108043,-565.7396688508279,-310.91612425698656,-0.7262901519404963,-1.2593217852197751,-0.5072126281349032,-35.55017875381773,-61.64081180713535,-24.826854044782337,0.8569536793787251,0.81310792634229,0.9026773738504792,-0.16692421546632566,-0.22984903676739585,-0.1078155152315157,-0.6871180304043407,-0.9461384436808,-0.44380609647288194,-57.35542824744079,-78.97649780307181,-37.04558401276143,0.8438263493792427,0.7964582480577618,0.8934820097578088,-0.1850779496701493,-0.2555585963716163,-0.1192167151424397,-0.7618451037397943,-1.0519679179033627,-0.49073739403899586,-63.59308044572574,-87.8103437314994,-40.963054594240056,-0.07472707333545359,-0.1058294742225626,-0.04693129756611391,-6.23765219828494,-8.833845928427596,-3.917470581478624,0.81310792634229,0.7710813479948883,0.9026773738504792,-0.22984903676739585,-0.29688002776930006,-0.1078155152315157,-0.575479287902166,-0.7433066040905286,-0.2699406393119981,-158.53423909150578,-204.76765952907127,-74.3638124826441,0.7964582480577618,-0.2555585963716163,-0.6398490118801166,0.7512945141905314,-0.33103594011654913,-0.8288236912695162,0.8934820097578088,-0.1192167151424397,-0.29848613377325434,-176.2669454215197,-228.326085749178,-82.22758506150257,-0.0643697239779506,-0.08551708717898754,-0.02854549446125626,-17.73270633001394,-23.55842622010676,-7.863772578858473,0.9276
48061013802,48061013802,Census Tract 138.02; Cameron County; Texas,1793,873,364,Brownsville city,Texas,44213,0.5763150217906009,0.2457278678496668,48061,1793,873,364,0.011033,0.006897320142,0.003436016044,0.8232945107340855,0.7447387131653628,0.8649515538158405,-0.21463217228104203,-0.3427528102436091,-0.15613411593791185,-4.245889904900689,-6.7803940174640065,-3.0886714681493657,-236.8036756776736,-378.1591755417739,-172.26277011429815,0.8074408952476346,0.723109925937537,0.852493274636661,-0.23848074315496404,-0.3829156040189401,-0.1730297818785813,-4.7176663643370915,-7.574901191439752,-3.422904387155233,-263.1158039228718,-422.4707859140966,-236.8036756776736,-0.4717764594364029,-0.7945071739757452,-0.3342329190058675,-26.312128245198153,-44.311610372322654,-18.64098823234063,0.8861212524378428,0.8504119412948826,0.9229405634930992,-0.12851373020211504,-0.1759007034606624,-0.08349339010006238,-0.3854951835149628,-0.5276391390580235,-0.2504502802018909,-44.15752388487547,-60.439763924172226,-28.68846279517651,0.8754724177067778,0.8367433794962433,0.915569058085267,-0.14224044044632633,-0.19510954553598547,-0.0922169017936274,-0.4266704001733449,-0.5852587886416969,-0.2766176923213348,-48.87404354792038,-67.03995287991945,-31.685875409087604,-0.04117521665838208,-0.05761964958367338,-0.0261674121194439,-4.716519663044912,-6.600188955747237,-2.9974126139110995,0.8504119412948826,0.8157902078612859,0.9229405634930992,-0.1759007034606624,-0.2258053484383531,-0.08349339010006238,-0.4416206212495152,-0.5669124471756858,-0.2096205534190126,-121.32434649711958,-155.7451777955181,-57.58806412610237,0.8367433794962433,-0.19510954553598547,-0.489846811389142,0.7993488175706382,-0.25101830142086906,-0.6302127054498866,0.915569058085267,-0.0922169017936274,-0.23152201587934404,-134.57329983218187,-173.13535864007875,-63.60494941740221,-0.04822619013962676,-0.06330025827420083,-0.02190146246033145,-13.248953335062296,-17.390180844560668,-6.016885291299849,0.9893
48061013207,48061013207,Census Tract 132.07; Cameron County; Texas,2474,1804,600,Brownsville city,Texas,110931,0.6928432459142929,0.22714711081559397,48061,2474,1804,600,0.011033,0.006897320142,0.003436016044,0.7850479836799895,0.6929314850685351,0.8347897733009769,-0.2738074879351983,-0.4431441225406203,-0.1979063855151683,-7.473751167598492,-12.095903323272902,-5.4019818485360185,-302.09180143890427,-488.9209103990664,-218.35011513888512,0.7662770572516147,0.667973640196767,0.8198508137186904,-0.3050110146670359,-0.4970650633839788,-0.21973410682388236,-8.32547146240816,-13.567710020836394,-5.99778351505445,-336.5186524821407,-548.4118844315439,-302.09180143890427,-0.8517202948096685,-1.4718066975634922,-0.5958016665184314,-34.4268510432364,-59.49097403247746,-24.08252491990426,0.8602953986215371,0.8173602290501375,0.9050105708500612,-0.1623914315969996,-0.22345076804398717,-0.10495946921450536,-1.0065951341332562,-1.3850758849740454,-0.6505989260241392,-55.79795643754191,-76.77804240432624,-36.06424201907645,0.8474466359524631,0.8010411972901423,0.8960227100070187,-0.1800153042982807,-0.24837524384877985,-0.11604314135315476,-1.11583799461692,-1.539572066325463,-0.7193018762560218,-61.85354737344346,-85.34213227968199,-39.87260954855997,-0.10924286048366394,-0.15449618135141763,-0.06870295023188266,-6.055590935901549,-8.564089875355744,-3.808367529483518,0.8173602290501375,0.7761516446817629,0.9050105708500612,-0.22345076804398717,-0.28840801517597664,-0.10495946921450536,-0.9247268899050974,-1.1935454473125031,-0.434363436664102,-154.12114831751623,-198.9242412187505,-72.39390611068366,0.8010411972901423,-0.24837524384877985,-1.0278741433034104,0.7567305030758262,-0.32147441650016,-1.3303871808385503,0.8960227100070187,-0.11604314135315476,-0.48023201771764046,-171.31235721723507,-221.73119680642503,-80.03866961960674,-0.103147253398313,-0.13684173352604723,-0.04586858105353847,-17.19120889971883,-22.806955587674537,-7.644763508923078,0.9096
48061980100,48061980100,Census Tract 9801; Cameron County; Texas,0,0,0,Brownsville city,Texas,122139,0.7073415077733586,0.21735951042190987,48061,0,0,0,0.011033,0.006897320142,0.003436016044,0.7804154155578874,0.6867430941622008,0.831111423074035,-0.2813688454438595,-0.4561486071002434,-0.2032081045177989,-0,-0,-0,NA,NA,NA,0.7613045464554922,0.6614145295063719,0.8158779135225395,-0.31353478007695385,-0.5119111470779479,-0.22567357618803097,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8571352898900217,0.8133388790744682,0.9028042534117188,-0.16667696662951434,-0.2294998133348072,-0.10765982351210278,-0,-0,-0,NA,NA,NA,0.8440230628054375,0.7967070975598796,0.8936201565042324,-0.18480174780546016,-0.25516642573256504,-0.11904369291748818,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8133388790744682,0.7713565536160947,0.9028042534117188,-0.2294998133348072,-0.29641732518124364,-0.10765982351210278,-0,-0,-0,NA,NA,NA,0.7967070975598796,-0.25516642573256504,-0,0.7515894773350762,-0.3305135717781964,-0,0.8936201565042324,-0.11904369291748818,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
48061012607,48061012607,Census Tract 126.07; Cameron County; Texas,1643,926,289,Brownsville city,Texas,96907,0.599126504667481,0.2559885684525365,48061,1643,926,289,0.011033,0.006897320142,0.003436016044,0.8156634935851933,0.7343007891508639,0.8589625306617291,-0.2259957787304764,-0.3618397457483155,-0.16419513576409228,-4.096674974122888,-6.559148314084034,-2.9764011847304332,-249.34114267333467,-399.2177914841165,-181.15649328852305,0.7992122420993755,0.7119695083703874,0.8460024905779957,-0.2512320849505434,-0.40455453252328144,-0.18202961709579835,-4.554139023725104,-7.333448608492145,-3.2996907335816807,-277.1843593259345,-446.3450157329363,-249.34114267333467,-0.45746404960221554,-0.7743002944081114,-0.3232895488512475,-27.84321665259985,-47.12722424881993,-19.676783253271303,0.88100529041156594,0.8438382114803137,0.919402856158749,-0.13506696371011018,-0.18506129065397212,-0.08766249017104938,-0.42974942750245376,-0.5888189200884262,-0.2789202032060488,-46.40922543223043,-63.58735638103954,-30.120972268471792,0.8699140956314538,0.8296312576058799,0.9117094018781344,-0.14953879356802388,-0.2053547775981394,-0.09684072352438788,-0.4757951845515241,-0.6533877395593536,-0.30812305504142995,-51.3817693900134,-70.56023105392588,-33.274627974236495,-0.04604575704907032,-0.06456881947092741,-0.02920285183538112,-4.972543957782973,-6.97287467288633,-3.153655705764701,0.8438382114803137,0.8078743907773234,0.919402856158749,-0.18506129065397212,-0.23781618951656153,-0.08766249017104938,-0.3688873936167937,-0.4740450798793717,-0.17473987889569553,-127.64269675321582,-164.02943940462688,-60.463625915465585,0.8296312576058799,-0.2053547775981394,-0.40933891905345376,0.7908210586760571,-0.26450856237204545,-0.5272516679092698,0.9117094018781344,-0.09684072352438788,-0.19303508567694735,-141.6397643783577,-182.44002349801724,-66.79414729306136,-0.04045152543666008,-0.05320658802989808,-0.01829520678125182,-13.9970676251419,-18.41058409339034,-6.330521377595787,0.8759
48061014502,48061014502,Census Tract 145.02; Cameron County; Texas,3218,1998,541,Brownsville city,Texas,19138,0.5740094213954865,0.1969386537944896,48061,3218,1998,541,0.011033,0.006897320142,0.003436016044,0.824069753765421,0.7458019152818846,0.8655591946129267,-0.2134895079338868,-0.34083860541178457,-0.15532248542191784,-7.579772906649255,-12.101199969229448,-5.514599654981943,-235.54297410345728,-376.0472333508219,-171.36729816600197,0.8082772807942736,0.7242455638863196,0.8531520753180135,-0.23719919359520447,-0.3807471524353913,-0.17212397288871242,-8.421566186047697,-13.518120765013704,-6.111122925491586,-261.7018702935891,-420.0783332819672,-235.54297410345728,-0.8417932793984413,-1.4169207957842571,-0.5965232705096435,-26.1588961901318,-44.03109993114535,-18.537081122114465,0.8866399827532041,0.8510792037472193,0.9232988829479158,-0.1278534912161181,-0.1749787747099175,-0.08307290138507721,-0.8777346809057898,-1.2012572947709503,-0.5703087643175487,-43.93066470999949,-60.12298772627379,-28.54398219807551,0.8760361804077972,0.8374655992139867,0.9159600689964542,-0.14150536514884274,-0.19407889821213187,-0.09175064923476606,-0.9714569805170772,-1.3323826997013386,-0.6298828922305089,-48.621470496350206,-66.6858208058728,-31.525670281807248,-0.09372229961128742,-0.13112540493038827,-0.05957412791296013,-4.6908057863507215,-6.562833079599013,-2.981688083731738,0.8510792037472193,0.816594577913008,0.9232988829479158,-0.1749787747099175,-0.2245978935541379,-0.08307290138507721,-0.652924583330994,-0.8380758541083944,-0.30998239422392093,-120.6884627229194,-154.9123575061727,-57.29803959776727,0.8374655992139867,-0.19407889821213187,-0.7241957429326563,0.8002158350047849,-0.2496628487663213,-0.9316044861682308,0.9159600689964542,-0.09175064923476606,-0.34236297814561406,-133.86242937757046,-172.20045955050475,-63.283360100852875,-0.0712711596016623,-0.0935286320598364,-0.03238058392169313,-13.173966654651071,-17.288102044332053,-5.985320503085606,0.5902
48061013204,48061013204,Census Tract 132.04; Cameron County; Texas,1055,738,249,Brownsville city,Texas,42489,0.664236346483946,0.20417586221739584,48061,1055,738,249,0.011033,0.006897320142,0.003436016044,0.7942694398160454,0.7053060073879176,0.8420954421178798,-0.25901860234179763,-0.4178243053727472,-0.18751384936247656,-3.0149286128170907,-4.863397617042283,-2.182626516517095,-285.7752239637053,-460.985556117752,-206.88403000162037,0.7761839146325992,0.6811069960857761,0.8277466816621322,-0.2883544494391416,-0.46819810359731456,-0.20809907445594303,-3.3563924458984618,-5.449739309223576,-2.4222347283384025,-318.1414640662049,-516.5629676989171,-285.7752239637053,-0.34146383308137107,-0.5863416921812927,-0.23960821182130765,-32.366240102499624,-55.577411581165194,-22.711678845621577,0.8665649063945171,0.8253532723702203,0.9093797414083712,-0.15398164940773,-0.21160239315249268,-0.0996506238980911,-0.3904635623707489,-0.5365770827517212,-0.25269204317123667,-52.908341784654326,-72.70692178207605,-34.240114250845075,0.854242563897474,0.8096622019681015,0.9007822142481005,-0.17062769084873156,-0.23508297357741464,-0.1101462530926175,-0.4326742586805022,-0.5961186652358198,-0.2793066480957861,-58.62794833069136,-80.77488688832247,-37.846429281271824,-0.04221069630975327,-0.05954158248409857,-0.02661460492454942,-5.719606546037029,-8.06796510624642,-3.606315030426751,0.8253532723702203,0.7857005737686756,0.9093797414083712,-0.21160239315249268,-0.2727494842003488,-0.0996506238980911,-0.36341287264813654,-0.4684288872626989,-0.17114324158841737,-145.9489448386091,-188.1240511095176,-68.73222553751702,0.8096622019681015,-0.23508297357741464,-0.4037391896454921,0.7669777713006452,-0.3038187512321178,-0.5217882629052527,0.9007822142481005,-0.1101462530926175,-0.1891687785353635,-162.14425286967554,-209.5535192390573,-75.97139700215402,-0.04032631699735556,-0.05335937564255383,-0.01802553694694617,-16.195308031066492,-21.42946812953969,-7.239171464637017,0.8875
48061012900,48061012900,Census Tract 129; Cameron County; Texas,3142,1905,936,Brownsville city,Texas,0,NA,NA,48061,3142,1905,936,0.011033,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9929
48061013801,48061013801,Census Tract 138.01; Cameron County; Texas,1088,671,242,Brownsville city,Texas,39522,0.5228213669589789,0.24523547823691969,48061,1088,671,242,0.011033,0.006897320142,0.003436016044,0.8414706743208364,0.7698016245262709,0.8791602948539151,-0.18839554427385713,-0.2990359699687451,-0.1374490020231909,-2.2614820274911303,-3.589599076051699,-1.6499246251821893,-207.85680399734653,-329.9263856665164,-151.6474839321865,0.8270711723526912,0.749923055341024,0.8679103603013458,-0.20908578781121637,-0.3334701378733511,-0.15219272143818116,-2.5098457246502113,-4.00294352189847,-1.8269068176426684,-230.68434969211495,-367.9176031156682,-207.85680399734653,-0.24836369715908105,-0.41334444584677144,-0.17698219246047908,-22.82754569476848,-37.99121744915178,-16.266745630558738,0.8982351686185361,0.8660291047667811,0.931290081787574,-0.11329419614907274,-0.15469560375721653,-0.0737792869870792,-0.26120733336805924,-0.356661042795308,-0.17010307206146713,-38.92806756602969,-53.15365764460626,-25.350681380248457,0.8886465527367045,0.8536615809380047,0.9246842821687744,-0.12530679033229566,-0.17142439384609345,-0.08145019795792204,-0.28890317128462495,-0.39523038525165,-0.18778886945713583,-43.0556142003912,-58.9016967588152,-27.986418697039618,-0.02769583791656571,-0.03856934245634197,-0.01768579739566869,-4.127546634361507,-5.748039114208937,-2.6357373167911615,0.8660291047667811,0.8346585941078016,0.931290081787574,-0.15469560375721653,-0.19809465458022163,-0.0737792869870792,-0.2582103950889871,-0.3306499847562042,-0.1231488056520079,-106.69851036735002,-136.6322251058695,-50.887936219837975,0.8536615809380047,-0.17142439384609345,-0.2861332797301619,0.8197090999850866,-0.2199449780637955,-0.3671214844141419,0.9246842821687744,-0.08145019795792204,-0.13595271800870523,-118.23689245048013,-151.7030927331165,-56.17880909450629,-0.02792288464117481,-0.03647149965793767,-0.01280391235669732,-11.53838208313009,-15.070867627246969,-5.290872874668316,0.9998
48061013901,48061013901,Census Tract 139.01; Cameron County; Texas,1110,826,293,Brownsville city,Texas,47048,0.5823767687664541,0.23647364983820493,48061,1110,826,293,0.011033,0.006897320142,0.003436016044,0.8212597655997024,0.7419506309645592,0.8633560152109975,-0.2176415330291719,-0.3477985707754821,-0.15827072769697192,-2.6653753276410477,-4.259360410816142,-1.9382830419355672,-240.12390339108535,-383.7261631365894,-174.62009386806912,0.8052460469140248,0.7201326625318588,0.8507636211770618,-0.2418564534806948,-0.3886330283703245,-0.17541462176822312,-2.961926498890281,-4.759444904230866,-2.148237969385374,-266.8402251252506,-428.778820200979,-240.12390339108535,-0.29655117124923347,-0.5000844934147244,-0.20995492744980693,-26.716321734165177,-45.052657064389585,-18.91485832881143,0.884758885036831,0.8486601094171231,0.9219991546409134,-0.13025143563081792,-0.1783280360459268,-0.08459969292430121,-0.36967301465233854,-0.506121582175721,-0.24010655522163743,-44.75460225815237,-61.27379929488148,-29.06859022053722,0.8739919366950266,0.8348475325074179,0.914541831667983,-0.14417531560012894,-0.19782350796025697,-0.09344369538149452,-0.4091910641769662,-0.5614526412134706,-0.26520715418324914,-49.538869755080654,-67.97247472318045,-32.10740365414638,-0.03951804952462767,-0.0553310590377496,-0.02510059896161168,-4.78426749692829,-6.698675428298983,-3.038813433609162,0.8486601094171231,0.8136791841080294,0.9219991546409134,-0.1783280360459268,-0.22898559964541676,-0.08459969292430121,-0.36038576758654167,-0.4627603876780483,-0.17096877164204266,-122.99855549028726,-157.9386988662281,-58.351116601379744,0.8348475325074179,-0.19782350796025697,-0.3997844553425056,0.7970737860647424,-0.2545889947493203,-0.5145026678148935,0.914541831667983,-0.09344369538149452,-0.18884174711322443,-136.44520660153773,-175.5981801416019,-64.45110822976943,-0.03939868775596389,-0.05174228013684523,-0.01787297547118177,-13.446651111250477,-17.659481275373796,-6.099991628389684,0.9831
48061012608,48061012608,Census Tract 126.08; Cameron County; Texas,4121,2128,810,Brownsville city,Texas,103160,0.6107120677284223,0.2217947145167976,48061,4121,2128,810,0.011033,0.006897320142,0.003436016044,0.8118149553405688,0.7290556927915727,0.8559367049764268,-0.2318078072120323,-0.37163732467539584,-0.16831068721085024,-10.539603947854822,-16.89723163955495,-7.652580837240917,-255.75355369703524,-410.0274603143642,-185.69718119973103,0.7950652139767853,0.7063773677120647,0.8427248794070237,-0.25775846109297706,-0.4156738957237125,-0.186626886705471,-11.71950214620516,-18.89944210715276,-8.485363351449442,-284.3849101238815,-458.6130091519719,-255.75355369703524,-1.1798981983503367,-2.0022104675978127,-0.8327825142085246,-28.631356426846317,-48.58554883760769,-20.208262902415058,0.8784183012984579,0.8405190088633382,0.9176113106534906,-0.13840979692912,-0.1897410878932212,-0.08978604381830813,-1.012030586001067,-1.387356882456756,-0.6565013789211227,-47.557828289523826,-65.19534222071222,-30.85062870869938,0.8671046455903647,0.8260423122596626,0.9097553829168932,-0.1532633403424497,-0.21059173986435523,-0.09919657391172658,-1.1206373506832117,-1.5398135582197965,-0.7253096894332758,-52.661529637368965,-72.35965969077989,-34.08410194705244,-0.10860676468214447,-0.15245667576304034,-0.06880831051215308,-5.103701347845135,-7.164317470067685,-3.2334732383530582,0.8405190088633382,0.8038835405874378,0.9176113106534906,-0.1897410878932212,-0.2439612823385463,-0.08978604381830813,-1.0600510721056349,-1.3629700438988614,-0.5016193016837941,-130.8705027290907,-168.26790665418042,-61.92830884985112,0.8260423122596626,-0.21059173986435523,-1.1765401057752458,0.7865248531179875,-0.2714156406320054,-1.5163528576378211,0.9097553829168932,-0.09919657391172658,-0.5541943270795823,-145.25186491052418,-187.20405649849647,-68.41905272587435,-0.11648903366961116,-0.1533828137389599,-0.05257502539578818,-14.381362181433476,-18.93614984431604,-6.490743876023232,0.8978
