geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
08001008309,08001008309,Census Tract 83.09; Adams County; Colorado,2329,1761,559,Denver city,Colorado,64482,0.4895129733597349,0.19734719138414264,08001,2329,1761,559,0.0085,0.007069502844,0.002896537907,0.8529904181767511,0.7858316267739189,0.8881251912979472,-0.1723461116216038,-0.27253722798776664,-0.1259673859026043,-3.4118497987170797,-5.395283233859823,-2.4937133550209065,-146.49419487836323,-231.65664378960167,-107.07227801721368,0.8395345388821096,0.7671184955686764,0.8776505062907449,-0.1911362233310374,-0.3035795718348377,-0.13940571199160634,-3.7838282451728817,-6.009812993828365,-2.759745177441835,-162.46578983138178,-258.04263605961205,-146.49419487836323,-0.371978446455802,-0.6145297599685415,-0.2660318224209286,-15.971594953018547,-26.38599227001037,-11.42257717565172,0.9058615456879004,0.8758978504966795,0.9365271140544108,-0.10392145991870308,-0.14168564226176397,-0.06777474457819235,-0.5300829209373413,-0.7227105851260482,-0.3457056376988473,-30.101244800530452,-41.03978336888406,-19.63121168079769,0.8969495295464068,0.8643682512536425,0.9304057613371852,-0.11488993199618094,-0.15691431117425134,-0.07479987931587329,-0.5860309390040386,-0.8003890290724094,-0.3815394678301933,-33.27830431595903,-45.45082504670127,-21.66606858774522,-0.05594801806669725,-0.07767844394636114,-0.035833830131346,-3.1770595154285775,-4.411041677817215,-2.03485690694753,0.8758978504966795,0.8466270245885494,0.9365271140544108,-0.14168564226176397,-0.1811576656036795,-0.06777474457819235,-0.5599207014662404,-0.7159082993984658,-0.2678357659967196,-100.1647050923507,-128.06946321976133,-47.91337495469045,0.8643682512536425,-0.15691431117425134,-0.620102148532865,0.832647801876294,-0.20098797804617213,-0.794274761065638,0.9304057613371852,-0.07479987931587329,-0.29559805939092243,-110.9306169110671,-142.08850824072235,-52.87979595544229,-0.06018144706662465,-0.0783664616671722,-0.02776229339420283,-10.765911818716395,-14.01904502096104,-4.966421000751848,0.8629
08031000904,08031000904,Census Tract 9.04; Denver County; Colorado,2797,1756,624,Denver city,Colorado,87356,0.5502812831374614,0.18294405647793924,08031,2797,1756,624,0.008855,0.007069502844,0.002896537907,0.8320907240901767,0.7568324669897034,0.8718376005703291,-0.20179202946099223,-0.3212963814534728,-0.14700260615719146,-4.99787097319321,-7.957687243384092,-3.640877492828839,-178.68684208770864,-284.50794577705017,-130.17080775219304,0.8169354622625989,0.7360371411635149,0.8599617896809384,-0.22408690305888088,-0.35862709104491264,-0.16284236346247238,-5.550057805862133,-8.882273166693956,-4.03318765230316,-198.42895265863905,-317.5642891202702,-178.68684208770864,-0.552186832668923,-0.9245859233098636,-0.3923101594743206,-19.74211057093039,-33.05634334322001,-14.026105093826262,0.8919961832790989,0.8579768447978591,0.9269946283299814,-0.12108103010470787,-0.1655326202137796,-0.07875490260557474,-0.6158569334156668,-0.8419519703206979,-0.4005726806930504,-35.07157935168945,-47.94715092942471,-22.811656075914033,0.88185929271508,0.8449346566690561,0.9199938820320304,-0.13396775229434485,-0.1835234738059512,-0.08696375001022456,-0.6814029335002901,-0.9334592189229234,-0.44232551005973936,-38.80426728361561,-53.15826987032594,-25.18937984394871,-0.0655460000846233,-0.09150724860222548,-0.04175282936668895,-3.732687931926157,-5.2111189409012235,-2.377723768034678,0.8579768447978591,0.8249189938208119,0.9269946283299814,-0.1655326202137796,-0.21224024115175,-0.07875490260557474,-0.7302255975306782,-0.9362701847825304,-0.3474169969602095,-117.02333293760869,-150.04329884335425,-55.67580079490537,0.8449346566690561,-0.1835234738059512,-0.8095899052874453,0.8091935897327099,-0.2357982226852743,-1.040193152471424,0.9199938820320304,-0.08696375001022456,-0.3836292582858451,-129.74197200119315,-166.69762058836923,-61.479047802218766,-0.07936430775676717,-0.10392296768889352,-0.0362122613256356,-12.718639063584485,-16.65432174501499,-5.803247007313397,0.9723
08031000202,08031000202,Census Tract 2.02; Denver County; Colorado,2739,1823,474,Denver city,Colorado,148258,0.478349989289276,0.22665946768539327,08031,2739,1823,474,0.008855,0.007069502844,0.002896537907,0.8568863251950667,0.7912782656826823,0.8911500955814423,-0.16701593968412795,-0.2637779190576417,-0.12214542191967916,-4.050778713628188,-6.397628763246587,-2.962496130699501,-147.8926145902953,-233.57534732554168,-108.1597711098759,0.8437533950128496,0.772969149196696,0.8809392165895368,-0.185180416352305,-0.2937126935004386,-0.13515209808844075,-4.491337115244271,-7.123662142692145,-3.277958038461838,-163.97725867996607,-260.08259009463836,-147.8926145902953,-0.4405584016160829,-0.7260333794455578,-0.3154619077623373,-16.084644089670785,-26.50724276909667,-11.517411747438382,0.9084319113238754,0.8792303616273385,0.9382888351185186,-0.10079796574151684,-0.13735835754026168,-0.06576990215777903,-0.5322524296543557,-0.7253055058830774,-0.34729064187045133,-29.196512871879083,-39.78636894586272,-19.050501473968804,0.8997495121451881,0.8679864478059434,0.9323311689774412,-0.11142044146908638,-0.15209172047300334,-0.07258025181843543,-0.5883432294373775,-0.8031033876185146,-0.3832519346109762,-32.27335323298834,-44.05394336909021,-21.02314506917039,-0.05609079978302178,-0.07779788173543722,-0.03596129274052484,-3.0768403611092587,-4.267574423227495,-1.9726435952015824,0.8792303616273385,0.8506764026032773,0.9382888351185186,-0.13735835754026168,-0.1755351352638396,-0.06576990215777903,-0.4602802118577952,-0.5882084693976087,-0.22039128190780577,-97.10552992780488,-124.09461379696388,-46.49605103540206,0.8679864478059434,-0.15209172047300334,-0.5096508911051236,0.8370296156678126,-0.19470085798835643,-0.6524317396377369,0.9323311689774412,-0.07258025181843543,-0.24321238461146744,-107.52128504327504,-137.6438269277926,-51.31062966486655,-0.04937067924732846,-0.0642232702401282,-0.02282110270366166,-10.41575511547014,-13.549213130828733,-4.814578629464487,0.6843
08031001402,08031001402,Census Tract 14.02; Denver County; Colorado,2599,1863,696,Denver city,Colorado,138132,0.5655842338289071,0.2569586956417427,08031,2599,1863,696,0.008855,0.007069502844,0.002896537907,0.8269088808157685,0.749700021099347,0.8677832844410547,-0.20932308649711476,-0.3338668425453924,-0.15236144545479122,-4.817391864492141,-7.683659925031829,-3.506468398106156,-185.3555930931951,-295.63908907394494,-134.91605995021763,0.8113409977433614,0.7284106306140177,0.8555638150421233,-0.2325273871052601,-0.3728520122736877,-0.16881988510788695,-5.3514190033115865,-8.5808702740084275,-3.8852453147562502,-205.90300128170784,-330.1604568683504,-185.3555930931951,-0.5340271388194457,-0.8972103489765981,-0.3787769166500947,-20.54740818851273,-34.52136779440547,-14.573948312816263,0.8885381247735294,0.8535219876355271,0.9246094470228966,-0.12544411108401224,-0.17161598000568704,-0.08153772732892751,-0.6769277995833485,-0.9260827528267738,-0.4399979709436719,-36.33536229647603,-49.70921915334266,-23.617711805886845,0.878099386326553,0.8401100591870948,0.9173903322590236,-0.1388232534626938,-0.19032023133685305,-0.09004854840529497,-0.74912499825972,-1.0270155713309483,-0.4859244902046248,-40.21068160277617,-55.126976453620415,-26.08290339262613,-0.07219719867637153,-0.10093281850417456,-0.04592651926095292,-3.875319306300136,-5.4177573002777555,-2.4651915867392873,0.8535219876355271,0.819540679130716,0.9246094470228966,-0.17161598000568704,-0.2201956845640616,-0.08153772732892751,-0.844414802473332,-1.0834451167104635,-0.40119611189062415,-121.32396587260516,-155.66740182621604,-57.643119524514965,0.8401100591870948,-0.19032023133685305,-0.936446714027808,0.8033921184305682,-0.24472219363255213,-1.2041247137371711,0.9173903322590236,-0.09004854840529497,-0.4430725344583159,-134.54694167066208,-173.00642438752462,-63.65984690493045,-0.092031911554476,-0.12067959702670784,-0.04187642256769175,-13.222975798056895,-17.339022561308596,-6.016727380415482,0.8059
08031003603,08031003603,Census Tract 36.03; Denver County; Colorado,2678,1647,634,Denver city,Colorado,148396,0.6491392650562299,0.20757154752021773,08031,2678,1647,634,0.008855,0.007069502844,0.002896537907,0.7991795814664474,0.7119254079111232,0.8459766940805842,-0.2512832199304429,-0.4046415381270393,-0.18206566090666348,-5.9588523796323445,-9.595543996267793,-4.317448642385736,-222.5112912484072,-358.3100820114933,-161.21914273285051,0.7814637145171502,0.6881418045991181,0.8319442771893707,-0.27964994589400566,-0.45318885339709464,-0.20200358055035428,-6.631532125447223,-10.746779980914148,-4.790250288061131,-247.63002708914203,-401.2987296831273,-222.5112912484072,-0.6726797458148788,-1.1512359846463571,-0.4728016456753945,-25.118735840734832,-42.98864767163395,-17.65502784448822,0.8698919908957615,0.8296030043951755,0.911694035970344,-0.1495680043797865,-0.2053958275248206,-0.09685920993841889,-0.7135288125115684,-0.979860910201611,-0.4620763467076712,-43.32293943603937,-59.493680036527685,-28.05563732287014,0.8578510072647662,0.8142492135924011,0.9033041909139052,-0.1657035913362997,-0.2281252266589016,-0.10704678452589074,-0.7905052102912926,-1.0882937347251032,-0.5106771689752058,-47.99667336316288,-66.07733665604755,-31.006506920170356,-0.0769763977797242,-0.10843282452349212,-0.04860082226753454,-4.67373392712351,-6.583656619519862,-2.950869597300215,0.8296030043951755,0.7907872190618094,0.911694035970344,-0.2053958275248206,-0.2645626736183228,-0.09685920993841889,-0.920597409251775,-1.1857870476376593,-0.43412925572067346,-145.2046386832453,-187.03265735609767,-68.47464601272452,0.8142492135924011,-0.2281252266589016,-1.02247204910616,0.7724415126645012,-0.2945963980503149,-1.3204001468201754,0.9033041909139052,-0.10704678452589074,-0.4797906252080964,-161.27319386532494,-208.26500738488568,-75.67675476468398,-0.10187463985438504,-0.13461309918251607,-0.04566136948742294,-16.06855518207966,-21.232350028788023,-7.2021087519594555,0.365
08031004103,08031004103,Census Tract 41.03; Denver County; Colorado,3964,3230,914,Denver city,Colorado,143320,0.6428700025770173,0.19132203609191265,08031,3964,3230,914,0.008855,0.007069502844,0.002896537907,0.801227491635734,0.7146924235035169,0.8475936872095886,-0.24808498265388387,-0.3992033035664035,-0.17981058034086697,-8.708085554830161,-14.012522983211111,-6.3115707388724465,-219.67925214001417,-353.4945253080503,-159.2222688918377,0.783666760812991,0.6910844100310308,0.8336936331096642,-0.27605259021395867,-0.4470012425184043,-0.19948139254706276,-9.68978270067001,-15.690288953911862,-7.00204024570081,-244.4445686344604,-395.819600250047,-219.67925214001417,-0.9816971458398492,-1.677765970700749,-0.6904695068283635,-24.76531649444625,-42.3250749419967,-17.418504208586363,0.8712773575573222,0.8313741853561026,0.9126568072024408,-0.14774014419881107,-0.20282782123150703,-0.09570212166092495,-1.3822298176257328,-1.897620067115833,-0.8953715788429596,-42.79349280575024,-58.749847279127955,-27.72048231711949,0.859353936439601,0.8161616587071289,0.9043535487860648,-0.16366488544069663,-0.22524746088181485,-0.10576223352285588,-1.5312187894578424,-2.107374122745955,-0.9894921488452404,-47.40615447237902,-65.24378088996764,-30.63443185279382,-0.14898897183210957,-0.20975405563012184,-0.0941205700022808,-4.61266166662878,-6.493933610839685,-2.913949535674328,0.8313741853561026,0.7929091804350223,0.9126568072024408,-0.20282782123150703,-0.26117848635749075,-0.09570212166092495,-1.3105771591611548,-1.687611475615649,-0.6183817090304911,-143.38918590384625,-184.6402052095896,-67.6566421258743,0.8161616587071289,-0.22524746088181485,-1.4554422346913007,0.7747218250223497,-0.29078588946574646,-1.878920468731872,0.9043535487860648,-0.10576223352285588,-0.6833853793593464,-159.2387565307769,-205.57116725731643,-74.76864106776219,-0.14486507553014594,-0.19130899311622307,-0.06500367032885535,-15.849570626930628,-20.930962047726815,-7.111998941887894,0.0966
08031004006,08031004006,Census Tract 40.06; Denver County; Colorado,3127,1913,871,Denver city,Colorado,145404,0.6530679279141498,0.24989878738226473,08031,3127,1913,871,0.008855,0.007069502844,0.002896537907,0.797898917602706,0.710196907256898,0.8449649703471316,-0.2532915861128229,-0.4080602010257307,-0.18348101411727916,-7.013538903455829,-11.299017621419058,-5.080513136286601,-224.28969950290465,-361.33730800828454,-162.4724380008507,0.7800863228129082,0.6863041964025471,0.8308499064219432,-0.2819094127866599,-0.45707982734445746,-0.20358682389037264,-7.805954647656305,-12.65635073103968,-5.637234664992505,-249.63078502258733,-404.7441871135172,-224.28969950290465,-0.7924157442004764,-1.3573331096206225,-0.5567215287059035,-25.341085519682647,-43.40687910523257,-17.803694554074305,0.8690249672828984,0.8284950092085108,0.9110912285569748,-0.1507149249423862,-0.20700787438096177,-0.0975849274543482,-0.8351230065801364,-1.1470465748822003,-0.5407255986341963,-43.65514932462814,-59.960615519194995,-28.26584415233645,0.8569105295835214,0.8130530555177287,0.902647226538,-0.16698297602437376,-0.22993203606279905,-0.10785251491370058,-0.925265530527132,-1.2740711202905828,-0.5976190915159181,-48.36725198782708,-66.60068584895885,-31.239889781281654,-0.09014252394699562,-0.12702454540838248,-0.05689349288172174,-4.712102663198935,-6.6400703297638515,-2.9740456289452033,0.8284950092085108,0.789460377249613,0.9110912285569748,-0.20700787438096177,-0.26668801730605174,-0.0975849274543482,-1.274658641056612,-1.642141327917899,-0.6008827992101119,-146.3442756666604,-188.5351696805854,-68.9876922170048,0.8130530555177287,-0.22993203606279905,-1.4158150142820942,0.7710159663106366,-0.2969900024056148,-1.8287269216487188,0.902647226538,-0.10785251491370058,-0.664105848656929,-162.55051828726684,-209.9571666646061,-76.24636609149587,-0.1411563732254821,-0.1865855937308201,-0.06322304944681711,-16.206242620606446,-21.421996984020673,-7.258673874491058,0.2935
08031005102,08031005102,Census Tract 51.02; Denver County; Colorado,2639,1638,629,Denver city,Colorado,126282,0.5773560944871166,0.23024644708295533,08031,2639,1638,629,0.008855,0.007069502844,0.002896537907,0.8229446959055392,0.7442591308495157,0.8646773190046313,-0.21514848443082243,-0.3436180471962439,-0.1565007870810636,-5.027664010406587,-8.02978507510811,-3.6571643852818374,-190.51398296349328,-304.27378079227395,-138.58144696028182,0.8070635167123685,0.7225977227789108,0.8521959659755647,-0.2390598500519168,-0.3838958641528469,-0.17343902098296643,-5.5864330516614595,-8.97101099759686,-4.052982878792199,-211.68749722097232,-339.93978770734594,-190.51398296349328,-0.5587690412548723,-0.9412259224887496,-0.3958184935103617,-21.173514257479056,-35.66600691507198,-14.998806120134963,0.8858871239920185,0.8501108165265303,0.9227788132069864,-0.12881198170457842,-0.17631722895363483,-0.08368331141527023,-0.6111521945525209,-0.8365422221324552,-0.3970379054966951,-37.31087878831019,-51.070953732140126,-24.239188369761607,0.875217974743516,0.8364174719555032,0.9153925554027544,-0.14257251205684107,-0.19557521635942016,-0.09242749910722166,-0.676439431125584,-0.9279123036261412,-0.4385249583841464,-41.29666856688547,-56.64910278547871,-26.77197548132762,-0.06528723657306312,-0.09137008149368608,-0.0414870528874513,-3.9857897785752825,-5.578149053338589,-2.5327871115660137,0.8501108165265303,0.8154272616520177,0.9227788132069864,-0.17631722895363483,-0.22635095370008415,-0.08368331141527023,-0.784032870314836,-1.0065186991717352,-0.3721160276606765,-124.64751515339204,-160.0188710924857,-59.15994080455906,0.8364174719555032,-0.19557521635942016,-0.869667695861098,0.7989576317211511,-0.25163082533645026,-1.1189311414377303,0.9153925554027544,-0.09242749910722166,-0.4109989582476536,-138.26195482688362,-177.89048353541023,-65.3416467802311,-0.085634825546262,-0.11241244226599512,-0.03888293058697711,-13.614439673491574,-17.8716124429245,-6.181705975672037,0.1388
08031006813,08031006813,Census Tract 68.13; Denver County; Colorado,3379,1586,770,Denver city,Colorado,59398,0.6123769748482448,0.2233648795412802,08031,3379,1586,770,0.008855,0.007069502844,0.002896537907,0.8112633941468036,0.7283050296661928,0.8555027545236485,-0.232645287849686,-0.37305106962989715,-0.1689033082737516,-6.960990126788409,-11.162077841694286,-5.053763487507794,-206.00740239089697,-330.3367221572739,-149.56387947640704,0.7944710349252417,0.7055773649754954,0.8422549138990031,-0.25869912940765444,-0.4172790251494673,-0.1872890065678056,-7.740548292467252,-12.485424489053342,-5.603882793520606,-229.078079090478,-369.5005767698533,-206.00740239089697,-0.7795581656788428,-1.323346647359056,-0.550119306012812,-23.070676699581025,-39.16385461257934,-16.28053583938479,0.8780471619709581,0.840043095890165,0.9173541430661634,-0.13889098821900817,-0.19041511666771585,-0.090091550311858,-0.6380525775348375,-0.8747497411412724,-0.41387239465780934,-40.23030123170476,-55.15446034938666,-26.09535905786944,0.8667016589737364,0.8255278391438076,0.9094749243534616,-0.15379956833600905,-0.2113461867465856,-0.09953553772897245,-0.7065412397080626,-0.9709051748784586,-0.4572572145871974,-44.548627976548715,-61.21722414113862,-28.830845812559737,-0.06848866217322513,-0.09615543373718628,-0.04338481992938808,-4.318326744843956,-6.062763791751972,-2.7354867546902955,0.840043095890165,0.8033116565565974,0.9173541430661634,-0.19041511666771585,-0.2448468683829498,-0.090091550311858,-1.036527960793717,-1.3328281369308732,-0.4904149027855379,-134.6140208823009,-173.09456323777573,-63.69024711500493,0.8255278391438076,-0.2113461867465856,-1.1504666005706277,0.785909386479411,-0.27241132019002506,-1.4828757041723062,0.9094749243534616,-0.09953553772897245,-0.5418234106316108,-149.41124682735423,-192.58126028211768,-70.366676705404,-0.11393863977691066,-0.15004756724143298,-0.05140850784607281,-14.79722594505333,-19.486697044341945,-6.676429590399067,0.6893
08059011602,08059011602,Census Tract 116.02; Jefferson County; Colorado,2643,1801,593,Denver city,Colorado,20948,0.5327779256598411,0.1838292579152836,08059,2643,1801,593,0.010662,0.007069502844,0.002896537907,0.8380574865948369,0.7650737162363299,0.8764981140335598,-0.19323556676662088,-0.30706359240695935,-0.14090376692095366,-5.4453137308040755,-8.65294947478825,-3.970621089974322,-206.02776128657115,-327.3912022243,-150.23159629112078,0.8233816634475027,0.7448582124494784,0.8650198719537336,-0.21450360676359428,-0.3425373893797636,-0.15604280597785605,-6.044639994393427,-9.652589225233683,-4.397234154158786,-228.7037455313442,-365.2133645567039,-206.02776128657115,-0.5993262635893517,-0.999639750445434,-0.4266130641844641,-22.675984244773048,-37.822162332403856,-16.141243442469317,0.8959679781921993,0.8631007786676627,0.9297303187617024,-0.11611131685499164,-0.158613252027954,-0.07558071391270642,-0.6057138160946105,-0.8274321639897757,-0.39427924759818384,-33.63208307021713,-45.94292970515134,-21.892240288627644,0.8861795772415003,0.8504869600695051,0.9229808556045704,-0.12843945593149403,-0.17579698096520627,-0.08344609092133405,-0.6700255849009112,-0.9170739173626812,-0.4353102827458474,-37.20297528600285,-50.92026193018774,-24.170476554461263,-0.06431176880630074,-0.08964175337290547,-0.04103103514766354,-3.570892215785716,-4.977332225036395,-2.2782362658336224,0.8631007786676627,0.8311139417188377,0.9297303187617024,-0.158613252027954,-0.2032044582622292,-0.07558071391270642,-0.6649408839304719,-0.851876815889797,-0.3168506166707551,-112.13168363077098,-143.65544955983088,-53.43180719574285,0.8504869600695051,-0.17579698096520627,-0.7369787733417829,0.8158806332513422,-0.22566949041911813,-0.946055064862938,0.9229808556045704,-0.08344609092133405,-0.34982396961380885,-124.27972569001398,-159.53711043219866,-58.99223770890536,-0.07203788941131095,-0.09417824897314098,-0.03297335294305376,-12.148042059242997,-15.881660872367789,-5.5604305131625225,0.6843
08005086802,08005086802,Census Tract 868.02; Arapahoe County; Colorado,2396,1253,498,Denver city,Colorado,26276,0.5759056679794443,0.20921040726309176,08005,2396,1253,498,0.009315,0.007069502844,0.002896537907,0.8234321000036795,0.7449273714215996,0.865059407825666,-0.2144292164411996,-0.3424127483617988,-0.15598997127088446,-4.785789930154859,-7.642221103372414,-3.48149961140234,-199.7408151149774,-318.9574750990156,-145.3046582388289,0.807589330276436,0.7233114256331646,0.852610205960644,-0.23825311022584003,-0.3825303521572754,-0.17286890657529788,-5.317509221321865,-8.53759547190667,-3.858216179938364,-221.93277217537,-356.3270230345021,-199.7408151149774,-0.5317192911670059,-0.8953743685342559,-0.3767165685360241,-22.191957060392564,-37.36954793548647,-15.722728236061108,0.8862133295959933,0.8505303739324022,0.9230041720969332,-0.1283964781435636,-0.17573696442671344,-0.08341872142153317,-0.4659972983833657,-0.6378130602412269,-0.30275673740493253,-37.1905266068129,-50.90287791230861,-24.162548875094373,0.8755724859242219,0.8368715623822288,0.915638468944138,-0.14210989504134203,-0.19492649165113424,-0.09213410523603588,-0.5157682525276394,-0.7074588010989749,-0.33438802021466246,-41.16266979470386,-56.46119721460294,-26.686992834370507,-0.04977095414427368,-0.069645740857748,-0.03163128280972993,-3.972143187890956,-5.558319302294334,-2.524443959276132,0.8505303739324022,0.815932963959496,0.9230041720969332,-0.17573696442671344,-0.2255908808332462,-0.08341872142153317,-0.6187017389656676,-0.7942180560682873,-0.2936849863895215,-124.23729698105775,-159.4815373631099,-58.97288883323725,0.8368715623822288,-0.19492649165113424,-0.6862606267751207,0.7995026858165921,-0.25077753676164943,-0.8828905096552021,0.915638468944138,-0.09213410523603588,-0.3243684748597844,-137.8033387098636,-177.28725093477954,-65.13423189955509,-0.06755888780945307,-0.08867245358691478,-0.03068348847026286,-13.566041728805835,-17.805713571669635,-6.161343066317844,0.6617
