geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
08069001602,08069001602,Census Tract 16.02; Larimer County; Colorado,3561,2222,862,Fort Collins city,Colorado,95865,0.6440887885378329,0.2055216720905074,08069,3561,2222,862,0.00915399999999999,0.007069502844,0.002896537907,0.800828953878961,0.7141536565865252,0.8472790912460424,-0.24870610029309967,-0.4002588809525228,-0.18024864573178617,-8.107170741457685,-13.047396444408475,-5.87563612288545,-227.6655642083034,-366.3969796239393,-164.99961030287702,0.7832379882980688,0.6905113644743294,0.8333532589815494,-0.2767511470848632,-0.4482020882614688,-0.19997130775262276,-9.021366181477235,-14.61022006268187,-6.518543507507498,-253.33800004148375,-410.2841915945485,-227.6655642083034,-0.9141954400195508,-1.5628236182733932,-0.6429073846220472,-25.67243583318031,-43.887211970609194,-18.05412481387383,0.8710078604865914,0.8310295602412738,0.9124695585457432,-0.14809526453796493,-0.20332662981286584,-0.09592697162824712,-0.9531570027258892,-1.3086319920587706,-0.6173962755865975,-42.89635475814083,-58.89432907555223,-27.785610962493134,0.859061551055126,0.8157895153595149,0.90414945128363855,-0.16406094391230638,-0.2258063889915333,-0.10601184193639732,-1.0559138271686364,-1.453314132622729,-0.6823035822839804,-47.52087431001963,-65.40567653567638,-30.70673187596671,-0.10275682444274714,-0.14468214056395845,-0.06490730669738287,-4.62451955187881,-6.511347460124143,-2.9211209134735765,0.8310295602412738,0.792496211755021,0.9124695585457432,-0.20332662981286584,-0.26183568472264596,-0.09592697162824712,-1.2390544778172177,-1.5956034775500072,-0.5845704709157767,-143.74181877229904,-185.1048117807433,-67.81559987422004,0.8157895153595149,-0.2258063889915333,-1.3760441397036909,0.7742779907511337,-0.2915257981566691,-1.7765323998027664,0.90414945128363855,-0.10601184193639732,-0.6460267775737879,-159.6338909169015,-206.09424591679425,-74.94510180670393,-0.1369896618864732,-0.18092892225275925,-0.06145630665801116,-15.892072144602462,-20.989434136050956,-7.129501932483893,0.1155
08069000600,08069000600,Census Tract 6; Larimer County; Colorado,2782,92,31,Fort Collins city,Colorado,0,NA,NA,08069,2782,92,31,0.00915399999999999,0.007069502844,0.002896537907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5179
08069001004,08069001004,Census Tract 10.04; Larimer County; Colorado,2272,1701,689,Fort Collins city,Colorado,74432,0.6799354943042815,0.2107584202852939,08069,2272,1701,689,0.00915399999999999,0.007069502844,0.002896537907,0.7891954772085945,0.6984878964129486,0.8380782921415139,-0.26711319169874964,-0.43166403474627474,-0.1932059443333545,-5.555390244273124,-8.97770024828113,-4.018275591179341,-244.51541568103536,-395.1452574067399,-176.8607214427527,0.7707313888777284,0.673867906805171,0.8234041488018934,-0.2974688904990784,-0.4839703596228994,-0.21447044134410187,-6.1867246680840955,-10.065561334756785,-4.460532218385199,-272.3030223628563,-443.0264671988021,-244.51541568103536,-0.6313344238109719,-1.0878610864756535,-0.44225662720585834,-27.787606681820947,-47.881209792062215,-19.46552056363813,0.8631186346885548,0.8209571502066833,0.9069793841966296,-0.15858928287516016,-0.21809037140152945,-0.1025608932509143,-0.7813711380056324,-1.0745336544855222,-0.5053186471460684,-45.93598694918474,-63.17070279162388,-29.707151507705376,0.8505063146592735,0.8049196667526339,0.898167129771145,-0.17577022388201322,-0.2423600034950043,-0.113378531515401,-0.8660218229898137,-1.1941103982859491,-0.5586172696507746,-50.9125116396128,-70.20049372639325,-32.840521437435314,-0.08465068498418127,-0.11957674380042692,-0.053298622504706183,-4.976524690428058,-7.029790934769367,-3.133369929729934,0.8209571502066833,0.7804457743571808,0.9069793841966296,-0.21809037140152945,-0.28131900108454877,-0.1025608932509143,-1.0622936551008968,-1.3702731945062967,-0.49956256877263766,-154.1790500872129,-198.8785478238457,-72.5054526520519,0.8049196667526339,-0.2423600034950043,-1.1805083017120703,0.7613371234267592,-0.3134785750352291,-1.5269188599660428,0.898167129771145,-0.113378531515401,-0.5522540673367062,-171.33647339797827,-221.61376777446196,-80.15298509966709,-0.11821464661117354,-0.15664566545974612,-0.05269149856406857,-17.157423310765388,-22.735219950616273,-7.647532447615177,0.1179
08069000506,08069000506,Census Tract 5.06; Larimer County; Colorado,2080,769,266,Fort Collins city,Colorado,0,NA,NA,08069,2080,769,266,0.00915399999999999,0.007069502844,0.002896537907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2746
08069000505,08069000505,Census Tract 5.05; Larimer County; Colorado,2483,811,343,Fort Collins city,Colorado,0,NA,NA,08069,2483,811,343,0.00915399999999999,0.007069502844,0.002896537907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3389
08069002506,08069002506,Census Tract 25.06; Larimer County; Colorado,2883,2515,848,Fort Collins city,Colorado,455398,0.66456783851524,0.23723180574784808,08069,2883,2515,848,0.00915399999999999,0.007069502844,0.002896537907,0.7941619652298593,0.7051613554745285,0.8420104201635017,-0.2591889863556532,-0.4181151480246162,-0.18763375850600503,-6.840251873510288,-11.03446934544498,-4.951839143324325,-237.26159810996492,-382.7426065017336,-171.759942536397,0.7760683852869142,0.6809533398561698,0.8276547515673046,-0.2885462402005949,-0.4685294005771657,-0.2082332616424064,-7.615018631301576,-12.364950977102769,-5.495480259806037,-264.1352282796245,-428.89181328833746,-237.26159810996492,-0.7747667577912871,-1.330481631657788,-0.5436411164817114,-26.87363016965963,-46.14920678660382,-18.85678517106179,0.8664919953579775,0.825260204139585,0.9093289915802892,-0.1540787512836351,-0.2117390308946236,-0.09971199561353145,-1.122431783547029,-1.5424749753849694,-0.726381231319187,-44.629494375627395,-61.33101293777214,-28.88195750772115,0.8541635025448474,0.8095617737674424,0.9007269173746868,-0.17073604411878454,-0.2352361887670644,-0.11021440650920096,-1.2437767110614288,-1.7136469027229542,-0.8028891189737916,-49.45434238812839,-68.13705378620097,-31.924020635140817,-0.12134492751439983,-0.1711719273379848,-0.07650788765460459,-4.824848012500988,-6.806040848428819,-3.0420631274196657,0.825260204139585,0.7855892523474831,0.9093289915802892,-0.2117390308946236,-0.2729298383497721,-0.09971199561353145,-1.269362449568853,-1.6361975716253956,-0.597767272612018,-149.68896810953456,-192.9478268426174,-70.49142365707759,0.8095617737674424,-0.2352361887670644,-1.4102264638644093,0.7668582365836799,-0.3040219851519839,-1.822593076792564,0.9007269173746868,-0.11021440650920096,-0.66072857910605,-166.3002905500483,-214.9284288670476,-77.91610602665685,-0.1408640142955564,-0.1863955051671682,-0.06296130649403198,-16.611322440513725,-21.98060202443021,-7.424682369579242,0.1714
08069000100,08069000100,Census Tract 1; Larimer County; Colorado,2345,898,444,Fort Collins city,Colorado,0,NA,NA,08069,2345,898,444,0.00915399999999999,0.007069502844,0.002896537907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5212
08069001106,08069001106,Census Tract 11.06; Larimer County; Colorado,3543,1857,701,Fort Collins city,Colorado,53047,0.6225926679849033,0.25697253730216785,08069,3543,1857,701,0.00915399999999999,0.007069502844,0.002896537907,0.8078872677647128,0.72371593170229,0.8528448930248544,-0.23779645985365092,-0.3817576153779672,-0.17254615485029,-7.712362695371635,-12.381400435174996,-5.596124217812922,-217.67887935003205,-349.46092111699113,-157.94875014995546,0.7908349243724266,0.7006884302612738,0.8393769877758979,-0.26448639176318367,-0.427167849235242,-0.1913597996648751,-8.577987168199249,-13.85417338479959,-6.20630004852662,-242.1108430200183,-391.02944918994046,-217.67887935003205,-0.8656244728276139,-1.472772949624595,-0.6101758307136977,-24.43196366998628,-41.568528072949334,-17.222010463271175,0.8757733209813264,0.837128838097347,0.9157777671911626,-0.1418479828541413,-0.19455925359450263,-0.09196798156299488,-0.7629819862473163,-1.046509106181449,-0.4946838991446522,-41.08680593685064,-56.354825319410295,-26.638874482749177,0.8642330728723246,0.8223780941741543,0.9077559522359988,-0.15709526907648505,-0.21598569694906156,-0.10161767327086572,-0.8449951703104799,-1.1617591786882058,-0.5465883450014275,-45.50324018904038,-62.5610758582771,-29.43394426502033,-0.0820131840631636,-0.11525007250675667,-0.05190444585677528,-4.416434252189747,-6.2062505388668106,-2.7950697822711517,0.837128838097347,0.7998115328299422,0.9157777671911626,-0.19455925359450263,-0.250294549344317,-0.09196798156299488,-0.9641814748256105,-1.2403900779275705,-0.4557677029587888,-137.54371966128537,-176.94580284273474,-65.01679072165318,0.8223780941741543,-0.21598569694906156,-1.0703649606901438,0.7821434781790816,-0.2785377976021906,-1.380355750369438,0.9077559522359988,-0.10161767327086572,-0.5035888875625226,-152.6911498844713,-196.91237523101827,-71.8386430189048,-0.1061834858645334,-0.13996567244186764,-0.0478211846037338,-15.147430223185935,-19.96657238828354,-6.8218522972516125,0.279
08069001114,08069001114,Census Tract 11.14; Larimer County; Colorado,1294,1114,651,Fort Collins city,Colorado,180176,0.6853568716589258,0.2180806207675361,08069,1294,1114,651,0.00915399999999999,0.007069502844,0.002896537907,0.7874508286254119,0.6961487449097309,0.8366955082851577,-0.2699205634790145,-0.43647461453036057,-0.19517792326809744,-3.1972835724844466,-5.170162276105731,-2.3119363702174356,-247.08528380868984,-399.548862141092,-178.66587095961634,0.7688573824875019,0.6713859505330694,0.8219098426045501,-0.30063133004547227,-0.4894562497264301,-0.21667845810326344,-3.561061078635711,-5.797744367934487,-2.5666161394875915,-275.1979195236252,-448.0482509995739,-247.08528380868984,-0.36377750615126425,-0.6275820918287565,-0.2546797692701559,-28.11263571493541,-48.49938885848195,-19.681589588110963,0.8619317221883381,0.8194444854575438,0.9061519428865225,-0.16018470402867127,-0.22033892197302604,-0.10356768293684512,-0.5168749090174528,-0.7109771244289771,-0.3341863195973361,-46.39810673406219,-63.822003988238514,-29.9987719566729,0.8492198775367148,0.8032883909817614,0.8972658288608272,-0.17755133440899284,-0.24488292277923,-0.11449691700574911,-0.5729125659972465,-0.7901743128281907,-0.3694521516207488,-51.42841705540812,-70.93126686069935,-33.16446603417853,-0.05603765697979368,-0.07919718839921364,-0.03526583202341271,-5.030310321345932,-7.109262872460829,-3.1656940775056297,0.8194444854575438,0.7786393132650697,0.9061519428865225,-0.22033892197302604,-0.2842916905989476,-0.10356768293684512,-1.0140539997314633,-1.3083803958048532,-0.4766439909236045,-155.76866355322016,-200.98009152148285,-73.2172029068517,0.8032883909817614,-0.24488292277923,-1.127011537891654,0.759398893608022,-0.3168309941154177,-1.4581342866920566,0.8972658288608272,-0.11449691700574911,-0.5269430185412954,-173.1200519034799,-223.9837613966293,-80.94362804013755,-0.11295753816019084,-0.14975389088720337,-0.05029902761769095,-17.35138835025973,-23.003669875146446,-7.7264251332858604,0.014
08069000801,08069000801,Census Tract 8.01; Larimer County; Colorado,1033,672,256,Fort Collins city,Colorado,8443,0.6944004499515509,0.19964596730508227,08069,1033,672,256,0.00915399999999999,0.007069502844,0.002896537907,0.7845491015883537,0.6922641489187176,0.8343939163740549,-0.27461748152595755,-0.44453529994576585,-0.19847470166801243,-2.5968054239429392,-4.203562248181757,-1.8767930538982625,-251.38484258886152,-406.927613570354,-181.68374190689855,0.7657414253716341,0.6672660440702655,0.8194231736926412,-0.30592386263375276,-0.4986526122325752,-0.22037066085598855,-2.892841130821502,-4.715299990785434,-2.0838430394484178,-280.04270385493726,-456.4666012376993,-251.38484258886152,-0.2960357068785626,-0.5117377426036773,-0.20704998555015552,-28.657861266075763,-49.53898766734534,-20.043561040673332,0.8599554254493887,0.8169273595648281,0.9047733403239476,-0.16285096925509582,-0.2240990441704554,-0.10524918831268532,-0.3169850917894595,-0.4362028449153927,-0.2048647531584692,-47.17040056390766,-64.91113763621915,-30.48582636286744,0.8470782581012406,0.8005745599315106,0.8957643514026911,-0.1805284699922998,-0.24910289440817393,-0.11636503331940454,-0.35139387805227446,-0.48487217613857847,-0.2265014505996301,-52.29075566254084,-72.15359763966941,-33.70557300589733,-0.03440878626281496,-0.04866933122318578,-0.02163669744116084,-5.120355098633179,-7.242460003450266,-3.219746643029887,0.8169273595648281,0.7756351962996965,0.9047733403239476,-0.2240990441704554,-0.2892658878435057,-0.10524918831268532,-0.4055728205057833,-0.5235113002961532,-0.1904792156429365,-158.4268830100716,-204.49660167818485,-74.40594361052206,0.8005745599315106,-0.24910289440817393,-0.4508246068396076,0.7561766433166077,-0.3224423272503863,-0.5835537790777817,0.8957643514026911,-0.11636503331940454,-0.2105965911023834,-176.1033620467217,-227.9506949522585,-82.26429339936851,-0.04525178633382432,-0.06004247878162849,-0.02011737545944694,-17.676479036650125,-23.45409327407363,-7.858349788846463,0.3763
08069000802,08069000802,Census Tract 8.02; Larimer County; Colorado,779,483,233,Fort Collins city,Colorado,24915,0.6314898116083095,0.251923688919853,08069,779,483,233,0.00915399999999999,0.007069502844,0.002896537907,0.8049583502109513,0.7197427182085557,0.8505368127061096,-0.24230030005643788,-0.3893853660499775,-0.17572806380755115,-1.7278352014922564,-2.776693806199943,-1.2531108482574778,-221.80169467166323,-356.44336408214934,-160.86146960943233,0.7876816911702643,0.6964581224161301,0.8368785312944497,-0.26954836098106183,-0.4358365102137543,-0.19491654117741636,-1.9221401975116783,-3.1079353358929342,-1.3899432279737558,-246.744569642064,-398.9647414496706,-221.80169467166323,-0.19430499601942183,-0.33124152969299114,-0.13683237971627804,-24.94287497040075,-42.521377367521325,-17.565132184374587,0.8737977648806393,0.8345989645535703,0.9144070628072944,-0.1444295696231266,-0.19818025479447277,-0.09360485135572914,-0.20206098435635453,-0.27725968766822556,-0.13095579011155842,-41.83457233050818,-57.40366204311088,-27.113000023096983,0.8620888387465072,0.8196446825270143,0.9062614967665216,-0.15997325919915412,-0.22004085589494624,-0.10343427759860792,-0.2238070383289395,-0.30784327653101473,-0.14470743077265638,-46.33686093766863,-63.73566801884363,-29.960130594752872,-0.02174605397258497,-0.03058358886278917,-0.01375164066109796,-4.50228860716045,-6.332005975732748,-2.847130571655893,0.8345989645535703,0.7967756007281305,0.9144070628072944,-0.19818025479447277,-0.2550585121910782,-0.09360485135572914,-0.3264413588503416,-0.42013089241584806,-0.15418536474906522,-140.10358748941698,-180.31368773212364,-66.17397628715246,0.8196446825270143,-0.22004085589494624,-0.36245001337510546,0.7788783444071219,-0.2838975523978584,-0.46763439110094274,0.9062614967665216,-0.10343427759860792,-0.1703763382785535,-155.5579456545517,-200.70145540812993,-73.12289196504442,-0.03600865452476387,-0.04750349868509468,-0.01619097352948828,-15.454358165134709,-20.387767676006305,-6.948915677891968,0.4142
