geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48113018110,48113018110,Census Tract 181.10; Dallas County; Texas,2883,2234,1130,Garland city,Texas,0,NA,NA,48113,2883,2234,1130,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7901
48113018105,48113018105,Census Tract 181.05; Dallas County; Texas,3985,2550,1100,Garland city,Texas,2586,0.6235026767087001,0.14052287590002097,48113,3985,2550,1100,0.009098,0.006897320142,0.003436016044,0.8075872065415004,0.7233085425405397,0.8526085330035998,-0.2382563664950924,-0.3825358628941569,-0.17287120793544514,-8.638110843153816,-13.869040453234993,-6.26753726543977,-216.76564223723503,-348.03112806110397,-157.27822497966798,0.7905118298682539,0.7002545731268003,0.8391211010884582,-0.26500320705720404,-0.4280520804523508,-0.19172310016141805,-9.607831723558672,-15.51925504440262,-6.951022609595296,-241.09991778064423,-389.4417827955488,-216.76564223723503,-0.9697208804048572,-1.650214591167627,-0.6834853441555264,-24.334275543409213,-41.41065473444484,-17.151451547190124,0.8755710542467418,0.8368697284326206,0.9156374759007804,-0.1421117625459936,-0.19492911026057452,-0.09213528969664107,-1.2451606551803385,-1.7079378532598468,-0.8072747507214291,-48.829829614915234,-66.97795502979791,-31.657833361624668,0.8640135138420751,0.822098100121904,0.9076029847680808,-0.15738930465708034,-0.2163998430986716,-0.10180333998739469,-1.3790200486871165,-1.8960609986556016,-0.8919846693001608,-54.0792175955732,-74.35533328061183,-34.97979095294748,-0.133859393506778,-0.1881231453957548,-0.08470991857873178,-5.249387980657961,-7.377378250813914,-3.3219575913228145,0.8368697284326206,0.7995004843364826,0.9156374759007804,-0.19492911026057452,-0.2507809808644644,-0.09213528969664107,-1.4789373263086394,-1.9026883816016853,-0.6990352483550124,-134.44884784623994,-172.97167105469865,-63.54865894136477,0.822098100121904,-0.2163998430986716,-1.6418368961831178,0.7818088896038284,-0.2790849698661486,-2.1174322223859745,0.9076029847680808,-0.10180333998739469,-0.7723872501597244,-149.25789965301072,-192.49383839872496,-70.21702274179313,-0.1628995698744784,-0.2147438407842892,-0.07335200180471202,-14.809051806770762,-19.522167344026293,-6.668363800428366,0.6706
48113018801,48113018801,Census Tract 188.01; Dallas County; Texas,2991,2090,927,Garland city,Texas,0,NA,NA,48113,2991,2090,927,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7008
48113018204,48113018204,Census Tract 182.04; Dallas County; Texas,2660,1898,506,Garland city,Texas,0,NA,NA,48113,2660,1898,506,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742
48113019051,48113019051,Census Tract 190.51; Dallas County; Texas,3178,2604,1342,Garland city,Texas,142972,0.6168010905693783,0.20304625456533715,48113,3178,2604,1342,0.009098,0.006897320142,0.003436016044,0.8097995647417076,0.7263140650524256,0.8543506976864945,-0.234873471831216,-0.37681486304112766,-0.17047952639110706,-6.791000974877442,-10.895015440907317,-4.9291502394557964,-213.68788467204035,-342.82616239481797,-155.10227311062923,0.7928942947431846,0.7034559377260119,0.8410073595420019,-0.2612021635543438,-0.4215531440854632,-0.18905023678340072,-7.552254128607361,-12.188553224538971,-5.466093434423598,-237.64172840174197,-383.5290504889544,-213.68788467204035,-0.7612531537299185,-1.2935377836316562,-0.5369431949678019,-23.953843729701653,-40.70288809413644,-16.895632314908806,0.8770617045815444,0.8387797733314799,0.9166711282821656,-0.14017063426239865,-0.1922080524524129,-0.09090378124376208,-1.2541607395733634,-1.719759595040509,-0.8133511995192205,-48.162854822325784,-66.04299520124842,-31.234685081383276,0.8656317226299811,0.8241622991607784,0.9087300889343785,-0.1552256853085031,-0.21335324488668336,-0.1004367657426742,-1.3888640891990138,-1.908953789112153,-0.8986464894521723,-53.33579451609116,-73.30851724701049,-34.51023384992981,-0.13470334962565045,-0.18919419407164417,-0.08529528993295177,-5.172939693765378,-7.265522045762065,-3.275548768546535,0.8387797733314799,0.8017939796703213,0.9166711282821656,-0.1922080524524129,-0.24720317856611537,-0.09090378124376208,-1.7791168729336602,-2.288162958930638,-0.8414239099805063,-132.572047163462,-170.503946269049,-62.699248135656205,0.8241622991607784,-0.21335324488668336,-1.9748410799127287,0.7842762617250177,-0.2750609049424718,-2.546019746954727,0.9087300889343785,-0.1004367657426742,-0.929663155709447,-147.15656333179797,-189.71831199364584,-69.27445273542824,-0.19572420697906856,-0.2578567880240894,-0.08823924572894071,-14.58451616833596,-19.214365724596828,-6.575204599772035,0.0332
48113018153,48113018153,Census Tract 181.53; Dallas County; Texas,4454,3066,1057,Garland city,Texas,99842,0.579419446228189,0.20360515507974697,48113,4454,3066,1057,0.009098,0.006897320142,0.003436016044,0.8222518203357881,0.7433095361498637,0.8641340568275421,-0.21617243679877013,-0.34533454956022946,-0.15722785382543153,-8.759845840798668,-13.993816521878,-6.371264448818218,-196.67368299952108,-314.1853731898968,-143.04590141037758,0.8063160932764817,0.7215836347242894,0.8516070220919882,-0.2402084100002021,-0.3858407423307083,-0.1742505334719783,-9.733843372565907,-15.635228394370191,-7.061065848613973,-218.54161141818383,-351.03790737247846,-196.67368299952108,-0.9739975317672408,-1.6414118724921902,-0.6898013997957548,-21.86792841866279,-36.85253418258173,-15.487233942428263,0.8854232764184976,0.8495143180013299,0.9224583163464752,-0.12940333356150377,-0.17714319677709597,-0.08405982392856463,-1.3632414981906829,-1.866172611804615,-0.8855555506655975,-44.46319302644106,-60.86668662115508,-28.88309036743632,0.8747139005760972,0.8357719152842532,0.9150428368410894,-0.14323094596003086,-0.1964986878745398,-0.09284501199113218,-1.5089129776167425,-2.0700793270002844,-0.9781059711739633,-49.2143828315963,-67.5172644161867,-31.901695080690253,-0.14567147942605962,-0.2039067151956695,-0.0925504205083657,-4.751189805155239,-6.650577795031621,-3.018604713253937,0.8495143180013299,0.8147083983060401,0.9224583163464752,-0.17714319677709597,-0.22743303257855485,-0.08405982392856463,-1.2914566994804226,-1.6580931074441403,-0.6128354051682438,-122.18133391489336,-156.86784365602082,-57.97875167154624,0.8357719152842532,-0.1964986878745398,-1.4325672761455917,0.7981828874043664,-0.25284570213216223,-1.8433633461199497,0.9150428368410894,-0.09284501199113218,-0.6768835322542355,-135.53143577536346,-174.39577541342948,-64.03817712906674,-0.14111057666516902,-0.18527023867580916,-0.06404812708599172,-13.350101860470106,-17.527931757408624,-6.059425457520503,0.2479
48113019025,48113019025,Census Tract 190.25; Dallas County; Texas,3152,2258,1051,Garland city,Texas,7152,0.5468603237547706,0.25414533053558624,48113,3152,2258,1051,0.009098,0.006897320142,0.003436016044,0.833253553750436,0.7584361755280978,0.872746526302798,-0.20011489359876827,-0.3185025085383113,-0.14580805521654014,-5.738673991782943,-9.133663313092264,-4.181322435406979,-182.06453019615935,-289.7735822681556,-132.6561686360082,0.818191365517824,0.7377529309699702,0.8609480402671222,-0.222207960318808,-0.35546733604329717,-0.1615102807943378,-6.3722345684345845,-10.193699827110684,-4.631613525270022,-202.1648022980515,-323.40418233219174,-182.06453019615935,-0.6335605766516412,-1.0600365140184191,-0.4502910898630432,-20.100272101892173,-33.63060006403614,-14.285884830680304,0.8927710675340303,0.8589758993186132,0.9275286741632036,-0.12010798329537302,-0.1641770168327829,-0.07813378481498531,-0.9318606982955407,-1.2737713626715237,-0.6062028624617714,-41.269295761538565,-56.411486389350024,-26.846893820273312,0.8827020153902254,0.8460169742346847,0.9205769127614644,-0.13288514421021166,-0.182009380963792,-0.08627534118826582,-1.0309926108100915,-1.41212419181292,-0.6693693248322202,-45.6595487515541,-62.53871531500973,-29.644345652445537,-0.09913191251455068,-0.13835282914139646,-0.06316646237044887,-4.390252990015529,-6.127228925659719,-2.7974518321722264,0.8589758993186132,0.826126129633859,0.9275286741632036,-0.1641770168327829,-0.21046891525293152,-0.07813378481498531,-1.1901328987519924,-1.5257067343493211,-0.5663983278916216,-113.23814450542268,-145.16714884389356,-53.8913727775092,0.8460169742346847,-0.182009380963792,-1.319401194791594,0.8104962216378202,-0.233812044156403,-1.6949230242038615,0.9205769127614644,-0.08627534118826582,-0.6254171496110712,-125.5376969354514,-161.2676521602152,-59.5068648535748,-0.12926829603960166,-0.1692162898545404,-0.05901882171944961,-12.299552430028704,-16.10050331632164,-5.615492076065615,0.299
48113018205,48113018205,Census Tract 182.05; Dallas County; Texas,2416,1623,610,Garland city,Texas,0,NA,NA,48113,2416,1623,610,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8724
48113018121,48113018121,Census Tract 181.21; Dallas County; Texas,3038,2228,948,Garland city,Texas,45266,0.7112706443797311,0.2072091056489586,48113,3038,2228,948,0.009098,0.006897320142,0.003436016044,0.7791646700817427,0.6850755334285072,0.8301173572872526,-0.28342574862267467,-0.45969305748729894,-0.2046489465873938,-7.833809466424108,-12.705789233665076,-5.656440400566306,-257.8607460969094,-418.22874370194455,-186.18961160521087,0.7599625252128969,0.6596480809029854,0.8148045477197099,-0.3158543570551176,-0.5159598412400599,-0.22728819174926443,-8.730127253200903,-14.260987606959072,-6.282182888408746,-287.364294048746,-469.4202635602065,-257.8607460969094,-0.8963177867767955,-1.5551983732939971,-0.62574248784244,-29.503547951836584,-51.19151985826193,-20.597185248269916,0.8562808779464756,0.8122524749071095,0.9022072519183522,-0.16784109718552892,-0.2311442942840668,-0.10839277546673708,-1.2848980777761063,-1.7695121421079392,-0.8297947950618831,-57.67047027720407,-79.4215503639111,-37.24393155573981,0.8430976334307532,0.7955365683826715,0.8929701568886103,-0.18610225002147848,-0.25701324080300086,-0.1198582531406374,-1.424695306049411,-1.9675504069527496,-0.9175681144158128,-63.94503168982993,-88.31016189195465,-41.18348807970435,-0.13979722827330443,-0.19803826484481024,-0.08777331935392974,-6.274561412625872,-8.888611528043548,-3.9395565239645305,0.8122524749071095,0.7700621580861187,0.9022072519183522,-0.2311442942840668,-0.29859646977765997,-0.10839277546673708,-1.5113738344468282,-1.9524206421705157,-0.7087434504533606,-159.42761966738695,-205.95154453275484,-74.76196734740091,0.7955365683826715,-0.25701324080300086,-1.68052206721857,0.7502022464536383,-0.33297388101303016,-2.1772028285449876,0.8929701568886103,-0.1198582531406374,-0.7837123049061168,-177.27026025512342,-229.6627456271084,-82.67007435718531,-0.16914823277174174,-0.2247821863744719,-0.07496885445275614,-17.842640587736472,-23.711201094353576,-7.908107009784403,0.7524
48113019050,48113019050,Census Tract 190.50; Dallas County; Texas,2063,1803,1261,Garland city,Texas,28214,0.6938397094101387,0.16656852334899308,48113,2063,1803,1261,0.009098,0.006897320142,0.003436016044,0.7847287097274724,0.6925043788885701,0.8345364406270752,-0.2743257479993167,-0.4440341902313207,-0.1982700231143826,-5.148867696879327,-8.334154978400758,-3.721364562817869,-249.58156552977832,-403.9823062724555,-180.3860670294653,0.7659342602917097,0.6675207591110904,0.8195771387898372,-0.30559507759731913,-0.4980807508243763,-0.2201414030124971,-5.735767184967584,-9.34856427827336,-4.131872297745682,-278.0304015980409,-453.1538671000175,-249.58156552977832,-0.5868994880882576,-1.0144092998726038,-0.4105077349278128,-28.448836068262608,-49.17156082756198,-19.898581431304542,0.8600778324222151,0.8170832070484312,0.9048587585558908,-0.1626854713645225,-0.22386556396419335,-0.10514485332047838,-1.0078587711907658,-1.386877822072578,-0.6513867635246022,-55.898988973420174,-76.92056694800766,-36.12794029531904,0.8472108904705401,0.8007425621303644,0.8958573763199659,-0.1803436561640526,-0.24884082262283388,-0.11624911111167588,-1.1172536439119871,-1.54160296925839,-0.7201791610174638,-61.966369601330406,-85.50210589342153,-39.94338108804569,-0.1093948727212215,-0.1547251471858122,-0.06879239749286159,-6.067380627910233,-8.581538945413877,-3.815440792726655,0.8170832070484312,0.7758211268949897,0.9048587585558908,-0.22386556396419335,-0.28895690686102404,-0.10514485332047838,-1.94707537638576,-2.5132086785606873,-0.9144995381546984,-154.40724634304203,-199.30282938625592,-72.52177146349712,0.8007425621303644,-0.24884082262283388,-2.164298205533713,0.7563760384253488,-0.32209370630227313,-2.801416677601617,0.8958573763199659,-0.11624911111167588,-1.0110790501413591,-171.63348180283214,-222.15834080901007,-80.18073355601578,-0.2172228291479532,-0.28820799904092986,-0.0965795119866606,-17.226235459790104,-22.855511422754155,-7.658962092518683,0.0206
48113018147,48113018147,Census Tract 181.47; Dallas County; Texas,3093,2182,1386,Garland city,Texas,0,NA,NA,48113,3093,2182,1386,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3556
