geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04013422308,04013422308,Census Tract 4223.08; Maricopa County; Arizona,3267,2421,738,Gilbert town,Arizona,81473,0.3929415358459985,0.20890449716608597,04013,3267,2421,738,0.010697,0.00781773244399999,0.00314654663299999,0.8872889597765367,0.8342194698350727,0.9146373141966916,-0.12702856153180309,-0.19872531888724987,-0.09332954656270603,-4.439279715679514,-6.944873392959291,-3.261596903351998,-135.88245227056976,-212.5764736136912,-99.83461595812666,0.8767415433312861,0.8192347273924254,0.9065125202599672,-0.14058699237677097,-0.22065137934635595,-0.10312872425989504,-4.913107540703261,-7.711125598503657,-3.604049736454254,-150.38590574543193,-236.030780486797,-135.88245227056976,-0.4738278250237471,-0.7662522055443661,-0.3424528331022558,-14.503453474862171,-23.45430687310579,-10.482180382683069,0.9283407817949736,0.9051507136217604,0.9518779708865,-0.07719063905225769,-0.10478839043138044,-0.05055483012038096,-0.5880220318351883,-0.7982558897133151,-0.38511604893365264,-24.28839454089997,-32.97215570893495,-15.90731304971717,0.9214635746030396,0.8961753372696895,0.9471950150689242,-0.08523009217243717,-0.11585306849285253,-0.05574879944573328,-0.6492648925837731,-0.8825442769477353,-0.42468261339641944,-26.81804595554618,-36.453708258890344,-17.54161971897643,-0.06124286074858476,-0.08428838723442023,-0.03956656446276679,-2.5296514146462106,-3.4815525499553996,-1.6343066692592647,0.9051507136217604,0.8823061829888948,0.9518779708865,-0.10478839043138044,-0.13339339481041187,-0.05055483012038096,-0.6045752085268971,-0.7696113963733976,-0.2916754120971618,-81.92075996299418,-104.2833870424658,-39.52241356330106,0.8961753372696895,-0.11585306849285253,-0.6684127197126232,0.8713271667533669,-0.14767453392515945,-0.8520062363242417,0.9471950150689242,-0.05574879944573328,-0.3216419482280272,-90.57082922935274,-115.44799950192976,-43.582919814095824,-0.06383751118572611,-0.08239483995084407,-0.02996653613086541,-8.650069266358551,-11.164612459463966,-4.060506250794772,0.5792
04013422509,04013422509,Census Tract 4225.09; Maricopa County; Arizona,3340,2172,761,Gilbert town,Arizona,79644,0.456722624457085,0.21788201693394457,04013,3340,2172,761,0.010697,0.00781773244399999,0.00314654663299999,0.8644850301453916,0.8019383342482536,0.8970399466272254,-0.15675802949626222,-0.24697867316370625,-0.11477755674080448,-5.600647742681867,-8.824049095219435,-4.100770251684327,-167.68406415215168,-264.1930866832166,-122.77755244563852,0.8519875037425505,0.7844315838897862,0.8873459299482508,-0.17372613519244198,-0.27480843522550147,-0.12695620304284158,-6.206883883632864,-9.818350277568012,-4.535888683190583,-185.8348468153552,-293.9625831607189,-167.68406415215168,-0.6062361409509975,-0.9943011823485772,-0.4351184315062558,-18.15078266320352,-29.769496477502315,-13.027497949289096,0.9134325553353568,0.8857229496637774,0.941711460562586,-0.09477157799883867,-0.12902121411622275,-0.0618963895826348,-0.6476973279335763,-0.8817695916263767,-0.4230184511848,-29.820318965634264,-40.597126686297266,-19.475987623609576,0.905199144213912,0.8750395595860542,0.9360728333645052,-0.10472928127701064,-0.14280547552965442,-0.06829294084491572,-0.7157512523465097,-0.9759753595743051,-0.4667343969150723,-32.95355673786877,-44.93440882017979,-21.48869230732377,-0.06805392441293345,-0.09420576794792844,-0.04371594573027226,-3.133237772234505,-4.337282133882526,-2.0127046837141926,0.8857229496637774,0.85857693396377055,0.941711460562586,-0.12902121411622275,-0.16471798908377977,-0.0618963895826348,-0.7675851853176662,-0.9799558083691048,-0.3682398432980436,-100.86533315606653,-128.77211673707026,-48.38894130066276,0.8750395595860542,-0.14280547552965442,-0.8495918144132897,0.845584743266162,-0.18261357949457857,-1.0864219440037317,0.9360728333645052,-0.06829294084491572,-0.4062948098373369,-111.64149992290272,-142.76241051297396,-53.38959393394703,-0.0820066290956235,-0.10646613563462692,-0.0380549665392933,-10.776166766836203,-13.99029377590367,-5.000652633284271,0.3736
04013814400,04013814400,Census Tract 8144; Maricopa County; Arizona,3953,2798,1101,Gilbert town,Arizona,78640,0.4040658206881913,0.19993340735875037,04013,3953,2798,1101,0.010697,0.00781773244399999,0.00314654663299999,0.8832687781684342,0.8284970903097829,0.9115434300445212,-0.13215821131323385,-0.20700484249871115,-0.09704043388383406,-5.58834181550902,-8.753249653225042,-4.103378133522489,-141.36963864176624,-221.4330800208713,-103.8041521255373,0.8723729025683976,0.8130553020618069,0.9031400502939536,-0.1462987869703987,-0.2299286376512455,-0.10724798404690455,-6.186279465050968,-9.722587855884589,-4.535006852187514,-156.49581242223547,-245.9546636955373,-141.36963864176624,-0.5979376495419482,-0.9693382026595464,-0.4316287186650252,-15.126173780469218,-24.521583674665987,-10.919016409436509,0.925723178180658,0.90173182870238755,0.9500969250990168,-0.08023653676395975,-0.10897715725419437,-0.0525241936719061,-0.7064054768658147,-0.9594389768354068,-0.4624249696487542,-25.246800459821824,-34.29017072320967,-16.526982474937604,0.9186059444127892,0.8924525592845514,0.945245685626098,-0.08860606235162251,-0.1205077397073809,-0.0579260135291013,-0.7800910938221686,-1.060954656909506,-0.509982794127031,-27.880310715588585,-37.918322262669975,-18.226690283310617,-0.0736856169563539,-0.10151568007409915,-0.04755782447827678,-2.6335102557667582,-3.628151539460299,-1.6997078083730084,0.90173182870238755,0.8781207668729091,0.9500969250990168,-0.10897715725419437,-0.1387955253138098,-0.0525241936719061,-0.9380016379710264,-1.1946579757419011,-0.4520927223531436,-85.19542579210051,-108.5066281327794,-41.062009296379976,0.8924525592845514,-0.1205077397073809,-1.037249090376312,0.8667815785234446,-0.15369318496995735,-1.3228869506160228,0.945245685626098,-0.0579260135291013,-0.49858793292516,-94.20972664634988,-120.15321985613284,-45.285007531803814,-0.09924745240528554,-0.12822897487412166,-0.04649521057201639,-9.014300854249369,-11.646591723353463,-4.222998235423832,0.2753
04013816600,04013816600,Census Tract 8166; Maricopa County; Arizona,3046,2069,519,Gilbert town,Arizona,91186,0.41429245164166256,0.19574464282690876,04013,3046,2069,519,0.010697,0.00781773244399999,0.00314654663299999,0.8795890692037736,0.8232711038042116,0.9087084348892605,-0.1368945283792868,-0.21466670623947665,-0.10046298857329844,-4.4604429056430615,-6.994498598736653,-3.273391785389074,-146.4360770073231,-229.62897566436817,-107.4652588768573,0.8683759880755708,0.8074156434649141,0.9000507854700904,-0.15157490963807552,-0.23851947642311755,-0.11104841653763656,-4.938774678381812,-7.771694888501977,-3.618297441047637,-162.13968083984935,-255.1442839298088,-146.4360770073231,-0.47833177273875016,-0.7771962897653237,-0.34490565565856324,-15.70360383252627,-25.5153082654407,-11.323232293452502,0.923323309225818,0.898600218231445,0.948462537679036,-0.08304424897328032,-0.1128419287145536,-0.05433789978366508,-0.5406350835315631,-0.7346240866852115,-0.3537508659741578,-26.13026019968889,-35.50623908580046,-17.09767356085828,0.9159867243707004,0.8890438288073903,0.9434571931726692,-0.09171887909949585,-0.12480393834064636,-0.0599315021778443,-0.597108703810806,-0.8124992213677928,-0.390166364157451,-28.85977302130527,-39.270141197090034,-18.857726638832816,-0.05647362027924296,-0.07787513468258134,-0.03641549818329315,-2.729512821616383,-3.763902111289577,-1.7600530779745358,0.898600218231445,0.8742906034354304,0.948462537679036,-0.1128419287145536,-0.14378445344214852,-0.05433789978366508,-0.45784519571360105,-0.5833914926544782,-0.22047076511826352,-88.21680071553007,-112.40683866174916,-42.47991620775791,0.8890438288073903,-0.12480393834064636,-0.5063798911125115,0.8626237117750434,-0.1592540134820475,-0.6461577341105885,0.9434571931726692,-0.0599315021778443,-0.2431662650275694,-97.56837979046465,-124.5005268035816,-46.852844899339,-0.04853469539891042,-0.06276624145611032,-0.02269549990930589,-9.351579074934572,-12.09368814183243,-4.372928691581096,0.0853
04013814300,04013814300,Census Tract 8143; Maricopa County; Arizona,2971,2083,869,Gilbert town,Arizona,78688,0.4011462185270382,0.2031774856668303,04013,2971,2083,869,0.010697,0.00781773244399999,0.00314654663299999,0.8843221206656808,0.829995135962044,0.9123544149326278,-0.1308096638442581,-0.20482633773618933,-0.0960652830006246,-4.1572340641759675,-6.509542211583895,-3.0530302971375716,-139.92709741420288,-219.1027334764017,-102.76103322576814,0.8735173542593392,0.8146725852527954,0.9040239489976334,-0.14479694664785023,-0.22748699060457145,-0.10616538545110808,-4.601760919665692,-7.229715593674887,-3.3740195017945647,-154.88929382920537,-243.3428338497101,-139.92709741420288,-0.44452685548972415,-0.7201733820909917,-0.3209892046569931,-14.962196415002497,-24.24010037330837,-10.804079591282164,0.9264094609566244,0.9026278735322372,0.950564043154447,-0.07943629911484815,-0.10787626808677882,-0.05200697123099648,-0.5206458906555905,-0.7070487460328304,-0.3408670363370515,-24.99500195178063,-33.943770812905925,-16.364236021941984,0.9193550792480194,0.8934281142285495,0.9457569044126468,-0.08771901365677295,-0.11928423123719624,-0.05735416292946888,-0.5749329274105593,-0.7818194642208462,-0.3759139030136105,-27.60119670718,-37.53333961693933,-18.046754825425374,-0.05428703675496882,-0.07477071818801584,-0.03504686667655898,-2.6061947553993674,-3.589568804033406,-1.682518803483389,0.9026278735322372,0.8792173165019134,0.950564043154447,-0.10787626808677882,-0.13737523275660343,-0.05200697123099648,-0.732869239033938,-0.9332736854731912,-0.3533150535005533,-84.33478009596524,-107.396281412335,-40.65765863067357,0.8934281142285495,-0.11928423123719624,-0.810370485797945,0.8679722816868118,-0.15211052368700798,-1.0333794978324229,0.9457569044126468,-0.05735416292946888,-0.3896417857886565,-93.25322046006272,-118.91593761017526,-44.83795003321708,-0.07750124676400705,-0.10010581235923176,-0.03632673228810312,-8.918440364097474,-11.519656197840249,-4.180291402543513,0.4036
04013816501,04013816501,Census Tract 8165.01; Maricopa County; Arizona,1381,1234,351,Gilbert town,Arizona,76507,0.48050835809138315,0.22184340041306255,04013,1381,1234,351,0.010697,0.00781773244399999,0.00314654663299999,0.8561316644238922,0.7902222193572767,0.8905644264120403,-0.16804463793886143,-0.2654668212358608,-0.12288338759370884,-2.482448992496193,-3.921623748315563,-1.8153018475811569,-179.75734920320008,-283.96985867600023,-131.44835970899035,0.8429360269738774,0.7718344530360962,0.8803023831503234,-0.18632964780254913,-0.29561461796164884,-0.13597329638176914,-2.7525653429530816,-4.366983793871681,-2.008673271277578,-199.31682425438677,-316.2189568335757,-179.75734920320008,-0.27011635045688864,-0.4453600455561171,-0.19337142369642144,-19.559475051186723,-32.24909815757546,-14.002275430588089,0.9079343616673466,0.8785850315945675,0.9379479471868704,-0.1014012049985446,-0.13819375932807923,-0.06615724571842013,-0.39372450729016656,-0.5365840554143789,-0.2568779037145891,-31.906362017031324,-43.483310811538,-20.816685876384852,0.8992074532709693,0.8672856884769717,0.9319585799369065,-0.11209042625523884,-0.15302260061051626,-0.07300906019632326,-0.4352290276029964,-0.5941620519253218,-0.28348239307341633,-35.269775332495655,-48.14927487239237,-22.972641253923527,-0.04150452031282981,-0.05757799651094286,-0.02660448935882725,-3.363413315464328,-4.665964060854365,-2.1559553775386755,0.8785850315945675,0.849891945739854,0.9379479471868704,-0.13819375932807923,-0.17662016331908265,-0.06615724571842013,-0.37920700438596583,-0.484649982546504,-0.18153707583675915,-108.03618358574523,-138.0769181044171,-51.71996462585731,0.8672856884769717,-0.15302260061051626,-0.41989770205978855,0.8361805951993605,-0.19591390393552724,-0.5375924715426421,0.9319585799369065,-0.07300906019632326,-0.2003386198095636,-119.62897494580872,-153.16024830274705,-57.076529860274526,-0.04069069767382272,-0.05294248899613812,-0.01880154397280445,-11.592791360063451,-15.083330198329952,-5.356565234417223,0.0047
04013814801,04013814801,Census Tract 8148.01; Maricopa County; Arizona,2259,1486,413,Gilbert town,Arizona,90275,0.4837908186218401,0.27794064187209977,04013,2259,1486,413,0.010697,0.00781773244399999,0.00314654663299999,0.8549852454763786,0.7886188785871314,0.8896744748554797,-0.169610826959736,-0.26803964139379133,-0.12400662069398112,-4.098564729117561,-6.477050079372022,-2.996560837911983,-181.4327015988296,-286.72200439893857,-132.64988215635162,0.8416944861447646,0.7701119921954551,0.8793347652818501,-0.1880795424719084,-0.29851243732638705,-0.13722331867485477,-4.5448524298919075,-7.213410657559538,-3.3159360402548574,-201.18868658220043,-319.3187542080362,-181.4327015988296,-0.4462877007743469,-0.736360578187516,-0.3193752023428744,-19.755984983370823,-32.59674980909765,-14.137901830140525,0.9071782073968264,0.8776045175148831,0.9374297601059411,-0.1023192486838152,-0.13946541983592425,-0.06674659004530392,-0.4784210991316025,-0.6521079885461228,-0.31209158964252554,-32.195228743714836,-43.88344472046587,-21.00212581712823,0.8983837127119497,0.8662210536800875,0.9313922296285791,-0.1131101174812056,-0.15443973077260215,-0.07366152324330659,-0.5288767013476207,-0.7221243968878412,-0.34442421506311605,-35.59062593187218,-48.595181486395774,-23.17794179428776,-0.05045560221601813,-0.0700164083417184,-0.03233262542059051,-3.395397188157344,-4.711736765929906,-2.175815977159523,0.8776045175148831,0.8487003253207167,0.9374297601059411,-0.13946541983592425,-0.17827220064055993,-0.06674659004530392,-0.4502952783740304,-0.5755916434929359,-0.21550628378222195,-109.0303337467386,-139.3684366810983,-52.18069825235399,0.8662210536800875,-0.15443973077260215,-0.4986431879821856,0.834891050106236,-0.1977610729840195,-0.6385158236045249,0.9313922296285791,-0.07366152324330659,-0.23783269109520075,-120.73684939035972,-154.60431564274208,-57.586608013365804,-0.04834790960815521,-0.06292418011158896,-0.02232640731297877,-11.706515643621117,-15.235878961643817,-5.40590976101181,0.036
04013422621,04013422621,Census Tract 4226.21; Maricopa County; Arizona,2704,2084,894,Gilbert town,Arizona,78899,0.4711435516887376,0.2282662706668265,04013,2704,2084,894,0.010697,0.00781773244399999,0.00314654663299999,0.8594108347892969,0.7948144633642511,0.8931083396435743,-0.1635878435779455,-0.25815526276063194,-0.11968498737687808,-4.7317273360848775,-7.467060430909298,-3.461850918160137,-174.9899162753283,-276.148684575048,-128.0270309970465,0.8464881973692022,0.7767698094203074,0.8830688373504619,-0.18135137986317656,-0.2873826812943287,-0.13241454992384905,-5.245532080911865,-8.312454393041893,-3.8300495432077577,-193.99157103964,-307.4132541805434,-174.9899162753283,-0.5138047448269871,-0.8453939621325954,-0.3681986250476203,-19.001654764311652,-31.264569605495392,-13.616813056494836,0.9100951233966312,0.8813884475339173,0.9394279013705776,-0.09878624145114435,-0.1345735274815005,-0.06447764489542053,-0.6477812141453317,-0.8824528774778759,-0.4228059138806644,-31.08355154248233,-42.34418797878484,-20.28819164494551,0.9015617253269348,0.8703302714882244,0.9335762616457878,-0.1091863950162353,-0.14898910535427703,-0.07114977220726972,-0.7159792142385366,-0.9769816337080846,-0.4665577427539131,-34.35600836077431,-46.88011678061826,-22.38760761775015,-0.06819800009320487,-0.09452875623020862,-0.04375182887324869,-3.27245681829198,-4.535928801833427,-2.0994159728046395,0.8813884475339173,0.8533008231215954,0.9394279013705776,-0.1345735274815005,-0.17191964768267892,-0.06447764489542053,-0.9405414897147129,-1.201555495860236,-0.4506376649120062,-105.2059831895652,-134.40218074499282,-50.406897641164,0.8703302714882244,-0.14898910535427703,-1.041292724681215,0.8398706041514297,-0.19065960286865669,-1.3325300322171687,0.9335762616457878,-0.07114977220726972,-0.49726951501577576,-116.47569627306656,-149.05257631064526,-55.62298825679818,-0.10075123496650208,-0.1309745363569328,-0.04663185010376963,-11.26971308350135,-14.650395565652438,-5.2160906156341875,0.3023
04013814100,04013814100,Census Tract 8141; Maricopa County; Arizona,3672,2901,793,Gilbert town,Arizona,79242,0.43497406898558566,0.20621697524966223,04013,3672,2901,793,0.010697,0.00781773244399999,0.00314654663299999,0.8721942674737845,0.812802962354309,0.9030020578245384,-0.14653356172173762,-0.2303104766048944,-0.10741718840502258,-5.755748039755833,-9.046453649786663,-4.21928099156123,-156.74695097374274,-246.3631168242555,-114.90416643685268,0.8603487869837901,0.7961296629188133,0.8938355302583672,-0.16231930018266072,-0.2560768007735654,-0.11877405422779014,-6.375802122486,-10.058538991076372,-4.665371685250192,-173.63295540539215,-273.92535378748295,-156.74695097374274,-0.6200540827301673,-1.0120853412897102,-0.44609069368896215,-16.886004431649436,-27.5622369632274,-12.148439370614438,0.9184889799796946,0.8923002676942533,0.945165854996203,-0.08874469024343375,-0.12069898015838096,-0.05801536811125842,-0.8100732275243848,-1.1017561968788974,-0.5295719255201264,-27.923930628210435,-37.97849696238874,-18.254806119273574,0.9107125995674076,0.8821899899388176,0.939850607207536,-0.0980412486606688,-0.13354267380584636,-0.06399888698394175,-0.8949334378790637,-1.2189951250648747,-0.5841902743120565,-30.84913608683432,-42.019825062560315,-20.137548235506948,-0.08486021035467883,-0.11723892818597736,-0.05461834879193006,-2.9252054586238825,-4.041328100171574,-1.8827421162333695,0.8923002676942533,0.8665957307668994,0.945165854996203,-0.12069898015838096,-0.15394060286339467,-0.05801536811125842,-0.7482687201815164,-0.9543488912450852,-0.3596640600484524,-94.3592333141887,-120.34664454540795,-45.35486255339879,0.8821899899388176,-0.13354267380584636,-0.8278927086806858,0.8542759886199435,-0.17058188843100833,-1.0575159058918844,0.939850607207536,-0.06399888698394175,-0.3967586568973208,-104.40008936704736,-133.3563563545882,-50.032617515425066,-0.079623988499169407,-0.10316701464679924,-0.03709459684886834,-10.04085605285869,-13.009711809180232,-4.677754962026273,0.0641
04013815800,04013815800,Census Tract 8158; Maricopa County; Arizona,3978,2466,487,Gilbert town,Arizona,88768,0.4075364509258583,0.1988104908839198,04013,3978,2466,487,0.010697,0.00781773244399999,0.00314654663299999,0.8820182662597382,0.826719829573847,0.9105803225134376,-0.13376336778213424,-0.2095996300408985,-0.09820075755617153,-5.69198791226832,-8.91902305085392,-4.178704037234743,-143.086674516549,-224.20872425474911,-105.04535035783668,0.8710144044300425,0.8111369588212515,0.9020904540942202,-0.1480866388821211,-0.23283742544934125,-0.10853628420676484,-6.301481283413512,-9.907853197445718,-4.618508250731539,-158.40827761220493,-249.06619400316032,-143.086674516549,-0.6094933711451924,-0.9888301465917984,-0.4398042134967959,-15.32160309565592,-24.85746974841122,-11.055912858139664,0.92490803188781745,0.9006678268847346,0.949541944614594,-0.08118857824049093,-0.11028724480904296,-0.05313936437624791,-0.6299733547366615,-0.8557610824420828,-0.41232873355064087,-25.54636475006738,-34.70239588167408,-16.7205488057843,0.9177162164698178,0.8912942696690019,0.944638341967284,-0.08966146838584099,-0.12196390578317964,-0.05860619410961125,-0.6957177629386434,-0.9463647787429366,-0.45474796469790385,-28.212399145930387,-38.37651170895931,-18.44071227485417,-0.06574440820198191,-0.09060369630085374,-0.04241923114726298,-2.6660343958630133,-3.674115827285229,-1.7201634690698695,0.9006678268847346,0.8768190400821333,0.949541944614594,-0.11028724480904296,-0.14048618276620467,-0.05313936437624791,-0.41988953571677345,-0.53486401041625,-0.20231408514067503,-86.21961719030256,-109.8283388945072,-41.54293329377311,0.8912942696690019,-0.12196390578317964,-0.4643453362369657,0.8653682740042881,-0.15557737675398625,-0.5923197429255982,0.944638341967284,-0.05860619410961125,-0.22312759446860383,-95.34811832381226,-121.62623058020498,-45.816754511006955,-0.04445580052019227,-0.05745573250934821,-0.0208135093279288,-9.128501133509706,-11.797891685697785,-4.273821217233841,0.2412
04013422514,04013422514,Census Tract 4225.14; Maricopa County; Arizona,3015,1729,534,Gilbert town,Arizona,76937,0.4040562410658041,0.21900926428874123,04013,3015,1729,534,0.010697,0.00781773244399999,0.00314654663299999,0.8832722322798235,0.8285020011828675,0.9115460898200648,-0.1321537839119986,-0.2069976880831689,-0.0970372328593892,-4.262151814917547,-6.675976622318358,-3.1295919488891117,-141.36490265066493,-221.42542694256576,-103.8007279896886,0.8723766552213007,0.8130606033403414,0.9031429490754028,-0.1462938560022842,-0.2299206183298579,-0.10724443015776731,-4.718189713634149,-7.415274475637588,-3.458788913233876,-156.4905377656434,-245.94608542744905,-141.36490265066493,-0.45603789871660183,-0.73929785331923,-0.3291969643447641,-15.1256351149785,-24.520658484883253,-10.918638950075094,0.9257254291387488,0.9017347672956012,0.9500984574031712,-0.08023391010264555,-0.10897354329489448,-0.05252249617710209,-0.4365028899169281,-0.5928573904955492,-0.2857422919763688,-25.245973968590405,-34.289033574063,-16.526448350281598,0.9186084014303524,0.8924557584740618,0.9452473625543848,-0.08860315063841542,-0.12050372301907657,-0.05792413670179919,-0.48203473144876674,-0.6555859396143474,-0.3151292643463584,-27.879394531449783,-37.91705839296399,-18.226099730847796,-0.04553184153183864,-0.06272854911879822,-0.0293869723699896,-2.6334205628593783,-3.628024818900996,-1.6996513805662006,0.9017347672956012,0.8781243625681439,0.9500984574031712,-0.10897354329489448,-0.13879086223666684,-0.05252249617710209,-0.4549284866455081,-0.5794059274248653,-0.21926404316352072,-85.1926004954135,-108.50298266383246,-41.06068224035969,0.8924557584740618,-0.12050372301907657,-0.5030631719468589,0.8667854827146013,-0.15368798848383694,-0.6415965004215836,0.9452473625543848,-0.05792413670179919,-0.24181410508684104,-94.20658650690244,-120.14915738231902,-45.28354027843466,-0.04813468530135079,-0.06219057299671826,-0.02255006192332032,-9.013986011488912,-11.646174718486566,-4.222858038074966,0.6434
