geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
32003005346,32003005346,Census Tract 53.46; Clark County; Nevada,3982,2874,1187,Henderson city,Nevada,78709,0.2753276095859149,0.15140655533276812,32003,3982,2874,1187,0.01109,0.007296424454,0.004052580321,0.9309290367896584,0.8971926520298522,0.9479975127786656,-0.07419573402558718,-0.11458781760812624,-0.05485508824692001,-3.2765118089488596,-5.060241568945546,-2.422421541917521,-82.28306903437618,-127.077889727412,-60.834292865834286,0.9242899573649708,0.8875120920444088,0.9429483777538308,-0.08191157118148155,-0.12674521165843738,-0.06050344174945218,-3.617246109771274,-5.5971167100170245,-2.671854978963673,-90.83993244026304,-140.56043972920705,-82.28306903437618,-0.3407343008224144,-0.5368751410714783,-0.24943343704615195,-8.556863405886851,-13.482550001795031,-6.264024034308186,0.9564728897789788,0.942100311156338,0.9709139481432816,-0.04550793931135809,-0.0614580933240491,-0.02995739417724995,-0.5300362409153048,-0.7158095324076946,-0.3489172403234829,-18.44245793024721,-24.90638595712229,-12.140474611116316,0.9522257718370654,0.9364980166684856,0.9680522845875992,-0.05017111443094742,-0.06780792078708017,-0.03300205569579437,-0.5843487817272774,-0.7897667084498482,-0.38437876573133617,-20.33224710254967,-27.479704538964796,-13.374348146532226,-0.05431254081197267,-0.07395717604215357,-0.03546152540785324,-1.8897891723024591,-2.573318581842504,-1.2338735354159096,0.942100311156338,0.927796595807405,0.9709139481432816,-0.0614580933240491,-0.07782245000560789,-0.02995739417724995,-0.5322796856756318,-0.6740090195945474,-0.25945667191871546,-44.842433502580604,-56.78256272911099,-21.858186345300375,0.9364980166684856,-0.06780792078708017,-0.5872746258586213,0.92086942193528,-0.08593029172194777,-0.7442298677670763,0.9680522845875992,-0.03300205569579437,-0.28582604637253306,-49.47553714057467,-62.698388185937354,-24.079700621106408,-0.05499494018298956,-0.07022084817252894,-0.02636937445381759,-4.633103637994066,-5.915825456826363,-2.221514275806032,0.5884
32003005341,32003005341,Census Tract 53.41; Clark County; Nevada,1652,1154,634,Henderson city,Nevada,49071,0.24083462242400108,0.1417904392278169,32003,1652,1154,634,0.01109,0.007296424454,0.004052580321,0.9441299137113276,0.9165469447929662,0.9580099547799774,-0.05917626957613255,-0.09105158844415176,-0.04383048945422105,-1.0841494984980602,-1.668127015377002,-0.8030043715341585,-65.62648295993101,-100.9762115845643,-48.60801280473114,0.938717542219464,0.9085946713829776,0.9539091708301934,-0.06528317094793215,-0.10060077556683632,-0.04831783840561403,-1.1960320843223615,-1.8430746169118264,-0.8852156557209648,-72.39903658125675,-111.56626010362146,-65.62648295993101,-0.11188258582430131,-0.17494760153482458,-0.08221128418680634,-6.772553621325747,-10.59004851905718,-4.976469987094815,0.9648838075800998,0.9532199686851603,0.97656854280086125,-0.03639421881062606,-0.04907579871555403,-0.02399366370325214,-0.17020403117242833,-0.22951169299326113,-0.11221063175277536,-14.74904949501112,-19.888361611201137,-9.723624935249164,0.9614407380945243,0.9486640537000623,0.9742558085680092,-0.04010570842036087,-0.05411393643483443,-0.02642446799453051,-0.1875614718285527,-0.2530734392663538,-0.1235787199516081,-16.253160470411846,-21.930107388765492,-10.70872789875287,-0.01735744065612438,-0.02356174627309265,-0.01136808819883275,-1.504110975400726,-2.041745777564355,-0.9851029635037049,0.9532199686851603,0.9415772058377232,0.97656854280086125,-0.04907579871555403,-0.06204780001051312,-0.02399366370325214,-0.22702136187547367,-0.2870289720888284,-0.11099308320718236,-35.80778578477503,-45.27270853136094,-17.506795458546115,0.9486640537000623,-0.05411393643483443,-0.25032744993277767,0.9359260384691374,-0.06846049676710166,-0.316693678299993,0.9742558085680092,-0.02642446799453051,-0.12223782124715356,-39.48382491053275,-49.95168427444685,-19.280413445923276,-0.02330608805730399,-0.02966470621116462,-0.01124473803997119,-3.676039125757728,-4.6789757430859025,-1.7736179873771605,0.0956
32003002853,32003002853,Census Tract 28.53; Clark County; Nevada,2097,1412,376,Henderson city,Nevada,54138,0.21990089921760703,0.1380010305760424,32003,2097,1412,376,0.01109,0.007296424454,0.004052580321,0.9522326074221678,0.9284960378546327,0.9641379782311011,-0.050163575795987,-0.07701051941005907,-0.03719594350457464,-1.1665905745460088,-1.790935846560093,-0.8650188192376416,-55.63140555774959,-85.40466602575552,-41.25030134657327,0.947583203311862,0.92163309252472,0.9606232849532244,-0.05531629993539139,-0.08503048350900891,-0.04099079801994691,-1.2864209358964795,-1.9774459662549635,-0.95327093123642,-61.34577662834905,-94.29880621149088,-55.63140555774959,-0.11983036135047076,-0.18651011969487064,-0.08825211199877847,-5.714371070599464,-8.894140185735367,-4.208493657547852,0.9700244001015008,0.960032364478306,0.9800163506532285,-0.03090190297827829,-0.04163155014405485,-0.02039113871258534,-0.17682821077440533,-0.23822586359528825,-0.11668305918679936,-12.52324438912219,-16.87152008465214,-8.263672746940465,0.9670767104778698,0.9561245324939875,0.9780400827029218,-0.03404413441603979,-0.04588886281535544,-0.02245298294563714,-0.19480882392204943,-0.26258724298679237,-0.12848143376853166,-13.79665891799217,-18.596830239857816,-9.099251683323772,-0.01798061314764409,-0.02436137939150415,-0.0117983745817323,-1.2734145288699783,-1.7253101552056764,-0.8355789363833074,0.960032364478306,0.9500402428967148,0.9800163506532285,-0.04163155014405485,-0.05258699036890862,-0.02039113871258534,-0.1142143091589074,-0.1442700729362277,-0.05594218358342758,-30.376146052900904,-38.36970024899673,-14.878240314741378,0.9561245324939875,-0.04588886281535544,-0.12589405742539125,0.9451836537527916,-0.05799544462027418,-0.1591079270108372,0.9780400827029218,-0.02245298294563714,-0.06159876168000171,-33.48246208122107,-42.31593803479713,-16.38264938297918,-0.01167974826648383,-0.01483785407460949,-0.00565657809657414,-3.10631602832017,-3.946237785800398,-1.504409068237803,0.4356
32003005116,32003005116,Census Tract 51.16; Clark County; Nevada,3906,2380,1008,Henderson city,Nevada,69503,0.23252253841845189,0.1270000606628886,32003,3906,2380,1008,0.01109,0.007296424454,0.004052580321,0.9473389374157388,0.9212730129417354,0.9604385125184364,-0.05558840717337782,-0.08545456770396423,-0.04119106737799035,-2.40795305126908,-3.701681654699178,-1.7842957087887918,-61.64754355527599,-94.76911558369632,-45.68089372219129,0.942227828295287,0.9137495675111588,0.9565694861911896,-0.06131444006407301,-0.09439176285879672,-0.04540236170582804,-2.655990710053085,-4.088818963306441,-1.966718619286674,-67.99771403105696,-104.68046501040556,-61.64754355527599,-0.24803765878400472,-0.3871373086072625,-0.1824229104978821,-6.350170475780971,-9.91134942670923,-4.670325409571993,0.9669216965530398,0.9559191383639593,0.977936098076588,-0.03420990920452024,-0.046113588343345203,-0.02256170108334028,-0.3299594034845365,-0.4447720691492271,-0.2176107918483375,-13.86384048254355,-18.687902065093574,-9.14331058186292,0.9636746525457668,0.951619367600871,0.9757566618604264,-0.03769461753328419,-0.050840319193063,-0.02484568037009363,-0.3635699072307616,-0.4903620554388944,-0.23964009448468,-15.276046522300906,-20.603447707516573,-10.068911532969748,-0.03361050374622509,-0.04558998628966732,-0.02202930263634248,-1.412206039757357,-1.9155456424229969,-0.9256009511068268,0.9559191383639593,0.9449285339473404,0.977936098076588,-0.046113588343345203,-0.05828109118750414,-0.02256170108334028,-0.33915602815927387,-0.4286455275778796,-0.1659367054883889,-33.64643136500733,-42.52435789463092,-16.461974750832233,0.951619367600871,-0.050840319193063,-0.3739201685951059,0.9395910253751146,-0.06429283911132312,-0.4728607062570172,0.9757566618604264,-0.02484568037009363,-0.18273490686724791,-37.09525482094305,-46.910784350894566,-18.128462982861898,-0.03476414043583203,-0.0442151786791376,-0.01679820137885904,-3.448823455935718,-4.386426456263651,-1.6664882320296668,0.3003
32003005442,32003005442,Census Tract 54.42; Clark County; Nevada,3354,2452,1392,Henderson city,Nevada,149581,0.1895768808988085,0.12454864267904352,32003,3354,2452,1392,0.01109,0.007296424454,0.004052580321,0.9640934305484522,0.946081977513061,0.9730844491522098,-0.03724386902120193,-0.05699085678460103,-0.02766003595190539,-1.385317737970964,-2.11982393024007,-1.0288388248620397,-41.30345074451294,-63.20286017412254,-30.674979870663083,0.9605744612498964,0.9408527234145586,0.970433064555982,-0.04104370909341406,-0.06286560596942643,-0.03046777415559965,-1.5266560573193564,-2.3383402784539498,-1.1332750620033027,-45.517473384596194,-69.7179570200939,-41.30345074451294,-0.14133831934839236,-0.2185163482138797,-0.10443623714126304,-4.214022640083255,-6.515096845971368,-3.11378166789693,0.9775195310816064,0.9699870502386352,0.9850323498190536,-0.02299746266299089,-0.03094159839967056,-0.01519508489614148,-0.2285241064506164,-0.3074644029237852,-0.15099244856781896,-9.319906462096917,-12.539331277479004,-6.1579302026027305,0.9752994691058082,0.9670357505553452,0.9835479622061062,-0.02532609898458999,-0.03408793255649996,-0.01672723489456656,-0.2516635954646917,-0.33872929559133924,-0.1662173111741561,-10.263605035264751,-13.8144084662047,-6.778846295846497,-0.02313948901407528,-0.03126489266755405,-0.01522486260633715,-0.9436985731678338,-1.2750771887256955,-0.6209160932437664,0.9699870502386352,0.962434650202396,0.9850323498190536,-0.03094159839967056,-0.0390315849389922,-0.01519508489614148,-0.3142621450112114,-0.39642908707151914,-0.15433074631140337,-22.57630352092036,-28.479101082724075,-11.086978901681276,0.9670357505553452,-0.03408793255649996,-0.3462182743706363,0.958756619405372,-0.0430175706324796,-0.436913240405779,0.9835479622061062,-0.01672723489456656,-0.16989221597966447,-24.872002469154907,-31.38744543144964,-12.204900573251756,-0.03195612935942488,-0.04048415333425986,-0.0155614696682611,-2.2956989482345462,-2.908344348725565,-1.1179216715704818,0.0874
32003005343,32003005343,Census Tract 53.43; Clark County; Nevada,4227,2664,1051,Henderson city,Nevada,90700,0.2202159644008636,0.13915057685617196,32003,4227,2664,1051,0.01109,0.007296424454,0.004052580321,0.952110143051722,0.928315047186943,0.9640454578603288,-0.05029865220717067,-0.07722050076671992,-0.03729548419788343,-2.3578715479359884,-3.619898619256859,-1.7483164498023869,-55.78120529775227,-85.6375353502924,-41.36069197545272,0.9474491511101,0.9214354762811156,0.960521884035664,-0.05546561398923377,-0.08526318525955652,-0.04110069392533522,-2.6000854371873268,-3.996918998581892,-1.926694902436327,-61.51136591406025,-94.55687245284815,-55.78120529775227,-0.24221388925133835,-0.3770203793250331,-0.17837845263394003,-5.730160616307981,-8.919337102555787,-4.219977587744027,0.9699468284460436,0.9599294738100134,0.9799643689455064,-0.0309843495257411,-0.041743198102819463,-0.02044526483759095,-0.3345093295516189,-0.4506626546771296,-0.22072859162804245,-12.556656514700409,-16.91676631670907,-8.285607793845438,0.9669916412924364,0.956011814063412,0.9779830182827864,-0.0341351024125153,-0.04601217818598024,-0.02251264214778768,-0.3685250907946317,-0.49675087945334984,-0.24304815000346056,-13.833524429227914,-18.646804784284903,-9.123429054183957,-0.03401576124301275,-0.04608822477622021,-0.0223195583754181,-1.2768679145275057,-1.7300384675758336,-0.8378212603385173,0.9599294738100134,0.9499123069700596,0.9799643689455064,-0.041743198102819463,-0.0527287547096903,-0.02044526483759095,-0.32010947208828283,-0.4043526754326824,-0.15678537417630975,-30.457609142557835,-38.473137529275206,-14.9177330329505,0.956011814063412,-0.04601217818598024,-0.3528463255849892,0.94504364458307,-0.05815218771316683,-0.44594249975263023,0.9779830182827864,-0.02251264214778768,-0.17263914411852388,-33.57243820979916,-42.43030444839488,-16.426179269126916,-0.03273685349670635,-0.041589824319947843,-0.01585376994221413,-3.114829067241328,-3.95716691911968,-1.5084462361764155,0.4301
32003005316,32003005316,Census Tract 53.16; Clark County; Nevada,2270,1838,942,Henderson city,Nevada,58287,0.2856155942678032,0.14920032014362236,32003,2270,1838,942,0.01109,0.007296424454,0.004052580321,0.9270275561293264,0.8914995037573713,0.945031480842888,-0.07871658548680033,-0.12170561597099663,-0.05816580745869422,-1.9816349380203575,-3.06385368813866,-1.464283486707406,-87.29669330486156,-134.97152811183526,-64.50588047169188,0.9200298291341006,0.8813191691249675,0.9397036279189268,-0.08692128052105061,-0.13466271361471316,-0.06416530732631723,-2.1881823922210843,-3.390039551350873,-1.6153166962249077,-96.39570009784512,-149.3409493987169,-87.29669330486156,-0.20654745420072684,-0.326185863212213,-0.15103320951750177,-9.099006792983564,-14.36942128688163,-6.65344535319391,0.9539784478400494,0.9388089110423772,0.969233739087083,-0.04824171055871371,-0.06517949311929859,-0.03174287034404685,-0.3593352618116596,-0.4854987510500688,-0.23644129724316668,-19.550340686162112,-26.41451311480244,-12.864053168833877,0.9494944261313394,0.932899635800148,0.9662096616167674,-0.05319206988338276,-0.0719266699491204,-0.03497205598906035,-0.3962087193111975,-0.5357560600168143,-0.26049434709879177,-21.556513564265373,-29.14886071908674,-14.172706588617617,-0.03687345749953796,-0.05025730896674552,-0.02405304985562509,-2.0061728781032624,-2.7343476042843045,-1.3086534197837372,0.9388089110423772,0.9237255323932958,0.969233739087083,-0.06517949311929859,-0.08257265273276945,-0.03174287034404685,-0.44799376714026645,-0.5675409855184294,-0.21817610700418447,-47.5577247494975,-60.24851226310291,-23.16094554184549,0.932899635800148,-0.0719266699491204,-0.4943686777278792,0.9164256638104328,-0.0911959796521532,-0.6268111106301105,0.9662096616167674,-0.03497205598906035,-0.24037104858277333,-52.480751351154915,-66.54045760404571,-25.517096452523703,-0.04637491058761278,-0.05927012511168117,-0.02219494157858886,-4.923026601657408,-6.291945340942799,-2.356150910678224,0.4182
32003005352,32003005352,Census Tract 53.52; Clark County; Nevada,2811,1958,847,Henderson city,Nevada,66664,0.31948884363043895,0.18322376825572784,32003,2811,1958,847,0.01109,0.007296424454,0.004052580321,0.9142970834721028,0.8730088304658841,0.9353312238790604,-0.0937363993357988,-0.1454637858202954,-0.06913997359431821,-2.922137575530198,-4.53468660452403,-2.15536884542954,-103.95366686340084,-161.31933847470756,-76.6762307160989,0.9061415978880812,0.8612326784821012,0.929098963885882,-0.103580281857352,-0.16112640054772703,-0.0763116082032642,-3.229010670818272,-5.022952799410836,-2.378937311012476,-114.87053257980337,-178.68917820742925,-103.95366686340084,-0.30687309528807427,-0.48826619488680656,-0.22356846558293597,-10.9168657164025,-17.369839732721687,-7.953342781321095,0.9458113624678032,0.9280529993735444,0.9637221610796756,-0.05729328244778989,-0.07752466796079674,-0.03764346238513567,-0.4546194615299329,-0.6151545399016288,-0.2986990772478043,-23.218562897340803,-31.417494376998405,-15.255315487630456,0.9405566964387272,0.9211493639116128,0.9601675633289516,-0.06320012795224966,-0.08560027198363579,-0.04148488054829423,-0.5014899986653313,-0.6792340723623086,-0.32918054701588556,-25.612359482396897,-34.690197771313,-16.81208105290529,-0.0468705371353984,-0.06407953246067977,-0.03048146976808125,-2.3937965850560983,-3.272703394314595,-1.556765565274834,0.9280529993735444,0.9104473420467338,0.9637221610796756,-0.07752466796079674,-0.09836116139561356,-0.03764346238513567,-0.47910799198348736,-0.6078790114811838,-0.23263928951967275,-56.56528830973877,-71.76847833307956,-27.46626794801331,0.9211493639116128,-0.08560027198363579,-0.5290158023515722,0.9019455404784656,-0.10871439030511572,-0.6718627065275831,0.9601675633289516,-0.04148488054829423,-0.256379528477555,-62.45759177704512,-79.3226335923947,-30.2691296903843,-0.04990781036808484,-0.06398369504639922,-0.02374023895788227,-5.892303467306356,-7.554155259315139,-2.8028617423709883,0.3101
32003002846,32003002846,Census Tract 28.46; Clark County; Nevada,4234,3157,1047,Henderson city,Nevada,65275,0.24911420550752375,0.14273165438459967,32003,4234,3157,1047,0.01109,0.007296424454,0.004052580321,0.9409442441982931,0.911863458513374,0.955596997782599,-0.06276222652493468,-0.0966554155271409,-0.04646624290410633,-2.9470041122118995,-4.538460835401832,-2.181825223536887,-69.60330921615257,-107.19085581959924,-51.53106338065392,0.9352339827394184,0.9034888424087404,0.9512666128103152,-0.06925113763603163,-0.10682053065974416,-0.05122999854447991,-3.251691322768123,-5.015764426360126,-2.405507655455967,-76.79951163835908,-118.46396850165624,-69.60330921615257,-0.30468721055622394,-0.4773035909582939,-0.22368243191907977,-7.196202422206517,-11.273112682057011,-5.283005005174298,0.9628581568366008,0.9505389298420848,0.9752082359811872,-0.03857457393872619,-0.05203476533689388,-0.02542202075833489,-0.4935229475050251,-0.6657325834003546,-0.3252492337599536,-15.63265592350412,-21.087506601214905,-10.302478104528149,0.959220706596528,0.9457294195071416,0.9727631187430508,-0.04251294110211972,-0.05738489188709071,-0.02799950032248683,-0.5439104015290777,-0.7341820814757499,-0.35822549718297453,-17.228710849828243,-23.25568835843364,-11.347022400474328,-0.05038745402405253,-0.06844949807539535,-0.0329762634230209,-1.5960549263241222,-2.168181757218732,-1.04454429594618,0.9505389298420848,0.9382507981037626,0.9752082359811872,-0.05203476533689388,-0.06581310884151095,-0.02542202075833489,-0.3975121177725904,-0.5027697944519774,-0.1942078770659772,-37.9667734262264,-48.020037674496415,-18.54898539312103,0.9457294195071416,-0.05738489188709071,-0.4383836412925052,0.9322895940131608,-0.07262808297084078,-0.5548318107054561,0.9727631187430508,-0.02799950032248683,-0.21389816207885415,-41.87045284551149,-52.992532063558365,-20.42962388527738,-0.0408715235199148,-0.05206201625347861,-0.01969028501287695,-3.903679419285081,-4.97249438906195,-1.8806384921563468,0.466
32003005358,32003005358,Census Tract 53.58; Clark County; Nevada,2011,1620,413,Henderson city,Nevada,52250,0.22858183147494449,0.11790816522199528,32003,2011,1620,413,0.01109,0.007296424454,0.004052580321,0.9488641244807092,0.923522119945782,0.9615920267964572,-0.05389167342297425,-0.08281109721411754,-0.03994206704427352,-1.2018915617624375,-1.8468522619582772,-0.8907875798007177,-59.765865826078446,-91.83750681045636,-44.295752352099335,0.9438966167216918,0.9162036808069386,0.9578333162668504,-0.05943805951245434,-0.09146036077835716,-0.04402298710750006,-1.3255870088661614,-2.039748051475314,-0.9818002182415952,-65.91680799931186,-101.42954010319812,-59.765865826078446,-0.12369544710372392,-0.1928957895170369,-0.0910126384408776,-6.150942173233412,-9.592033292741766,-4.525740350118229,0.9678893503806518,0.9572014671803396,0.978585116484781,-0.03317595095629442,-0.04471214711541706,-0.0218835164713565,-0.21780609368102263,-0.2935432993655457,-0.14366922729387993,-13.44482059759399,-18.11995675095961,-8.868470820609872,0.9647355503697566,0.953023678671062,0.9764690146936212,-0.03655348827637537,-0.04929187215415675,-0.0240980358334893,-0.23998023454944375,-0.3236100191450373,-0.15820794578555353,-14.813594725274308,-19.975927107718352,-9.765922579355156,-0.02217414086842112,-0.0300667197794916,-0.01453871849167359,-1.3687741276803165,-1.855970356758741,-0.8974517587452838,0.9572014671803396,0.946521543099402,0.978585116484781,-0.04471214711541706,-0.05649998913440667,-0.0218835164713565,-0.1347366258883589,-0.1702583836792309,-0.06594429840982148,-32.62388036037746,-41.224790237101914,-15.96714247211174,0.953023678671062,-0.04929187215415675,-0.14853727602540978,0.9413335841692478,-0.0623226630998477,-0.1878045650720946,0.9764690146936212,-0.0240980358334893,-0.07261758265287076,-35.9654421369031,-45.473260308013224,-17.582949794883962,-0.01380065013705086,-0.0175461813928637,-0.00667328424304927,-3.341561776525634,-4.24847007091131,-1.6158073227722218,0.1256
32003005361,32003005361,Census Tract 53.61; Clark County; Nevada,2854,2057,861,Henderson city,Nevada,70441,0.2441631356410152,0.13512351512833015,32003,2854,2057,861,0.01109,0.007296424454,0.004052580321,0.9428479337253712,0.914661230465704,0.9570391793559028,-0.06061641992342283,-0.09330095853176752,-0.04488930189149667,-1.9185618206974668,-2.9530555763547786,-1.420785009665496,-67.22360969507592,-103.47076301173016,-49.782235797669806,0.9373155435293722,0.9065385944948984,0.9528459427221296,-0.06687657844080498,-0.10309699561900736,-0.04948759832377396,-2.1167012215089365,-3.263108574757815,-1.5663250462820042,-74.1661254908527,-114.33456814147917,-67.22360969507592,-0.19813940081146963,-0.31005299840303646,-0.14554003661650805,-6.942515795776791,-10.863805129749,-5.099510743395517,0.9640689546904948,0.9521412441967406,0.9760214516824348,-0.03727020264960262,-0.05026434480698784,-0.02456764477484764,-0.31069028755451866,-0.4190115060184421,-0.20479976165936048,-15.104048981746168,-20.370029461275745,-9.956235374786608,0.9605476361115538,0.9474831949462752,0.9736554503560784,-0.0410727822392604,-0.0554276902575594,-0.02705736370528927,-0.34238919075788815,-0.4620539680587847,-0.225554451342731,-16.645074903154505,-22.46251667762687,-10.965213969019494,-0.03169890320336949,-0.04304246204034256,-0.02075468968337052,-1.5410259214083368,-2.0924872163511212,-1.0089785942328888,0.9521412441967406,0.9402385261956218,0.9760214516824348,-0.05026434480698784,-0.06355990755471824,-0.02456764477484764,-0.3157717453626488,-0.39929741491133014,-0.15433938510076237,-36.674999461399395,-46.376006377622545,-17.92559641123837,0.9474831949462752,-0.0554276902575594,-0.3482090249312588,0.9344624329088532,-0.07013397733618616,-0.4405971771384382,0.9736554503560784,-0.02705736370528927,-0.16998035078223844,-40.4423954623994,-51.17272672920304,-19.742201020004465,-0.03243727956861003,-0.04129976222710807,-0.01564096568147607,-3.767396001000004,-4.796720351580496,-1.8166046087660948,0.0275
