geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06059099410,06059099410,Census Tract 994.10; Orange County; California,3391,2228,1154,Huntington Beach city,California,55154,0.3638242270758181,0.21139821657041905,06059,3391,2228,1154,0.009319,0.009493868073,0.003212018401,0.8978984411889291,0.8493853526426253,0.9227852205190292,-0.11371170070846288,-0.17732192683659934,-0.08367578691555168,-3.593372638217243,-5.603502155721203,-2.6442158661800943,-105.96793389021654,-165.24630361902692,-77.9774658266026,0.8882801134369898,0.8356323493171872,0.9153995470333232,-0.1257710094744062,-0.19669852515537611,-0.0924191553741254,-3.9744555864571423,-6.215816788134723,-2.9205126833866304,-117.20600372919913,-183.303355592295,-105.96793389021654,-0.3810829482398992,-0.6123146324135202,-0.2762968172065361,-11.238069838982575,-18.05705197326807,-8.147945066544857,0.935227334634852,0.9141609829148208,0.9565555995281338,-0.06925873845468569,-0.09389923513414422,-0.0454175381894133,-0.4956416427479948,-0.6719783263900728,-0.3250250255785251,-22.24603423464967,-30.160607109069694,-14.588196839251577,0.9289854478012268,0.9059932237908608,0.9523163489623506,-0.07644312660317153,-0.10376101469699248,-0.05007123010080186,-0.5470558328344132,-0.7425529388073456,-0.35832859932630295,-24.55367292793596,-33.32822885131713,-16.082971244448068,-0.0514141900864184,-0.07057461241727281,-0.03330357374777787,-2.307638693286284,-3.1676217422474333,-1.4947744051964933,0.9141609829148208,0.8933560060597908,0.9565555995281338,-0.09389923513414422,-0.11937457544005328,-0.0454175381894133,-1.028752860899124,-1.3078587469549825,-0.4975910855994214,-89.14669505191716,-113.33264704982516,-43.11881157707291,0.9059932237908608,-0.10376101469699248,-1.136797765890555,0.8833382117011285,-0.13206921964148344,-1.446940300938471,0.9523163489623506,-0.05007123010080186,-0.5485765793656345,-98.50933846538604,-125.3847747780304,-47.53696528298393,-0.10804490499143092,-0.13908155398348865,-0.05098549376621314,-9.362643413468886,-12.052127728205257,-4.418153705911017,0.6942
06059099406,06059099406,Census Tract 994.06; Orange County; California,3108,2154,1094,Huntington Beach city,California,54620,0.4331614852224414,0.21434403458000456,06059,3108,2154,1094,0.009319,0.009493868073,0.003212018401,0.8728398714813922,0.8137150676380059,0.9035007416896108,-0.14568551766865373,-0.22893140335071915,-0.10680595361762384,-4.219555498091204,-6.630643712241192,-3.0934691109182744,-135.76433391541838,-213.34117478253515,-99.53246817626363,0.8610493323989287,0.7971124524988765,0.8943785290533719,-0.16137364303384044,-0.25452813698379584,-0.1180948194926146,-4.673937764075771,-7.372013478179595,-3.4204336358230067,-150.38409794323587,-237.19477085519932,-135.76433391541838,-0.45438226598456755,-0.7413697659384022,-0.3269645249047324,-14.619764027817489,-23.853596072664164,-10.520094108903876,0.91891165764314,0.8928506392553069,0.9454543250274076,-0.08824389339540922,-0.1200081581775674,-0.05769255428707381,-0.6105319341656119,-0.8302989601727461,-0.39915676202104405,-28.344100936193684,-38.54684123364652,-18.530954597077255,0.9111736191461024,0.8827885574811678,0.9401661445880696,-0.09748568109021886,-0.13277408449115816,-0.06364178901394754,-0.6744729764219548,-0.918622416717533,-0.44031765876806367,-31.312580149580075,-42.64728025615288,-20.44185973853592,-0.0639410422563429,-0.0883234565447869,-0.04116089674701961,-2.9684792133863924,-4.100439022506356,-1.9109051414586635,0.8928506392553069,0.867267410476987,0.9454543250274076,-0.1200081581775674,-0.1530469010129317,-0.05769255428707381,-1.2464397338351658,-1.5895897533949002,-0.5992116961202809,-113.93416214215412,-145.30070871982633,-54.77254991958692,0.8827885574811678,-0.13277408449115816,-1.3790303679896174,0.8550043608768199,-0.16958467787753145,-1.7613559275148047,0.9401661445880696,-0.06364178901394754,-0.6610021832179618,-126.05396416724108,-161.0014558971485,-60.42067488281186,-0.1325906341544516,-0.17176617411990458,-0.06179048709768087,-12.119802025086983,-15.700747177322176,-5.648124963224943,0.538
06059099237,06059099237,Census Tract 992.37; Orange County; California,2057,1487,842,Huntington Beach city,California,54573,0.40232309403905064,0.18753671436369057,06059,2057,1487,842,0.009319,0.009493868073,0.003212018401,0.8838973730824028,0.8293909564377341,0.9120274246356108,-0.1313530625311332,-0.2057040075467404,-0.0964582566138705,-2.517930893269735,-3.943177764496847,-1.8490259728922436,-122.407918972763,-191.69556463280736,-89.8894493384659,0.8730558515880863,0.8140202806661843,0.9036675502861748,-0.14540209332656398,-0.2284706213727405,-0.10660164756753568,-2.7872393355599834,-4.379595151217773,-2.0434664903235964,-135.50021077102494,-212.9117720572568,-122.407918972763,-0.26930844229024853,-0.4364173867209251,-0.1944405174313528,-13.09229179826196,-21.216207424449447,-9.452626029720603,0.9261327629719138,0.9022665757396384,0.9503757228224466,-0.07975879914997273,-0.10831989889489592,-0.05221543015658911,-0.3809496682704155,-0.5173652310575146,-0.24939506372641357,-25.618673051137556,-34.79255084448653,-16.771692247909453,0.9190530336623328,0.8930347451898617,0.9455508016884135,-0.08807649109769189,-0.11977725994009022,-0.05758463555248409,-0.4206772221206316,-0.5720886965050589,-0.27503984569706363,-28.2903310101299,-38.472676294893,-18.496290900945773,-0.03972755385021614,-0.05472346544754425,-0.02564478197065006,-2.6716579589923435,-3.680125450406473,-1.724598653036319,0.9022665757396384,0.8787751387620751,0.9503757228224466,-0.10831989889489592,-0.13794753161621476,-0.05221543015658911,-0.8658916066822034,-1.1027300709070056,-0.41740163324710944,-102.837482978884,-130.96556661603393,-49.57264052816027,0.8930347451898617,-0.11977725994009022,-0.9574798823820144,0.8674921191623909,-0.15274822434761992,-1.2210443948673828,0.9455508016884135,-0.05758463555248409,-0.4603221855582724,-113.71495040166442,-145.01714903413097,-54.67009329670694,-0.0915882756998111,-0.11831432396037722,-0.04292055231116298,-10.877467422780414,-14.051582418097055,-5.097452768546673,0.4223
06059099230,06059099230,Census Tract 992.30; Orange County; California,2711,2042,948,Huntington Beach city,California,53586,0.3352673622924045,0.19174226978114997,06059,2711,2042,948,0.009319,0.009493868073,0.003212018401,0.9084269244736722,0.8645270969871472,0.9308467957775952,-0.1008040086211488,-0.1567017430511687,-0.07429064002378258,-2.5466932202390566,-3.9588829064118034,-1.8768645400485984,-93.93925563404856,-146.0303543493841,-69.23144743816297,0.8997440790398282,0.8520331084209352,0.924200137815866,-0.11142715278233448,-0.17366331204346094,-0.08201671811396777,-2.815074305306717,-4.387396745773397,-2.072054701238122,-103.83896367785748,-161.83684049330125,-93.93925563404856,-0.26838108506766023,-0.42851383936159326,-0.19519016118952348,-9.899708043808936,-15.806486143917123,-7.199932172243582,0.9420309540496128,0.9230849380850192,0.9611655203929214,-0.06153624326375809,-0.08332392691245116,-0.04040352965554073,-0.4036126243022539,-0.5465167684051722,-0.2650043904280878,-19.76555456916033,-26.763798648637227,-12.977688071894605,0.9364221778131876,0.9157266029402794,0.9573660034485936,-0.06789440029633292,-0.0920289929211728,-0.04453259923355485,-0.4453154048025831,-0.6036127877615204,-0.29208671654873997,-21.807806307668123,-29.55988186883058,-14.303952818253672,-0.04170278050032916,-0.05709601935634823,-0.02708232612065214,-2.0422517385077947,-2.796083220193351,-1.3262647463590669,0.9230849380850192,0.90432754957579,0.9611655203929214,-0.08332392691245116,-0.10579402393423576,-0.04040352965554073,-0.7499309182206879,-0.9521659918239798,-0.3636393196611179,-79.10663694311054,-100.43945061434384,-38.35857802332468,0.9157266029402794,-0.0920289929211728,-0.8282781395650627,0.8952788762411633,-0.11697039496621356,-1.0527554203466258,0.9573660034485936,-0.04453259923355485,-0.4008017177234508,-87.37111176846653,-111.05014982559344,-42.27866220711506,-0.07834722134437477,-0.10058942852264607,-0.03716239806233284,-8.26447482535599,-10.610699211249583,-3.920084183790385,0.465
06059099418,06059099418,Census Tract 994.18; Orange County; California,2228,1817,626,Huntington Beach city,California,44456,0.3939385675692444,0.22681055558199809,06059,2228,1817,626,0.009319,0.009493868073,0.003212018401,0.8869278993449715,0.8337049840393506,0.914359592028014,-0.12748736479993056,-0.1994650615556358,-0.09366162800571592,-2.6469859887271916,-4.1414396164431695,-1.9446712809663744,-118.80547525705528,-185.88149086369705,-87.28327113852667,0.8763491060553769,0.8186789758054286,0.9062097442019174,-0.1410977578344327,-0.22148000565934295,-0.10349729342259724,-2.9295749317172266,-4.598530000863421,-2.1488865660587493,-131.48900052590784,-206.3972172739417,-118.80547525705528,-0.282588942990035,-0.4570903844202512,-0.20421528509237508,-12.68352526885256,-20.515726410244667,-9.1658566019917,0.9281058732546096,0.9048437625172576,0.951718205707611,-0.077463281740991,-0.10516316896302584,-0.05073118702871828,-0.4520941047050553,-0.6137572234449641,-0.29607925283956205,-24.88134863539105,-33.77860338167111,-16.294950624081565,0.9212070926929996,0.8958410447868704,0.9470201394365584,-0.08553224126473258,-0.11626946077014146,-0.05594375278540819,-0.4991864683359252,-0.6785761794494324,-0.3265010242391584,-27.473113282109257,-37.345964746804206,-17.969236336772614,-0.04709236363086994,-0.0648189560044683,-0.03042177139959634,-2.591764646718213,-3.567361365133093,-1.674285712691048,0.9048437625172576,0.8819302459580383,0.951718205707611,-0.10516316896302584,-0.13387652207539713,-0.05073118702871828,-0.6250016879232582,-0.7956497801985887,-0.3015036332201749,-99.84052522735752,-127.10060386558924,-48.163519683734016,0.8958410447868704,-0.11626946077014146,-0.6910081728405779,0.8709187905089455,-0.14821268170781152,-0.8808518909465687,0.9470201394365584,-0.05594375278540819,-0.33248275289169793,-110.38469214705718,-140.71116468795026,-53.11226084531915,-0.06600648491731975,-0.08520211074798001,-0.030979119671523,-10.54416691969964,-13.610560822361023,-4.948741161585144,0.8658
06059099416,06059099416,Census Tract 994.16; Orange County; California,4299,2530,962,Huntington Beach city,California,36893,0.3842812439642514,0.20617263016449028,06059,4299,2530,962,0.009319,0.009493868073,0.003212018401,0.8904313472508306,0.8387017089319038,0.9170531809272516,-0.12305120780783156,-0.19231902039821935,-0.09044930086702169,-4.929724369707523,-7.704757868740234,-3.623614352518252,-114.67142055611824,-179.2220951091006,-84.28970347797748,0.8801576839838822,0.8240779251910547,0.9091467148684454,-0.13616005199621986,-0.2134774751649359,-0.09993247915403965,-5.45489588005237,-8.5524159449757,-4.003533054143693,-126.88755245527727,-198.93965910620375,-114.67142055611824,-0.5251715103448475,-0.8476580762354651,-0.3799187016254408,-12.216131899159048,-19.717563997103166,-8.837373845672037,0.9303837176726516,0.9078212979326972,0.9532668318559568,-0.07482534464542549,-0.1015383779574389,-0.04902422551832241,-0.608061171171552,-0.825142140169676,-0.3983907875828521,-24.034038386227355,-32.61431384069866,-15.746671445962534,0.9236944017231172,0.8990842793538374,0.9487153569332624,-0.08260913797305436,-0.11224278186544392,-0.05405693361232822,-0.671315440288302,-0.9121304782500244,-0.4392886196250171,-26.534207126019844,-36.05258807312349,-17.363186546443362,-0.06325426911675003,-0.08698833808034834,-0.04089783204216496,-2.500168739792491,-3.438274232424835,-1.6165151004808287,0.9078212979326972,0.8855783486362305,0.9532668318559568,-0.1015383779574389,-0.1292055655380194,-0.04902422551832241,-0.9273602700167112,-1.1800474909617296,-0.4477432073327787,-96.3991964674336,-122.66605935153116,-46.542952945195296,0.8990842793538374,-0.11224278186544392,-1.0251246729763135,0.8748824182979633,-0.14301073959795216,-1.3061315411640404,0.9487153569332624,-0.05405693361232822,-0.4937074390928015,-106.56181631770411,-135.7725094765115,-51.32093961463634,-0.09776440295960244,-0.12608405020231084,-0.04596423176002279,-10.162619850270522,-13.106450124980338,-4.777986669441038,0.323
06059099404,06059099404,Census Tract 994.04; Orange County; California,2875,2017,963,Huntington Beach city,California,58238,0.43564889222450537,0.21900934654433565,06059,2875,2017,963,0.009319,0.009493868073,0.003212018401,0.8719540317103532,0.8124636476449738,0.9028164686088782,-0.14684944805918518,-0.23082429952235212,-0.10764483676385396,-3.934408768582697,-6.184273485840298,-2.884033922181771,-136.84900064635468,-215.10516472487996,-100.31422338023552,0.8600881202040067,0.795764080894422,0.8936334565403311,-0.16267156412160094,-0.256653855092355,-0.11902703807830006,-4.358316879891447,-6.876302167366261,-3.1889872825735748,-151.5936306049199,-239.1757275605656,-136.84900064635468,-0.4239081113087506,-0.6920286815259633,-0.30495336039180376,-14.74462995856524,-24.07056283568568,-10.607073404932306,0.9183316671514736,0.8920954515532818,0.9450584803588488,-0.08893119530751793,-0.120956281369711,-0.05813557656272179,-0.5761532983091063,-0.7836323375771833,-0.37663953655284094,-28.564863575067243,-38.85138014760452,-18.67325416722067,0.910541022002522,0.8819672474941188,0.9397331599904434,-0.0982481577828684,-0.13382895208551185,-0.06413186484785692,-0.6365145544671191,-0.8670297513340713,-0.41548733637321295,-31.55748906629247,-42.98610566852114,-20.59927299817615,-0.0603612561580128,-0.08339741375688803,-0.03884779982037201,-2.9926254912252253,-4.13472552091661,-1.926018830955479,0.8920954515532818,0.8663457979477822,0.9450584803588488,-0.120956281369711,-0.15427350414675134,-0.05813557656272179,-1.10585428774149,-1.4104601605941145,-0.5315100289476034,-114.83429779247042,-146.46522955286756,-55.193149423427144,0.8819672474941188,-0.13382895208551185,-1.2235439020761232,0.8540049748458018,-0.1709533661446865,-1.5629573827348404,0.9397331599904434,-0.06413186484785692,-0.5863316639678021,-127.05544154476875,-162.30087048129184,-60.88594641410199,-0.1176896143346331,-0.15249722214072592,-0.05482163502019877,-12.221143752298348,-15.83564092842429,-5.692796990674847,0.1043
06059099305,06059099305,Census Tract 993.05; Orange County; California,5449,3464,1469,Huntington Beach city,California,57233,0.4038749358610277,0.22056932667781512,06059,5449,3464,1469,0.009319,0.009493868073,0.003212018401,0.8833376077975278,0.828594950507717,0.9115964305484644,-0.13206999359322277,-0.20686229066114328,-0.09697665160705748,-6.706412712838778,-10.504308042671337,-4.924399793561292,-123.07602702952428,-192.77496866711937,-90.37254163261684,0.872447681472195,0.8131609425594893,0.903197813552304,-0.14620053584481918,-0.22976885344790385,-0.10717717093110532,-7.423950781987853,-11.667485685836256,-5.442374320637081,-136.244279353787,-214.12159452810155,-123.07602702952428,-0.7175380691490751,-1.1631776431649197,-0.517974527075789,-13.168252324262712,-21.34662586098219,-9.505863958080178,0.925768032102419,0.9017903853065724,0.9501274584609736,-0.08018419876629379,-0.10890514724221682,-0.05249036968135897,-0.8921640142850762,-1.21172568704105,-0.584030515322856,-25.75531219067772,-34.980533690561494,-16.860003329181755,0.9186549045100894,0.8925163089218697,0.9452791008826869,-0.08854804463629493,-0.120427705358087,-0.05788861624700656,-0.985223774450424,-1.3399306433997225,-0.6440937372569671,-28.44179487443487,-38.68160056003818,-18.593930059381265,-0.09305976016534769,-0.12820495635867246,-0.06006322193411106,-2.68648268375715,-3.701066869476687,-1.7339267301995112,0.9017903853065724,0.8781924179497715,0.9501274584609736,-0.10890514724221682,-0.13870261182008436,-0.05249036968135897,-1.5188447864703338,-1.934414893762604,-0.7320565312961392,-103.39311003882464,-131.68242980004112,-49.83366448578211,0.8925163089218697,-0.120427705358087,-1.679544053348572,0.8668593772706601,-0.15358964351119814,-2.1420367651125165,0.9452791008826869,-0.05788861624700656,-0.8073431349135013,-114.33247470037932,-145.81598128744156,-54.95868855776047,-0.1606992668782381,-0.20762187134991228,-0.07528660361736206,-10.93936466155467,-14.133551487400426,-5.125024071978356,0.7288
06059099244,06059099244,Census Tract 992.44; Orange County; California,1889,1584,930,Huntington Beach city,California,54682,0.416346533246264,0.1861282582260468,06059,1889,1584,930,0.009319,0.009493868073,0.003212018401,0.878851827883718,0.8222254145323401,0.9081400729344918,-0.13784823365277374,-0.21621149422725316,-0.1011517163521694,-2.426623925295865,-3.8060987138754254,-1.780633443611602,-128.46076894101984,-201.4874914703772,-94.26328446858666,0.8675753944459001,0.8062876098745388,0.8994315632161455,-0.1526375764018484,-0.24025222234979335,-0.11181332843629212,-2.6869694662093906,-4.229301859086821,-1.968316102141156,-142.2429574488825,-223.8910460077724,-128.46076894101984,-0.260345540913526,-0.42320314521139535,-0.1876826585295539,-13.782188507862678,-22.4035545373952,-9.93555630119396,0.922842031641812,0.8979725278681534,0.9481346001574062,-0.08360907469820972,-0.11361981459952523,-0.05470257053585348,-0.42538935609123335,-0.5780791133756236,-0.2783177704187683,-26.855388642123316,-36.49489352118835,-17.57056631431618,0.9154615392916352,0.8883607361349833,0.9430983717988352,-0.09234518008673416,-0.12566884073549764,-0.06033477514401019,-0.4698372376086823,-0.6393825961376148,-0.30697351024468894,-29.661441768224893,-40.36506288747568,-19.379640798275815,-0.04444788151744894,-0.06130348276199127,-0.02865573982592062,-2.8060531261015744,-3.870169366287328,-1.809074483959635,0.8979725278681534,0.8735233087171511,0.9481346001574062,-0.11361981459952523,-0.14478914302652263,-0.05470257053585348,-1.0031831231665491,-1.2783863907357766,-0.482985258766874,-107.8691530286612,-137.4609022296534,-51.933898792136986,0.8883607361349833,-0.12566884073549764,-1.1095675571915864,0.8617909871411981,-0.16037416835522952,-1.4159912129139256,0.9430983717988352,-0.06033477514401019,-0.5327136677511577,-119.30833948296628,-152.25711966816405,-57.28103954313523,-0.10638443402503728,-0.13760482217814896,-0.04972840898428371,-11.439186454305084,-14.796217438510642,-5.347140750998249,0.128
06059099214,06059099214,Census Tract 992.14; Orange County; California,2392,1983,805,Huntington Beach city,California,54716,0.38975832217694106,0.17921443083820882,06059,2392,1983,805,0.009319,0.009493868073,0.003212018401,0.8884426980282614,0.8358641896602936,0.9155245598175894,-0.12556499391499304,-0.1963666016203103,-0.09226998803750457,-2.7989753064788174,-4.377217342315214,-2.0567947323034392,-117.014017829382,-182.99403604996715,-85.98640185215046,0.8779956506673184,0.8210115964692974,0.9074798677273436,-0.13895780604374572,-0.2180095924350272,-0.10195282073238732,-3.0975151244958252,-4.859662289429628,-2.2726352206810407,-129.4947794521666,-203.16313919020183,-117.014017829382,-0.2985398180170078,-0.48244494711441366,-0.2158404883776015,-12.480761622784607,-20.16910314023469,-9.023431788361266,0.9290911700658384,0.9061314105793694,0.95238823117524,-0.07632063700394104,-0.10359268901252652,-0.0499919751906293,-0.4861191449280444,-0.6598266390382171,-0.3184205109776248,-24.514329043270017,-33.274162331730565,-16.057514421463683,0.9222829199898128,0.8972434648317531,0.9477535549928386,-0.08426598641883717,-0.11452469613419287,-0.05512661464778799,-0.5367265116291949,-0.7294573203709389,-0.3511252503562923,-27.066389895572108,-36.785543135196114,-17.706770063353115,-0.05060736670115057,-0.06963068133272177,-0.03270473937866747,-2.5520608523020964,-3.5113808034655456,-1.6492556418894335,0.9061314105793694,0.8835075064394733,0.95238823117524,-0.10359268901252652,-0.13185229634323123,-0.0499919751906293,-0.7917137348638558,-1.0076895868168136,-0.38206685982066146,-98.34953228122431,-125.17883066047376,-47.46172171685235,0.8972434648317531,-0.11452469613419287,-0.8752622967397443,0.8726322677621693,-0.1459580821649653,-1.1154939548911311,0.9477535549928386,-0.05512661464778799,-0.4213086694556528,-108.728235619844,-138.57067762622748,-52.33648067772084,-0.08354856187588855,-0.10780436807431748,-0.03924180963499135,-10.378703338619696,-13.391846965753723,-4.874758960868491,0.6601
06059099602,06059099602,Census Tract 996.02; Orange County; California,2172,1494,715,Huntington Beach city,California,55283,0.3614987009458379,0.20968721366153076,06059,2172,1494,715,0.009319,0.009493868073,0.003212018401,0.8987512443887502,0.8506084373429773,0.9234390948303068,-0.11265492675908348,-0.17562906279612403,-0.0829084512430808,-2.2802335020802764,-3.5548846770200573,-1.6781390176956343,-104.9831262467899,-163.66872361970798,-77.262385713427,0.88920819222345,0.8369560535246798,0.9161130773117974,-0.1245960268309235,-0.19480586320953397,-0.09156830610295053,-2.521931732409181,-3.9430397628502334,-1.853421996813416,-116.1110374037376,-181.5395839249647,-104.9831262467899,-0.24169823032890436,-0.3881550858301761,-0.17528297911778146,-11.127911156947714,-17.870860305256727,-8.070118743912591,0.9357795442353573,0.9148844664910326,0.9569301797025234,-0.06862776191278948,-0.09303418806029282,-0.04500832057660211,-0.3293278493204902,-0.446448320813802,-0.21598392551188844,-22.043363408332677,-29.8827523971755,-14.456755389015292,0.9295888420637456,0.9067819764037844,0.9527265691195824,-0.07574440951758532,-0.10280092240685015,-0.04961909577488032,-0.3634789010921852,-0.4933164908894005,-0.23810990831282605,-24.329243714336357,-33.01984544105759,-15.937744866989696,-0.03415105177169497,-0.04686817007559846,-0.02212598280093761,-2.28588030600368,-3.1370930438820928,-1.4809894779744048,0.9148844664910326,0.8942444724460772,0.9569301797025234,-0.09303418806029282,-0.11826243361017796,-0.04500832057660211,-0.6315268300220106,-0.8027790790211696,-0.3055216862852095,-88.32543077230918,-112.27679426869506,-42.73030577415518,0.9067819764037844,-0.10280092240685015,-0.6978245525060417,0.8843046135047591,-0.1308320512280334,-0.8881030973664326,0.9527265691195824,-0.04961909577488032,-0.3368201616696098,-97.5978395113345,-124.21022340789268,-47.10771491882655,-0.0662977224840311,-0.08532401834526293,-0.03129847538440034,-9.272408739025328,-11.933429139197614,-4.377409144671375,0.5269
