geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
08031000904,08031000904,Census Tract 9.04; Denver County; Colorado,2797,1756,624,Lakewood city,Colorado,57163,0.5459450087978537,0.19681570300333684,08031,2797,1756,624,0.008855,0.007069502844,0.002896537907,0.8335649569663605,0.7588658411755963,0.8729898799328255,-0.19966655464902927,-0.31775597970103775,-0.14548865111351306,-4.94522841394378,-7.870000573106772,-3.603380709691612,-176.8047341417154,-281.37292002526897,-128.8302005610158,0.81852772340062,0.7382126870921344,0.8612121141074153,-0.2217057179754928,-0.35462315601627237,-0.1611541263982665,-5.491081959086349,-8.783105966127884,-3.9913743505508497,-196.32041326729885,-314.0188046524092,-176.8047341417154,-0.5458535451425695,-0.9131053930211124,-0.3879936408592375,-19.515679125583464,-32.645884627140234,-13.871778364649176,0.8929785103842292,0.8592434044565557,0.9276716161098616,-0.11984777726590735,-0.16381457781740952,-0.07796765863489874,-0.609584214140211,-0.8332134559490281,-0.39656850549557127,-34.714362992039355,-47.44951343673281,-22.58362787560201,0.8829276315547733,0.8463067951159661,0.92073297163155,-0.13259565593056652,-0.18160459749466384,-0.08609122385178382,-0.6744240115484653,-0.923699198879722,-0.4378875623168305,-38.40683437064153,-52.6024600728771,-24.93664933467144,-0.0648397974082543,-0.09048574293069388,-0.04131905682125925,-3.692471378602181,-5.152946636144299,-2.353021459069433,0.8592434044565557,0.8264494114116506,0.9276716161098616,-0.16381457781740952,-0.2099954167695627,-0.07796765863489874,-0.7226466772317537,-0.9263674343535389,-0.34394417270268923,-115.8087623768836,-148.4563196079389,-55.11925844594379,0.8463067951159661,-0.18160459749466384,-0.8011250323265288,0.8108451104499829,-0.23328116197808063,-1.0290894669467354,0.92073297163155,-0.08609122385178382,-0.37978022276290285,-128.38542184720012,-164.91818380556657,-60.86221518636263,-0.07847835509477508,-0.10272203259319668,-0.03583605006021362,-12.57665947031652,-16.461864197627673,-5.742956740418849,0.9723
08059011602,08059011602,Census Tract 116.02; Jefferson County; Colorado,2643,1801,593,Lakewood city,Colorado,78688,0.5525270898733818,0.21718114928760823,08059,2643,1801,593,0.010662,0.007069502844,0.002896537907,0.8313282269500929,0.7557815014725824,0.8712414196920188,-0.2028943172887512,-0.3231337338259491,-0.14778748736888211,-5.717494094495033,-9.105800692548147,-4.164602033034316,-216.3259210932665,-344.52518700522694,-157.57101903270208,0.8161120296418423,0.7349129220625186,0.8593149458584047,-0.22532197012076705,-0.3607054250638563,-0.1637176856048503,-6.349497860465195,-10.164558402687495,-4.61350969863769,-240.2382845427618,-384.5841242030835,-216.3259210932665,-0.6320037659701612,-1.05875771013935,-0.4489076656033735,-23.912363449495317,-40.0589371978566,-16.984777359189312,0.891487849521499,0.85732161289554,0.9266442027312338,-0.12172027979601104,-0.16642341095609892,-0.07916285134310873,-0.6349738954681058,-0.86817514492229,-0.4129660577344781,-35.256740447979226,-48.20517184465797,-22.929819974152032,0.8813064958658229,0.844224884953318,0.9196113321949944,-0.13467903015689103,-0.18451850664801908,-0.08741591691038439,-0.7025753519455034,-0.9625711931372828,-0.45601953412796936,-39.0102916127431,-53.44648490490188,-25.32035170060907,-0.06760145647739757,-0.09439604821499292,-0.04305347639349127,-3.7535511647638855,-5.2413130602439155,-2.390531726457039,0.85732161289554,0.8241274871211396,0.9266442027312338,-0.16642341095609892,-0.21340449824483124,-0.07916285134310873,-0.697682750797957,-0.894637578407687,-0.33186770760658907,-117.6530777062322,-150.86637072642276,-55.96420027092565,0.844224884953318,-0.18451850664801908,-0.7735412857586508,0.8083395706615083,-0.2371038562192935,-0.993990386818338,0.9196113321949944,-0.08741591691038439,-0.3664663344128363,-130.4454107518804,-167.6206385865663,-61.798707320883025,-0.07585853496069372,-0.09935280841065096,-0.03459862680624726,-12.792333045648183,-16.7542678601435,-5.834507049957379,0.6843
08059011711,08059011711,Census Tract 117.11; Jefferson County; Colorado,2851,1931,927,Lakewood city,Colorado,82563,0.5884674100374662,0.1977609444736164,08059,2851,1931,927,0.010662,0.007069502844,0.002896537907,0.8192203863226856,0.739159771363762,0.8617558355035094,-0.22067274776790835,-0.3528874794619619,-0.16042150084857487,-6.707869397435801,-10.72684845847282,-4.876390433877437,-235.28128367014384,-376.2486306023438,-171.0414042047505,0.803046745388395,0.7171535535234492,0.8490292575199313,-0.2452575217353607,-0.3944015128794901,-0.17781571264229917,-7.455181671412627,-11.988765560345522,-5.405128586475943,-261.49356967424154,-420.5108930321123,-235.28128367014384,-0.7473122739768252,-1.261917101872701,-0.528738152598506,-26.21228600409769,-44.26226242976853,-18.54570861446882,0.8833921332587618,0.8469035617207951,0.9210542255333096,-0.13200011903103698,-0.1807719853818225,-0.08571240680317058,-0.7383050059571896,-1.0110965256996325,-0.47940789356819097,-38.234334850191075,-52.361290818209866,-24.826923540558827,0.8725069202439782,0.8329469749095485,0.9135108695624542,-0.1461227146718458,-0.20055661419334905,-0.09467772450148476,-0.8172957154751613,-1.1217562023709875,-0.5295528402943799,-42.32499821207465,-58.09198355106098,-27.423761796705328,-0.07899070951797171,-0.110659676671355,-0.05014494672618891,-4.090663361883569,-5.730692732851114,-2.5968382561465,0.8469035617207951,0.8115635996221617,0.9210542255333096,-0.1807719853818225,-0.23218932005522216,-0.08571240680317058,-1.1846763960439408,-1.5216362552080114,-0.5617101840938391,-127.796806477232,-164.14630584768193,-60.59441036610993,0.8329469749095485,-0.20055661419334905,-1.314333558950021,0.7947944315750898,-0.2581869729739331,-1.6920100313231945,0.9135108695624542,-0.09467772450148476,-0.6204637583149462,-141.78355544228918,-182.52535397229713,-66.93244426266949,-0.12965716290607987,-0.1703737761151829,-0.05875357422110705,-13.986748965057158,-18.3790481246152,-6.338033896559552,0.1379
08059010902,08059010902,Census Tract 109.02; Jefferson County; Colorado,2141,940,213,Lakewood city,Colorado,89187,0.5274566472098308,0.2397404312331484,08059,2141,940,213,0.010662,0.007069502844,0.002896537907,0.8398799373384241,0.7675969209075085,0.8779199109707085,-0.19064637163377857,-0.30276708095406085,-0.13905606593921369,-4.351949926343361,-6.911367703280033,-3.1742803743689816,-203.26716143593467,-322.81026171321963,-148.2615775043896,0.8253514676205808,0.7475608451776572,0.8665634925466428,-0.21160504249530973,-0.3376837570490344,-0.15398353219475722,-4.830380673964968,-7.708422610003219,-3.5150347517777334,-225.6132963084992,-360.0384217656805,-203.26716143593467,-0.4784307476216067,-0.7970549067231865,-0.3407543774087518,-22.346134872564537,-37.22816005246084,-15.915664521660524,0.8971789642879122,0.8646645873102394,0.9305636081567924,-0.1146048222315338,-0.1565178158975563,-0.07461756642379694,-0.31203977920351594,-0.426158199656032,-0.20316465309414117,-33.1957211918634,-45.33597868681191,-21.613260967461827,0.8874971979969494,0.8521821632778278,0.9238908604313876,-0.126764120784793,-0.1734580270415502,-0.08237892897119396,-0.34514645623463874,-0.4722820855633243,-0.2242968690729364,-36.71770811006795,-50.24277505992813,-23.861369050312383,-0.0331066770311228,-0.046123885907292383,-0.02113221597879525,-3.5219869182045533,-4.906796373116211,-2.248108082850558,0.8646645873102394,0.8330065028023005,0.9305636081567924,-0.1565178158975563,-0.2004708206189508,-0.07461756642379694,-0.2356851698050063,-0.30186978477549825,-0.11235943788366835,-110.65031446244429,-141.72290365046865,-52.750909804539134,0.8521821632778278,-0.1734580270415502,-0.2611938092982769,0.8179245257901387,-0.22260669348919584,-0.3352020730283602,0.9238908604313876,-0.08237892897119396,-0.12404652947392382,-122.6262015484868,-157.3718652715306,-58.237807264752966,-0.02550863949327059,-0.03333228825286194,-0.01168709159025546,-11.97588708604253,-15.648961621061945,-5.486897460213833,0.6551
08059011807,08059011807,Census Tract 118.07; Jefferson County; Colorado,1876,972,299,Lakewood city,Colorado,43065,0.5425944823470249,0.24011292593619843,08059,1876,972,299,0.010662,0.007069502844,0.002896537907,0.834705846922691,0.7604407171503975,0.8738812591136834,-0.19802683027404053,-0.3150269014359251,-0.1443202260845255,-3.9609152327802946,-6.301140360154048,-2.886680461962783,-211.136206438182,-335.88168231098336,-153.87422505132105,0.8197601472510058,0.7398980777317982,0.8621794521269738,-0.21986901089716657,-0.3515375023889234,-0.1598513482698139,-4.397800607492166,-7.031422187483035,-3.19733260117417,-234.424339418559,-374.8092850470701,-211.136206438182,-0.4368853747118715,-0.7302818273289873,-0.310652139211387,-23.288132980376947,-38.92760273608674,-16.559282473954532,0.8937382698128608,0.8602233225089847,0.9281950455430766,-0.11889580403599516,-0.16248882567300468,-0.0773597691581203,-0.33474338967904543,-0.4574767018210512,-0.21780138973565352,-34.43862033735036,-47.06550430257728,-22.407550384326495,0.8837539954886471,0.84736853668136225,0.921304453560711,-0.13153660985382923,-0.18012406256716146,-0.0854175252655535,-0.37033275485508926,-0.5071275622833414,-0.24048747705789936,-38.10007765998861,-52.173617518862294,-24.741509985380596,-0.03558936517604383,-0.04965086046229022,-0.02268608732224586,-3.661457322638254,-5.108113216285003,-2.3339596010541013,0.8602233225089847,0.827633869505495,0.9281950455430766,-0.16248882567300468,-0.20826374662203284,-0.0773597691581203,-0.34346584934884455,-0.44022402356492046,-0.16352163731428,-114.87152152135268,-147.23211490465567,-54.6895108074515,0.84736853668136225,-0.18012406256716146,-0.3807428842048232,0.8121235056149565,-0.231339806182287,-0.48900176790309,0.921304453560711,-0.0854175252655535,-0.18055397189988945,-127.3387572591382,-163.54574177360868,-60.38594377922724,-0.03727703485597866,-0.0487777443381695,-0.01703233458560946,-12.467235737785506,-16.313626868953012,-5.696432971775739,0.4342
08059011723,08059011723,Census Tract 117.23; Jefferson County; Colorado,2633,1495,703,Lakewood city,Colorado,64288,0.5534896015206044,0.21260559757708045,08059,2633,1495,703,0.010662,0.007069502844,0.002896537907,0.8310016485760164,0.7553315237848502,0.8709860323038566,-0.2033670471214767,-0.32392197136054063,-0.1481240374829971,-5.709132468725383,-9.093476402415138,-4.158292917965902,-216.82994564091845,-345.36560586460837,-157.9298487643715,0.8157593756299605,0.734431628160051,0.8590378694067073,-0.225851678661691,-0.3615971339704817,-0.1640930343276343,-6.34034456424687,-10.151132975421495,-4.6065913009592565,-240.80305978909493,-385.5348642393276,-216.82994564091845,-0.6312120955214864,-1.0576565730063567,-0.4482983829933546,-23.973114148176467,-40.169258374719206,-17.02614443575217,0.8912700756736602,0.8570409457089754,0.926494057291692,-0.12199436208396992,-0.16680539594612215,-0.07933773792697513,-0.5282751348536711,-0.7223214379128801,-0.34355812421486703,-35.33612942165024,-48.3158152450087,-22.980476536111507,0.8810696833520941,0.8439208723460433,0.9194474270397578,-0.1349840073890941,-0.18494521556276625,-0.08760976494282913,-0.5845245098907125,-0.800872737255779,-0.3793786827444951,-39.09862942412793,-53.57008275958388,-25.37650051802643,-0.05624937503704141,-0.07855129934289895,-0.03582055852962806,-3.7625000024776862,-5.25426751457518,-2.3960239819149205,0.8570409457089754,0.8237884943755611,0.926494057291692,-0.16680539594612215,-0.21390381976384457,-0.07933773792697513,-0.8289995483880667,-1.0630721445005626,-0.394297489829628,-117.92312210356567,-151.21936621629624,-56.08783639112773,0.8439208723460433,-0.18494521556276625,-0.919151921365834,0.8079738297050407,-0.237663849044542,-1.1811561754856723,0.9194474270397578,-0.08760976494282913,-0.43540831014512793,-130.7470727405169,-168.01652567363763,-61.93574824255021,-0.09015237297776724,-0.11808403098510988,-0.04111082031549995,-12.823950636951242,-16.797159457341376,-5.847911851422468,0.2964
08059010504,08059010504,Census Tract 105.04; Jefferson County; Colorado,1934,1619,917,Lakewood city,Colorado,91231,0.6442625940651195,0.2040631234019959,08059,1934,1619,917,0.010662,0.007069502844,0.002896537907,0.8007721363733415,0.7140768585810788,0.8472342376594004,-0.24879470023638917,-0.40040947691130985,-0.18031112949664987,-5.1302233476420165,-8.256566740030097,-3.718071026048805,-265.2649093920381,-426.9165842828385,-192.24772626932807,0.7831768621140212,0.6904296837731426,0.8333047310968703,-0.27685079625655745,-0.4483734165875959,-0.2000411886342112,-5.7087486888554615,-9.245597949048536,-4.124910922323534,-295.17831896874156,-478.0557367656947,-265.2649093920381,-0.578525341213445,-0.9890312090184388,-0.4068398962747288,-29.913409576703465,-51.1391524828562,-21.036189052467883,0.8709694355259415,0.8309804264596964,0.9124428589958316,-0.148145915586742,-0.2033977794884935,-0.09595904021927178,-0.6947295113677728,-0.9538328437721504,-0.449999426975908,-42.91102602642204,-58.91493784880485,-27.794899751445833,0.8590198634097231,0.815736459514077,0.9041203496192124,-0.1641174349923433,-0.22588611595917416,-0.10604744204814012,-0.7696278697093327,-1.059291782318467,-0.4973089356133414,-47.53723716549306,-65.42876975407455,-30.71704358328236,-0.07489835834155989,-0.1054589385463166,-0.04730950863743338,-4.6262111390710245,-6.5138319052697105,-2.922143831836528,0.8309804264596964,0.7924373376940398,0.9124428589958316,-0.2033977794884935,-0.26192943269174956,-0.09595904021927178,-1.318573722570943,-1.698018867186275,-0.6220769429954272,-143.792118055719,-185.171086934163,-67.83827077376523,0.815736459514077,-0.22588611595917416,-1.4643596284404354,0.774214718281683,-0.29163134772151084,-1.8905684848210815,0.9041203496192124,-0.10604744204814012,-0.6874773696261169,-159.69025391934954,-206.1688642116774,-74.97026931582518,-0.14578590586949236,-0.1925496176348067,-0.06540042663068979,-15.898135863630571,-20.997777277514363,-7.131998542059955,0.0059
08059011729,08059011729,Census Tract 117.29; Jefferson County; Colorado,2954,1481,757,Lakewood city,Colorado,72898,0.6550746815591211,0.20680613895229433,08059,2954,1481,757,0.010662,0.007069502844,0.002896537907,0.7972455489677335,0.7093156123063576,0.8444486507110254,-0.25431869929508066,-0.409809656872594,-0.1842046276680062,-8.00990680094578,-12.907179718894314,-5.801625692539817,-271.154597188415,-436.9390561575598,-196.3989740196282,0.7793836907417906,0.6853674438447638,0.8302914594684055,-0.28306508319186713,-0.4590713477579491,-0.2043963461219394,-8.915289914793444,-14.45870366873518,-6.437574930308156,-301.8039916991687,-489.4618709795254,-271.154597188415,-0.9053831138476642,-1.551523949840865,-0.6359492377683393,-30.649394510753694,-52.522814821965646,-21.52841021558359,0.868582426739674,0.8279296184559873,0.9107834694655056,-0.1513012112778027,-0.20783213658294783,-0.09795580785721908,-0.6490477965787749,-0.891552613281764,-0.4202081445011496,-43.82496938411714,-60.199366190530995,-28.37327106692435,0.8564305332551063,0.8124427383961221,0.9023118347482312,-0.16763702503601471,-0.2308559763536599,-0.1082643067393949,-0.7191247234952501,-0.990319651204056,-0.4644292609681305,-48.55669976335247,-66.86830865658716,-31.359166844573295,-0.07007692691647527,-0.0987670379222918,-0.04422111646698085,-4.731730379235332,-6.668942466056165,-2.985895777648943,0.8279296184559873,0.7887834881892756,0.9107834694655056,-0.20783213658294783,-0.26777501681176313,-0.09795580785721908,-1.112237299650344,-1.4330284358775007,-0.5242216387103263,-146.92698806477463,-189.3036242902907,-69.24988622329278,0.8124427383961221,-0.2308559763536599,-1.2354519949096527,0.7702888153359166,-0.2982143581611115,-1.5959280306282009,0.9023118347482312,-0.1082643067393949,-0.5793887420691654,-163.20369813865955,-210.8227253141613,-76.53748243978407,-0.12321469525930873,-0.16289959475069993,-0.05516710335883901,-16.276710073884903,-21.519101023870533,-7.287596216491283,0.4781
08059011401,08059011401,Census Tract 114.01; Jefferson County; Colorado,2185,1414,500,Lakewood city,Colorado,47330,0.4924926392834798,0.2297580691199026,08059,2185,1414,500,0.010662,0.007069502844,0.002896537907,0.8519535063098292,0.7843841392311527,0.8873195099710458,-0.17377297304805128,-0.2748855439379388,-0.12698975821306024,-4.048296853424735,-6.403862827783873,-2.9584130925178114,-185.27674386383228,-293.08296694663034,-135.39648020676483,0.838411997040332,0.7655643186737824,0.8767747491291813,-0.19273102428172292,-0.3062259768484768,-0.14054379530570066,-4.489952525248429,-7.133984282871234,-3.274174311025396,-205.489818089173,-326.49813651584594,-185.27674386383228,-0.4416556718236944,-0.7301214550873611,-0.31576121850758465,-20.2130742253407,-33.415169569215614,-14.451314348173211,0.905176684540174,0.8750104617438997,0.9360574283632892,-0.1047566923445402,-0.14284347870195238,-0.06831052208892299,-0.4290524667684869,-0.5850446928707245,-0.2797797195820222,-30.34317303878974,-41.375155082795224,-19.786401667752628,0.8962036220432291,0.8634050213778572,0.929892496918715,-0.11581785143885992,-0.15820498519241744,-0.07539312696208723,-0.4743557069579325,-0.6479608856743021,-0.3087879769445505,-33.54707969999522,-45.82467366862108,-21.837905017294943,-0.04530324018944559,-0.06291619280357763,-0.02900825736252832,-3.2039066612054876,-4.449518585825858,-2.0515033495423145,0.8750104617438997,0.84554941236169,0.9360574283632892,-0.14284347870195238,-0.1826629944747009,-0.06831052208892299,-0.5049161894651529,-0.6456682794662273,-0.24146071509138295,-100.98323789303058,-129.13365589324545,-48.2921430182766,0.8634050213778572,-0.15820498519241744,-0.5592152963763866,0.8314820751389769,-0.2026717471123553,-0.7163942463046223,0.929892496918715,-0.07539312696208723,-0.2664959627382644,-111.84305927527733,-143.27884926092446,-53.299192547652886,-0.05429910691123363,-0.07072596683839505,-0.02503524764688144,-10.859821382246729,-14.145193367679012,-5.00704952937629,0.8786
08059011725,08059011725,Census Tract 117.25; Jefferson County; Colorado,1115,978,474,Lakewood city,Colorado,53912,0.6028172143535018,0.1619684632740178,08059,1115,978,474,0.010662,0.007069502844,0.002896537907,0.8144355228631142,0.7326258226213168,0.857997461100598,-0.22784428223923933,-0.3649532532473741,-0.1655046143344619,-2.7086424470167683,-4.338611718527705,-1.9675403708079464,-242.92757372347697,-389.1131586123503,-176.46101980340327,0.7978888178358685,0.7101832813738658,0.8449569898994709,-0.25330745041937314,-0.4080872166766263,-0.18349219185579543,-3.0113519005540623,-4.8513938831899015,-2.1813790307666374,-270.0764036371356,-435.102590420619,-242.92757372347697,-0.30270945353729406,-0.5127821646621964,-0.2138386599586908,-27.148829913658663,-45.98943180826873,-19.17835515324581,0.8801803504419218,0.8427794224269137,0.918831760128666,-0.13613079353330151,-0.18655009055672633,-0.08833852223389378,-0.385633227696056,-0.5284617218571002,-0.2502466089762613,-39.43080037791983,-54.03494088518407,-25.587587829883564,0.8690181275380874,0.8284862699903583,0.9110864723465716,-0.15072398182645727,-0.20702060640261144,-0.0975906572560833,-0.42697301686351774,-0.5864508872278346,-0.27645618727284155,-43.65777268543126,-59.9643033975291,-28.267503811128993,-0.04133978916746178,-0.0579891653707344,-0.02620957829658027,-4.22697230751143,-5.92936251234503,-2.6799159812454265,0.8427794224269137,0.8066009153986395,0.918831760128666,-0.18655009055672633,-0.2397704749761888,-0.08833852223389378,-0.6251189715803971,-0.8034575179521624,-0.29601747179528565,-131.88163957392342,-169.50580547513974,-62.45094341672693,0.8284862699903583,-0.20702060640261144,-0.6937145309559566,0.7894499137055555,-0.2667048062696657,-0.8937129631687067,0.9110864723465716,-0.0975906572560833,-0.32702086135534264,-146.35327657298663,-188.54703864318708,-68.99174290197102,-0.0685955593755595,-0.09025544521654438,-0.03100338956005699,-14.471636999063186,-19.041233168047334,-6.540799485244091,0.041
08031000902,08031000902,Census Tract 9.02; Denver County; Colorado,3637,2580,851,Lakewood city,Colorado,71323,0.5321318270815675,0.18425198438794568,08031,3637,2580,851,0.008855,0.007069502844,0.002896537907,0.8382785536822926,0.7653796355712138,0.8766706227743681,-0.1929208919962418,-0.30654116405081205,-0.14067926313686183,-6.2131398315053845,-9.872352841895577,-4.530665000654727,-170.83144986267212,-271.44220076699406,-124.57148750769116,0.823620582004563,0.7451858386470167,0.8652071484011956,-0.21415129957796492,-0.3419471333696196,-0.15579257735894375,-6.896878588983593,-11.01262456659829,-5.017398882131406,-189.63097577628795,-302.7941865987982,-170.83144986267212,-0.6837387574782081,-1.140271724702716,-0.4867338814766793,-18.79952591361584,-31.35198583180412,-13.38283974365354,0.8961149263814534,0.8632905021100179,0.929831455216376,-0.11592829285640684,-0.15835862615868304,-0.07546372451692934,-0.8663399924611398,-1.1834247500081934,-0.5639455297600631,-33.57906947523797,-45.86917635690672,-21.858353866669113,0.8863394556197054,0.850692608123784,0.9230912986750088,-0.1282359074276188,-0.1755127415595109,-0.08331646223443417,-0.9583156306088132,-1.3116186174486335,-0.622629571139065,-37.144016690264074,-50.837930908861765,-24.13292911391725,-0.09197563814767327,-0.12819386744044017,-0.05868404137900196,-3.564947215026096,-4.968754551955045,-2.274575247248138,0.8632905021100179,0.8313435030165803,0.929831455216376,-0.15835862615868304,-0.20287221391812088,-0.07546372451692934,-0.952708761058632,-1.220509044966585,-0.4540008538426661,-111.95167580007426,-143.4205693262732,-53.34910150912645,0.850692608123784,-0.1755127415595109,-1.0559104395968326,0.8161285257644851,-0.22529720311304952,-1.35542107464816,0.9230912986750088,-0.08331646223443417,-0.5012440776773167,-124.07878256131993,-159.27392181529493,-58.900596671835096,-0.10320167853820073,-0.1349120296815749,-0.04724322383465063,-12.127106761245678,-15.853352489021727,-5.551495162708652,0.6203
