geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
21111010500,21111010500,Census Tract 105; Jefferson County; Kentucky,2215,1865,689,Louisville city,Kentucky,97815,0.6874489592405506,0.20309581438893712,21111,2215,1865,689,0.014567,0.007511568745,0.003668935501,0.7867786076054117,0.695248171981765,0.8361625078884559,-0.271005579375798,-0.4383353172286054,-0.1959397731492166,-8.744240278609459,-14.143285703843048,-6.322174106154174,-394.773827476725,-638.5230566069096,-285.42546754646384,0.7681354300686581,0.6704306199653938,0.8213339213251013,-0.30185376283270404,-0.49157865142200385,-0.21753159590273255,-9.73958483545256,-15.861230066810492,-7.018853807895959,-439.7103763184001,-716.0826215264331,-394.773827476725,-0.9953445568431024,-1.7179443629674456,-0.6966797017417852,-44.936548841675055,-77.5595649195235,-31.452808205046733,0.8614741340339833,0.8188614998416307,0.905832838530069,-0.16080095790844967,-0.22120773805265215,-0.1039564447925511,-1.1002909598164443,-1.5136282618375347,-0.7113287004485611,-58.99683430651177,-81.15969232372841,-38.14094908571373,0.8487239671382513,0.8026597726727541,0.8969182623906948,-0.17823937901957104,-0.2458578765821641,-0.11492879778648445,-1.2196144846984491,-1.6822984298205317,-0.7864077358235448,-65.39487853610987,-90.20366915927784,-42.16663462860831,-0.1193235248820046,-0.16867016798299694,-0.07507903537498373,-6.398044229598102,-9.043976835549431,-4.0256855428945695,0.8188614998416307,0.7779433258824787,0.905832838530069,-0.22120773805265215,-0.285440682797331,-0.1039564447925511,-1.1448542034715214,-1.4772899375903523,-0.5380235512845359,-166.1617131308449,-214.41073114518903,-78.08759815450449,0.8026597726727541,-0.2458578765821641,-1.2724302772567426,0.7586522587378369,-0.31812696592203016,-1.6464568435973437,0.8969182623906948,-0.11492879778648445,-0.59481064452848,-184.67783414466513,-238.9632574161602,-86.32955653533817,-0.12757607378522118,-0.16916690600699114,-0.05678709324394404,-18.5161210138202,-24.552526270971136,-8.241958380833678,0.3446
21111009600,21111009600,Census Tract 96; Jefferson County; Kentucky,2918,2450,1156,Louisville city,Kentucky,93526,0.6816861672774271,0.1895199862787056,21111,2918,2450,1156,0.014567,0.007511568745,0.003668935501,0.788631672552879,0.6977316788539782,0.8376315134709701,-0.2680190699961374,-0.43321570498632994,-0.1938423804713469,-11.392554206905237,-18.414485963295665,-8.23956230855959,-390.42337926337336,-631.0653174535869,-282.37019563261106,0.7701257353027793,0.6730654312476453,0.8229213101844328,-0.2984892650118287,-0.4857396526015664,-0.2151830164367482,-12.687735734160889,-20.6470954577464,-9.146678179266736,-434.8093123427309,-707.5769519447018,-390.42337926337336,-1.295181527255652,-2.232609494450734,-0.9071158707071464,-44.38593307935751,-76.51163449111496,-31.086904410800084,0.8627351779413702,0.8204683749917235,0.9067121040079112,-0.1591042368136263,-0.21881602080042084,-0.102885905658181,-1.4301707978723104,-1.9669135739104353,-0.9248302919635008,-58.374318280502465,-80.28218669022185,-37.7481751821837,0.8500906850587628,0.8043925328137163,0.8978759824515427,-0.1763450859726508,-0.24317414596336528,-0.11373955818443876,-1.5851469285622914,-2.1858661297733497,-1.0223926020828091,-64.69987463519557,-89.21902570503468,-41.73031028909425,-0.15497613068998106,-0.2189525558629144,-0.09756231011930838,-6.325556354693105,-8.936839014812833,-3.9821351069105466,0.8204683749917235,0.779861973641001,0.9067121040079112,-0.21881602080042084,-0.2822781899869074,-0.102885905658181,-1.900061229658666,-2.451126945871754,-0.8933967435489206,-164.3651582749711,-212.03520293008256,-77.28345532430109,0.8043925328137163,-0.24317414596336528,-2.1115719274585176,0.7607106894074528,-0.31456020524562234,-2.7314437407022347,0.8978759824515427,-0.11373955818443876,-0.98764306193956,-182.66193144104824,-236.28406061438017,-85.43625103283391,-0.21151069779985177,-0.28031679483048055,-0.09424631839063936,-18.296773166077145,-24.248857684297622,-8.152795708532816,0.1279
21111007603,21111007603,Census Tract 76.03; Jefferson County; Kentucky,1855,994,324,Louisville city,Kentucky,56069,0.738883830182644,0.16329683784475177,21111,1855,994,324,0.014567,0.007511568745,0.003668935501,0.7704310449337395,0.6734699180646742,0.8231647209070972,-0.2979746942648248,-0.4848473156361065,-0.21482368546848896,-8.051808123864829,-13.101439920946008,-5.804919441637133,-434.0597371355703,-706.2770846871164,-312.93366262194786,0.7505975664975453,0.647366202299226,0.8073008767423425,-0.33227183864480375,-0.5447207414417649,-0.2386955456251278,-8.978578185414579,-14.71932676027996,-6.449979714339894,-484.0203873538856,-793.4947040582188,-434.0597371355703,-0.9267700615497496,-1.617886839333952,-0.6450602727027608,-49.960650218315344,-87.21761937110254,-34.77413869017578,0.8503002191555591,0.8046582693723419,0.8980227664632876,-0.17605520670464972,-0.24276359053642815,-0.1135575147368843,-0.6420595868264951,-0.8853398519353131,-0.41413538604014455,-64.59351980145826,-89.0683955669329,-41.663519722348546,0.8366224612024408,0.7873586929012137,0.8884154072197827,-0.19528227650348265,-0.270069167986522,-0.12559956960833374,-0.7121792085178473,-0.9849211600023756,-0.4580518195272583,-71.64780769797257,-99.08663581512832,-46.08167198463364,-0.07011962169135222,-0.09958130806706245,-0.04391643348711377,-7.054287896514308,-10.018240248195417,-4.418152262285088,0.8046582693723419,0.7610264715501934,0.8980227664632876,-0.24276359053642815,-0.3140147384926348,-0.1135575147368843,-0.5908254693075614,-0.7642328276223221,-0.27637040542021607,-182.3535399097412,-235.8743295130624,-85.29950784574571,0.7873586929012137,-0.270069167986522,-0.657280371280371,0.7405250257055863,-0.3503932551734913,-0.8527689797824822,0.8884154072197827,-0.12559956960833374,-0.3056777356715534,-202.8643121235713,-263.20030240200066,-94.34498014554116,-0.06645490197280957,-0.08853615216016009,-0.0293073302513373,-20.510772213830116,-27.325972888938296,-9.045472299795463,0.5486
21111007601,21111007601,Census Tract 76.01; Jefferson County; Kentucky,1159,763,306,Louisville city,Kentucky,46150,0.6899272055451718,0.17700971234563792,21111,1159,763,306,0.014567,0.007511568745,0.003668935501,0.7859830501177463,0.6941828781017462,0.8355315652857417,-0.27229206768541936,-0.44054258833711873,-0.1968428741025626,-4.597148639419291,-7.437747921911591,-3.323328360433302,-396.6478549973503,-641.7383884306809,-286.74101470520293,0.7672810963588752,0.6693007126671661,0.8206522183051895,-0.303303319664058,-0.4940967207624745,-0.21854298044206769,-5.1207163512962,-8.341910533431134,-3.689694575879436,-441.82194575463336,-719.7506931346967,-396.6478549973503,-0.5235677118769093,-0.9041626115195428,-0.366366215446134,-45.17409075728295,-78.01230470401579,-31.610544904757035,0.8609323983112932,0.8181714430431261,0.9054549791066536,-0.16153138383627558,-0.2222377210827312,-0.10441714174085932,-0.4521905984848002,-0.6221317846453696,-0.2923051155416886,-59.26482286825691,-81.53758645417687,-38.309975824598766,0.8481368960057347,0.8019157601159078,0.8965067161021294,-0.17905494349963813,-0.24701377593010687,-0.11544061192072624,-0.5012460126313885,-0.6914898177622196,-0.3231641935711677,-65.69410388353715,-90.62776117460284,-42.35441593331163,-0.04905541414658826,-0.06935803311685007,-0.03085907802947912,-6.429281015280244,-9.09017472042596,-4.044440108712861,0.8181714430431261,0.7771196776565886,0.9054549791066536,-0.2222377210827312,-0.286803086772309,-0.10441714174085932,-0.5108222994113918,-0.6592283773859301,-0.24000698073291937,-166.93539196450712,-215.4341102568399,-78.43365383428737,0.8019157601159078,-0.24701377593010687,-0.5677710534114734,0.7577687593559637,-0.3196637993494367,-0.734760040854961,0.8965067161021294,-0.11544061192072624,-0.26534486827666487,-185.5460958861024,-240.11766041011796,-86.71400924074015,-0.05694875400008159,-0.07553166346903095,-0.02533788754374552,-18.61070392159529,-24.68355015327809,-8.280355406452786,0.1093
21111012501,21111012501,Census Tract 125.01; Jefferson County; Kentucky,1498,1207,670,Louisville city,Kentucky,74579,0.6980736076261977,0.18743372847359788,21111,1498,1207,670,0.014567,0.007511568745,0.003668935501,0.7833735860916856,0.6906925706201494,0.8334609062104146,-0.2765301482643564,-0.4478221462584054,-0.19981632317562015,-6.034265575310786,-9.772090956410196,-4.36026512078949,-402.82146697668793,-652.3425204546191,-291.07243796992583,0.7644794510876617,0.6655999229901467,0.8184153330155672,-0.3080796332422695,-0.5024040199818407,-0.2218734909515421,-6.72271843412533,-10.96314199989506,-4.841582651751288,-448.779601744014,-731.8519359075473,-402.82146697668793,-0.6884528588145438,-1.1910510434848636,-0.48131753096179875,-45.958134767326015,-79.50941545292814,-32.130676299185495,0.8591540234440346,0.8159072080491239,0.904214003494456,-0.1639356538090404,-0.22562956931224015,-0.10593288329462527,-0.7259734935485386,-0.9991791466684968,-0.4691137259052292,-60.14693401396343,-82.78203369250181,-38.86609162429405,0.8462099567802241,0.7994749248647497,0.895155226080411,-0.18173981762745656,-0.25082096873666665,-0.11712468504336354,-0.8048175442882398,-1.1107368696079531,-0.5186755584038416,-66.67916688386411,-92.02459565931674,-42.97229149990403,-0.07884405073970124,-0.11155772293945632,-0.0495618324986124,-6.532232869900683,-9.24256196681494,-4.106199875609976,0.8159072080491239,0.774418350535192,0.904214003494456,-0.22562956931224015,-0.29129171501283635,-0.10593288329462527,-1.1355374539317349,-1.465998687252472,-0.5331338305998387,-169.48320207936342,-218.8057742167869,-79.57221352236398,0.7994749248647497,-0.25082096873666665,-1.262319496066488,0.7548717954300354,-0.3247282598899062,-1.634276493896862,0.895155226080411,-0.11712468504336354,-0.589459382704598,-188.40589493529671,-243.92186476072564,-87.97901234396984,-0.1267820421347532,-0.16827780664438996,-0.05632555210475931,-18.922692855933313,-25.116090543938803,-8.406798821605868,0.7234
21111001400,21111001400,Census Tract 14; Jefferson County; Kentucky,1540,905,201,Louisville city,Kentucky,59049,0.5963214540973302,0.23496131440806603,21111,1540,905,201,0.014567,0.007511568745,0.003668935501,0.8165980265269602,0.7355763749595388,0.8596967385684091,-0.22459272189654833,-0.35947813720228056,-0.16320087670127464,-5.03832895699521,-8.064237757923456,-3.6611146431975,-327.16421798670194,-523.651802462562,-237.73471709074676,0.8002195523937631,0.713330098963158,0.8467979677479265,-0.24965704350589424,-0.4018755152117139,-0.18091922523092127,-5.6006013952355564,-9.015345770337117,-4.058593545065799,-363.6754152750362,-585.4120630089036,-327.16421798670194,-0.5622724382403463,-0.951108012413659,-0.3974789018682987,-36.511197288334174,-61.76026054634149,-25.81031830313628,0.881632786730003,0.844643812638768,0.9198371437504168,-0.13425908728851135,-0.1839310074099528,-0.08714896630803375,-0.4457920781746328,-0.6107220575530683,-0.2893682624085131,-49.25879316846772,-67.483100282107,-31.97439363629979,0.870595676170495,0.8305025409467605,0.9121831319417552,-0.1486388312870081,-0.20409023536522233,-0.09627109401958556,-0.4935383878671285,-0.6776584884947136,-0.31965725328455247,-54.53462849360536,-74.87939099389101,-35.32124345685662,-0.04774630969249566,-0.06693643094164525,-0.03028899087603936,-5.275835325137642,-7.396290711784005,-3.3468498205568364,0.844643812638768,0.8088436150232947,0.9198371437504168,-0.1839310074099528,-0.2363329343598762,-0.08714896630803375,-0.27770369170588993,-0.3568214477135083,-0.13157971574717536,-138.1610406496965,-177.52310831517826,-65.46254514784845,0.8305025409467605,-0.20409023536522233,-0.30814060445894864,0.7918647627546714,-0.2628418980550233,-0.39684535224762446,0.9121831319417552,-0.09627109401958556,-0.14535253511777954,-153.3037833129098,-197.43549863065897,-72.31469408844752,-0.03043691275305871,-0.04002390453411614,-0.01377281937060417,-15.142742663213289,-19.912390315480668,-6.8521489405990925,0.7117
21111008800,21111008800,Census Tract 88; Jefferson County; Kentucky,2361,1674,725,Louisville city,Kentucky,82930,0.7352559267174569,0.15575599680740193,21111,2361,1674,725,0.014567,0.007511568745,0.003668935501,0.7715728851842049,0.6749834079007468,0.8240748459139987,-0.2960538391149665,-0.4815178985066923,-0.21348200950227889,-10.182087023829402,-16.560694368238437,-7.342219932942904,-431.26162743877177,-701.4271227546988,-310.9792432419697,0.7518213471366367,0.6489666916103025,0.8082827748148762,-0.33010322706128087,-0.5409111329252768,-0.23719078416465503,-11.353136966008565,-18.60338728951444,-8.157628399059538,-480.8613708601679,-787.9452473322508,-431.26162743877177,-1.1710499421791614,-2.0426929212760037,-0.8154084661166339,-49.59974342139608,-86.51812457755204,-34.53657205068335,0.8510835862843219,0.8056519531402495,0.8985714273880349,-0.17497272431938257,-0.24123077726334016,-0.11287758493144776,-1.074647133296503,-1.481590712251479,-0.6932713286134478,-64.19636399620687,-88.50601626352923,-41.41405786221313,0.8374703428941147,0.7884283112234822,0.8890124957316256,-0.19407213459549896,-0.2683461333956933,-0.12484358184081056,-1.1919518536791909,-1.6481277530919594,-0.7667640648424915,-71.20381443722763,-98.45446553715408,-45.80430494877488,-0.11730472038268758,-0.16653704084048004,-0.07349273622904373,-7.007450441020763,-9.948449273624853,-4.390247086561752,0.8056519531402495,0.7622075306019774,0.8985714273880349,-0.24123077726334016,-0.31197864079120086,-0.11287758493144776,-1.313715635946938,-1.6990005302742055,-0.6147186107620558,-181.20215668233627,-234.34490072747664,-84.7887738982146,0.7884283112234822,-0.2683461333956933,-1.4613828106311006,0.741789290244536,-0.3480917197798084,-1.8956682899511976,0.8890124957316256,-0.12484358184081056,-0.6798840818427296,-201.57004284566904,-261.4714882691307,-93.77711473692824,-0.14766717468416268,-0.1966677596769919,-0.06516547108067383,-20.367886163332784,-27.126587541654057,-8.988340838713631,0.0811
21111000201,21111000201,Census Tract 2.01; Jefferson County; Kentucky,757,642,303,Louisville city,Kentucky,43365,0.5670171171810341,0.25543986601769225,21111,757,642,303,0.014567,0.007511568745,0.003668935501,0.8264253371450162,0.7490356298610853,0.8674046274782305,-0.21003066466308737,-0.33504997644165213,-0.15286449751514292,-2.3160541359554254,-3.694669466166939,-1.6856702914244368,-305.95166921471935,-488.0673006825547,-222.6777135303087,0.8108191287988912,0.7277005852689142,0.855153166501489,-0.23332068087904187,-0.3741915565870547,-0.16938115787034136,-2.572878245282307,-4.126292242436345,-1.867803122309828,-339.8782358365003,-545.0848404803626,-305.95166921471935,-0.2568241093268817,-0.4316227762694061,-0.18213283088539112,-33.926566621780935,-57.017539797807935,-24.059819139417588,0.8882150185806341,0.8531060457254942,0.9243864263575698,-0.12585351416146742,-0.1721872151891562,-0.08179866286048365,-0.2964424895129382,-0.4055795110137775,-0.19267319962222787,-46.17484260326141,-63.17437866258216,-30.011401810315867,0.8777481514150312,0.8396597236137644,0.91714692788026,-0.13927895876269836,-0.19095863702519408,-0.09033783966461378,-0.32806554149463213,-0.4497947803119654,-0.21278685991271268,-51.100551634677906,-70.06149226043075,-33.14437070291475,-0.0316230519816939,-0.04421526929818792,-0.02011366029048481,-4.9257090314164955,-6.887113597848586,-3.1329688925988797,0.8531060457254942,0.8190388825377483,0.9243864263575698,-0.1721872151891562,-0.22094325595575315,-0.08179866286048365,-0.3918990194827468,-0.5028680281242984,-0.1861741926356572,-129.33961039034548,-165.96304558557705,-61.443627932560126,0.8396597236137644,-0.19095863702519408,-0.43462287562827295,0.8028510351099672,-0.2455610770471624,-0.5588983201348086,0.91714692788026,-0.09033783966461378,-0.20560940455340684,-143.43989294662472,-184.45489113360017,-67.85788929155342,-0.04272385614552615,-0.05603029201051013,-0.01943521191774966,-14.100282556279256,-18.491845548023143,-6.414261358993287,0.9248
21111010702,21111010702,Census Tract 107.02; Jefferson County; Kentucky,3886,2345,970,Louisville city,Kentucky,136350,0.6872104490107129,0.2102290120545548,21111,3886,2345,970,0.014567,0.007511568745,0.003668935501,0.7868552157451589,0.6953507836997659,0.8362232559013268,-0.2708818344083683,-0.43812306456215,-0.1958528932828419,-15.33390605957856,-24.800990916218996,-11.0867156288092,-394.59356818267014,-638.2138681476839,-285.2989096451158,0.7682177026209487,0.6705394645520375,0.821399559335455,-0.3017143403338318,-0.49133653254557186,-0.21743430299504884,-17.07925288386842,-27.81326496163197,-12.308382300858415,-439.5072795642929,-715.7299269591346,-394.59356818267014,-1.745346824289859,-3.0122740454129726,-1.2216666720492153,-44.913711381622726,-77.51605881145066,-31.43763952777188,0.8615262894906693,0.8189279426615635,0.9058692126184158,-0.16073068483051833,-0.2211086567029838,-0.1039121167497227,-1.3828711592572438,-1.9023423233658172,-0.8940238729280832,-58.97105156747308,-81.12334001559988,-38.12468541271144,0.8487804891975761,0.8027314139877072,0.8969578802021202,-0.17816091760707706,-0.24574668759046936,-0.11487955239844744,-1.5328348468459545,-2.11431941019973,-0.9883838917734176,-65.3660915499341,-90.16287463538292,-42.14856681336535,-0.1499636875887107,-0.21197708683391217,-0.09436001884533428,-6.39503998246101,-9.039534619783034,-4.023881400653915,0.8189279426615635,0.778022641088307,0.9058692126184158,-0.2211086567029838,-0.2853096390629308,-0.1039121167497227,-1.6110466886908958,-2.078829278409372,-0.7571267181518878,-166.0872874939068,-214.3122967432342,-78.0543008404008,0.8027314139877072,-0.24574668759046936,-1.7905648435610937,0.7587373423953047,-0.31797915315863906,-2.3168666003751612,0.8969578802021202,-0.11487955239844744,-0.8370378855786945,-184.59431376918488,-238.85222684280012,-86.29256552357676,-0.17951815487019762,-0.23803732196578944,-0.0799111674268067,-18.507026275278104,-24.53993009956592,-8.238264683175949,0.2407
21111011403,21111011403,Census Tract 114.03; Jefferson County; Kentucky,939,619,284,Louisville city,Kentucky,99207,0.5600005332106601,0.2530270829940874,21111,939,619,284,0.014567,0.007511568745,0.003668935501,0.8287958684559882,0.7522946672549723,0.8692604234589615,-0.20656972127884507,-0.3292663679896509,-0.15040323131334973,-2.8255459609469313,-4.503841368372425,-2.05727751443853,-300.91011298689364,-479.64231825052457,-219.09238705415655,0.8133778382449257,0.7311841719652005,0.8571659242832826,-0.2294409227546206,-0.367644484579452,-0.16663527057045313,-3.1383877005387983,-5.028793097249877,-2.279306051229403,-334.22659217665586,-535.5477206868878,-300.91011298689364,-0.312841739591867,-0.5249517288774515,-0.22202853679087345,-33.3164791897622,-55.90540243636331,-23.645211585822516,0.8897983359946093,0.8551447777170319,0.9254790337898272,-0.12385015744293132,-0.1693926292454081,-0.08052150668936288,-0.28127251021757543,-0.38470270061760314,-0.1828700647672131,-45.439823944681,-62.14906310462086,-29.542821448661243,0.8794694300200283,0.8418672452967809,0.9183394538570931,-0.1370491865501531,-0.18783573726932803,-0.08892196213494538,-0.31124844344264063,-0.42658830978602286,-0.20194809614750145,-50.28246259170285,-68.91572048239465,-32.62489436954789,-0.0299759332250652,-0.04188560916841971,-0.01907803138028832,-4.842638647021841,-6.7666573777737815,-3.082072920886643,0.8551447777170319,0.8214990293447417,0.9254790337898272,-0.1693926292454081,-0.2172868917418409,-0.08052150668936288,-0.3613628437703833,-0.4635349806165639,-0.17177536455726797,-127.24043794731806,-163.21654247062108,-60.48428329481267,0.8418672452967809,-0.18783573726932803,-0.4007072591276338,0.8055041088563664,-0.2414585959341335,-0.5151001272502397,0.9183394538570931,-0.08892196213494538,-0.1896959345508079,-141.0941053266316,-181.37328424304215,-66.79434315169293,-0.03934441535725053,-0.05156514663367578,-0.01792056999353994,-13.853667379313563,-18.156741772421057,-6.310059856880261,0.4456
21111007900,21111007900,Census Tract 79; Jefferson County; Kentucky,1285,870,385,Louisville city,Kentucky,49022,0.7143703639708066,0.1725758307558454,21111,1285,870,385,0.014567,0.007511568745,0.003668935501,0.7781793640574112,0.6837628424599232,0.8293339718412513,-0.28505078159104685,-0.4624953827592818,-0.2057868530091,-5.335750135036262,-8.65726375924098,-3.8520407578018743,-415.233473543678,-673.7170240654459,-299.76970877835595,0.758905466093021,0.6582578485401732,0.8139587594942248,-0.31768717538453917,-0.519161529509618,-0.22856347245575065,-5.946657572717158,-9.717974410471088,-4.278387072692851,-462.7749083826582,-756.2626000366605,-415.233473543678,-0.6109074376808961,-1.0607106512301083,-0.42634631489097696,-47.54143483898024,-82.54557597121466,-33.17870154793595,0.8556074282389601,0.8113964281828107,0.9017365524224428,-0.1687603064155644,-0.23244318716016857,-0.10897134791040716,-0.538678491049901,-0.741952583363651,-0.347833696838074,-61.91706793677022,-85.28190613375298,-39.980884694031495,0.8423682726683711,0.7946143444978542,0.8924577019075851,-0.18712923129488088,-0.25847212163271044,-0.1205012829880323,-0.597311619576187,-0.825036262477026,-0.38463694851163,-68.65650799726286,-94.83175430770414,-44.21114350708391,-0.05863312852628599,-0.083083679113375,-0.03680325167355597,-6.739440060492643,-9.54984817395115,-4.23025881305241,0.8113964281828107,0.7690425345344826,0.9017365524224428,-0.23244318716016857,-0.3003181945005432,-0.10897134791040716,-0.6722149971692954,-0.8685063938955678,-0.31514012185976914,-174.60129796605077,-225.58607633651113,-81.85457710643354,0.7946143444978542,-0.25847212163271044,-0.7474894774693909,0.7491096586270684,-0.334918043685021,-0.9685675649961653,0.8924577019075851,-0.1205012829880323,-0.3484841633447419,-194.1531110310106,-251.57599090809484,-90.51536710253036,-0.07527448030009543,-0.10006117110059733,-0.03334404148497277,-19.551813064959852,-25.98991457158372,-8.660789996096826,0.1955
