geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06099000911,06099000911,Census Tract 9.11; Stanislaus County; California,3268,2205,920,Modesto city,California,62589,0.5112972553802395,0.1931436688783932,06099,3268,2205,920,0.01193099999999999,0.009493868073,0.003212018401,0.8454385915276813,0.7753103817313585,0.8822517045365069,-0.18281801897998415,-0.2898060229335294,-0.13346338109412034,-7.128167431583224,-11.29968405563796,-5.203805028257348,-218.1201784450191,-345.7675659619939,-159.23515998339496,0.8313622010961429,0.7558283181601552,0.8712679863340006,-0.2028451602460514,-0.32305177772937904,-0.14775248911377994,-7.909035843334949,-12.595952923971575,-5.76094460881075,-242.0145606895639,-385.4330760089221,-218.1201784450191,-0.7808684117517252,-1.2962688683336143,-0.5571395805534021,-23.894382244544833,-39.665510046928226,-17.048334778255878,0.9008664676204498,0.8694308711015992,0.9330986801163124,-0.11004242686643864,-0.15017770042253634,-0.07169801148507482,-0.7793755514684634,-1.0636336494754002,-0.5078012075123991,-35.34582999856977,-48.23735371770522,-23.029533220516967,0.8915105028085332,0.8573508098175572,0.9266598204618433,-0.1216917768772117,-0.16638368862426145,-0.07914466335834486,-0.8618820796088786,-1.1784125702196775,-0.560542123680739,-39.08762265799903,-53.44274694873822,-25.42141150479542,-0.08250652814041526,-0.11477892074427752,-0.05274091616833987,-3.741792659429263,-5.2053932310329944,-2.391878284278452,0.8694308711015992,0.8387801933245184,0.9330986801163124,-0.15017770042253634,-0.19220745549138973,-0.07169801148507482,-1.31170589329263,-1.6788088470756914,-0.6262361451648799,-142.57672753180762,-182.47922250822737,-68.0691462135739,0.8573508098175572,-0.16638368862426145,-1.453254806154021,0.8241627531019591,-0.2133525765829989,-1.8634979179045308,0.9266598204618433,-0.07914466335834486,-0.6912778731976332,-157.96247892978488,-202.55412151136207,-75.1388992606123,-0.14154891286139093,-0.18468907082883937,-0.06504172803275332,-15.385751397977277,-20.07489900313471,-7.069753047038404,0.5364
06099003100,06099003100,Census Tract 31; Stanislaus County; California,2245,1534,643,Modesto city,California,23416,0.4525269662759635,0.267039468134664,06099,2245,1534,643,0.01193099999999999,0.009493868073,0.003212018401,0.8659669467653153,0.8040229353957812,0.8981870644241916,-0.1547784863329303,-0.24374561467919928,-0.11335382083361271,-4.145756460383739,-6.528749445015746,-3.036192859641296,-184.6662120438191,-290.8128928737526,-135.24244363658337,0.85359418380575,0.7866748776784531,0.888594203123983,-0.17151688585962427,-0.27117317251961587,-0.12537308535702085,-4.594096081854192,-7.2633991873893,-3.3581300017309124,-204.6367965191177,-323.5367121331537,-184.6662120438191,-0.4483396214704536,-0.7346497423735538,-0.3219371420896162,-19.9705844752986,-32.72381925940106,-14.340184502878229,0.9144058519534014,0.886988038258454,0.9423768864232388,-0.09360629950447924,-0.12741091972721302,-0.06114656928340833,-0.46122035000642553,-0.6277836994123861,-0.3012835913381686,-30.06651564579045,-40.92462186521422,-19.640390569632896,0.9062601766922828,0.8764144700471518,0.9368004447498756,-0.10343588488005057,-0.14101265346086678,-0.06746319945118996,-0.5096530391666472,-0.6948026546166755,-0.3324071203342698,-33.22379655584402,-45.29352376901405,-21.669303802755525,-0.04843268916022164,-0.06701895520428935,-0.03112352899610115,-3.1572809100535624,-4.368901903799828,-2.0289132331226307,0.886988038258454,0.860118095477462,0.9423768864232388,-0.12741091972721302,-0.16263104480424617,-0.06114656928340833,-0.7777872436766915,-0.9927905107770628,-0.37327272799734873,-120.96224629497534,-154.3997683945665,-58.05174618932329,0.8764144700471518,-0.14101265346086678,-0.8608198048776704,0.8472545173554443,-0.18028287783147356,-1.1005471346636415,0.9368004447498756,-0.06746319945118996,-0.4118329579842497,-133.8755528581136,-171.15818579527863,-64.04867153720835,-0.0830325612009789,-0.1077566238865788,-0.03856022998690095,-12.913306563138244,-16.758417400712098,-5.996925347885062,0.7919
06099002002,06099002002,Census Tract 20.02; Stanislaus County; California,3116,2034,838,Modesto city,California,402537,0.6176705452488626,0.29225668696087814,06099,3116,2034,838,0.01193099999999999,0.009493868073,0.003212018401,0.8095121946022111,0.7259234287199907,0.8541244707985107,-0.2353118417090595,-0.3775557592393514,-0.17078954436829563,-8.748187397970337,-14.03638895101833,-6.349442207821949,-280.75055834307886,-450.46177634847015,-203.7690053858135,0.7925847920936846,0.7030397722173949,0.840762399767312,-0.26169466027528654,-0.422394634724561,-0.18939667173122665,-9.729021338275686,-15.703363645576466,-7.041199307365125,-312.22789917444436,-503.9590386898738,-280.75055834307886,-0.9808339403053488,-1.666974694558137,-0.6917570995431763,-31.477340831365492,-53.49726234140362,-22.200163656712977,0.8768681664563912,0.8385317208091582,0.9165369577806648,-0.1404222872421181,-0.19256072869256485,-0.09106347704890765,-0.9174132660624764,-1.2580465002725705,-0.5949400450542296,-45.10389705321909,-61.8508603870487,-29.249756394013257,0.8654216074461196,0.8238942004625291,0.9085837809911712,-0.1555061618475468,-0.21374807522447195,-0.10061396749686996,-1.015959920859398,-1.3964686351258495,-0.6573357431050416,-49.948865332320445,-68.65627507993362,-32.317391499756226,-0.0985466547969216,-0.13842213485327926,-0.06239569805081202,-4.844968279101357,-6.80541469288492,-3.0676351057429705,0.8385317208091582,0.8014960536821308,0.9165369577806648,-0.19256072869256485,-0.2476667794007565,-0.09106347704890765,-1.5319864772597875,-1.9704025814848924,-0.7244884061168917,-182.81461542479565,-235.13157296955757,-86.45446373709925,0.8238942004625291,-0.21374807522447195,-1.700550070658528,0.7839557091402317,-0.2755822661164177,-2.1924943259692884,0.9085837809911712,-0.10061396749686996,-0.8004707848543376,-202.92960270388164,-261.63416777676474,-95.52157337163932,-0.1685635933987406,-0.22209174448439595,-0.07598237873744595,-20.11498727908599,-26.502594807207153,-9.06710963454009,0.8721
06099001400,06099001400,Census Tract 14; Stanislaus County; California,4591,2738,1156,Modesto city,California,17141,0.45822147763367954,0.23907282558135573,06099,4591,2738,1156,0.01193099999999999,0.009493868073,0.003212018401,0.863956246599669,0.8011949442033803,0.8966305065571324,-0.1574660220766591,-0.2481356843736569,-0.11528661214058414,-8.625236159239883,-13.591686949553305,-6.314849658341779,-187.872710939662,-296.0506850262101,-137.54845694493093,0.8514142682392702,0.7836317433949922,0.8869004231931062,-0.17451637505207182,-0.27610961198128325,-0.12752229432894113,-9.55917301159612,-15.123965016499035,-6.985061854294797,-208.21548707462685,-329.426378054869,-187.872710939662,-0.9339368523562364,-1.5322780669457323,-0.6702121959530176,-20.342776134964858,-33.37569302865895,-14.598392418928722,0.9130851069313008,0.8852714481102116,0.9414738583499686,-0.09518816198941518,-0.12959703166153086,-0.06216438314347319,-0.8371328981008601,-1.1397419220275544,-0.546705064284514,-30.574612786737035,-41.62680504118168,-19.96731425436501,0.9048204031505842,0.8745489108855788,0.9358130391519406,-0.10519170049437487,-0.14344662437162933,-0.06858951324959887,-0.9251090813246908,-1.2615422535037577,-0.6032109120076184,-33.7877677620413,-46.07531970430086,-22.031077867334496,-0.0879761832238306,-0.12180033147620306,-0.05650584772310441,-3.213154975304259,-4.448514663119177,-2.0637636129694816,0.8852714481102116,0.8580270405184092,0.9414738583499686,-0.12959703166153086,-0.1654644350087295,-0.06216438314347319,-1.4223159521615063,-1.8159575293587928,-0.6822486029785148,-123.0377121246978,-157.08975167463603,-59.018045240355946,0.8745489108855788,-0.14344662437162933,-1.5743140063604593,0.8449890327877739,-0.18344731256548555,-2.0133180189226407,0.9358130391519406,-0.06858951324959887,-0.7527638372203216,-136.18633273014353,-174.1624583843115,-65.11797899829772,-0.15199805419895274,-0.1973604895638481,-0.07051523424180683,-13.148620605445736,-17.07270670967544,-6.099933757941768,0.9538
06099000909,06099000909,Census Tract 9.09; Stanislaus County; California,2784,2063,726,Modesto city,California,65491,0.4935267743478796,0.19477119434430523,06099,2784,2063,726,0.01193099999999999,0.009493868073,0.003212018401,0.8515939261573514,0.7838823917820408,0.8870400577943892,-0.1742685912666164,-0.27570157268955586,-0.1273448038936188,-5.788488797727168,-9.157676971105309,-4.229872781029267,-207.9198562402,-328.93954637590906,-151.93508552547655,0.8380227540318632,0.765025656045818,0.8764710095790423,-0.1932850214255377,-0.3071457043266916,-0.14093904883435568,-6.420136716308602,-10.20212222892777,-4.681417915933269,-230.60835906280897,-366.4555398321757,-207.9198562402,-0.6316479185814341,-1.0444452578224617,-0.45154513490400205,-22.688502822608985,-37.515993456266585,-16.219293638793175,0.9049391148790712,0.8747026911699876,0.9358944723921496,-0.10504671922998032,-0.14324559658369962,-0.06849653406328658,-0.6960809459560314,-0.949201756179743,-0.4538850196844076,-33.74119951313774,-46.01074920890659,-22.00121278159998,0.8959448893557767,0.8630709698477008,0.929714427462326,-0.11614007946297177,-0.15865326831287344,-0.07559909845598486,-0.7695899212140411,-1.051299059083063,-0.5009494094856651,-37.30440723286675,-50.95972171997397,-24.28256953396341,-0.0735089752580097,-0.10209730290332009,-0.04706438980125754,-3.5632077197290206,-4.948972511067382,-2.281356752363429,0.8747026911699876,0.8451757325632479,0.9358944723921496,-0.14324559658369962,-0.18318588841542024,-0.06849653406328658,-0.987327181898776,-1.2626175693096426,-0.4721156640024348,-135.99547960038234,-173.91426574512985,-65.02970578545934,0.8630709698477008,-0.15865326831287344,-1.093525302265414,0.8310778748622906,-0.2032566745513467,-1.400956430584854,0.929714427462326,-0.07559909845598486,-0.5210704315718511,-150.62331987126916,-192.96920531471815,-71.77278671788582,-0.10619812036663824,-0.13833886127521122,-0.0489547675694163,-14.627840270886807,-19.05493956958832,-6.743080932426488,0.8611
06099000806,06099000806,Census Tract 8.06; Stanislaus County; California,2875,1948,720,Modesto city,California,0,NA,NA,06099,2875,1948,720,0.01193099999999999,0.009493868073,0.003212018401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7436
06099001700,06099001700,Census Tract 17; Stanislaus County; California,1526,821,256,Modesto city,California,52167,0.4186911003381956,0.2266965785666599,06099,1526,821,256,0.01193099999999999,0.009493868073,0.003212018401,0.8780110820370476,0.8210334684038446,0.907491768427739,-0.13893778843876267,-0.21797714524851317,-0.10193836990117792,-2.5295994663947505,-3.9686457982589753,-1.8559619309099953,-165.76667538628772,-260.068531996001,-121.62266912909536,0.8666624839461858,0.8050019771797625,0.8987252920042517,-0.15385172258372912,-0.24223297376658873,-0.1126870567644704,-2.801133080675516,-4.410264536873993,-2.0516601125160236,-183.5604902146472,-289.00816100091697,-165.76667538628772,-0.2715336142807656,-0.44161873861501766,-0.19569818160602837,-17.793814828359476,-28.939629004915968,-12.824258296594255,0.9222929990019452,0.8972566061984496,0.9477604247185616,-0.08425413733178619,-0.11450837262359063,-0.0551189666913462,-0.22218381420493427,-0.30196626294707657,-0.145352414045759,-27.062583947007827,-36.78029999355378,-17.704313525671008,0.914862451231221,0.8875816828175251,0.9426889731634648,-0.09306049084668516,-0.1266568692873606,-0.0607952659552298,-0.2454067593936344,-0.3340026639012884,-0.16032119612528922,-29.891200900564485,-40.68241947640541,-19.5275512941887,-0.02322294518870013,-0.03203640095421184,-0.01496878207953023,-2.8286169535566543,-3.902119482851625,-1.8232377685176893,0.8972566061984496,0.8726483271389381,0.9477604247185616,-0.11450837262359063,-0.1459369930595027,-0.0551189666913462,-0.2783046100332274,-0.3546896791237722,-0.13396280271045685,-108.71273829422944,-138.55065590772352,-52.32921980877221,0.8875816828175251,-0.1266568692873606,-0.3078306835336722,0.8608414820747611,-0.16165405690005247,-0.39288890615662936,0.9426889731634648,-0.0607952659552298,-0.1477586520171264,-120.2463607553407,-153.47222896743335,-57.71822344419,-0.02952607350044483,-0.03819922703285716,-0.01379584930666955,-11.533622461111264,-14.92157305970983,-5.389003635417793,0.9706
06099000915,06099000915,Census Tract 9.15; Stanislaus County; California,2585,1956,788,Modesto city,California,70753,0.5907743468665517,0.24080064623498815,06099,2585,1956,788,0.01193099999999999,0.009493868073,0.003212018401,0.8184492588178197,0.7381054278137126,0.8611505141984808,-0.22182284268228783,-0.35482000581140005,-0.16123718619706562,-6.8413791486695414,-10.943229109933078,-4.9728184451169355,-264.6568336042376,-423.3357489335814,-192.37208685171896,0.802215290850275,0.7160283847402285,0.848373260582786,-0.24654816656522624,-0.39659267888212985,-0.17872644797061943,-7.603948563123911,-12.231566645754857,-5.512215873156334,-294.1566175289714,-473.17472517426904,-264.6568336042376,-0.7625694144543695,-1.2883375358217766,-0.5393974280393987,-29.49978392473383,-49.83897624068768,-20.866438222027032,0.8828750036123232,0.8462391883241304,0.9206965700452536,-0.1326631696542031,-0.18169899692352168,-0.086134164647587,-0.8334839562777419,-1.141561740174478,-0.5411558046463025,-42.61165420642852,-58.3620521561594,-27.66645218028132,0.8719451033945529,0.8322282358022215,0.9131206781873188,-0.14686119126871522,-0.2015934535507028,-0.09514549816695592,-0.9226859801508804,-1.2665528018296488,-0.5977713817702272,-47.172084874789384,-64.75218823259964,-30.56090908845742,-0.08920202387313847,-0.12499106165517082,-0.05661557712392462,-4.560430668360862,-6.390136076440227,-2.8944569081761053,0.8462391883241304,0.8107637220847446,0.9206965700452536,-0.18169899692352168,-0.23340496467782956,-0.086134164647587,-1.359320728961218,-1.7461417624808164,-0.6443841598448942,-172.50263057883478,-221.59159422345388,-81.77463957422515,0.8322282358022215,-0.2015934535507028,-1.5081545020839708,0.793932789231885,-0.2595524628318741,-1.9417555900366623,0.9131206781873188,-0.09514549816695592,-0.7117994601815109,-191.3901652390826,-246.41568401480487,-90.32988073369428,-0.14883377312275292,-0.1956138275558459,-0.06741530033661669,-18.88753466024783,-24.824089791351003,-8.555241159469123,0.5758
06099000910,06099000910,Census Tract 9.10; Stanislaus County; California,3907,2532,805,Modesto city,California,69855,0.5130270196045584,0.19752020508924975,06099,3907,2532,805,0.01193099999999999,0.009493868073,0.003212018401,0.8448418175536,0.7744810120332064,0.8817869928308283,-0.1836535304273763,-0.2911872395357374,-0.13406072909929054,-8.560902250863908,-13.573523408797747,-6.249162729558363,-219.11702715290264,-347.41549549008823,-159.9478558883635,0.8307167023018146,0.754938983594837,0.8707631807991055,-0.20377981714960353,-0.32461036153973877,-0.1484178730229417,-9.49907737279537,-15.131522755334144,-6.918412623344455,-243.12969984119195,-387.2926223530623,-219.11702715290264,-0.9381751219314616,-1.5579993465363966,-0.669249893786092,-24.012672688289264,-39.87712686297406,-17.129508415308216,0.900471019652396,0.8689194164059667,0.9328269864110424,-0.11052990954225787,-0.15085470656900513,-0.07201015254436295,-0.8989210295824337,-1.2268757724308177,-0.5856463714992789,-35.502410331059785,-48.45480933771001,-23.12979350313108,0.891080037118213,0.8567960428620282,0.9263630240160172,-0.12223364719743726,-0.1671389105155243,-0.07949040934810636,-0.9941055452174008,-1.3593124444425575,-0.6464820328637826,-39.26167240195105,-53.68532560989565,-25.532465752914003,-0.0951845156349671,-0.13243667201174025,-0.06083566136450369,-3.759262070891275,-5.230516272185635,-2.4026722497829263,0.8689194164059667,0.8381602472984605,0.9328269864110424,-0.15085470656900513,-0.19308927287255365,-0.07201015254436295,-1.152916719297595,-1.4756970867856352,-0.5503421849790936,-143.21946823572608,-183.3164082963522,-68.3654888172787,0.8567960428620282,-0.1671389105155243,-1.2773697868709686,0.8234927214346688,-0.21433981621334136,-1.6381057200260258,0.9263630240160172,-0.07949040934810636,-0.6075105248328485,-158.679476629934,-203.49139379205292,-75.46714594196875,-0.12445306757337347,-0.16240863324039068,-0.05716833985375491,-15.460008394207886,-20.174985495700707,-7.1016571246900515,0.9725
06099001300,06099001300,Census Tract 13; Stanislaus County; California,3993,2783,1099,Modesto city,California,81181,0.520847772908095,0.2148841369104164,06099,3993,2783,1099,0.01193099999999999,0.009493868073,0.003212018401,0.8421488871353721,0.7707422568457811,0.8796889531298654,-0.18743848656212023,-0.2974505953422655,-0.1367654401502681,-8.929660032608416,-14.170690030743076,-6.515571626466364,-223.6328583172656,-354.8883053028569,-163.17484664328484,0.8278044696294519,0.7509310935342131,0.8684844603478681,-0.2080147386104687,-0.33168010834863526,-0.15143107983700005,-9.90992261852148,-15.801400563221314,-7.214249784646243,-248.18238463615023,-395.7275372707566,-223.6328583172656,-0.9802625859130636,-1.630710532478238,-0.6986781581798791,-24.54952631888464,-40.83923196789978,-17.497574710239896,0.898685253080477,0.8666107378301267,0.9315995694094712,-0.11273663006290628,-0.15392062012047253,-0.0734225656994313,-1.0077580584267078,-1.3759036898467631,-0.6563277810652949,-36.211213022878475,-49.43958641202886,-23.583463207520477,0.8891363728223095,0.8542922617249935,0.9250223093954716,-0.12468686532953946,-0.17055959043898197,-0.08105500790951581,-1.1145817756455458,-1.524640231049425,-0.7245545423087073,-40.04965058014897,-54.78405429570338,-26.03501768985653,-0.106823717218838,-0.14873654120266178,-0.06822676124341243,-3.8384375572704994,-5.344467883674516,-2.4515544823360553,0.8666107378301267,0.8353630101574318,0.9315995694094712,-0.15392062012047253,-0.19708436672524068,-0.0734225656994313,-1.6059709651907887,-2.056331181657264,-0.7660735034124017,-146.1302061138115,-187.10929769401855,-69.70641523315757,0.8542922617249935,-0.17055959043898197,-1.779578004983655,0.8204701113383077,-0.2188134414413373,-2.2830471542618405,0.9250223093954716,-0.08105500790951581,-0.8457085813720571,-161.92702502126068,-207.73859456431668,-76.95255517489146,-0.17360703979286618,-0.22671597260457643,-0.07963507795965541,-15.796818907449152,-20.629296870298127,-7.246139941733887,0.7192
06099000404,06099000404,Census Tract 4.04; Stanislaus County; California,3734,2925,1424,Modesto city,California,44034,0.5540482585205487,0.1909569186782772,06099,3734,2925,1424,0.01193099999999999,0.009493868073,0.003212018401,0.8308121561614611,0.7550704724962095,0.8708378357568201,-0.20364151220442508,-0.32437969226113533,-0.14831942175655335,-9.072301457802457,-14.45123012064464,-6.607682744329754,-242.9646882110995,-387.0174108367606,-176.9599020977438,0.8155547595541204,0.734152422137519,0.8588770908247146,-0.22615923490743825,-0.36211496393140463,-0.16431094819373482,-10.07547397549553,-16.132349831841307,-7.320110908106546,-269.83058316806455,-432.0393634665588,-242.9646882110995,-1.0031725176930737,-1.6811197111966667,-0.7124281637767922,-26.865894956965008,-45.02195262979826,-19.079490192201185,0.891143700684353,0.8568780841743732,0.9264069216596544,-0.12215347449805336,-0.16702716345409738,-0.0794392578679183,-1.1476506829139574,-1.5692458932580815,-0.7463440472480976,-39.23592078338316,-53.64943224813954,-25.51603580335377,0.8809322628058786,0.8437444688295224,0.919352307291471,-0.13516105859816727,-0.18519295467174063,-0.08772229325896552,-1.269858936399161,-1.7399162960629804,-0.8241644388677178,-43.413980731595245,-59.48431781411899,-28.176562012571548,-0.1222082534852036,-0.17067040280489865,-0.07782039161962029,-4.178059948212089,-5.834885565979441,-2.6605262092177875,0.8568780841743732,0.8235918015761773,0.9264069216596544,-0.16702716345409738,-0.214193728114116,-0.0794392578679183,-2.258085008723425,-2.8957424434139343,-1.073960627637422,-158.57338544406073,-203.35269967794483,-75.41858340150435,0.8437444688295224,-0.18519295467174063,-2.503673211096466,0.8077616237664013,-0.23798899400201348,-3.217437023318692,0.919352307291471,-0.08772229325896552,-1.1859412040685693,-175.81974797025745,-225.9436111881104,-83.28238792616358,-0.24558820237304113,-0.3216945799047579,-0.11198057643114724,-17.24636252619671,-22.590911510165583,-7.863804524659216,0.825
