geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06065042517,06065042517,Census Tract 425.17; Riverside County; California,2033,1322,469,Moreno Valley city,California,45502,0.45963550943208786,0.24182147502245713,06065,2033,1322,469,0.010586,0.009493868073,0.003212018401,0.8634576838741846,0.800494254968731,0.8962444083689903,-0.1581343459857508,-0.24922820344171265,-0.11576707275622158,-3.403262709368286,-5.363724405401861,-2.4914623020572364,-167.4010186605158,-263.832976163397,-122.55102321973618,0.8508738261893384,0.7828779141984139,0.886480333092084,-0.17526238229530136,-0.2773383714929507,-0.1280566106999286,-3.771880968062397,-5.9686928332693565,-2.75594960200758,-185.532757897806,-293.5904000624376,-167.4010186605158,-0.36861825869411025,-0.6049684278674956,-0.2644872999503436,-18.131739237290223,-29.757423899040617,-13.009704867208244,0.912757442083506,0.8848457084028681,0.9412497572055396,-0.09558131645286816,-0.13014053241551396,-0.06241727272141149,-0.4058658282491867,-0.5526142235512987,-0.26504173650530277,-30.700894723841657,-41.80137848345679,-20.048542852140905,0.90446324063752,0.8740862806173957,0.9355680130128252,-0.10562812845234018,-0.1440518197970884,-0.06886937784425022,-0.4485274887572872,-0.6116855607610066,-0.29243923516732484,-33.92794922521083,-46.26970958857841,-22.12097089011534,-0.04266166050810049,-0.05907133720970781,-0.02739749866202207,-3.227054501369175,-4.46833110512162,-2.0724280379744378,0.8848457084028681,0.8575085888739757,0.9412497572055396,-0.13014053241551396,-0.16616907745861142,-0.06241727272141149,-0.5794668744346457,-0.739888443326758,-0.27792065441327135,-123.55370457028692,-157.7587299204175,-59.258135269354234,0.8740862806173957,-0.1440518197970884,-0.6414086082568604,0.8444274188005515,-0.18423440278671693,-0.8203265467310009,0.9355680130128252,-0.06886937784425022,-0.3066494533482404,-136.76089728291268,-174.9097114565034,-65.38367875229007,-0.06194173382221468,-0.08043810340424296,-0.02872879893496904,-13.207192712625732,-17.15098153608592,-6.12554348293583,0.8317
06065042521,06065042521,Census Tract 425.21; Riverside County; California,3012,2010,698,Moreno Valley city,California,62979,0.40974864028076874,0.215871450832178,06065,3012,2010,698,0.010586,0.009493868073,0.003212018401,0.8812221105476306,0.8255889886910801,0.909966966186416,-0.13478768636269872,-0.21125646501831097,-0.09894099144159443,-4.297709692880612,-6.735919147315726,-3.154736678226965,-142.6862447835529,-223.636093868384,-104.73893354007186,0.8701495981158992,0.8099165641418762,0.901422075194833,-0.14922767552299143,-0.23469508375782047,-0.10935823241721748,-4.758129209336198,-7.4832602558607855,-3.4868907400864164,-157.9724173086387,-248.44821566602872,-142.6862447835529,-0.46041951645558665,-0.7473411085450596,-0.33215406185945184,-15.286172525085878,-24.81212179764474,-11.02769129679455,0.9243888299831104,0.899990284422999,0.9491883676954496,-0.0817958499328373,-0.111123105780102,-0.053531663507336,-0.5280868479705132,-0.7174282156893338,-0.3456088233256239,-26.272977510970804,-35.692946054195716,-17.194468822170343,0.9171495511618276,0.8905567572656993,0.944251423088095,-0.09033472102038212,-0.12289305745130416,-0.05903997129237466,-0.5832151401950045,-0.7934168713963659,-0.3811713231130946,-29.015678616666893,-39.47347618887392,-18.96374741856192,-0.05512829222449134,-0.07598865570703206,-0.03556249978747067,-2.7427011056960864,-3.780530134678212,-1.7692785963915756,0.899990284422999,0.8759903229794493,0.9491883676954496,-0.111123105780102,-0.14156512208806665,-0.053531663507336,-0.7363816980845418,-0.9381124138038854,-0.3547393406446797,-105.4988106138312,-134.40005928422426,-50.82225510668764,0.8905567572656993,-0.12289305745130416,-0.8143778712221433,0.8644686325596378,-0.15677997134385577,-1.0389369583702464,0.944251423088095,-0.05903997129237466,-0.3912413535414916,-116.67304745302911,-148.8448364427287,-56.05176984835123,-0.07799617313760154,-0.10082454456636092,-0.03650201289681187,-11.17423683919793,-14.444777158504431,-5.229514741663593,0.9059
06065042514,06065042514,Census Tract 425.14; Riverside County; California,2091,1190,438,Moreno Valley city,California,46141,0.37909383360819743,0.2032910790911734,06065,2091,1190,438,0.010586,0.009493868073,0.003212018401,0.8923189264317017,0.8413980408262405,0.9185033107127716,-0.12067554590476366,-0.1884981322490539,-0.08872770335905018,-2.6711925488299086,-4.172467607723921,-1.9640166390838707,-127.7471328947828,-199.5441227988485,-93.92714677589052,0.8822102820155195,0.8269926430666502,0.9107282299218316,-0.13351660073080893,-0.2092005997681004,-0.09802240355043206,-2.9554334835882936,-4.6307234752624264,-2.169757857892371,-141.34067353363432,-221.45975491451108,-127.7471328947828,-0.28424093475838497,-0.45825586753850533,-0.2057412188085004,-13.593540638851504,-21.915632115662618,-9.839369622596864,0.9316095639405492,0.9094247175608188,0.9540997130736258,-0.07341104976442155,-0.09959624000776517,-0.04810847996013612,-0.280599194789258,-0.38068689713467135,-0.18388513422255545,-23.579764268004872,-31.990495557535407,-15.4525322876097,0.9250332257660132,0.9008312203983182,0.9496271917456408,-0.08104225031690859,-0.11008585998810363,-0.05304482505578015,-0.30976794713886663,-0.4207813914863213,-0.20275333544682017,-26.03091992763585,-35.35978079716986,-17.03809541569917,-0.02916875234960864,-0.04009449435164997,-0.01886820122426472,-2.4511556596309783,-3.369285239634451,-1.5855631280894722,0.9094247175608188,0.8875441449550928,0.9540997130736258,-0.09959624000776517,-0.126704520202313,-0.04810847996013612,-0.41415246068184824,-0.526877207585443,-0.20005017612713433,-94.55535632005667,-120.29159990535229,-45.67355619340967,0.9008312203983182,-0.11008585998810363,-0.4577715965662547,0.8770189142238122,-0.1402262639740555,-0.5831048669362376,0.9496271917456408,-0.05304482505578015,-0.2205770501133044,-104.51406314298052,-133.12896505393553,-50.36005710349416,-0.04361913588440647,-0.05622765935079465,-0.02052687398617006,-9.958706822923851,-12.837365148583256,-4.686500910084489,0.9493
06065042405,06065042405,Census Tract 424.05; Riverside County; California,3249,1643,484,Moreno Valley city,California,49451,0.36041374124255265,0.20076706950043297,06065,3249,1643,484,0.010586,0.009493868073,0.003212018401,0.899149391447308,0.8511796622349849,0.92374431429557,-0.11216223856900875,-0.17484010058963362,-0.08255064147548366,-3.857698387389971,-6.013435383431208,-2.8392396635526183,-118.7349457491527,-185.08573048418617,-87.388109065947,0.8896415132521176,0.8375743365984364,0.916446160654538,-0.12404826562607545,-0.19392387792253524,-0.09117157442810034,-4.266505379792395,-6.669801179814176,-3.1357472901246823,-131.31749399176346,-205.28781716879575,-118.7349457491527,-0.40880699240242446,-0.6563657963829677,-0.2965076265720641,-12.582548242610786,-20.202086684609657,-9.126119623640015,0.936037285711142,0.9152221990918896,0.957104987922496,-0.0683335111381416,-0.09263083980286894,-0.04481745745637827,-0.3606195975818068,-0.4888450134787539,-0.2365172402730193,-21.94884951806493,-29.75319619468983,-14.395449803592165,0.9298704859518476,0.9071501988935128,0.9529180152212224,-0.075418582595796,-0.10235328308337466,-0.04940822193171281,-0.39800997274828265,-0.5401537128991605,-0.2607442938827955,-24.22458750750351,-32.87606286665615,-15.870011800535332,-0.03739037516647586,-0.05130869942040655,-0.02422705360977622,-2.27573798943858,-3.1228666719663147,-1.4745619969431667,0.9152221990918896,0.8946592831243955,0.957104987922496,-0.09263083980286894,-0.11774394885584362,-0.04481745745637827,-0.42564168672854336,-0.5410372301464162,-0.20593765777374237,-87.94249725796351,-111.78455168314385,-42.54910284581454,0.9071501988935128,-0.10235328308337466,-0.4703166261530791,0.8847558438627846,-0.13025532064763445,-0.5985273857369178,0.9529180152212224,-0.04940822193171281,-0.2270323681187343,-97.17285664319816,-123.66268300349542,-46.907514074118666,-0.04467493942453576,-0.05749015559050152,-0.02109471034499196,-9.230359385234662,-11.878131320351557,-4.358411228304126,0.9125
06065042622,06065042622,Census Tract 426.22; Riverside County; California,3676,2363,563,Moreno Valley city,California,137092,0.535411395968686,0.27229649067872136,06065,3676,2363,563,0.010586,0.009493868073,0.003212018401,0.8371570294748265,0.763828066423438,0.8757953268353386,-0.19451902664823795,-0.3091951500059661,-0.14181929197255652,-7.569539857577156,-12.032062117872565,-5.518775215243773,-205.9178416098247,-327.3139857963157,-150.12990248214834,0.822408558315625,0.7435243114219713,0.8642569603684374,-0.21594065369176127,-0.3449459347032318,-0.15706328772139094,-8.4031439656901,-13.423273015688682,-6.1119821389973374,-228.59477599809847,-365.1597664768412,-205.9178416098247,-0.8336041081129446,-1.3912108978161175,-0.5932069237535647,-22.676934388273793,-37.84578068052551,-16.137293899716123,0.8953692728617064,0.8623279052165858,0.9293182046603372,-0.11685762546204131,-0.15965167536685013,-0.07605768937400365,-0.886949316673577,-1.211756133265057,-0.5772778229175675,-37.53488432812429,-51.28041190288011,-24.429869780684193,0.8855282180508071,0.8496492614981588,0.9225308310269944,-0.12926949092730677,-0.17695623984505404,-0.08397461241134267,-0.9811553691201714,-1.343097768683298,-0.6373672646665448,-41.52159835464119,-56.8386698554083,-26.97280002820757,-0.0942060524465944,-0.1313416354182411,-0.06008944174897734,-3.986714026516903,-5.558257952528187,-2.542930247523375,0.8623279052165858,0.8301789151973048,0.9293182046603372,-0.15965167536685013,-0.2045596216597896,-0.07605768937400365,-0.8533458242278262,-1.0933809403997703,-0.4065319795648045,-151.5711943566299,-194.2062061100835,-72.20816688540044,0.8496492614981588,-0.17695623984505404,-0.945839547225879,0.8148710125823546,-0.2271880881257086,-1.2143311736059097,0.9225308310269944,-0.08397461241134267,-0.44884831103531736,-167.9999195783089,-215.6893736422575,-79.72438917145958,-0.0924937229980528,-0.1209502332061394,-0.04231633147051283,-16.428725221679006,-21.48316753217396,-7.516222286059119,0.5521
06065042408,06065042408,Census Tract 424.08; Riverside County; California,1973,1321,485,Moreno Valley city,California,56405,0.4365037776850852,0.19883510405172444,06065,1973,1321,485,0.010586,0.009493868073,0.003212018401,0.8716497891529946,0.8120339974068661,0.9025814136267472,-0.14724974691008266,-0.2314755332823268,-0.10793329543736777,-3.0754844244189368,-4.834639190779602,-2.2543140206314507,-155.8785820790135,-245.03999953267115,-114.2581865499975,0.8597580134352303,0.7953011921181022,0.8933775293439559,-0.1631179754922224,-0.257385264740682,-0.11934760742677449,-3.406911071130194,-5.375794453951008,-2.4927153725897337,-172.67668885606662,-272.46804125448597,-155.8785820790135,-0.3314266467112579,-0.5411552631714063,-0.23840135195828305,-16.79810677705311,-27.42804172181481,-12.083190671985964,0.918132417428565,0.891836052085157,0.9449224725988492,-0.08916751115348205,-0.12128232275646436,-0.05828787969204422,-0.3783445539937877,-0.5146101502333253,-0.2473199213486049,-28.640768659635704,-38.95610524097845,-18.72217421261203,0.9103237090283968,0.8816851517174746,0.939584395555743,-0.09851033218426918,-0.1341917214462039,-0.06430034888832153,-0.41798685655679807,-0.5693857139606837,-0.27283128694623143,-31.641699966449515,-43.10262785470732,-20.653390382000865,-0.03964230256301038,-0.05477556372735837,-0.02551136559762656,-3.000931306813806,-4.1465226137288695,-1.9312161693888392,0.891836052085157,0.8660292793706957,0.9449224725988492,-0.12128232275646436,-0.1546953709540337,-0.05828787969204422,-0.558447610340886,-0.7122988600205752,-0.2683880584248144,-115.14383718368782,-146.8657443341392,-55.33774400511636,0.8816851517174746,-0.1341917214462039,-0.6178892724510269,0.8536617702594952,-0.17142413405255463,-0.789326884913262,0.939584395555743,-0.06430034888832153,-0.29607262925589445,-127.39984998990244,-162.74781132232206,-61.04590293935968,-0.0594416621101409,-0.07702802489268679,-0.02768457083108005,-12.25601280621462,-15.882066988182842,-5.708158934243311,0.5869
06065048901,06065048901,Census Tract 489.01; Riverside County; California,2673,1607,537,Moreno Valley city,California,45341,0.41045116517304264,0.2206610050723085,06065,2673,1607,537,0.010586,0.009493868073,0.003212018401,0.8809694257875825,0.8252301913085219,0.909772269088577,-0.13511317274831042,-0.21178310068170825,-0.0991761718587163,-3.8232134088654903,-5.992694670901674,-2.806326447507199,-143.0308046713614,-224.19359038165632,-104.98789552963709,0.8698751412839036,0.8095293877198761,0.901209921754212,-0.14959027168432112,-0.23528560564873893,-0.1096193859622542,-4.232862872702247,-6.657730435395652,-3.101831581315839,-158.35626160502233,-249.07334213975503,-143.0308046713614,-0.40964946383675693,-0.6650357644939779,-0.29550513380863963,-15.32545693366094,-24.87975175809869,-11.055186450005223,0.9242240080368148,0.8997752239395053,0.9490761098331624,-0.08198877253161203,-0.1113886817439565,-0.05365627649798248,-0.42320255979743454,-0.5749564701475268,-0.27695833053714636,-26.33494460469412,-35.77824954247211,-17.234494744066357,0.9169696684938888,0.8903226731763487,0.944128582432554,-0.0905486128483262,-0.12318828906419098,-0.05917776307914844,-0.467386003720735,-0.6358626633778549,-0.3054586627519709,-29.08438106538488,-39.568305126188854,-19.008006394024324,-0.04418344392330048,-0.06090619323032809,-0.02850033221482456,-2.749436460690758,-3.790055583716744,-1.7735116499579693,0.8997752239395053,0.8757273112196259,0.9490761098331624,-0.1113886817439565,-0.14190797430686442,-0.05365627649798248,-0.567882574275446,-0.7234762499913359,-0.2735508127634575,-105.75094493025064,-134.72555865760444,-50.940561036025606,0.8903226731763487,-0.12318828906419098,-0.6280394167440275,0.8641831291739208,-0.15716214103358803,-0.8012451519441472,0.944128582432554,-0.05917776307914844,-0.3017004951589042,-116.95333645140175,-149.20766330431047,-56.18258755286856,-0.06015684246858155,-0.07776890195281139,-0.02814968239544668,-11.202391521151126,-14.482104646706032,-5.242026516842958,0.7689
06065048902,06065048902,Census Tract 489.02; Riverside County; California,4671,2780,571,Moreno Valley city,California,64203,0.37839747550449576,0.20145371011110205,06065,4671,2780,571,0.010586,0.009493868073,0.003212018401,0.8925726195507688,0.8417606558072805,0.9186981506666724,-0.12035701980562578,-0.18798614915181783,-0.08849680308415678,-5.951318351874859,-9.295389842256665,-4.375919652443736,-127.40994116623548,-199.00213749211437,-93.68271574488838,0.8824861870064912,0.8273846989129114,0.9109407418843124,-0.13316221230853606,-0.20862762063872495,-0.09776624759527752,-6.584499343435918,-10.316052935012884,-4.8342677846906925,-140.96551794981627,-220.85319920815425,-127.40994116623548,-0.6331809915610593,-1.0206630927562212,-0.4583481322469565,-13.555576783580802,-21.851061716039847,-9.812633959472414,0.9317742444901886,0.9096401761455236,0.9542115744562591,-0.07322133651283785,-0.09933578817655551,-0.04798561112595242,-0.6538234190256345,-0.8870100950125981,-0.42848325125701486,-23.51882802250484,-31.906837950093458,-15.413066591978952,0.9252130972116488,0.9010659880779168,0.9497496631761234,-0.08083208399636724,-0.10979663335547855,-0.05290903358241893,-0.7217829125012756,-0.9804192826417002,-0.4724465146594813,-25.96341411875092,-35.26688067056475,-16.99447894458566,-0.06795949347564112,-0.09340918762910212,-0.04396326340246642,-2.4445860962460833,-3.3600427204712986,-1.581412352606706,0.9096401761455236,0.8878083654981292,0.9542115744562591,-0.09933578817655551,-0.12636920180282665,-0.04798561112595242,-0.5384991755570196,-0.6850472748620257,-0.26012993407771384,-94.30808678756912,-119.97325304063496,-45.55690614320733,0.9010659880779168,-0.10979663335547855,-0.5952074033557214,0.8773061144159485,-0.13985299266463316,-0.7581428871861627,0.9497496631761234,-0.05290903358241893,-0.2868198006645062,-104.23947519364648,-132.7745861972264,-50.23113847014119,-0.05670822779870177,-0.07309561232413708,-0.02668986658679234,-9.93138840607737,-12.801333156591433,-4.67423232693386,0.9483
06065046800,06065046800,Census Tract 468; Riverside County; California,4150,2541,1044,Moreno Valley city,California,72839,0.4085439018559863,0.20198419040111804,06065,4150,2541,1044,0.010586,0.009493868073,0.003212018401,0.8816556006288574,0.8262046425122584,0.9103009432744344,-0.13422973697068474,-0.2103538863680047,-0.09853780487462747,-5.896967381622425,-9.241245900530544,-4.328952989971647,-142.09559955716688,-222.68062410916977,-104.31212024028063,0.8706204573248093,0.8105809522382965,0.9017860068983912,-0.14860613667721576,-0.2336830729104249,-0.1089105312682847,-6.5285499358897745,-10.266141390793496,-4.784646568625157,-157.3144562865006,-247.3769009829758,-142.09559955716688,-0.6315825542673492,-1.0248954902629492,-0.4556935786535101,-15.218856729333716,-24.696276873806006,-10.980568160325545,0.924671546517593,0.9003592047240432,0.9493809061755796,-0.08146509294689734,-0.1106678254114105,-0.05331800281125388,-0.6648968064424929,-0.9032418798066892,-0.4351676099873,-26.16673775846096,-35.54670916201059,-17.12584061343172,0.917458108588068,0.8909583241783515,0.9444621159729162,-0.08996802212469501,-0.12238695443157516,-0.05880371810347599,-0.7342954930604487,-0.998890349328159,-0.4799405850973732,-28.89789425660955,-39.31091496765679,-18.887862459558175,-0.06939868661795578,-0.09564846952146988,-0.04477297511007322,-2.7311564981485947,-3.7642058056461978,-1.7620218461264547,0.9003592047240432,0.8764415376841881,0.9493809061755796,-0.1106678254114105,-0.14097741492523175,-0.05331800281125388,-1.0968950266945243,-1.3973115016299316,-0.5284666243285465,-105.06657343817282,-133.84209785727313,-50.619408460588744,0.8909583241783515,-0.12238695443157516,-1.2130503255957412,0.8649584531571274,-0.1561248940338885,-1.547447229331071,0.9444621159729162,-0.05880371810347599,-0.5828388305188393,-116.19255992296372,-148.2229146868842,-55.8274741876283,-0.1161552989012169,-0.15013572770113948,-0.05437220619029281,-11.125986484790891,-14.38081682961106,-5.208065727039541,0.7258
06065042523,06065042523,Census Tract 425.23; Riverside County; California,3588,1840,733,Moreno Valley city,California,73243,0.37816220872236816,0.22149330018448765,06065,3588,1840,733,0.010586,0.009493868073,0.003212018401,0.8926583468709495,0.8418832017372286,0.9187639873000696,-0.12024942521998148,-0.1878132238967316,-0.08841880376554065,-4.567381970378862,-7.133628547956833,-3.358373226503304,-127.2960415378724,-198.81907881708003,-93.60014566620131,0.8825794218775839,0.8275171982179576,0.91101255092754,-0.13304250610400328,-0.2084340991987609,-0.09767971800372914,-5.05329603498572,-7.916862346335682,-3.7101265312974663,-140.83879696169788,-220.64833741180828,-127.2960415378724,-0.4859140646068578,-0.7832337983788493,-0.35175330479416234,-13.542755423825469,-21.82925859472824,-9.80360381254633,0.9318298889121012,0.9097129810437872,0.9542493701411574,-0.07315724887027021,-0.0992478076465604,-0.04794410275803999,-0.4323676703496337,-0.5865658433321754,-0.28335510611199716,-23.49824295378444,-31.878578441966056,-15.399734027825932,0.9252738752511404,0.9011453189056636,0.9497910441047968,-0.08076108787636231,-0.10969893425666773,-0.05286315996222782,-0.477307224632323,-0.6483331915406111,-0.3124272942619753,-25.94061003436538,-35.2354995402506,-16.979744253368224,-0.04493955428268931,-0.06176734820843566,-0.02907218814997814,-2.442367080580941,-3.356921098284547,-1.58001022554229,0.9097129810437872,0.8878976510175973,0.9542493701411574,-0.0992478076465604,-0.12625593597857251,-0.04794410275803999,-0.690666019178568,-0.8786157273168431,-0.3336432650775161,-94.22455923309248,-119.86571996137012,-45.51749864631871,0.9011453189056636,-0.10969893425666773,-0.763395464623242,0.877403167160637,-0.13972690939343013,-0.9723603026734402,0.9497910441047968,-0.05286315996222782,-0.367875010220209,-104.14672095815035,-132.654884402925,-50.187586660328655,-0.07272944544467408,-0.09374457535659708,-0.03423174514269289,-9.922161725057856,-12.789164441554854,-4.670088014009944,0.7621
06065048700,06065048700,Census Tract 487; Riverside County; California,3035,2143,620,Moreno Valley city,California,148309,0.5503848415142235,0.2637820692723057,06065,3035,2143,620,0.010586,0.009493868073,0.003212018401,0.832055548535428,0.7567839728655181,0.871810100577566,-0.2018428358060774,-0.32138104909061255,-0.14703878670080717,-6.484909568623915,-10.325494249518236,-4.72413712890475,-213.6708259843135,-340.21397856732244,-155.65525960147446,0.816897473968585,0.7359852635022053,0.8599319517888269,-0.224143826938136,-0.35872285708748247,-0.16288271173062494,-7.20140718522017,-11.52523090116375,-5.233178832664501,-237.27865519671073,-379.7440165128089,-213.6708259843135,-0.7164976165962553,-1.199736651645514,-0.5090417037597508,-23.60782921239721,-39.53003794548646,-16.7723790365651,0.8919727366790213,0.857946619810644,0.9269784666317972,-0.12111049909797024,-0.16557368128649816,-0.07877371049785929,-0.8336466120008961,-1.1397024987020197,-0.5422274481600283,-38.900915165697434,-53.182571101354164,-25.302260763417095,0.8818337945874973,0.8449019146390081,0.9199762384394568,-0.13400054084769822,-0.18356933825538663,-0.0869845961416203,-0.9223733509149042,-1.2635730018753948,-0.5987458924685687,-43.04122029467589,-58.96280923356952,-27.9396123410438,-0.08872673891400817,-0.12387050317337532,-0.05651844430854036,-4.14030512897845,-5.780238132215367,-2.6373515776267085,0.857946619810644,0.8248824792439062,0.9269784666317972,-0.16557368128649816,-0.2122939026618772,-0.07877371049785929,-0.9745995056268766,-1.249603988835983,-0.46367767335417015,-157.19346864949622,-201.5490304574166,-74.78672150873713,0.8449019146390081,-0.18356933825538663,-1.0805255093796229,0.8091541894691344,-0.23585839758930827,-1.3883092765856857,0.9199762384394568,-0.0869845961416203,-0.5120085736940713,-174.27830796445525,-223.92085106220736,-82.58202801517278,-0.10592600375274608,-0.13870528774970303,-0.04833090033990112,-17.084839314959044,-22.371820604790813,-7.795306506435664,0.8318
