geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06073019405,06073019405,Census Tract 194.05; San Diego County; California,2657,1632,525,Oceanside city,California,52610,0.4766388094891766,0.22764394996771456,06073,2657,1632,525,0.009244,0.009493868073,0.003212018401,0.8574851017282412,0.7921165143335371,0.891614694598682,-0.16620101968480075,-0.2624405398760935,-0.12156069887352232,-4.082114434392454,-6.445882931583014,-2.985689765727835,-153.6362225966298,-242.60003506146083,-112.37071003868404,0.8444019770974157,0.7738699348648399,0.8814444329161071,-0.18427008358914995,-0.29220681014653294,-0.13450146447878994,-4.525914278218858,-7.176981463706521,-3.3035318955146193,-170.33926526981023,-270.11597529945504,-153.6362225966298,-0.4437998438264037,-0.7310985321235064,-0.31784212978678417,-16.703042673180416,-27.515940237994215,-11.962443725509376,0.908826568223353,0.8797423236030986,0.9385591830670732,-0.1003199454818758,-0.13669647710521707,-0.06546291170701365,-0.5258785617481664,-0.7165648508961746,-0.3431575016410968,-32.22295108751019,-43.907159981383245,-21.02680769859662,0.9001794949173376,0.8685424202935872,0.9326266677454018,-0.11088955663428968,-0.15135424204378772,-0.07224040935637331,-0.5812846117053304,-0.7934010603589362,-0.37868523941026005,-35.61792963880701,-48.615261051405405,-23.203752414844367,-0.05540604995716403,-0.0768362094627616,-0.03552773776916324,-3.394978551296815,-4.708101070022156,-2.1769447162477475,0.8797423236030986,0.8512988436384957,0.9385591830670732,-0.13669647710521707,-0.1746756235753214,-0.06546291170701365,-0.6813336178324177,-0.8706323460413826,-0.3262855298959383,-129.77783196807957,-165.83473257931098,-62.14962474208348,0.8685424202935872,-0.15135424204378772,-0.7543920332826309,0.8377033415395342,-0.19374001560289403,-0.9656546280122896,0.9326266677454018,-0.07224040935637331,-0.36006648088368454,-143.69372062526304,-183.93421485948372,-68.58409159689229,-0.07305841545021319,-0.0950222819709069,-0.03378095098774625,-13.915888657183466,-18.09948228017274,-6.43446685480881,0.7104
06073018519,06073018519,Census Tract 185.19; San Diego County; California,3725,2308,957,Oceanside city,California,62643,0.4384908306402899,0.21884305907803112,06073,3725,2308,957,0.009244,0.009493868073,0.003212018401,0.8709430330576675,0.8110362175215966,0.9020353000079824,-0.14818072140636468,-0.2329905599725842,-0.10860406459830434,-5.102440142834621,-8.022773643039967,-3.739661499971552,-136.97825886804353,-215.3764736386568,-100.39359731467252,0.858991219199803,0.7942263166317268,0.8927829481216594,-0.16415625404361445,-0.2590869618132887,-0.12009307761076345,-5.652540036112415,-8.921374534382602,-4.1352730251412675,-151.74604123791718,-239.4999875002041,-136.97825886804353,-0.5500998932777943,-0.8986008913426353,-0.39561152516971543,-14.767782369873672,-24.12351386154726,-10.620443628717194,0.9176694583564728,0.8912334083241921,0.944606418589234,-0.08971699002708403,-0.12204052345874736,-0.05864197015884773,-0.6651024135362477,-0.9047277073956256,-0.4347327733063261,-28.817262284932745,-39.199640701716874,-18.83590872211118,0.909818797990426,0.8810298109645295,0.939238705932362,-0.0991199590608184,-0.13503537287259884,-0.06469206782457014,-0.7348098056016232,-1.001062924460794,-0.4795841950759066,-31.837513240971543,-43.37361024526837,-20.779211225125938,-0.06970739206537557,-0.09633521706516857,-0.04485142176958051,-3.0202509560388027,-4.173969543551498,-1.9433025030147535,0.8912334083241921,0.8652940261395101,0.944606418589234,-0.12204052345874736,-0.15567653282142438,-0.05864197015884773,-1.108815254218289,-1.414419648687905,-0.5327993457150603,-115.8636629277209,-147.79724646686572,-55.67391282289031,0.8810298109645295,-0.13503537287259884,-1.2268816705854613,0.8528645754842759,-0.17251909476035784,-1.5674449641219093,0.939238705932362,-0.06469206782457014,-0.5877683051323074,-128.20080152408164,-163.7873525728223,-61.4177957296037,-0.1180664163671723,-0.15302531543400422,-0.05496895941724711,-12.337138596360742,-15.990106105956553,-5.743882906713387,0.8909
06073018511,06073018511,Census Tract 185.11; San Diego County; California,3393,1988,725,Oceanside city,California,69881,0.5560437769660607,0.2372925382928721,06073,3393,1988,725,0.009244,0.009493868073,0.003212018401,0.8301356434978311,0.7541387358274079,0.8703086847143572,-0.20462241060561415,-0.32601596031643165,-0.1490176044011426,-6.417959809424742,-10.225455385601164,-4.6739210681405625,-189.1529563638297,-301.3691537165094,-137.75187350841622,0.8148242915236454,0.7331559668514721,0.858303036658798,-0.2272584536355602,-0.36396625713146114,-0.1650896679718155,-7.127936854366353,-11.415762346572508,-5.178019606251853,-210.07771454071184,-336.4504080923227,-189.1529563638297,-0.7099770449416107,-1.190306960971343,-0.5040985381112906,-20.924758176882133,-35.08125437581324,-14.85701556473005,0.8906924365090534,0.856296596711587,0.9260957407731604,-0.1227220070705468,-0.1678196594968068,-0.07980196428194324,-0.7836404656974779,-1.0716111906943562,-0.5095748508865783,-39.41853449182484,-53.903983435329785,-25.63253777095464,0.8804415726799935,0.8431146578824117,0.9190126206382274,-0.13579370969055934,-0.1860782998502547,-0.08812433860323834,-0.8671097258010637,-1.1882016032138776,-0.5627173103730777,-43.61718942661286,-59.768692314581365,-28.30569971695562,-0.0834692601035858,-0.1165904125195214,-0.05314245948649943,-4.198654934788018,-5.864708879251579,-2.673161946000977,0.856296596711587,0.8228895998367048,0.9260957407731604,-0.1678196594968068,-0.21522984395287187,-0.07980196428194324,-1.155111837805887,-1.481438714299183,-0.5492812576227947,-159.3257707318465,-204.33637438609415,-75.76293208590272,0.8431146578824117,-0.1860782998502547,-1.2807870517691788,0.807004080803391,-0.23915110689957988,-1.6460900673519852,0.9190126206382274,-0.08812433860323834,-0.6065646124216563,-176.66028300264534,-227.0469058416531,-83.66408447195259,-0.12567521396329173,-0.1646513530528022,-0.05728335479886159,-17.334512270798857,-22.710531455558925,-7.901152386049875,0.7101
06073018520,06073018520,Census Tract 185.20; San Diego County; California,3856,2220,1013,Oceanside city,California,62562,0.5116468511105235,0.2291490446459657,06073,3856,2220,1013,0.009244,0.009493868073,0.003212018401,0.8453179459467857,0.7751426895578749,0.8821577637693048,-0.18298683329142507,-0.29008505591451683,-0.13358408333581526,-6.5225407864635185,-10.340042366505347,-4.761586483069801,-169.15302869459333,-268.15462568737934,-123.48512663562764,0.8312317014866967,0.7556484938753104,0.8711659385152443,-0.20303400148412692,-0.32336662893555645,-0.14788693610350712,-7.237119370277502,-11.526359510546374,-5.271409724786201,-187.6846309719269,-298.92011178802835,-169.15302869459333,-0.7145785838139833,-1.186317144041027,-0.5098232417163997,-18.53160227733359,-30.765486100649035,-13.221557098454348,0.900786531213004,0.8693274787707024,0.9330437628082844,-0.11014093278392452,-0.15031449530857907,-0.07176108973730255,-0.7853798402276988,-1.0718446932073689,-0.5117054283807023,-35.37747028052697,-48.281292486818415,-23.049794071202808,0.8914234863455038,0.857238659131486,0.9265998284529195,-0.12180127102059923,-0.16653628408820606,-0.07921453176786314,-0.8685259907990432,-1.1875170918145688,-0.5648535447362455,-39.12279237833528,-53.49176089254814,-25.443853366497542,-0.08314615057134445,-0.11567239860719992,-0.05314811635554317,-3.745322097808309,-5.210468405729726,-2.3940592952947375,0.8693274787707024,0.8386548615510407,0.9330437628082844,-0.15031449530857907,-0.1923856235097252,-0.07176108973730255,-1.445617845762177,-1.8502280172168395,-0.6901470928842932,-142.70659879192272,-182.64837287431783,-68.12903187406646,0.857238659131486,-0.16653628408820606,-1.601627466137591,0.8240272917386511,-0.2135520389015957,-2.053791537544587,0.9265998284529195,-0.07921453176786314,-0.7618289941514513,-158.10735105010772,-202.74348840519127,-75.205231406856,-0.15600962037541444,-0.2035635203277479,-0.07168190126715812,-15.400752258185038,-20.09511553087344,-7.076199532789548,0.6451
06073018101,06073018101,Census Tract 181.01; San Diego County; California,2574,1867,898,Oceanside city,California,52997,0.44388180693951207,0.2380436492994148,06073,2574,1867,898,0.009244,0.009493868073,0.003212018401,0.8690284526830715,0.8083353605726522,0.9005553295798169,-0.1507103097862469,-0.23711029948209375,-0.11042594180924148,-3.5860095508313066,-5.64181574405371,-2.6274810432618327,-139.31661036640662,-219.18476084124748,-102.0777406084628,0.8569143100783305,0.7913174359925768,0.8911718112760022,-0.16697782758300536,-0.2637153618960329,-0.12211807795869896,-3.9730797802683746,-6.274858089014473,-2.9056843855616488,-154.35430381773017,-243.77848053669285,-139.31661036640662,-0.387070229437068,-0.6330423449607636,-0.278203342299816,-15.037693451323548,-24.59371969544536,-10.80821065655851,0.9164146021908586,0.889600455325553,0.9437494802522416,-0.0912091509774234,-0.1241001440742809,-0.05960323255778005,-0.5469665348780257,-0.7442085038043483,-0.3574309510646323,-29.296547127907107,-39.86119463333414,-19.144667973467183,0.9084503586370284,0.8792542904062062,0.9383014727816648,-0.10077561255006386,-0.1373274044963836,-0.06575554766574673,-0.604335058555284,-0.8235302464307828,-0.39432539027408414,-32.369312188285164,-44.10981502039543,-21.120802907021112,-0.05736852367725831,-0.07932174262643443,-0.03689443920945184,-3.072765060378056,-4.2486203870612975,-1.9761349335539284,0.889600455325553,0.8633023891213658,0.9437494802522416,-0.1241001440742809,-0.15834267644939506,-0.05960323255778005,-1.058014975322001,-1.34994946352158,-0.5081469735118561,-117.81903956815157,-150.32844805362805,-56.586522662790216,0.8792542904062062,-0.1373274044963836,-1.1707838984643633,0.8507054930328453,-0.1754949370726475,-1.4961809504823425,0.9383014727816648,-0.06575554766574673,-0.5605984961566034,-130.3768261096173,-166.6125780047152,-62.427449460646265,-0.11276892314236232,-0.14623148696076238,-0.05245152264474728,-12.557786541465736,-16.284129951087127,-5.840926797856045,0.3626
06073019904,06073019904,Census Tract 199.04; San Diego County; California,3909,2489,1060,Oceanside city,California,119319,0.5801585887963175,0.2215667414461949,06073,3909,2489,1060,0.009244,0.009493868073,0.003212018401,0.8220037574683976,0.7429696631563181,0.863939530204056,-0.21653945120615287,-0.34594997560432517,-0.15748841792643467,-7.824608895286288,-12.500831794667269,-5.69081185413446,-200.1690686949677,-319.7961574486382,-145.58229353119623,0.806048516524751,0.7212207101450798,0.8513961471591487,-0.24062011094749464,-0.3865381095321587,-0.17454137340966058,-8.694758622585086,-13.967475734170211,-6.30701692171791,-222.42923055986407,-357.3158284515275,-200.1690686949677,-0.8701497272987977,-1.4666439395029442,-0.6162050675834498,-22.260161864896332,-37.51967100288934,-15.763752048694036,0.8852571740736976,0.849300739619201,0.9223435336904602,-0.12961524547526573,-0.177439219525898,-0.08419473165147319,-1.0362367917030304,-1.4185757770207184,-0.6731127830288228,-41.632655351668554,-56.993803817626294,-27.043502733178897,0.8745333996360577,0.83554078248022845,0.9149175916879796,-0.14346690522758304,-0.1968296712359019,-0.09299461403408724,-1.146976847079019,-1.5735968888966456,-0.7434653241522674,-46.08183395255198,-63.22205258724972,-29.870041147138107,-0.11074005537598852,-0.15502111187592726,-0.07035254112344458,-4.449178600883427,-6.228248769623433,-2.8265384139592036,0.849300739619201,0.8144510382451133,0.9223435336904602,-0.177439219525898,-0.22782089167040231,-0.08419473165147319,-1.7856596136242588,-2.2926755791795457,-0.8472936952251673,-168.45845411549612,-216.29014897920243,-79.93336747407238,0.83554078248022845,-0.1968296712359019,-1.980795427459552,0.7979055380271793,-0.2532811872348938,-2.5488952675997467,0.9149175916879796,-0.09299461403408724,-0.9358513129675292,-186.86749315656152,-240.46181769808933,-88.28785971391785,-0.1951358138352932,-0.25621968842020104,-0.08855761774236193,-18.4090390410654,-24.17166871888689,-8.354492239845465,0.515
06073018512,06073018512,Census Tract 185.12; San Diego County; California,1968,1701,1210,Oceanside city,California,77373,0.5301649105282624,0.24251805806476168,06073,1968,1701,1210,0.009244,0.009493868073,0.003212018401,0.8389519068034013,0.7663116983966377,0.8771959998141278,-0.19196343901312393,-0.3049520216020594,-0.13999607865504815,-3.492235739507042,-5.5477457277728135,-2.546835542139738,-177.45100302373177,-281.8976487689438,-129.41237510872654,0.824348348128444,0.746184117785467,0.8657775233338209,-0.21307940055966143,-0.340151815302382,-0.15503114027415854,-3.8763813662262687,-6.1881071331294715,-2.820356269846425,-196.97059787735105,-314.43633806552197,-177.45100302373177,-0.38414562671922736,-0.640361405356658,-0.2735207277066869,-19.51959485361928,-32.53868929657815,-13.898410960705634,0.8965624288305198,0.8638683335605052,0.9301394124457856,-0.11537129801926298,-0.1575838135869813,-0.07510765227173537,-0.630347619446902,-0.8609817473088753,-0.4103614211207826,-37.057473218512754,-50.61621089411378,-24.124716115272346,0.8868263506198779,0.8513189682296891,0.9234276016455176,-0.12761647114005517,-0.17464785505659752,-0.08292192936190423,-0.6972508775268951,-0.9542135831569896,-0.4530558437896165,-40.990645357254266,-56.097212413697214,-26.63467629568586,-0.06690325807999309,-0.09323183584811434,-0.04269442266883389,-3.93317213874151,-5.481001519583442,-2.5099601804135148,0.8638683335605052,0.8320427464042492,0.9301394124457856,-0.1575838135869813,-0.20186132782431404,-0.07510765227173537,-1.8102567233283804,-2.3188982266396163,-0.8628051917481433,-149.60799366350253,-191.64448154046417,-71.30621419406143,0.8513189682296891,-0.17464785505659752,-2.006281271119113,0.8168836481817687,-0.2241645456189682,-2.5751082335280735,0.9234276016455176,-0.08292192936190423,-0.952572327841858,-165.80836951397626,-212.8188622750474,-78.72498577205437,-0.19602454779073253,-0.2562100068884572,-0.08976713609371467,-16.200375850473762,-21.17438073458324,-7.418771577992948,0.6339
06073017901,06073017901,Census Tract 179.01; San Diego County; California,3104,1513,436,Oceanside city,California,63899,0.449848481304079,0.2365432931729023,06073,3104,1513,436,0.009244,0.009493868073,0.003212018401,0.8669143223816101,0.8053565662361474,0.8989201451143158,-0.15351652889154413,-0.24168603314867504,-0.11244586678256031,-4.404907485699939,-6.934788223083397,-3.226451535237914,-141.91067930734337,-223.41456904263524,-103.94495925379876,0.8546214636496724,0.7881103378853733,0.8893920119989709,-0.1701086885057703,-0.26885786409446255,-0.12436359502760758,-4.880992560162945,-7.714439785019314,-3.5684113928388745,-157.24847165473406,-248.5322095689212,-141.91067930734337,-0.47608507446300674,-0.7796515619359168,-0.3419598576009606,-15.33779234739068,-25.117640526285975,-11.016747989721669,0.9150277414251692,0.887796608633779,0.9428019364908312,-0.0928630408980664,-0.1263841180232595,-0.06066816506769544,-0.4512943055558936,-0.6141994944922012,-0.2948341682416953,-29.827779613740493,-40.59481126848653,-19.486726255234323,0.9069381842802396,0.8772933348580987,0.9372652435840662,-0.1026109798140386,-0.13986959693675205,-0.06693383420048582,-0.4986671815799927,-0.6797360070002683,-0.32528396584448416,-32.95883553073316,-44.92637191013009,-21.49927071014436,-0.04737287602409906,-0.06553651250806702,-0.03044979760278887,-3.131055916992668,-4.3315606416435575,-2.0125444549100378,0.887796608633779,0.8611034109030371,0.9428019364908312,-0.1263841180232595,-0.1613007071372559,-0.06066816506769544,-0.5231451263633852,-0.6676762882682246,-0.2511253421472878,-119.98741430352872,-153.1367633642717,-57.597555538368766,0.8772933348580987,-0.13986959693675205,-0.5789659263231671,0.8483222158780243,-0.17879737354866668,-0.7401007028536944,0.9372652435840662,-0.06693383420048582,-0.277060992302488,-132.7903500741209,-169.74786762699415,-63.54609915194679,-0.05582079995978195,-0.07242441458546989,-0.02593565015520016,-12.802935770592192,-16.611104262722453,-5.948543613578019,0.7094
06073018615,06073018615,Census Tract 186.15; San Diego County; California,1848,1329,450,Oceanside city,California,52210,0.4953704687658811,0.2528520353394263,06073,1848,1329,450,0.009244,0.009493868073,0.003212018401,0.8509532297418696,0.7829886538330613,0.8865420583778305,-0.17515271703398158,-0.2771577149995421,-0.1279780700193419,-2.9921184516524084,-4.734660855458258,-2.186238108070256,-161.91117162621256,-256.20459174557675,-118.30292792587964,0.8373292453634217,0.7640662483277241,0.875929752425675,-0.19427334652090789,-0.30878703540256236,-0.14164406133110857,-3.318754482562176,-5.274981752522858,-2.419693035041931,-179.58628152392723,-285.4427355261287,-161.91117162621256,-0.32663603090976734,-0.5403208970645998,-0.23345492697167505,-17.67510989771468,-29.23814378055194,-12.632842368597132,0.9045157215235956,0.8741542548712737,0.9356040188019148,-0.1055639788278834,-0.14396285830268946,-0.06882824347050935,-0.4506286050531768,-0.6145446840553676,-0.29381210984805717,-33.907344247793596,-46.241134992879424,-22.107758453578416,0.8954837963886543,0.8624757309485919,0.9293970432040832,-0.116714790410327,-0.1594529145766831,-0.07596640995597984,-0.4982288823864154,-0.6806682096030917,-0.3242833183199309,-37.489005446682874,-51.21656957133872,-24.40055066365169,-0.04760027733323857,-0.06612352554772416,-0.03047120847187373,-3.581661198889283,-4.975434578459305,-2.2927922100732685,0.8741542548712737,0.8445099319523933,0.9356040188019148,-0.14396285830268946,-0.1841186967311735,-0.06882824347050935,-0.6150439728619769,-0.7865993774423059,-0.2940508184424028,-136.67643841377264,-174.79986165384577,-65.34462632053395,0.8624757309485919,-0.1594529145766831,-0.6812212206808655,0.8303577389556178,-0.20430021072333196,-0.872819661552036,0.9293970432040832,-0.07596640995597984,-0.3245467833456778,-151.3824934846368,-193.95992478934136,-72.12150741015063,-0.06617724781888867,-0.08622028410973015,-0.03049596490327505,-14.70605507086415,-19.160063135495587,-6.776881089616679,0.7635
06073018609,06073018609,Census Tract 186.09; San Diego County; California,4467,3093,1432,Oceanside city,California,55018,0.4894983743697382,0.21819121960113905,06073,4467,3093,1432,0.009244,0.009493868073,0.003212018401,0.8529955016726538,0.7858387253676574,0.8881291405655691,-0.17233912492982964,-0.27252573297675864,-0.12596237903329063,-7.116390524092959,-11.25339092047118,-5.201357967377961,-159.31028708513455,-251.92278756371567,-116.43962317837388,0.8395400425181718,0.7671261180813185,0.8776547992499872,-0.1911284147930979,-0.3035666188776484,-0.13940013870437973,-7.892255693373823,-12.535160607850557,-5.75624267871274,-176.67910663473972,-280.61698249049823,-159.31028708513455,-0.7758651692808636,-1.2817696873793754,-0.554884711334779,-17.368819549605185,-28.69419492678252,-12.421865039954758,0.9058649024672352,0.8759022005073673,0.936529415877946,-0.1039173692196001,-0.14167997228543194,-0.06777212017687008,-1.0323954650474685,-1.4075583511590923,-0.6733006238773791,-33.378450211686655,-45.507867803397744,-21.76852970828901,0.8969531856773455,0.8643729732806106,0.9304082767936208,-0.11488538751867793,-0.15690799100836691,-0.07479697348158437,-1.1413602361686166,-1.558845259106053,-0.7430909462159363,-36.90139787160092,-50.39913543828171,-24.024925516195808,-0.10896477112114832,-0.15128690794696098,-0.0697903223385572,-3.5229476599142684,-4.891267634883963,-2.256395807906796,0.8759022005073673,0.8466323077713815,0.936529415877946,-0.14167997228543194,-0.1811502949046834,-0.06777212017687008,-1.926170262544716,-2.462777945732875,-0.9213768213569627,-134.5090965464187,-171.98170012101085,-64.3419567986706,0.8643729732806106,-0.15690799100836691,-2.133198513245521,0.8326535174216267,-0.20097973415950257,-2.7323635166463216,0.9304082767936208,-0.07479697348158437,-1.0168812410431811,-148.96637662329056,-190.80750814569285,-71.01125984938416,-0.207028250700805,-0.2695855709134465,-0.09550441968621826,-14.457280076871855,-18.825808024682015,-6.669303050713566,0.8934
06073017801,06073017801,Census Tract 178.01; San Diego County; California,4747,3427,1796,Oceanside city,California,115930,0.513369547179404,0.23613604776633565,06073,4747,3427,1796,0.009244,0.009493868073,0.003212018401,0.844723694463559,0.7743168856729624,0.8816949997481575,-0.1838190482333387,-0.29146092317345673,-0.13417905317103368,-8.066212919032063,-12.789674881301869,-5.8879469921843794,-169.9223281868983,-269.42647738154346,-124.03511675130356,0.830588940217428,0.7547630018987649,0.8706632540035453,-0.20396498385618317,-0.3249192097178716,-0.14854967796301194,-8.950242119208848,-14.25786691997813,-6.518548230008622,-188.54523107665577,-300.35531746320055,-169.9223281868983,-0.8840292001767853,-1.4681920386762624,-0.6306012378242425,-18.62290288975743,-30.928840081657096,-13.284205557704707,0.9003927337154043,0.8688181739403277,0.932773195060867,-0.11062646615724414,-0.1509888144543834,-0.0720719734391019,-1.217730457391121,-1.6620225202270862,-0.7933385222332823,-35.5334244934672,-48.497885037265426,-23.14965048827786,0.8909948210435604,0.856686230604856,0.9263042637181792,-0.12234097929858824,-0.1672885174003071,-0.07955888703999561,-1.3466789806626396,-1.84144291946018,-0.8757513755075174,-39.29614767034256,-53.733379616579505,-25.55446091355463,-0.12894852327151862,-0.1794203992330936,-0.08241285327423509,-3.762723176875361,-5.235494579314083,-2.404810425276775,0.8688181739403277,0.838037540068186,0.932773195060867,-0.1509888144543834,-0.19326396752899175,-0.0720719734391019,-2.57450832133175,-3.295341409328707,-1.228898286434502,-143.34678849285913,-183.4822610984803,-68.42418075915934,0.856686230604856,-0.1672885174003071,-2.8524343453299994,0.8233601065215009,-0.21453540447175692,-3.658040405368428,0.9263042637181792,-0.07955888703999561,-1.3565575533560004,-158.82151143262803,-203.67708270425544,-75.53215775924279,-0.2779260239982495,-0.3626989960397209,-0.12765926692149843,-15.474722939768904,-20.194821605775108,-7.107977000083431,0.4618
