geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06071002017,06071002017,Census Tract 20.17; San Bernardino County; California,3756,3018,1762,Rancho Cucamonga city,California,159655,0.5399510219290217,0.2030450486482094,06071,3756,3018,1762,0.010125,0.009493868073,0.003212018401,0.835607075252401,0.7616855511625523,0.8745851716350466,-0.19673472091885172,-0.31287773343436925,-0.1433992164885314,-7.481723069183471,-11.898583763642344,-5.453400503450605,-199.19390493033737,-316.7887051022988,-145.19170669463804,0.8207338004675435,0.7412305132322647,0.8629434182573168,-0.21842185545463677,-0.3491079794318313,-0.1588245287500588,-8.306473952012109,-13.276401903802828,-6.04001741610036,-221.15212864781972,-353.4718291747292,-199.19390493033737,-0.8247508828286376,-1.3778181401604837,-0.5866169126497551,-21.958223717482365,-36.68312407243034,-15.618128664796462,0.8943381523639196,0.8609972357650966,0.9286082233889952,-0.11814529812554062,-0.1614439146385682,-0.07688040533440182,-1.1452853424008775,-1.565016568487537,-0.7452687728102996,-37.94848715708673,-51.85608245485544,-24.694127661043723,0.884406516532397,0.8482071574668976,0.921755585215585,-0.1307017545741576,-0.1789572761758101,-0.08488629311219721,-1.267006018138774,-1.7347888453618747,-0.8228768204456142,-41.98164407351802,-57.4814064069541,-27.2656335469057,-0.12172067573789636,-0.1697722768743377,-0.07760804763531459,-4.033156916431291,-5.6253239520986655,-2.5715058858619813,0.8609972357650966,0.8285695677156296,0.9286082233889952,-0.1614439146385682,-0.20689926225145455,-0.07688040533440182,-2.700665373563876,-3.461051316981188,-1.2860704539839811,-153.27272267672396,-196.42743002163385,-72.98924256435762,0.8482071574668976,-0.1789572761758101,-2.9936323100025906,0.8131335416082013,-0.22981029416424947,-3.844311538947588,0.921755585215585,-0.08488629311219721,-1.419994510239274,-169.89967707165667,-218.17886146127057,-80.58992680132089,-0.2929669364387144,-0.38326022196639986,-0.13392405625529258,-16.626954394932714,-21.751431439636768,-7.600684236963256,0.0925
06071002016,06071002016,Census Tract 20.16; San Bernardino County; California,2440,2028,883,Rancho Cucamonga city,California,65395,0.4456071421465283,0.20629918065715663,06071,2440,2028,883,0.010125,0.009493868073,0.003212018401,0.8684165973227681,0.8074728760489777,0.9000821909872476,-0.15152105922766668,-0.23843169183969531,-0.11100965002224782,-3.7433277682195056,-5.890454946899673,-2.7424934037996325,-153.41507246801254,-241.4120879876915,-112.39727064752591,0.8562506746517731,0.7903887263037414,0.8906567953152882,-0.1678822914874643,-0.26520023213957933,-0.12276693476077376,-4.147532011197806,-6.551771735008308,-3.0329571232649157,-169.98082013105764,-268.5152350413241,-153.41507246801254,-0.4042042429783006,-0.6613167881086346,-0.29046371946528327,-16.565747663045105,-27.103147053632565,-11.904250797757513,0.9160133589354812,0.8890784751476228,0.9434753888183782,-0.091687135613526,-0.1247601060569594,-0.05991106058676739,-0.5972475549195735,-0.8126840019095689,-0.3902590500690329,-29.4500766725628,-40.07317563656651,-19.243542902812273,0.9080128364093956,0.8786868066271474,0.938001717038053,-0.10130601672367792,-0.13806192656802843,-0.06609612950146852,-0.6599046898126915,-0.8993317057892287,-0.4305484239446124,-32.53967898484672,-44.34574486140181,-21.23019841935959,-0.06265713489311797,-0.08664770387965981,-0.04028937387557951,-3.089602312283924,-4.272569224835296,-1.9866555165473136,0.8890784751476228,0.862665951796467,0.9434753888183782,-0.1247601060569594,-0.15919725116951747,-0.05991106058676739,-1.045874637119904,-1.334564169265689,-0.5022395438013387,-118.44559876782608,-151.13977001876435,-56.87877053242794,0.8786868066271474,-0.13806192656802843,-1.1573849358823696,0.8500156526583497,-0.17644892405520698,-1.4791864182303882,0.938001717038053,-0.06609612950146852,-0.55408950538899,-131.07417167410753,-167.51828066029313,-62.75079336228652,-0.11151029876246545,-0.14462224896469889,-0.05184996158765131,-12.628572906281477,-16.378510641528752,-5.872022829858586,0.6757
06071002103,06071002103,Census Tract 21.03; San Bernardino County; California,3270,1923,610,Rancho Cucamonga city,California,42591,0.3963536953205484,0.215861280504788,06071,3270,1923,610,0.010125,0.009493868073,0.003212018401,0.8860539050936296,0.8324600507108594,0.9136872101454924,-0.12859950647622245,-0.20125884617054465,-0.09446645295687511,-4.25776891004463,-6.66342882314902,-3.1276661743359395,-130.20700030717524,-203.7745817476764,-95.64728361883608,0.8753992261770145,0.817334331003521,0.9054767434527372,-0.14233594238726227,-0.2234895342915579,-0.10439059559589502,-4.7125651325142695,-7.399459118475618,-3.456242131935589,-144.11514166710305,-226.2831534702024,-130.20700030717524,-0.45479622246963913,-0.7360302953265982,-0.32857595759964964,-13.908141359927804,-22.508571722525943,-10.048194422007636,0.927537096455528,0.9041006607634228,0.9513313148010808,-0.07812399506324895,-0.10607152875610078,-0.05115850223966978,-0.48254936975846285,-0.6551732193052093,-0.31599130322960883,-25.093570970278883,-34.070370218679635,-16.432205056141903,0.9205861078502662,0.8950317989139612,0.9465966688831472,-0.08626449114594996,-0.11727873938491128,-0.05641614097360119,-0.5328308645930313,-0.7243969247916547,-0.34846622025634666,-27.708313291369283,-37.670146895041846,-18.120968292061708,-0.05028149483456845,-0.06922370548644541,-0.03247491702673782,-2.614742321090403,-3.599776676362216,-1.6887632359198037,0.9041006607634228,0.881020270784835,0.9513313148010808,-0.10607152875610078,-0.13504766366973014,-0.05115850223966978,-0.6142877511902263,-0.7820960684928486,-0.2962721633561769,-100.70291003118464,-128.21247024472927,-48.56920710756998,0.8950317989139612,-0.11727873938491128,-0.679191616487739,0.8699303666050726,-0.14951729286394236,-0.8658934463802475,0.9465966688831472,-0.05641614097360119,-0.326720513750595,-111.34288794880966,-141.94974530823728,-53.56073995911394,-0.06490386529751269,-0.08379737788739883,-0.03044835039441812,-10.63997791762503,-13.737275063508005,-4.991532851543954,0.756
06071002109,06071002109,Census Tract 21.09; San Bernardino County; California,5324,2207,937,Rancho Cucamonga city,California,136013,0.34757035017154897,0.23705017298248288,06071,5324,2207,937,0.010125,0.009493868073,0.003212018401,0.9038759469959512,0.8579708506652378,0.9273650751403308,-0.10634651062849834,-0.16554076309776516,-0.07832398136049915,-5.732661828684518,-8.92355760516658,-4.222093377228387,-107.6758420113546,-167.61002263648723,-79.30303112750539,0.894787096278232,0.844928163354563,0.9203983041909016,-0.11758428810539331,-0.1835325692420589,-0.08648613914936973,-6.33843984246528,-9.893414911277809,-4.66207857391635,-119.05409170671076,-185.82672635758465,-107.6758420113546,-0.6057780137807622,-0.9698573061112264,-0.4399851966879629,-11.378249695356166,-18.216703721097417,-8.264184761231459,0.939093742779164,0.9192296509259476,0.9591767373420274,-0.06485641895620477,-0.08786743224904878,-0.04256073053971045,-0.4597622645204209,-0.622885602976272,-0.3017098101853906,-20.832001111029495,-28.22318092325655,-13.67058496535526,0.9332109832916744,0.9115204721987588,0.95518721555935,-0.07156904269680099,-0.0970680642946086,-0.04691518449020273,-0.5073475481595634,-0.6881081899208609,-0.332578205962532,-22.988108208407947,-31.1784408663734,-15.069243586884095,-0.04758528363914249,-0.06522258694458882,-0.0308683957771414,-2.156107097378454,-2.9552599431168476,-1.3986586215288357,0.9192296509259476,0.8995843187192346,0.9591767373420274,-0.08786743224904878,-0.11162453501160428,-0.04256073053971045,-0.7816470956755335,-0.9929844467362018,-0.3786098053019388,-83.42018096857348,-105.97486091101408,-40.406596083451305,0.9115204721987588,-0.0970680642946086,-0.8634936585340827,0.8901148857399633,-0.12345048489857333,-1.0981851922929131,0.95518721555935,-0.04691518449020273,-0.41734595812370273,-92.1551396514496,-117.2022617174934,-44.54065721704405,-0.08184656285854919,-0.10520074555671131,-0.03873615282176396,-8.734958682876114,-11.22740080647933,-4.134061133592739,0.5627
06071002027,06071002027,Census Tract 20.27; San Bernardino County; California,3675,2547,1124,Rancho Cucamonga city,California,68202,0.4362820785697817,0.19411250346934303,06071,3675,2547,1124,0.010125,0.009493868073,0.003212018401,0.8717286787726036,0.8121453976159253,0.9026423650160168,-0.1471459232108811,-0.2313066144751013,-0.10785848167258998,-5.475207836474879,-8.606774557984473,-4.013346691486028,-148.9852472510171,-234.19794715604007,-109.20671269349737,0.8598436084981158,0.7954212081023383,0.8934438924033411,-0.16300219030143703,-0.25719554597460614,-0.119264464733231,-6.065209624747534,-9.57008551849886,-4.437756192433067,-165.039717680205,-260.4104902992887,-148.9852472510171,-0.5900017882726551,-0.963310960514388,-0.4244095009470392,-16.054470429187894,-26.212543143248652,-11.548557848899026,0.9181840850958946,0.8919033154107446,0.9449577418768064,-0.08910622197896258,-0.12119776070063608,-0.05824838051897705,-0.728978970358127,-0.991520197390025,-0.47653063403111456,-28.621082464001844,-38.928943753043775,-18.70948700554042,0.9103800602446354,0.8817582994993091,0.9396229726651014,-0.09844233597480394,-0.1340976326140989,-0.06425665303142608,-0.8053578204168955,-1.0970541897014487,-0.5256843767494424,-31.61985945884945,-43.072406348702344,-20.6393551923613,-0.07637885005876854,-0.1055339923114238,-0.04915374271832778,-2.998776994847607,-4.143462595658571,-1.929868186820879,0.8919033154107446,0.8661113516434827,0.9449577418768064,-0.12119776070063608,-0.1545859526058144,-0.05824838051897705,-1.2933143591383858,-1.649603351335983,-0.6215747426870922,-115.06355508348628,-146.76186399786323,-55.300244011307136,0.8817582994993091,-0.1340976326140989,-1.4309702818244217,0.8537507609262673,-0.17130203071802969,-1.827982421427939,0.9396229726651014,-0.06425665303142608,-0.6856896658428137,-127.31052329398769,-162.6318880273967,-61.004418669289464,-0.13765592268603588,-0.1783790700919563,-0.06411492315572143,-12.246968210501413,-15.87002402953348,-5.704174657982334,0.7944
06071002314,06071002314,Census Tract 23.14; San Bernardino County; California,4016,2960,719,Rancho Cucamonga city,California,114023,0.408852585680534,0.2185447214789745,06071,4016,2960,719,0.010125,0.009493868073,0.003212018401,0.8815445094179718,0.8260468530214448,0.9102153583940752,-0.1343726712792266,-0.210585085267602,-0.09864109716225276,-5.4638615595559115,-8.562810737151233,-4.010944292811522,-136.05232967021692,-213.21739883344705,-99.87411087678092,0.8704997872598385,0.8104106676374803,0.901692744583568,-0.14876535828664894,-0.23394229608947897,-0.109025226172618,-6.049096998651719,-9.512561643590391,-4.433183746630993,-150.62492526523206,-236.86657479059744,-136.05232967021692,-0.5852354390958077,-0.94975090643916,-0.42223945381947114,-14.572595595015132,-23.6491759571504,-10.5139306229948,0.924599099300804,0.9002646637977445,0.9493315693268302,-0.08154983144177322,-0.11078446173986704,-0.0533727438444913,-0.7753410952006949,-1.053291519773867,-0.507445336607482,-26.193955918942397,-35.584172965333345,-17.143423534036557,0.9173790386426544,0.8908554155383004,0.9444081267579412,-0.09006196771139535,-0.12251660882113947,-0.05886424699975866,-0.8562708646570385,-1.164835781806392,-0.5596562117917323,-28.928069751926976,-39.352560196161896,-18.90730445242339,-0.08092976945634356,-0.1115442620325251,-0.05221087518425027,-2.73411383298458,-3.76838723082855,-1.7638809183868334,0.9002646637977445,0.87632590315925,0.9493315693268302,-0.11078446173986704,-0.1411279712204004,-0.0533727438444913,-0.7562248332292651,-0.9633523945869912,-0.36432721411385505,-105.17730642966136,-133.98503401766223,-50.671378875362315,0.8908554155383004,-0.12251660882113947,-0.836309538526558,0.8648329225481175,-0.15629270570971132,-1.066868254392973,0.9444081267579412,-0.05886424699975866,-0.401812715171948,-116.3156520899246,-148.38223287802128,-55.884939523219465,-0.08008470529729284,-0.10351585980598176,-0.03748550105809295,-11.138345660263258,-14.39719886035908,-5.213560647857156,0.0863
06071002045,06071002045,Census Tract 20.45; San Bernardino County; California,1612,1166,453,Rancho Cucamonga city,California,55189,0.4398327767767968,0.2020317474671623,06071,1612,1166,453,0.010125,0.009493868073,0.003212018401,0.8704660531292934,0.8103630656060706,0.9016666718874734,-0.14880987765695958,-0.23401477984698116,-0.10905729487226566,-2.428800418178066,-3.819472229272503,-1.779978638257684,-150.67000112767158,-236.93996459506843,-110.42051105816898,0.858473755523343,0.7935012268780675,0.8923816245900981,-0.16485797447631895,-0.260237496965665,-0.1205968079624396,-2.6907294304152396,-4.2474663067251015,-1.968320801158958,-166.91869915727293,-263.4904656777358,-150.67000112767158,-0.2619290122371738,-0.42799407745259854,-0.18834216290127404,-16.24869802960135,-26.55050108266741,-11.68375700380112,0.9173569333646864,0.8908266463086616,0.9443930329222464,-0.09008823461135784,-0.1225528604737212,-0.05888117038060776,-0.337399668454644,-0.4589866220642833,-0.2205225515889264,-28.93650672852864,-39.364204293677815,-18.91274027349283,0.9094779673196242,0.8805875054954536,0.9390053181521364,-0.09953185886092286,-0.1356054835656113,-0.06495669477984917,-0.3727680570634243,-0.5078714816984615,-0.24327668731858487,-31.96981621470191,-43.55673084892466,-20.86420989010162,-0.03536838860878033,-0.04888485963417821,-0.02275413572965845,-3.03330948617327,-4.192526555246845,-1.9514696166087868,0.8908266463086616,0.8647978297662643,0.9443930329222464,-0.1225528604737212,-0.1563396271129379,-0.05888117038060776,-0.5270658122557472,-0.6723733108596874,-0.25323155880052833,-116.35006893062852,-148.42677943922462,-55.90100635773253,0.8805875054954536,-0.1356054835656113,-0.5832015186391193,0.8523266152341067,-0.17325914986865942,-0.745139478615814,0.9390053181521364,-0.06495669477984917,-0.2793607016862011,-128.74205709472832,-164.48995112931874,-61.66902906980156,-0.05613570638337206,-0.07276616775612654,-0.02612914288567275,-12.391988164099793,-16.063171690094162,-5.76802271206904,0.0695
06071002111,06071002111,Census Tract 21.11; San Bernardino County; California,2607,1311,374,Rancho Cucamonga city,California,108779,0.3612554543892521,0.2379359460460543,06071,2607,1311,374,0.010125,0.009493868073,0.003212018401,0.8988404931071363,0.8507364718743169,0.92350751586635,-0.1125444477286206,-0.17545213242924712,-0.08282822047408227,-2.9707091741887037,-4.6312125560858535,-2.1863233541063165,-113.95125332522838,-177.6452840846127,-83.8635732300083,0.8893053238765761,0.837094632082794,0.9161877436349878,-0.12447319627065095,-0.194608066607568,-0.0914793468339643,-3.2855789296105686,-5.136850200165039,-2.4146774041109675,-126.0291112240341,-197.04066744016265,-113.95125332522838,-0.3148697554218649,-0.5056376440791857,-0.22835405000465103,-12.07785789880571,-19.395383355549892,-8.759265439380554,0.9358373233667956,0.9149601748613488,0.9569693687016064,-0.06856178422374817,-0.09294374495757483,-0.04496552628092646,-0.28871066512954463,-0.3913820319897331,-0.1893478582485552,-22.022171253207063,-29.853701906158133,-14.443009782498487,0.92965197883804,0.9068645184071138,0.9527694877417292,-0.07567135096069727,-0.10270054644598564,-0.0495718144482329,-0.31864873871743243,-0.43246749496518927,-0.20874473561425175,-24.305777171428865,-32.9876044977261,-15.922558017868177,-0.0299380735878878,-0.04108546297545612,-0.01939687736569659,-2.2836059182218005,-3.1339025915679724,-1.4795482353696865,0.9149601748613488,0.89433745573219,0.9569693687016064,-0.09294374495757483,-0.11814616908927796,-0.04496552628092646,-0.3300159741613276,-0.4195023893563193,-0.15965939360470466,-88.23956528377742,-112.16641426639552,-42.689677434413014,0.9068645184071138,-0.10270054644598564,-0.3646595141797156,0.884405758747238,-0.13070272339305136,-0.4640870303406147,0.9527694877417292,-0.0495718144482329,-0.17601497167502364,-97.50254389831969,-124.08744126754404,-47.06282665107584,-0.03464354001838798,-0.04458464098429543,-0.01635557807031898,-9.262978614542243,-11.921027001148513,-4.37314921666283,0.7399
06071002049,06071002049,Census Tract 20.49; San Bernardino County; California,2286,1477,256,Rancho Cucamonga city,California,37490,0.4134908282460591,0.19839807184617284,06071,2286,1477,256,0.010125,0.009493868073,0.003212018401,0.8798769518515189,0.8236795539098627,0.9089303396214624,-0.13652255340443567,-0.21406437157894112,-0.10019432338067268,-3.1599168904607167,-4.954680428473276,-2.3190727603882046,-138.2290853219911,-216.74017622367788,-101.44675242293108,0.8686886271542442,0.8078562964908317,0.9002925580290644,-0.15116046042403194,-0.23784391400277827,-0.11075004572870938,-3.4987222268595373,-5.505075772529805,-2.563392870925275,-153.04996617933233,-240.816962927813,-138.2290853219911,-0.3388053363988206,-0.550395344056529,-0.24432011053707023,-14.820880857341232,-24.076786704135127,-10.68766887738715,0.9235112001146212,0.8988452989215874,0.9485905489465244,-0.08282390064775116,-0.1125384993388468,-0.05419561802567965,-0.39292910584752594,-0.5338996542399156,-0.25711220511397836,-26.60318929231726,-36.147573069730235,-17.407732235205035,0.9161917641871744,0.8893105541941991,0.94359726339942,-0.091474557061947,-0.12446658288689282,-0.0597741629701029,-0.43396912766780266,-0.5904882858589645,-0.28357766568513515,-29.38179605062983,-39.978895454229146,-19.199571136434336,-0.04104002182027672,-0.05658863161904892,-0.02646546057115678,-2.778606758312574,-3.831322384498912,-1.7918389012293017,0.8988452989215874,0.874590229747657,0.9485905489465244,-0.1125384993388468,-0.14339260374372936,-0.05419561802567965,-0.2735169704592408,-0.3485057184222547,-0.13171866820364883,-106.84256658564092,-136.13504625869325,-51.452604767050325,0.8893105541941991,-0.12446658288689282,-0.30250734526087164,0.8629489081204299,-0.1588171566009372,-0.3859940179195594,0.94359726339942,-0.0597741629701029,-0.14527693245751264,-118.16693174252798,-150.7789132498279,-56.74880174121587,-0.02899037480163085,-0.0374882994973047,-0.0135582642538638,-11.324365156887056,-14.643866991134647,-5.296196974165549,0.5195
06071002042,06071002042,Census Tract 20.42; San Bernardino County; California,1775,1226,655,Rancho Cucamonga city,California,134027,0.485147020631451,0.18911718202643257,06071,1775,1226,655,0.010125,0.009493868073,0.003212018401,0.8545120321021581,0.7879573823303795,0.8893070365618291,-0.17025853637184202,-0.2691041703835627,-0.1244710306871332,-3.0598651333576985,-4.836306512112091,-2.2369778046303224,-172.38676807649006,-272.4679725133572,-126.0269185707224,0.8411820573371367,0.7694014521266573,0.8789352887743089,-0.18880329326759615,-0.29971160989618456,-0.13774018721505424,-3.39314918619358,-5.386379589102992,-2.475449427105553,-191.16333443344112,-303.45800501988685,-172.38676807649006,-0.33328405283588136,-0.550073076990901,-0.23847162247523057,-18.77656635695106,-30.990032506529634,-13.435020984520031,0.9068659738251764,0.8771997216856742,0.9372157462621205,-0.10269877673542296,-0.13999124176458494,-0.0669901823441197,-0.4044210621377367,-0.5512763489897178,-0.2638029542085565,-32.987036063436925,-44.965444452668656,-21.51736983756578,0.8980435912255177,0.8657815641009416,0.9311583332658196,-0.1135316924152281,-0.1550257495242874,-0.07393121478356367,-0.44708037517475585,-0.6104812566836154,-0.29113628573132805,-36.46658851343849,-49.79455601008282,-23.746842229308974,-0.04265931303701914,-0.05920490769389763,-0.02733333152277156,-3.4795524500015613,-4.829111557414163,-2.2294723917431942,0.8771997216856742,0.8482084758311249,0.9372157462621205,-0.13999124176458494,-0.17895544373114258,-0.0669901823441197,-0.8705332393509131,-1.1128314897922609,-0.4165773494516425,-132.9058380688417,-169.89793737286422,-63.59959533612863,0.8657815641009416,-0.1550257495242874,-0.9640250791055002,0.8343588343100232,-0.1985250936150925,-1.2345250364148888,0.9311583332658196,-0.07393121478356367,-0.45974004575881633,-147.17940139015272,-188.4771047961662,-70.18931996317806,-0.09349183975458708,-0.1216935466226281,-0.04316269630717384,-14.273563321311004,-18.579167423302,-6.589724627049442,0.0452
06071002031,06071002031,Census Tract 20.31; San Bernardino County; California,4519,2960,1331,Rancho Cucamonga city,California,69813,0.4091913720994051,0.19566198219586953,06071,4519,2960,1331,0.010125,0.009493868073,0.003212018401,0.8814226007948792,0.8258737107144011,0.9101214366079302,-0.13452956515771894,-0.2108388813284484,-0.09875447360854596,-6.155383437595785,-9.646906660322989,-4.518498595649819,-136.2111847221904,-213.474367345054,-99.9889045286528,0.8703673687998741,0.810223818197098,0.9015903985058676,-0.14894013246254031,-0.23422686119644087,-0.1091511196849686,-6.814737143306974,-10.7170207556855,-4.994195837295777,-150.80188411832205,-237.1546969613964,-136.2111847221904,-0.6593537057111893,-1.0701140953625128,-0.4756972416459577,-14.590699396131653,-23.68032961634239,-10.526604152377908,0.92451959362409,0.9001609147439968,0.949277424140046,-0.08164284120797148,-0.11091248644626732,-0.053432826453135,-0.7762253924789795,-1.0545087242035784,-0.5080165764833313,-26.22383082699255,-35.62529473660738,-17.16272217849092,0.9172922657045228,0.8907424850132339,0.944348876111198,-0.0901650841152072,-0.12265892424020036,-0.05893068260744021,-0.8572512515450448,-1.16618885625091,-0.5602878532790223,-28.961190930575835,-39.398272170638855,-18.928643691858863,-0.0810258590660653,-0.11168013204733152,-0.05227127679569099,-2.737360103583287,-3.77297743403147,-1.765921513367939,0.9001609147439968,0.8761990096104898,0.949277424140046,-0.11091248644626732,-0.1412932325095247,-0.053432826453135,-1.4015277120930885,-1.785429100349732,-0.6751952770061592,-105.29885139692624,-134.14193090531418,-50.728420511356816,0.8907424850132339,-0.12265892424020036,-1.5499596751124225,0.8646951712662914,-0.15647691027991203,-1.9772951908912972,0.944348876111198,-0.05893068260744021,-0.7446680478748678,-116.45076447125636,-148.55711426681424,-55.94801261268729,-0.1484319630193338,-0.19186609054156523,-0.06947277086870862,-11.151913074330114,-14.415183361500016,-5.219592101330475,0.2004
