geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06053001400,06053001400,Census Tract 14; Monterey County; California,2058,1681,954,Salinas city,California,56365,0.4423288428445289,0.20181890379725448,06053,2058,1681,954,0.009191,0.009493868073,0.003212018401,0.8695795487336723,0.8091124655880877,0.9009814115272072,-0.1499810471120818,-0.23592212767747855,-0.10990081172146668,-2.8369032046467013,-4.462485446945466,-2.078782425974856,-137.84758040071435,-216.8360275483705,-101.00983605320002,0.8575120842564683,0.7921542952487447,0.8916356287769888,-0.16616432393145822,-0.26238032918320486,-0.121534366422357,-3.1430111479807983,-4.962944392165996,-2.2988320205594635,-152.7216301254032,-241.1537605522836,-137.84758040071435,-0.30610794333409697,-0.5004589452205304,-0.22004959458460727,-14.87404972468887,-24.31773300391304,-10.692400125588302,0.9167759091839622,0.8900705486755737,0.9439962564343204,-0.09077909877683953,-0.12350644731252092,-0.05932623480650026,-0.49015293210733807,-0.666861073750133,-0.3203262461635434,-29.15841356974051,-39.67049814099542,-19.05569578605255,0.9088443501011078,0.8797653926237593,0.93857136308174,-0.10029841731287792,-0.13666667089240717,-0.06544908499718433,-0.5415515685222368,-0.7379184235342123,-0.3533859814358156,-32.21603620001409,-43.897586170982294,-21.02236653395691,-0.05139863641489878,-0.0710573497840793,-0.03305973527227224,-3.057622630273574,-4.227088029986871,-1.9666707479043568,0.8900705486755737,0.8638756441277243,0.9439962564343204,-0.12350644731252092,-0.15757401750772088,-0.05932623480650026,-1.118616436770299,-1.427171534989153,-0.5373266159807804,-117.2553916949999,-149.59869339508938,-56.323544652073416,0.8797653926237593,-0.13666667089240717,-1.2378105576309062,0.8513268930367774,-0.17463692052871618,-1.5817128095025843,0.93857136308174,-0.06544908499718433,-0.5927821894525873,-129.7495343428623,-165.79798841746168,-62.136497846183154,-0.1191941208606071,-0.15454127451343136,-0.05545557347180696,-12.49414264786238,-16.199295022372258,-5.8129531941097445,0.5708
06053000600,06053000600,Census Tract 6; Monterey County; California,3615,2397,700,Salinas city,California,51264,0.4562151219905674,0.21326270756816995,06053,3615,2397,700,0.009191,0.009493868073,0.003212018401,0.8646641463352256,0.802190197825383,0.8971786228829732,-0.15651840571669248,-0.246587159392934,-0.11460524637404187,-5.200396810995766,-8.19297303385935,-3.8078126022171057,-143.85606669421207,-226.63825819804563,-105.33368194238189,0.8521816852079022,0.7847025899289989,0.8874968265041633,-0.17345868534599568,-0.274368165511575,-0.12676459243125976,-5.7632454789093925,-9.116009880319044,-4.211812529064086,-159.42587770150465,-252.1717809216886,-143.85606669421207,-0.5628486679136264,-0.9230368464596932,-0.4039999268469803,-15.56981100729257,-25.533522723642964,-11.175654961188943,0.9135502291871442,0.8858758774911819,0.9417919247986865,-0.094630561134856,-0.12882631236333003,-0.06180566393554073,-0.7285803834780847,-0.9918605885680436,-0.4758546688432085,-30.395510366211298,-41.37924858439899,-19.85209298469789,0.9053274195320424,0.8752057525918586,0.9361608144303024,-0.10457275282449006,-0.14258846795576038,-0.06819254190696562,-0.8051273863382219,-1.09781828847779,-0.5250285715004809,-33.58896063154868,-45.79967828443012,-21.90356994161372,-0.07654700286013716,-0.10595769990974636,-0.04917390265727239,-3.193450265337387,-4.4204297000311366,-2.051476956915828,0.8858758774911819,0.8587632043553712,0.9417919247986865,-0.12882631236333003,-0.16446535544178079,-0.06180566393554073,-0.8561420097359809,-1.0929886710003236,-0.4107423736977384,-122.3060013908544,-156.14123871433193,-58.67748195681977,0.8752057525918586,-0.14258846795576038,-0.947601272452224,0.8457865423290631,-0.18233141573318895,-1.211721284573949,0.9361608144303024,-0.06819254190696562,-0.4531876974990788,-135.3716103503177,-173.10304065342126,-64.74109964272554,-0.09145926271624304,-0.1187326135736253,-0.04244532380134042,-13.065608959463292,-16.961801939089327,-6.063617685905774,0.9761
06053001600,06053001600,Census Tract 16; Monterey County; California,1646,1244,422,Salinas city,California,45940,0.655593332944257,0.24511736090904457,06053,1646,1244,422,0.009191,0.009493868073,0.003212018401,0.7970767709464635,0.7090880169367836,0.844315257697601,-0.2545842965823503,-0.41026216226292783,-0.18439171966042917,-3.851449508236276,-6.206604351908205,-2.789549110226761,-233.98842698883817,-377.07195333585696,-169.47442953990043,0.7792021963586516,0.6851255453917916,0.8301471882621168,-0.28336393900476053,-0.45958650458456674,-0.20460565805621048,-4.286839047744473,-6.952802041746095,-3.0953533728583618,-260.4397963392754,-422.4059563636752,-233.98842698883817,-0.4353895395081966,-0.7461976898378895,-0.30580426263160065,-26.45136935043722,-45.33400302781832,-18.578630779562616,0.8684680874875754,0.8277835543101543,0.9107039451303284,-0.15145278727850356,-0.2080452610989172,-0.09805168336774124,-0.6051676096888875,-0.831297037371871,-0.3917901011654059,-48.64691396212922,-66.82452068905715,-31.494381122621053,0.8563065205224207,0.8122850746579825,0.902225172021354,-0.16780612553307883,-0.2310948842942313,-0.10837076043842854,-0.6705114755878799,-0.923397589788166,-0.4330225625632926,-53.89963630127653,-74.2281020730037,-34.80888766585953,-0.06534386589899244,-0.092100552416295,-0.04123246139788666,-5.252722339147302,-7.403581383946543,-3.314506543238478,0.8277835543101543,0.7886086386225098,0.9107039451303284,-0.2080452610989172,-0.2680561066979114,-0.09805168336774124,-0.8335150986002745,-1.0739432901501365,-0.39283547290859727,-197.51542620859587,-254.48893131519824,-93.08897462289036,0.8122850746579825,-0.2310948842942313,-0.9258613930982144,0.7701009925781318,-0.2985309844261023,-1.196038215938266,0.902225172021354,-0.10837076043842854,-0.43417795048586,-219.39843438346313,-283.42137818442325,-102.8857702573128,-0.09234629449793996,-0.12209492578812964,-0.04134247757726272,-21.88300817486729,-28.932446869225032,-9.796795634422446,0.5576
06053010605,06053010605,Census Tract 106.05; Monterey County; California,3038,2003,539,Salinas city,California,51046,0.526595293228051,0.2487745042329633,06053,3038,2003,539,0.009191,0.009493868073,0.003212018401,0.8401753094235693,0.7680061332012568,0.8781502736579794,-0.19022778791974235,-0.30207293505812277,-0.13875726057050514,-5.311589373064329,-8.434558427510149,-3.874416029022872,-174.8383598770352,-277.6352346119206,-127.53179819035128,0.8256707621594762,0.7479992408460016,0.8668136169170719,-0.2111365035920365,-0.33689975255720944,-0.15365054318899793,-5.89540792651477,-9.407001811038562,-4.290270108763343,-194.05556045144075,-309.64456257533124,-174.8383598770352,-0.583818553450441,-0.9724433835284128,-0.41585407974047106,-19.217200574405563,-32.009327963410556,-13.688416054656718,0.8973751401537248,0.8649179869201502,0.9306985627113196,-0.11436115761875806,-0.1561789847391862,-0.07446174310916627,-0.7357622756901179,-1.0048044949820238,-0.4790624955414656,-36.73301426311123,-50.16497728317643,-23.917248903717702,0.8877106650817376,0.85245688294872,0.924038247026697,-0.12649316870370503,-0.1730798589377517,-0.08220628660959348,-0.8138156661106271,-1.1135391905763374,-0.528888354851592,-40.62983854770979,-55.59356917505429,-26.40481052678942,-0.07805339042050918,-0.1087346955943136,-0.0498258593101264,-3.8968242845985617,-5.428591891877863,-2.487561623071712,0.8649179869201502,0.8333132561820304,0.9306985627113196,-0.1561789847391862,-0.2000289117944359,-0.07446174310916627,-0.7991983028431247,-1.023586925556187,-0.3810352514390183,-148.2742676888914,-189.9048099362128,-70.69299655640414,0.85245688294872,-0.1730798589377517,-0.8856833699513224,0.8182558513009154,-0.2221116395442039,-1.1365885471843065,0.924038247026697,-0.08220628660959348,-0.42066558987521896,-164.31973468484645,-210.86986033104017,-78.04556398427069,-0.0864850671081977,-0.11300162162811957,-0.03963033843620067,-16.045466995955046,-20.965050394827376,-7.352567427866544,0.8123
06053000300,06053000300,Census Tract 3; Monterey County; California,3014,1929,710,Salinas city,California,53217,0.48786858318981774,0.2329216027334454,06053,3014,1929,710,0.009191,0.009493868073,0.003212018401,0.8535631997234719,0.7866315961856257,0.8885701363961926,-0.1715594115631614,-0.2712431141197443,-0.12540356584088866,-4.752482890754527,-7.513888322089952,-3.473888699361833,-157.6802551677016,-249.29954618745697,-115.25841736436074,0.8401546802409203,0.7679775508553706,0.8781341854867394,-0.19025701280774024,-0.3021213951972993,-0.13877812357995362,-5.270437745013844,-8.36926839818075,-3.8443863377435874,-174.86522047159403,-277.6797743258378,-157.6802551677016,-0.5179548542593171,-0.8553800760907988,-0.3704976383817544,-17.184965303892405,-28.38022813838085,-12.292556017974595,0.9062397223178992,0.876387959615628,0.9367864207139468,-0.10346079009016428,-0.14104716869750994,-0.06747917976637251,-0.6410413478330482,-0.8739259293408662,-0.4180998841242785,-33.231796155160616,-45.30461012653531,-21.67443670939754,0.8973614398154532,0.8649002896338053,0.9306891382098044,-0.11437817096938652,-0.1562026420680184,-0.0744726235051117,-0.7086852595751131,-0.967828992211466,-0.4614311461064172,-36.73847898263935,-50.172576060729185,-23.92074370691639,-0.06764391174206486,-0.09390306287059969,-0.04333126198213866,-3.506682827478738,-4.867965934193866,-2.246306997518852,0.876387959615628,0.8472223151335005,0.9367864207139468,-0.14104716869750994,-0.18032773941090727,-0.06747917976637251,-0.9507490802958776,-1.215525515187328,-0.454853285567096,-133.90832116843345,-171.2007767869476,-64.06384303761915,0.8649002896338053,-0.1562026420680184,-1.0529067662779426,0.8332918319495181,-0.2000597649690887,-1.3485321208856595,0.9306891382098044,-0.0744726235051117,-0.5019936164514879,-148.29672764478065,-189.9341015331915,-70.70332626077294,-0.10215768598206498,-0.13300660569833145,-0.0471403308843919,-14.388406476347182,-18.733324746243863,-6.639483223153789,0.6978
06053000501,06053000501,Census Tract 5.01; Monterey County; California,2931,1606,456,Salinas city,California,35743,0.43274014601684313,0.24175034725680156,06053,2931,1606,456,0.009191,0.009493868073,0.003212018401,0.8729900120369426,0.8139272351522909,0.903616701328172,-0.14548847777388166,-0.22861105613807564,-0.10666391903797252,-3.919288060313076,-6.15851231992457,-2.8734002221224335,-133.7184599219746,-210.1164216965053,-98.03480798780052,0.8612122574614637,0.7973410778948401,0.8945047975984527,-0.16115393311705925,-0.25416842016997926,-0.11793698891809028,-4.34129695768643,-6.84699757481186,-3.1770834337434173,-148.11657992788912,-233.60619497822793,-133.7184599219746,-0.42200889737335423,-0.68848525488729,-0.3036832116209838,-14.398120005914508,-23.48977328172262,-10.361078526816232,0.9190099378835096,0.892978622991621,0.9455213931507692,-0.08812751503320132,-0.11984763604960698,-0.05761752959146818,-0.45460592307320113,-0.6182342165661479,-0.29722011582034025,-28.30671999210468,-38.49528123076886,-18.50685652679578,0.9112808176177666,0.882927754028713,0.9402395071409022,-0.09735657841910852,-0.132595498824335,-0.06355879795012934,-0.5022140608729652,-0.6839940864743419,-0.32786815786937795,-31.271112134057606,-42.58991821135379,-20.41520285612565,-0.04760813779976403,-0.06575986990819405,-0.0306480420490377,-2.964392141952928,-4.0946369805849345,-1.9083463293298697,0.892978622991621,0.8674236185068155,0.9455213931507692,-0.11984763604960698,-0.15283925715719124,-0.05761752959146818,-0.5188448463552447,-0.6616722991845168,-0.24943803043290905,-113.78176455158876,-145.10357438256946,-54.70132246335724,0.882927754028713,-0.132595498824335,-0.5740329428478095,0.855173761597529,-0.16935299573729282,-0.7331636396795184,0.9402395071409022,-0.06355879795012934,-0.2751589922333478,-125.88441729118628,-160.78149992971893,-60.34188426169907,-0.05518809649256473,-0.07149134049500161,-0.02572096180043873,-12.102652739597527,-15.677925547149474,-5.640561798341827,0.9646
06053000702,06053000702,Census Tract 7.02; Monterey County; California,3879,2296,677,Salinas city,California,37523,0.431417218586669,0.18819632732909972,06053,3879,2296,677,0.009191,0.009493868073,0.003212018401,0.8734615935711835,0.8145937616346715,0.9039808899498905,-0.14487002904324514,-0.22760576755862688,-0.10621807509164514,-5.164890194876551,-8.114575560759967,-3.7868750229609978,-133.1500436936466,-209.19246096313395,-97.62503281673104,0.861724012505301,0.7980593457490389,0.894901373421109,-0.1604643545822607,-0.2530396458942844,-0.11744157479288538,-5.720857358023399,-9.021341368022332,-4.187013988501147,-147.48278829655578,-232.56873854143677,-133.1500436936466,-0.5559671631468479,-0.9067658072623654,-0.4001389655401497,-14.3327446029092,-23.37627757830279,-10.315518575409891,0.9193185880398088,0.8933805875716746,0.9457320056159676,-0.08776218931047802,-0.11934377566690912,-0.05738200046289734,-0.6472280889798829,-0.8801357904059871,-0.42318044699244656,-28.189376697730093,-38.33344034869282,-18.431204137301677,0.9116174830287664,0.8833649481872796,0.940469889239054,-0.09695131852626476,-0.1320349557134487,-0.06329826339162503,-0.7149960262709912,-0.9737306320223724,-0.4668116688130009,-31.140941910757455,-42.40987073268173,-20.33151867652443,-0.0677679372911083,-0.09359484161638544,-0.04363122182055429,-2.951565213027365,-4.076430383988913,-1.9003145392227476,0.8933805875716746,0.8679142658022967,0.9457320056159676,-0.11934377566690912,-0.15218753672127253,-0.05738200046289734,-0.767064059645887,-0.978162364082931,-0.3688141252420304,-113.30340615153428,-144.4848395986604,-54.47771421595722,0.8833649481872796,-0.1320349557134487,-0.8486346990344543,0.85570586679272,-0.168625854755572,-1.083817165891218,0.940469889239054,-0.06329826339162503,-0.4068400099995933,-125.35224505678794,-160.09116187462598,-60.09453618900935,-0.08157063938856735,-0.1056548018082869,-0.03802588475756291,-12.048838905253673,-15.606322275965567,-5.6168219730521285,0.9221
06053000200,06053000200,Census Tract 2; Monterey County; California,4570,2792,1152,Salinas city,California,63890,0.4777124410222573,0.21110900978071623,06053,4570,2792,1152,0.009191,0.009493868073,0.003212018401,0.8571093673835459,0.7915904751127003,0.8913231667379865,-0.16671225173124524,-0.26327947523323597,-0.12192753124519667,-7.002393036874768,-11.058493571889828,-5.121306244312933,-153.22523056618746,-241.9801656868671,-112.06359396746024,0.8439949843019239,0.7733046396697645,0.8811274153175354,-0.18484116446155108,-0.2931514292052412,-0.13490964259649788,-7.7638594015271485,-12.313201371221949,-5.666592179727162,-169.88751425661158,-269.43547858253714,-153.22523056618746,-0.7614663646523807,-1.2547077993321183,-0.5452859354142285,-16.662283690424086,-27.45531289566999,-11.931858542980931,0.9085789318407368,0.8794210726595824,0.9383895517638772,-0.100619841551959,-0.1371117102934067,-0.06565551387514326,-0.902354248937106,-1.2296116993823698,-0.5887957185938462,-32.319278257059665,-44.040533645500354,-21.088671869407097,0.8999096903354818,0.8681935494179935,0.9324412544276328,-0.11122261571292225,-0.15181689690088676,-0.07245362134243744,-0.9974394544701044,-1.3614871566680038,-0.649760842999019,-35.7249088277258,-48.76386664283682,-23.272236497099534,-0.09508520553299836,-0.131875457285634,-0.06096512440517288,-3.4056305706661307,-4.7233329973364615,-2.183564627692438,0.8794210726595824,0.8509082573438459,0.9383895517638772,-0.1371117102934067,-0.1752148264744212,-0.06565551387514326,-1.4995820030849272,-1.9163133469229672,-0.718070154618967,-130.17204887889991,-166.34664469817426,-62.332478699563104,0.8681935494179935,-0.15181689690088676,-1.660411688174509,0.8372805678761024,-0.19434277871354613,-2.125514536757729,0.9324412544276328,-0.07245362134243744,-0.7924206210465002,-144.13295904292613,-184.50647020466397,-68.78651224361981,-0.16082968508958184,-0.20920118983476144,-0.07435046642753329,-13.960910164026204,-18.15982550648971,-6.454033544056709,0.5163
06053000106,06053000106,Census Tract 1.06; Monterey County; California,4012,2230,1006,Salinas city,California,51710,0.5525720958015319,0.2274012323778168,06053,4012,2230,1006,0.009191,0.009493868073,0.003212018401,0.8313129536642446,0.7557604550648859,0.8712294764052815,-0.20291641744811023,-0.32317058043761354,-0.14780322186300388,-7.4823992285755105,-11.91668634886605,-5.450139161517188,-186.50047927655808,-297.0260804802106,-135.84594121428685,0.8160955365522243,0.7348904102903276,0.859301988093447,-0.22534673357572896,-0.3607471073203112,-0.16373523377820043,-8.309501255117633,-13.30229417348449,-6.037620821025626,-207.11618282945247,-331.562666338098,-186.50047927655808,-0.8271020265421223,-1.3856078246184411,-0.5874816595084376,-20.615703552894377,-34.536585857887374,-14.643112151257167,0.8914776654832096,0.8573084871752763,0.9266371815624008,-0.12173309407361067,-0.1664412693438675,-0.07917102820534602,-0.8719499321304764,-1.192185696194808,-0.567086322710305,-39.100893817510155,-53.46124198182994,-25.429879942166146,0.8812954213689864,0.8442106672360307,0.9196036675289286,-0.1346932887119966,-0.18453845563694185,-0.08742498024948588,-0.9647812276901292,-1.321812240891494,-0.6262077389485547,-43.263732183413865,-59.274091519797935,-28.08106452684102,-0.09283129555965276,-0.12962654469668622,-0.05912141623824973,-4.162838365903711,-5.812849537967992,-2.651184584674876,0.8573084871752763,0.8241116331051571,0.9266371815624008,-0.1664412693438675,-0.21342784136187465,-0.07917102820534602,-1.5896524817716569,-2.038413303608779,-0.756149132767229,-158.01714530533368,-202.625576899481,-75.1639296985317,0.8442106672360307,-0.18453845563694185,-1.7624956547255626,0.8083224653495504,-0.23713003518658937,-2.264788957828571,0.9196036675289286,-0.08742498024948588,-0.8349812361458889,-175.1983752212289,-225.1281270207327,-83.00012287732494,-0.17284317295390572,-0.2263756542197921,-0.07883210337865998,-17.1812299158952,-22.5025501212517,-7.836193178793238,0.5612
06053001700,06053001700,Census Tract 17; Monterey County; California,2744,1805,734,Salinas city,California,48618,0.5089573824339222,0.2752776188827982,06053,2744,1805,734,0.009191,0.009493868073,0.003212018401,0.8462465257347787,0.7764336935961741,0.8828807154099914,-0.18168875096027168,-0.28793998540730964,-0.13265584188869828,-4.582209194848152,-7.261876377730832,-3.345594128640527,-166.99013100758572,-264.6456405878583,-121.92398427990258,0.8322361733255077,0.757032999096525,0.8719513085913915,-0.201581993250942,-0.32094638040011736,-0.14685302968977357,-5.083918834316055,-8.094301092114522,-3.703648681491177,-185.2740099969408,-294.9818182257479,-166.99013100758572,-0.5017096394679035,-0.8324247143836905,-0.35805455285065024,-18.28387898935508,-30.336177637889595,-13.048635307968302,0.9014016712205296,0.8701232011232816,0.933466329397544,-0.10938334366072872,-0.1492625397289195,-0.07127591912757762,-0.634171069245107,-0.8653784136616559,-0.4132359126336708,-35.13413126011673,-47.94340241892831,-22.89395637859672,0.8920931298687055,0.8581018214127045,0.9270614519168828,-0.12095919867377052,-0.1653628684224054,-0.07867714479153708,-0.7012843252982102,-0.958723180067909,-0.45614594843944795,-38.852317191036576,-53.114857621490806,-25.271243680855843,-0.06711325605310314,-0.09334476640625312,-0.04291003580577718,-3.7181859309198417,-5.171455202562499,-2.377287302259123,0.8701232011232816,0.8396195315280627,0.933466329397544,-0.1492625397289195,-0.19101564750411823,-0.07127591912757762,-1.0401358835536256,-1.3310923802455534,-0.4966861829666147,-141.7078860427283,-181.34773572827703,-67.6684172979039,0.8581018214127045,-0.1653628684224054,-1.152331010619778,0.8250699806203752,-0.21201840266700028,-1.4774500620730198,0.9270614519168828,-0.07867714479153708,-0.5482616178302002,-156.99332569751743,-201.2874743968692,-74.6950433011172,-0.11219512706615233,-0.1463576818274663,-0.05157543486358551,-15.285439654789142,-19.939738668592145,-7.026626003213285,0.86
06053001300,06053001300,Census Tract 13; Monterey County; California,1769,987,327,Salinas city,California,47225,0.3487100911272178,0.21039606794749033,06053,1769,987,327,0.009191,0.009493868073,0.003212018401,0.9034555029786128,0.8573660063463755,0.927043190607684,-0.10686137469204456,-0.1663630148592577,-0.07869839305382535,-1.7374461608916147,-2.7048761286718728,-1.279547650156587,-98.21628947945815,-152.90424695714376,-72.33169305577088,0.8943292690234685,0.8442729718878266,0.9200468972550374,-0.11815640462255576,-0.18445104047801253,-0.08690111665340419,-1.9210906858331749,-2.998967148556108,-1.4129147406325837,-108.59755148859098,-169.5289513033413,-98.21628947945815,-0.18364452494155992,-0.294091019884235,-0.1333670904759967,-10.381262009132838,-16.62470434619757,-7.5391232603729055,0.938822105334604,0.918873315530758,0.9589927061445518,-0.06516452298872076,-0.08828930288652642,-0.04276079848439125,-0.20658862152204055,-0.2799002362317065,-0.1355629414428645,-20.930964693215863,-28.35868654829853,-13.734847157331762,0.9329140581760008,0.9111317980712048,0.954985625165001,-0.0719100985091415,-0.0975360558339883,-0.04713618053383947,-0.22797386435390707,-0.30921486722043734,-0.14943404959759224,-23.09765596290852,-31.328760609973383,-15.14022792275504,-0.02138524283186652,-0.02931463098873082,-0.01387110815472775,-2.1666912696926564,-2.970074061674856,-1.4053807654232775,0.918873315530758,0.8991461699526178,0.9589927061445518,-0.08828930288652642,-0.1121662232656754,-0.04276079848439125,-0.2740936869928151,-0.34821946357943223,-0.13275067909877228,-83.82069938618199,-106.48913259309856,-40.59653795069489,0.9111317980712048,-0.0975360558339883,-0.3028001839887075,0.8896380070801537,-0.1240526956374774,-0.38512095595969015,0.954985625165001,-0.04713618053383947,-0.14633403018125613,-92.59944464486468,-117.77399264822328,-44.750467945338265,-0.02870649699589239,-0.03690149238025791,-0.01358335108248384,-8.77874525868269,-11.284860055124744,-4.153929994643378,0.9519
