geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48029121508,48029121508,Census Tract 1215.08; Bexar County; Texas,2435,1472,603,San Antonio city,Texas,72309,0.5403130408719572,0.19227289130442785,48029,2435,1472,603,0.010245,0.006897320142,0.003436016044,0.8354835955613362,0.7615149521871155,0.874488738105909,-0.196911591457556,-0.3131718518828048,-0.1435253039003578,-4.9122697846652805,-7.8125650908832815,-3.580464758148069,-201.73592544826613,-320.84456225393353,-147.0416738459166,0.8206003914391441,0.7410478959767823,0.8628387539599021,-0.21861994026864928,-0.3494404416085554,-0.15896509679312815,-5.4538187364073805,-8.71734218462095,-3.965634709532032,-223.97612880523124,-358.00173242796507,-201.73592544826613,-0.5415489517420999,-0.9047770937376683,-0.38516995138396304,-22.24020335696509,-37.15717017403156,-15.818067818643245,0.8942559753315382,0.8608912080786452,0.9285516282784324,-0.11824804931189643,-0.16158695850991522,-0.07694604106616616,-0.5980768304620623,-0.8172770422174921,-0.38917888815292706,-40.630219460737926,-55.521538194123096,-26.438783162562977,0.8843171260420923,0.8480922602598664,0.9216937901885012,-0.1308160506578285,-0.17911699806526607,-0.08495902939248819,-0.6616434639410788,-0.9059407500431064,-0.4297071056467783,-44.94860488730155,-61.54488791053712,-29.192058807525697,-0.06356663347901648,-0.08866370782561428,-0.04052821749385121,-4.318385426563619,-6.023349716414014,-2.7532756449627183,0.8608912080786452,0.8284413624036966,0.9285516282784324,-0.16158695850991522,-0.20708603575578532,-0.07694604106616616,-0.6720537411198187,-0.861288227383822,-0.32002505177237467,-111.45169836149564,-142.83386855453102,-53.07214788928269,0.8480922602598664,-0.17911699806526607,-0.7449626489536711,0.8129951441090233,-0.23001964679127188,-0.9566710431501064,0.9216937901885012,-0.08495902939248819,-0.353351743678168,-123.54272785301346,-158.6519142869165,-58.59896246735788,-0.0729089078338524,-0.09538281576628448,-0.03332669190579335,-12.091029491517812,-15.818045732385489,-5.526814578075182,0.8757
48029131503,48029131503,Census Tract 1315.03; Bexar County; Texas,2197,1541,855,San Antonio city,Texas,72847,0.5191326523928018,0.22626012611876392,48029,2197,1541,855,0.010245,0.006897320142,0.003436016044,0.8427387211102685,0.7715606317873216,0.8801486333584198,-0.18660739675346497,-0.2960744221533157,-0.13617173520369896,-4.200208737087129,-6.664121553548701,-3.0649895014746855,-191.17927797392483,-303.328245496072,-139.5079427161896,0.828442257951554,0.7518082134534361,0.8689836812590666,-0.20708473089319207,-0.33012646324585004,-0.15076959621509173,-4.6611180003976544,-7.430573918250354,-3.393562025552282,-212.15830680007528,-338.2145615953734,-191.17927797392483,-0.4609092633105254,-0.766452364701653,-0.3285725240775963,-20.97902882615045,-34.88631609930146,-14.955508606171884,0.8990765749748449,0.8671165140235984,0.9318686082297044,-0.11225231291114304,-0.15324755534846757,-0.0731126589828224,-0.5943648528818843,-0.8114305917357945,-0.3871242709673814,-38.57007481387958,-52.65610588811126,-25.121626928447853,0.889562262435114,0.8548407232238305,0.9253161669319432,-0.12414840672598952,-0.16980856530645314,-0.08071169156774259,-0.6573534886325553,-0.8991194953492575,-0.42736039410148546,-42.65759173475375,-58.34649548015947,-27.732666716514306,-0.06298863575067093,-0.08768890361346304,-0.04023612313410407,-4.087516920874168,-5.690389592048218,-2.611039788066455,0.8671165140235984,0.8359756545093053,0.9318686082297044,-0.15324755534846757,-0.19620708402922624,-0.0731126589828224,-0.9037328199357444,-1.1570741271395777,-0.4311606101989754,-105.69974502172452,-135.33030726778685,-50.42814154373981,0.8548407232238305,-0.16980856530645314,-1.0013965522953348,0.8211320299074321,-0.21783094992985733,-1.2845945777193797,0.9253161669319432,-0.08071169156774259,-0.4759736914330455,-117.12240377723214,-150.24497985021983,-55.66943759450825,-0.09766373235959024,-0.127520450579802,-0.04481308123407013,-11.422658755507632,-14.914672582432985,-5.241296050768436,0.4718
48029131300,48029131300,Census Tract 1313; Bexar County; Texas,3930,2772,1391,San Antonio city,Texas,9970,0.5052162381208529,0.239034762546374,48029,3930,2772,1391,0.010245,0.006897320142,0.003436016044,0.8475399090422736,0.7782331015679558,0.8838873516443774,-0.17988544177230242,-0.28496204798438457,-0.1313658897138957,-7.242700559261947,-11.473384193688078,-5.289165112667126,-184.29263509572385,-291.94361816000196,-134.58435401188615,0.8336354474346825,0.7589631134896173,0.8730449632231498,-0.19956511335652213,-0.31758708984172535,-0.14541637845106098,-8.035060224306648,-12.786961360233912,-5.854877833118301,-204.45445863375693,-325.3679735428476,-184.29263509572385,-0.7923596650447005,-1.3135771665458336,-0.5657127204511747,-20.16182353803309,-33.42435538284564,-14.39472571122582,0.902258050978177,0.871231289938714,0.934054452474448,-0.10833037058063012,-0.1478008326243013,-0.0706013951872425,-1.0318073988707397,-1.4077492012962596,-0.6724526237134387,-37.22248913675107,-50.78460322136579,-24.25875265921496,0.8930254639028601,0.8593039556696108,0.9277039686610132,-0.119788897877134,-0.1637325691358561,-0.07793006581974012,-1.1409457058969783,-1.5594931999678625,-0.7422555473254236,-41.159657499891,-56.25877344761408,-26.776895646660307,-0.1091383070262386,-0.1517439986716027,-0.06980292361198492,-3.937168363139921,-5.474170226248294,-2.5181429874453434,0.871231289938714,0.8409632665428668,0.934054452474448,-0.1478008326243013,-0.18911258051843405,-0.0706013951872425,-1.418026656870774,-1.8143786849051105,-0.6773619512838729,-101.94296598639642,-130.4370010715392,-48.69604250782695,0.8593039556696108,-0.1637325691358561,-1.5708784822799875,0.8265225915479105,-0.20988828403008464,-2.0137043644136328,0.9277039686610132,-0.07793006581974012,-0.747674480190418,-112.93159470021476,-144.76666890105196,-53.750861264587925,-0.15285182540921372,-0.19932567950852256,-0.07031252890654516,-10.988628713818382,-14.329667829512765,-5.054818756760975,0.7777
48029121506,48029121506,Census Tract 1215.06; Bexar County; Texas,2803,1856,861,San Antonio city,Texas,85686,0.5898452341628111,0.17441360293479602,48029,2803,1856,861,0.010245,0.006897320142,0.003436016044,0.8187597410419164,0.7385298808895324,0.8613942545970358,-0.2213595147307139,-0.3540413541501345,-0.16090860214502434,-6.356722524250508,-10.166911746170564,-4.620769687019096,-226.78282284161645,-362.7153673268128,-164.85086289757746,0.8025500533779787,0.7164813310179481,0.8486374006318651,-0.24602820196814304,-0.3957097787589802,-0.17835956706060294,-7.065126678445643,-11.363492853530266,-5.121904421994064,-252.05589291636255,-405.4046683385753,-226.78282284161645,-0.7084041541951347,-1.1965811073597017,-0.5011347349749684,-25.27307007474615,-42.68930101176246,-17.87851355601029,0.8830832397903478,0.8465067002454773,0.9208405981402564,-0.1323960810731833,-0.1813255579784678,-0.08596428309048816,-0.8443223490032188,-1.1563576490007526,-0.5482153613687284,-45.491505873018255,-62.30375264012675,-29.537465590987523,0.8721713301217496,0.8325176314548743,0.91327780668237,-0.14656371456329148,-0.20117576159010617,-0.0949570795250818,-0.9346728298575024,-1.282947276168844,-0.6055646344606327,-50.3595274707706,-69.12431444875236,-32.62740487395651,-0.09035048085428354,-0.1265896271680913,-0.05734927309190429,-4.868021597752346,-6.820561808625609,-3.0899392829689813,0.8465067002454773,0.8110857757859499,0.9208405981402564,-0.1813255579784678,-0.2329152228455621,-0.08596428309048816,-1.0768186244649809,-1.3831886286614692,-0.5105068590585007,-125.06604233042748,-160.6490857911114,-59.2923181252614,0.8325176314548743,-0.20117576159010617,-1.1947008975804585,0.7942797010020857,-0.259002337260252,-1.5381093743823937,0.91327780668237,-0.0949570795250818,-0.5639114137983384,-138.7573632497629,-178.64220376102134,-65.49493772338425,-0.11788227311547785,-0.1549207457209245,-0.05340455473983774,-13.691320919335404,-17.99311796990993,-6.202619598122849,0.8811
48029131402,48029131402,Census Tract 1314.02; Bexar County; Texas,1579,1057,395,San Antonio city,Texas,158034,0.5992282252651993,0.2282670351377632,48029,1579,1057,395,0.010245,0.006897320142,0.003436016044,0.815629624370126,0.7342545736912132,0.8589359175906169,-0.22604668849817092,-0.3619254626809375,-0.16423120691596987,-3.6567245030650786,-5.854815730597437,-2.656744420754642,-231.58483236637608,-370.79263651662046,-168.25487148541114,0.7991757374637537,0.7119202175558769,0.8459736579367145,-0.2512892385516829,-0.4046517788652525,-0.18206990326264727,-4.065069575110984,-6.545993152195254,-2.945318424943872,-257.4458248961991,-414.56574744745114,-231.58483236637608,-0.4083450720459054,-0.6911774215978168,-0.28857400418922996,-25.860992529823015,-43.773110930830704,-18.275744407170993,0.8809825436714156,0.8438090121056239,0.9193871112785889,-0.13509627084390327,-0.1851022988064803,-0.0876811168358702,-0.4906519524881617,-0.6722672931837282,-0.3184463264835101,-46.41929541042211,-63.60144684803483,-30.12737242038885,0.8698893892499914,0.8295996791126652,0.9116922274510872,-0.1495714424821166,-0.20540065911017943,-0.09686138577248168,-0.543223879030064,-0.7459882778793442,-0.35178786026514464,-51.392987609277576,-70.57599601507513,-33.281727555832035,-0.05257192654190229,-0.07372098469561594,-0.03334153378163451,-4.973692198855468,-6.974549167040298,-3.15435513544319,0.8438090121056239,0.8078392652663635,0.9193871112785889,-0.1851022988064803,-0.23787001077532,-0.0876811168358702,-0.5043003764859334,-0.6480629185168567,-0.2388820696239156,-127.67098138884391,-164.06656164983713,-60.47647332251027,0.8295996791126652,-0.20540065911017943,-0.559602070787983,0.7907832363028499,-0.26456904255495045,-0.7208028675347463,0.9116922274510872,-0.09686138577248168,-0.26389317489287517,-141.67141032607162,-182.48173861639148,-66.808398707057,-0.05530169430204956,-0.0727399490178896,-0.02501110526895958,-14.000428937227738,-18.41517696655433,-6.33192538454673,0.8449
48029121403,48029121403,Census Tract 1214.03; Bexar County; Texas,3585,2240,793,San Antonio city,Texas,79919,0.49764193055985584,0.2126394225994056,48029,3585,2240,793,0.010245,0.006897320142,0.003436016044,0.8501645439594823,0.7818889549315272,0.885928899316678,-0.1762428898089388,-0.2789539917309275,-0.12875875340708012,-6.473106135841893,-10.24551286834082,-4.729093341730096,-180.5608406092578,-285.78836452833525,-131.91334286555357,0.8364756203465747,0.7628858964064699,0.875263374276126,-0.1954921048215041,-0.31081201620116783,-0.14251324731488466,-7.18009756081827,-11.415604744941758,-5.234272864186462,-200.28166138963095,-318.42691059809647,-180.5608406092578,-0.7069914249763771,-1.1700918766009387,-0.5051795224563653,-19.720820780373145,-32.63854606976119,-14.091479008545754,0.9039943663140568,0.8734790451219274,0.9352462991466282,-0.1062015840622946,-0.14484715527481457,-0.06923705649779828,-0.81739917668922,-1.1148416147725293,-0.5328951868033233,-36.49103467362589,-49.7697149452022,-23.789963696576933,0.8949160485414764,0.8617429512646143,0.9290061695551174,-0.11742325062757354,-0.1604388507413869,-0.07641911622490101,-0.9037687077327456,-1.2348458421114517,-0.5881731730942157,-40.346817309497574,-55.127046522832664,-26.257730941706058,-0.08636953104352563,-0.12000422733892235,-0.05527798629089242,-3.85578263587168,-5.357331577630462,-2.4677672451291257,0.8734790451219274,0.8436903757737193,0.9352462991466282,-0.14484715527481457,-0.18526894310360545,-0.06923705649779828,-0.7922523608595853,-1.0133423558737509,-0.37869726447355945,-99.905720158838,-127.78592129555496,-47.75501443550561,0.8617429512646143,-0.1604388507413869,-0.8775323066048741,0.8294713776054337,-0.20558710884859985,-1.124474084690016,0.9290061695551174,-0.07641911622490101,-0.417980077890476,-110.65981167778992,-141.80001067969937,-52.70871095718488,-0.08527994574528885,-0.1111317288162652,-0.03928281341691658,-10.754091518951936,-14.014089384144414,-4.953696521679266,0.9429
48029121404,48029121404,Census Tract 1214.04; Bexar County; Texas,3352,2206,965,San Antonio city,Texas,122106,0.4130938359565107,0.24073277486864275,48029,3352,2206,965,0.010245,0.006897320142,0.003436016044,0.8800195564154658,0.8238819078869309,0.909040254764456,-0.13633838328916664,-0.21376618472515288,-0.1000612951503592,-4.682029141745261,-7.340995853530809,-3.436228951469321,-139.67867367975123,-219.0034562509191,-102.51279688154298,0.8688434987679281,0.8080746125043302,0.9004123164056604,-0.15095526572744072,-0.23750948801728544,-0.11060231160751093,-5.183991009609817,-8.156370330278722,-3.798220527468318,-154.65366973776304,-243.3284704737089,-139.67867367975123,-0.5019618678645559,-0.8153744767479134,-0.3619915759989971,-14.97499605801181,-24.32501422278978,-10.79927136035194,0.9236042644914232,0.8989666963042389,0.948653951055558,-0.08271479295371544,-0.11238826100134888,-0.05412516217036749,-0.6269658385972202,-0.8518863167151147,-0.410260685876875,-28.420935566510437,-38.61678679578942,-18.59749256014846,0.9162933241570744,0.8894426756761411,0.943666638834618,-0.09135358038314842,-0.12429954998484288,-0.05969625167098304,-0.6924465635285916,-0.9421721171098396,-0.4524887163889999,-31.389236787334163,-42.70952480099001,-20.51172785081595,-0.06548072493137136,-0.09028580039472488,-0.04222803051212492,-2.968301220823724,-4.092738005200585,-1.9142352906674944,0.8989666963042389,0.8747386533230425,0.948653951055558,-0.11238826100134888,-0.14319859560464435,-0.05412516217036749,-0.7480465927574432,-0.9531175282480752,-0.3602524212337579,-77.51778163289568,-98.7686557770026,-37.33185712266921,0.8894426756761411,-0.12429954998484288,-0.8273271071106728,0.8631100022525104,-0.15860087056138783,-1.0556337447946322,0.943666638834618,-0.05969625167098304,-0.3973331134853464,-85.73337897519926,-109.39209790617952,-41.174415905217245,-0.07928051435322958,-0.10251621654655708,-0.0370806922515885,-8.215597342303584,-10.623442129176896,-3.8425587825480303,0.9934
48029131615,48029131615,Census Tract 1316.15; Bexar County; Texas,8648,5701,1980,San Antonio city,Texas,256726,0.5527546484700864,0.2085122985235089,48029,8648,5701,1980,0.010245,0.006897320142,0.003436016044,0.8312510051675706,0.7556750928121744,0.8711810338245798,-0.20300606409301317,-0.32332004787744595,-0.1478670461980685,-17.98608555112149,-28.64575532508234,-13.100836938011584,-207.979712663292,-331.24138905044333,-151.4897888299212,0.8160286408382336,0.7347991052996624,0.8592494309194381,-0.2254471840262727,-0.36091619163333705,-0.16380641524539863,-19.974340950219567,-31.976727042636035,-14.513045270787414,-230.97064003491636,-369.75863832835375,-207.979712663292,-1.988255399098076,-3.3309717175536946,-1.4122083327758297,-22.990927371624373,-38.51724927791044,-16.329883588989706,0.8914363582654312,0.85725524879942006,0.9266087029017516,-0.12178507274014869,-0.16651370919045752,-0.07920419576075374,-2.3856145994365447,-3.261791668825189,-1.551509404987966,-41.84554638548579,-57.214377632436225,-27.21468873860666,0.8812505025147486,0.8441529999056414,0.9195725788297464,-0.13475112598107605,-0.18461937600385123,-0.08746174366422049,-2.63960308269366,-3.616458641638241,-1.713264260413385,-46.30070308180424,-63.435513798250135,-30.051995446647695,-0.2539884832571153,-0.3546669728130514,-0.16175485542541912,-4.455156696318459,-6.221136165813917,-2.8373067080410297,0.85725524879942006,0.8240473293058368,0.9266087029017516,-0.16651370919045752,-0.21352253012261163,-0.07920419576075374,-2.2740267534305767,-2.916011830615272,-1.0816674556080843,-114.84983603184732,-147.2733247785491,-54.62966947515578,0.8441529999056414,-0.18461937600385123,-2.5212903026153723,0.8082530866382338,-0.2372362277752615,-3.2398625402478936,0.9195725788297464,-0.08746174366422049,-1.1944382595347445,-127.33789407148345,-163.6294212246411,-60.32516462296688,-0.24726354918479565,-0.32385070963262175,-0.11277080392665996,-12.488058039636144,-16.356096446092007,-5.695495147811108,0.6978
48029121300,48029121300,Census Tract 1213; Bexar County; Texas,3694,2279,1143,San Antonio city,Texas,39786,0.530246716898403,0.21303005332081645,48029,3694,2279,1143,0.010245,0.006897320142,0.003436016044,0.8389238904790439,0.7662729101960883,0.8771741424919465,-0.1920032452872192,-0.3050180773637178,-0.1400244849433432,-7.266368577992169,-11.54341828837222,-5.299230833415371,-196.70732479675607,-312.4910202591289,-143.4550848244551,0.8243180666675525,0.7461425715417934,0.8657537932778677,-0.2131239632326293,-0.34022643679698866,-0.15506279933681483,-8.065682782257753,-12.87587970737514,-5.868356292785737,-218.3455003318287,-348.5619844985149,-196.70732479675607,-0.7993142042655839,-1.3324614190029198,-0.5691254593703663,-21.638175535072655,-36.07096423938602,-15.406753096111704,0.8965438122247309,0.8638442931649912,0.9301266021102488,-0.11539445854692532,-0.15761602862033786,-0.07512245938480218,-0.9036171437685604,-1.2342407719356494,-0.5882599826451835,-39.64972109559283,-54.1571203131044,-25.81219757109186,0.8868060947550422,0.8512929079876644,0.9234136119682408,-0.1276422274434466,-0.17468381401632724,-0.0829383355834624,-0.999525509622294,-1.367893147311257,-0.6494636124868196,-43.85807413875797,-60.021638758721245,-28.497745172743297,-0.0959083658537334,-0.1336523753756076,-0.06120362984163607,-4.208353043165134,-5.864518445616832,-2.6855476016514293,0.8638442931649912,0.8320136523318169,0.9301266021102488,-0.15761602862033786,-0.20190335482762983,-0.07512245938480218,-1.242587542778535,-1.591732742856552,-0.5922381945004593,-108.71282089051049,-139.25920759899842,-51.814365223137294,0.8512929079876644,-0.17468381401632724,-1.3771437659083516,0.8168522278327096,-0.22421163330021404,-1.7676031106961008,0.9234136119682408,-0.0829383355834624,-0.6538557246803898,-120.48501888961955,-154.6459414432284,-57.205225256377055,-0.13455622312981697,-0.1758703678395488,-0.06161753017993043,-11.772197999109096,-15.38673384422999,-5.3908600332397585,0.7782
48029130900,48029130900,Census Tract 1309; Bexar County; Texas,3213,1807,398,San Antonio city,Texas,82876,0.4288766607159072,0.24206625062107984,48029,3213,1807,398,0.010245,0.006897320142,0.003436016044,0.8743679360810451,0.8158752941019597,0.9046806916410496,-0.14368329250732045,-0.22567751129259017,-0.10536237728921298,-4.729649520872582,-7.42866838955778,-3.4682328652688224,-147.2035331737498,-231.20661031925863,-107.9437555327987,0.8627076429020782,0.7994405266079437,0.8956634531394588,-0.15914123194281837,-0.25087478895151544,-0.11649079405308224,-5.238481372989662,-8.258091839752991,-3.834549018642208,-163.04019212541743,-257.0212212808276,-147.2035331737498,-0.5088318521170807,-0.8294234501952111,-0.3663161533733854,-15.836658951667625,-25.814610961568977,-11.401062974584049,0.9199116123869356,0.894153030251069,0.9461365986358398,-0.08706095948202629,-0.1183767947632077,-0.05692983596852891,-0.5405511364304012,-0.734987430840924,-0.3534705763946676,-29.914285358627627,-40.67445660436768,-19.561182977015363,0.9122643661476896,0.8842051456541289,0.9409124747256068,-0.09617347460670914,-0.13095926314724948,-0.06279811019789548,-0.5971296583728737,-0.8131104796168515,-0.38990599271033793,-33.04536017558792,-44.99781292843672,-21.577531417284888,-0.05657852194247248,-0.07812304877592746,-0.03643541631567032,-3.131074816960292,-4.323356324069035,-2.016348440269525,0.894153030251069,0.8688572862238053,0.9461365986358398,-0.1183767947632077,-0.15093700180171382,-0.05692983596852891,-0.32496009504453766,-0.4143422074346203,-0.15627999511398324,-81.64826508656725,-104.1060822700051,-39.266330430649056,0.8842051456541289,-0.13095926314724948,-0.35950064946782684,0.85672865344342,-0.16723071649434676,-0.4590706281165447,0.9409124747256068,-0.06279811019789548,-0.1723891907982971,-90.3267963487002,-115.34437892375496,-43.313867034748014,-0.03454055442328918,-0.0447284206819244,-0.01610919568431385,-8.67853126213296,-11.238296653749847,-4.047536604098957,0.9823
48029120502,48029120502,Census Tract 1205.02; Bexar County; Texas,3110,1922,820,San Antonio city,Texas,869,0.2655595340632048,0.1878171336718483,48029,3110,1922,820,0.010245,0.006897320142,0.003436016044,0.934648548864242,0.9026317373223058,0.9508222694278112,-0.06992088225587158,-0.10787152573046135,-0.05172126500758454,-2.227815654392467,-3.4369971592476736,-1.647940359608408,-71.63394387114043,-110.51437811085768,-52.988436000270354,0.9283530522465052,0.8934323210799733,0.9460395206756578,-0.07717640134873012,-0.11927896093036866,-0.05703829295186723,-2.458990640953171,-3.80046028921536,-1.8173512381177463,-79.067223181774,-122.2012954731627,-71.63394387114043,-0.231174986560704,-0.36346312996768626,-0.16941087850933825,-7.43327931063357,-11.686917362305024,-5.447295128917628,0.9588473097296488,0.945236057295322,0.9725119424417298,-0.04291891926145609,-0.05793678973840498,-0.02826500771728798,-0.2834375229234742,-0.382615882509865,-0.18666275644074057,-14.747009517350373,-19.90717390790141,-9.711902000038531,0.9548263585971516,0.9399273957520498,0.9698050415666682,-0.04731084452802336,-0.06391196226372918,-0.0311350809071413,-0.3124418976803845,-0.4220760583195397,-0.20561678532915348,-16.25608208534779,-21.9602527741696,-10.69806375281756,-0.02900437475691031,-0.0394601758096747,-0.01895402888841291,-1.5090725679974148,-2.0530788662681947,-0.9861617527790276,0.945236057295322,0.9316785294050696,0.9725119424417298,-0.05793678973840498,-0.07333159286020859,-0.02826500771728798,-0.32767904119692604,-0.4147490074333212,-0.15986130177463337,-39.96085868255196,-50.579147247966,-19.495280704223585,0.9399273957520498,-0.06391196226372918,-0.3614734370018178,0.9251085525372056,-0.0809542266768554,-0.45786111895541287,0.9698050415666682,-0.0311350809071413,-0.17609386894417278,-44.082126463636314,-55.836721823830835,-21.474862066362537,-0.03379439580489174,-0.04311211152209165,-0.01623256716953941,-4.1212677810843585,-5.257574575864836,-1.979581362138953,0.9857
