geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06071006204,06071006204,Census Tract 62.04; San Bernardino County; California,2897,1428,483,San Bernardino city,California,51492,0.42535038904749145,0.2325768020420414,06071,2897,1428,483,0.010125,0.009493868073,0.003212018401,0.8756274901954659,0.817657391656649,0.905652908038604,-0.14203815115120524,-0.2230061272654897,-0.10417577321727574,-4.166280804336046,-6.5412436007172525,-3.055696801980784,-143.8136280405953,-225.79370385630835,-105.47797038249168,0.8640747741329455,0.8013615556696368,0.8967222886222741,-0.1573072492521824,-0.24787618388353572,-0.1151724593981064,-4.614155898471171,-7.270735210194856,-3.3782529756226816,-159.2735898678347,-250.97463618207993,-143.8136280405953,-0.4478750941351244,-0.7294916094776029,-0.32255617364189737,-15.459961827239365,-25.180932325771582,-11.134144758091038,0.9207353589146896,0.895226280766722,0.9466984570073316,-0.08608840783386774,-0.11703601813783213,-0.05630255610763675,-0.394867061507351,-0.5368163930013589,-0.2582464404322397,-27.65175500751758,-37.59218438384866,-18.084484624106423,0.9131629949439786,0.8853726567862745,0.9415271246296508,-0.09509474818495987,-0.12946790522061047,-0.06210429188999674,-0.436177003680213,-0.5938385036999455,-0.28485762325773134,-30.544608100855253,-41.58532939075249,-19.948012833174463,-0.04130994217286199,-0.05702211069858665,-0.02661118282549163,-2.892853093337674,-3.9931450069038266,-1.8635282090680416,0.895226280766722,0.8701678884644779,0.9466984570073316,-0.11703601813783213,-0.14920351952383282,-0.05630255610763675,-0.5366731412230797,-0.6841784501767029,-0.2581775262516959,-111.11245159898132,-141.65185303865482,-53.45290398585836,0.8853726567862745,-0.12946790522061047,-0.5936800353245854,0.8581502984858608,-0.1652970368528939,-0.7579758899370306,0.9415271246296508,-0.06210429188999674,-0.28478160776785433,-122.91512118521436,-156.93082607391938,-58.960995397071294,-0.05700689410150561,-0.07379743976032771,-0.02660408151615845,-11.802669586233046,-15.278973035264537,-5.50809141121293,0.9893
06071004604,06071004604,Census Tract 46.04; San Bernardino County; California,3576,2181,756,San Bernardino city,California,87093,0.461621852387502,0.2320967664410737,06071,3576,2181,756,0.010125,0.009493868073,0.003212018401,0.8627578202070811,0.7995110056813723,0.8957023227073795,-0.15907381721556307,-0.2507645209308453,-0.1164423432300219,-5.759585699923893,-9.079431009343116,-4.2160279213294025,-161.06223993075764,-253.8990774424809,-117.89787252039716,0.8501152265465927,0.781820206989112,0.8858905529921821,-0.1763111267425258,-0.27906645423137094,-0.12880761243293773,-6.383696965966632,-10.104159108355248,-4.663737223359377,-178.51501582680737,-282.55478490926305,-161.06223993075764,-0.624111266042739,-1.0247280990121317,-0.44770930202997405,-17.452775896049747,-28.6557074667822,-12.519835067952291,0.9122973577002852,0.8842480018258254,0.9409350441039994,-0.0961338335132257,-0.13090444980951715,-0.06277261779769812,-0.6734571236450733,-0.917039620904432,-0.4397480583138644,-30.87836422031514,-42.04675015609501,-20.162680344514644,0.903961759308407,0.8734368200263349,0.9352239240559822,-0.1062414861056388,-0.14490250132785684,-0.06926263783232765,-0.7442653957478779,-1.0151017408435028,-0.48521332340515194,-34.12496083208977,-46.542950061600315,-22.24728672192352,-0.0708082721028046,-0.09806211993907075,-0.04546526509128751,-3.2465966117746263,-4.496199905505308,-2.084606377408873,0.8842480018258254,0.8567808296739514,0.9409350441039994,-0.13090444980951715,-0.16715963448966376,-0.06277261779769812,-0.9395489199551156,-1.1997655868336807,-0.4505419436879574,-124.27895766602056,-158.69915169757684,-59.595495196819776,0.8734368200263349,-0.14490250132785684,-1.0400180346771113,0.8436391291891597,-0.18534094188011663,-1.3302594527559533,0.9352239240559822,-0.06926263783232765,-0.4971231815518816,-137.568523105438,-175.9602450735388,-65.75703459680975,-0.10046911472199582,-0.13049386592227252,-0.04658123786392415,-13.28956543941744,-17.261093375961973,-6.161539399989967,0.9309
06071007603,06071007603,Census Tract 76.03; San Bernardino County; California,3310,2023,1034,San Bernardino city,California,68507,0.4067317644625648,0.22869966309760675,06071,3310,2023,1034,0.010125,0.009493868073,0.003212018401,0.8823080472067398,0.8271315583473449,0.9108035341234304,-0.13339100007741733,-0.20899751666839547,-0.09793162030537528,-4.470432628844545,-7.004290524245439,-3.282055840009271,-135.05838757838504,-211.6099856267504,-99.15576555919247,0.8713291918759848,0.8115813347768,0.902333700601906,-0.1476718665272594,-0.23216239352648335,-0.10823745066037696,-4.94903801682794,-7.780632416048181,-3.627442862069208,-149.51776485885014,-235.0644234455644,-135.05838757838504,-0.4786053879833947,-0.7763418918027423,-0.3453870220599371,-14.459377280465096,-23.454437818813965,-10.434653234439187,0.925096964510334,0.900914410242655,0.9496705912977677,-0.08096776701598324,-0.10998335538961693,-0.05299670134404716,-0.5261215241099322,-0.7146622995405931,-0.3443679665566776,-26.006995754321903,-35.32685613151721,-17.022637990938094,0.9179224284670626,0.8915626921319715,0.9447791234827408,-0.08941667507787944,-0.1216261165086721,-0.05844845122497875,-0.5810217955440207,-0.7903159509942139,-0.37979296420859093,-28.720800570638687,-39.06653242680247,-18.773750084458275,-0.05490027143408849,-0.0756536514536208,-0.03542499765191331,-2.7138048163167814,-3.739676295285259,-1.7511120935201838,0.900914410242655,0.8771206813144428,0.9496705912977677,-0.10998335538961693,-0.14009397030909332,-0.05299670134404716,-1.0796691601489228,-1.3752548167831793,-0.5202505763539607,-104.41674662948962,-133.0033671937311,-50.31436908645655,0.8915626921319715,-0.1216261165086721,-1.1939621827130584,0.8656957517997613,-0.1551402417316052,-1.5229589413988371,0.9447791234827408,-0.05844845122497875,-0.5737685490911616,-115.470230436466,-147.2880987813189,-55.49018850011234,-0.11429302256413564,-0.14770412461565785,-0.05351797273720093,-11.053483806976368,-14.2847315875878,-5.1758194136557965,0.955
06071003803,06071003803,Census Tract 38.03; San Bernardino County; California,3206,2000,638,San Bernardino city,California,68259,0.4282559915144145,0.19177938653448903,06071,3206,2000,638,0.010125,0.009493868073,0.003212018401,0.8745895023571787,0.8161886843078213,0.9048517385257748,-0.1433935546960226,-0.22520689054646975,-0.10515342726670904,-4.654662330598916,-7.310384572306319,-3.4133591141478257,-145.18597412972292,-228.02197667830063,-106.46784510754291,0.8629481186411414,0.7997783181903559,0.8958497311072863,-0.15881821675985586,-0.25034647383625264,-0.1162586372203094,-5.1553584296874915,-8.126434300580138,-3.773842558149159,-160.80344446935405,-253.4758047592058,-145.18597412972292,-0.5006960990885752,-0.8160497282738195,-0.36048344400133336,-15.617470339631163,-25.453828080905165,-11.24402507802038,0.9200565489172348,0.8943418428072648,0.9462354687543192,-0.08688971474291053,-0.11814068417181849,-0.05681939963258804,-0.5581827252237392,-0.7589401029332208,-0.3650099143072909,-27.90913626118696,-37.94700514666104,-18.250495715364544,0.9124224722297146,0.884410530940246,0.9410206319150064,-0.0959835278456804,-0.13069662223138276,-0.06267595638681041,-0.6166017152664428,-0.8395999111114943,-0.40263265042941704,-30.83008576332214,-41.97999555557472,-20.131632521470852,-0.05841899004270357,-0.08065980817827356,-0.03762273612212619,-2.9209495021351786,-4.032990408913678,-1.8811368061063096,0.8943418428072648,0.8690878258586353,0.9462354687543192,-0.11814068417181849,-0.15063169710383068,-0.05681939963258804,-0.7155885003928081,-0.9123894194263216,-0.3441600940550698,-112.1612069581204,-143.00774599158646,-53.94358840988556,0.884410530940246,-0.13069662223138276,-0.7916409200148358,0.8569787103717366,-0.1668901314552193,-1.010868184280304,0.9410206319150064,-0.06267595638681041,-0.3796337727001361,-124.08164890514666,-158.44328907214796,-59.503726128547974,-0.07605241962202769,-0.09847876485398244,-0.03547367864506629,-11.920441947026283,-15.435543080561509,-5.5601377186624275,0.8906
06071012300,06071012300,Census Tract 123; San Bernardino County; California,3119,2562,1012,San Bernardino city,California,45836,0.4374601926982682,0.2327945472757914,06071,3119,2562,1012,0.010125,0.009493868073,0.003212018401,0.8713095393701086,0.8115535895026516,0.9023185151237708,-0.14769775242323752,-0.2322045185122464,-0.10825610163039862,-4.664276559306788,-7.332989669051927,-3.4187141574752844,-149.54397432852798,-235.10707499364943,-109.6093029007786,0.859388852049616,0.7947836479709736,0.893091294097209,-0.16361760757662927,-0.2582040440224573,-0.11970635769197686,-5.167023595069005,-8.154051434723698,-3.780311812617918,-165.6628276713371,-261.431594572738,-149.54397432852798,-0.5027470357622175,-0.8210617656717707,-0.3615976551426336,-16.118853342809153,-26.324519579088513,-11.593384262347984,0.9179095552634772,0.8915459347130167,0.9447703352218192,-0.08943195357952184,-0.12164719849448254,-0.05845829692060955,-0.7359526403301626,-1.0010580484655949,-0.4810644992751062,-28.725708053480194,-39.07330399943774,-18.776912540011953,0.9100806485819052,0.8813696600757774,0.9394179911843218,-0.09880371762459483,-0.13459771228569756,-0.06448887437135692,-0.8130746780075558,-1.107630301858249,-0.530691273822155,-31.735935909740668,-43.23303285941643,-20.71394511405757,-0.07712203767739323,-0.10657225339265408,-0.04962677454704878,-3.0102278562604696,-4.159728859978692,-1.93703257404562,0.8915459347130167,0.8656753068591565,0.9447703352218192,-0.12164719849448254,-0.15516752306150491,-0.05845829692060955,-1.1687612834041412,-1.490817673078034,-0.5616553030413676,-115.49024539566614,-147.3139993160113,-55.49953587365293,0.8813696600757774,-0.13459771228569756,-1.29318715844844,0.8532779688164103,-0.17195103652694702,-1.6520702212720682,0.9394179911843218,-0.06448887437135692,-0.6195958518434286,-127.78529233680236,-163.24804558024388,-61.22488654579334,-0.1244258750442988,-0.16125254819403412,-0.05794054880206101,-12.295046941136246,-15.93404626423262,-5.725350672140416,-999
06071004800,06071004800,Census Tract 48; San Bernardino County; California,2016,1409,494,San Bernardino city,California,43127,0.3537040361309908,0.21810332346182315,06071,2016,1409,494,0.010125,0.009493868073,0.003212018401,0.9016155694406376,0.8547208140830739,0.9256341222624656,-0.1091201548575743,-0.16997267823971096,-0.08034046709056791,-2.227360600952806,-3.46948230822898,-1.639909614252672,-110.484156793294,-172.09733671770732,-81.3447229292,0.8923259909148267,0.8414081376899949,0.9185087365274518,-0.12066667359401267,-0.188483870319348,-0.08872127202691299,-2.463048141400987,-3.847332760958531,-1.810978604613348,-122.17500701393784,-190.83991869833983,-110.484156793294,-0.2356875404481804,-0.3778504527295512,-0.1710689903606757,-11.690850220643869,-18.7425819806325,-8.485564998049389,0.9376328114400032,0.9173136067426356,0.9581867622130598,-0.06651557816562971,-0.09013972173702096,-0.04363787878927382,-0.3010318087788095,-0.4079483968363864,-0.19749342853932297,-21.36492610211565,-28.9530444880331,-14.016566965175512,0.9316141499686206,0.909430717481495,0.9541028282823364,-0.07340576571715109,-0.09958898548019184,-0.04810505781676794,-0.3322149643441848,-0.45071325034411086,-0.21771069222207615,-23.578067022298423,-31.988165389929797,-15.451433088862752,-0.03118315556537532,-0.04276485350772446,-0.02021726368275322,-2.2131409201827767,-3.035120901896698,-1.434866123687241,0.9173136067426356,0.8972288704745291,0.9581867622130598,-0.09013972173702096,-0.11454282503316789,-0.04363787878927382,-0.4227526653962544,-0.5372025079693671,-0.2046603785201997,-85.57746263082072,-108.74544695736176,-41.42922642109305,0.909430717481495,-0.09958898548019184,-0.46706943669838974,0.8875515025429844,-0.1266951800935852,-0.5941966986949759,0.9541028282823364,-0.04810505781676794,-0.2256113178428775,-94.54846896728536,-120.28273252934736,-45.67030725564322,-0.04431677130213535,-0.05699419072560885,-0.02095093932267783,-8.971006336464646,-11.537285571985596,-4.241080834550168,0.7321
06071010805,06071010805,Census Tract 108.05; San Bernardino County; California,1595,776,348,San Bernardino city,California,2675054,0.7122525139822133,0.18786706470530157,06071,1595,776,348,0.010125,0.009493868073,0.003212018401,0.7788524288487416,0.6846594519345854,0.8298691314589631,-0.2839402728423753,-0.4605801426890156,-0.20500927446468084,-4.585457943733834,-7.4380814418384205,-3.310771651808055,-287.48952625290497,-466.33739447262826,-207.57189039548933,0.7596275311110876,0.6592073923802412,0.8145365401199346,-0.3164346459867322,-0.5169732796673255,-0.22769200735028688,-5.110221761031983,-8.348795358327514,-3.677083611202539,-320.3900790615664,-523.435445663167,-287.48952625290497,-0.5247638172981492,-0.9107139164890938,-0.3663119593944839,-32.900552808661395,-57.0980511905388,-22.96626704667611,0.85606749815,0.8119812151904582,0.9020581261961296,-0.16813218836253507,-0.2315555844052872,-0.10857601185511112,-0.419073897868988,-0.5771583792201348,-0.27062856283698944,-54.00436828208608,-74.37607979640913,-34.87481479858111,0.842866532233893,0.7952443282605925,0.8928077994141377,-0.18642746123712856,-0.2574751739346091,-0.12006189983577883,-0.46467534629360807,-0.6417636372674248,-0.29925744046847547,-59.88084359453712,-82.70149964786403,-38.56410315315406,-0.0456014484246201,-0.06460525804729,-0.02862887763148602,-5.876475312451045,-8.325419851454896,-3.6892883545729416,0.8119812151904582,0.769739035131081,0.9020581261961296,-0.2315555844052872,-0.29914159781400096,-0.10857601185511112,-0.765028643128754,-0.9883237809478074,-0.3587206036908283,-219.8358169910213,-284.00108647925504,-103.08063324449088,0.7952443282605925,-0.2574751739346091,-0.8506634960259516,0.7498559851479055,-0.3335894089086383,-1.1021347358775746,0.8928077994141377,-0.12006189983577883,-0.3966684394968493,-244.44353334079068,-316.70538387286626,-113.98518376346246,-0.08563485289719763,-0.11381095492976724,-0.03794783580602101,-24.607716349769436,-32.70429739361128,-10.904550518971556,0.5777
06071005602,06071005602,Census Tract 56.02; San Bernardino County; California,1806,1318,440,San Bernardino city,California,36960,0.4035254970601497,0.22983208480828948,06071,1806,1318,440,0.010125,0.009493868073,0.003212018401,0.8834636230294898,0.8287741259173498,0.9116934626537316,-0.13190851771677334,-0.20660137512512772,-0.09685989969614164,-2.412046177839488,-3.777861095194304,-1.7711559108687218,-133.557374188233,-209.18389231419184,-98.07064844234338,0.8725845903144885,0.8133543664055906,0.9033035660691784,-0.1460206965603067,-0.22947640204999648,-0.10704755030648937,-2.670097952127628,-4.1961481187857235,-1.957444743016888,-147.84595526731053,-232.34485707562143,-133.557374188233,-0.25805177428813986,-0.41828702359141934,-0.18628883214816616,-14.288581079077511,-23.160964761429643,-10.314996242977086,0.9258501485059124,0.9018975904233678,0.9501833561813208,-0.08008839401683582,-0.1087733359289507,-0.05242845340807357,-0.33904943099039453,-0.4604854187222823,-0.2219527250350032,-25.724539528861495,-34.93819565419441,-16.840115708270346,0.9187445389170088,0.8926330224885227,0.945340274793584,-0.08844184388706469,-0.12028120717756416,-0.05782015922081713,-0.3744132619184127,-0.509203304086957,-0.24477818945240704,-28.407682998362112,-38.63454507488293,-18.571941536601447,-0.03536383092801815,-0.04871788536467469,-0.02282546441740388,-2.683143469500618,-3.69634942068852,-1.7318258283310983,0.9018975904233678,0.8783235994494354,0.9501833561813208,-0.1087733359289507,-0.13853254156763603,-0.05242845340807357,-0.4543790685146103,-0.578692256322631,-0.21900948076817817,-103.26797011695687,-131.5209673460525,-49.77488199276776,0.8926330224885227,-0.12028120717756416,-0.5024509215461889,0.8670018158024423,-0.15340012186071716,-0.6407986285042196,0.945340274793584,-0.05782015922081713,-0.2415322639850086,-114.19339126049748,-145.63605193277718,-54.89369636022922,-0.04807185303157857,-0.06210637218158865,-0.02252278321683043,-10.925421143540584,-14.115084586724697,-5.118814367461463,0.9241
06071005501,06071005501,Census Tract 55.01; San Bernardino County; California,1827,1009,278,San Bernardino city,California,36421,0.3780190658818493,0.21677456321575408,06071,1827,1009,278,0.010125,0.009493868073,0.003212018401,0.8927105097808182,0.8419577708118438,0.918804046443796,-0.12018396674362432,-0.1877080236883694,-0.08837134954996191,-2.223208085811091,-3.47229341269634,-1.6347263632312763,-121.6862663279196,-190.054373984474,-89.47599141933644,0.8826361533808039,0.8275978248551589,0.9110562443124084,-0.13296967971417403,-0.20831637054509403,-0.0976270743358104,-2.459722998982684,-3.853514340982104,-1.8059422312166964,-134.6318007106012,-210.9203251769077,-121.6862663279196,-0.23651491317159268,-0.38122092828576415,-0.17121586798541988,-12.945534382681592,-20.865951192433723,-9.371421345671587,0.931863746148868,0.9097572804159272,0.9542723668174576,-0.07311825804225139,-0.099194281295353,-0.04791884871930865,-0.2369709049933047,-0.32148138150579575,-0.15530146985572507,-23.48571902807777,-31.86138567946439,-15.391622384115468,0.9253108562509434,0.9011935894006976,0.949816222292612,-0.0807178941482136,-0.1096394956215896,-0.05283525015634845,-0.2616007675456786,-0.35533355410962086,-0.171235165885142,-25.92673612940323,-35.216407741290475,-16.970779572362936,-0.02462986255237392,-0.03385217260382511,-0.01593369602941694,-2.4410171013254636,-3.355022061826077,-1.5791571882474666,0.9097572804159272,0.887951979199501,0.9542723668174576,-0.099194281295353,-0.126187027480373,-0.04791884871930865,-0.26180300281952895,-0.3330448316155069,-0.12647199337042284,-94.17374202141328,-119.80029914226868,-45.49352279511613,0.9011935894006976,-0.1096394956215896,-0.2893710081520139,0.8774622219977669,-0.13965020365577055,-0.3685781295453801,0.949816222292612,-0.05283525015634845,-0.13944782869555428,-104.09029070216329,-132.58206098754678,-50.16108945883247,-0.02756800533248493,-0.03553329792987314,-0.01297583532513144,-9.916548680749976,-12.781761845278108,-4.667566663716346,0.9641
06071007408,06071007408,Census Tract 74.08; San Bernardino County; California,2446,1397,659,San Bernardino city,California,54824,0.4688937307523522,0.24149676706220904,06071,2446,1397,659,0.010125,0.009493868073,0.003212018401,0.8602004989842821,0.7959216837763513,0.8937205765594334,-0.1625196697523334,-0.2564050212269293,-0.11891795515071586,-4.024921511168851,-6.3500626544508245,-2.9450923477738415,-164.5511656242376,-259.6100839922659,-120.40442959009982,0.8473438060077998,0.7779601838274003,0.8837347503524523,-0.1801585058034814,-0.2854128280450171,-0.1315612513836065,-4.461760515102569,-7.068462746155882,-3.2582130614535525,-182.41048712602492,-288.9804883955798,-164.5511656242376,-0.4368390039337182,-0.7184000917050577,-0.31312071367971095,-17.859321501787335,-29.370404403313888,-12.801337435801756,0.9106149950114552,0.8820632776973575,0.9397837964523136,-0.09815894255883664,-0.13370551216066778,-0.0640745283915331,-0.4404577966211944,-0.5999619978291463,-0.28751456422791477,-31.528832972168537,-42.946456537519424,-20.580856422900126,0.9021282383149878,0.8710632994283356,0.9339653150703224,-0.10848985491000586,-0.14802219385925616,-0.07070357310293211,-0.4868145601789844,-0.6642036645739511,-0.3172603454188241,-34.84714102927591,-47.545001043232006,-22.710117782306664,-0.04635676355779,-0.0642416667448048,-0.02974578119090931,-3.318308057107373,-4.598544505712584,-2.1292613594065366,0.8820632776973575,0.854121813952719,0.9397837964523136,-0.13370551216066778,-0.17079318624609702,-0.0640745283915331,-0.8365230629438566,-1.068560577493936,-0.4008796636772905,-126.9382493086277,-162.14879779877631,-60.83151193889081,0.8710632994283356,-0.14802219385925616,-0.926094795867658,0.8407595229579594,-0.1894007414650516,-1.1849779849300055,0.9339653150703224,-0.07070357310293211,-0.4423540105217772,-140.53031803758088,-179.81456523975805,-67.12503953289487,-0.08957173292380138,-0.11641740743606954,-0.0414743468444867,-13.59206872895317,-17.66576744098172,-6.293527594004051,0.9957
06071006402,06071006402,Census Tract 64.02; San Bernardino County; California,3381,1832,601,San Bernardino city,California,68143,0.46216718710144206,0.2650979599782253,06071,3381,1832,601,0.010125,0.009493868073,0.003212018401,0.8625657774514606,0.7992412737472027,0.8955535547585448,-0.15933187490303985,-0.25118663518407913,-0.11662780487719192,-5.454348324102674,-8.598777887268387,-3.9924759089340824,-161.32352333932783,-254.32646812388015,-118.08565243815684,0.8499070773826763,0.7815300719575492,0.8857287022021919,-0.17659921491598934,-0.2795412945470351,-0.12901388146697151,-6.04545469951347,-9.569432308243195,-4.4164838240532855,-178.80670510243922,-283.035560728873,-161.32352333932783,-0.5911063754107957,-0.9706544209748104,-0.4240079151192031,-17.483181763111375,-28.70909260499291,-12.540902547151822,0.9121710857590676,0.8840839768728008,0.9408486605281622,-0.09628557143734176,-0.13111426760297093,-0.06287019576414357,-0.5665845218442165,-0.7715311183994656,-0.3699544934254274,-30.927102720754178,-42.11414401743808,-20.194022566890144,0.9038241302374564,0.8732586002116821,0.9351294793033234,-0.10640993811182708,-0.14513615984726078,-0.06937062955710213,-0.6261605244124903,-0.8540417894583383,-0.4082057611635035,-34.179067926445974,-46.6180016079879,-22.281973862636654,-0.05957600256827378,-0.08251067105887266,-0.03825126773807608,-3.2519652056918,-4.503857590549818,-2.0879512957465107,0.8840839768728008,0.8565811372375098,0.9408486605281622,-0.13111426760297093,-0.16743173124850574,-0.06287019576414357,-0.748113717025485,-0.9553344353920904,-0.358725687929386,-124.4781559110624,-158.95747677073052,-59.688134430846254,0.8732586002116821,-0.14513615984726078,-0.8281200360812518,0.843422839302252,-0.18564491427251523,-1.0592554830405192,0.9351294793033234,-0.06937062955710213,-0.3958159586988053,-137.79035542117336,-176.24883245266545,-65.85956051560821,-0.08000631905576683,-0.1039210476484288,-0.03709027076941934,-13.312199510110952,-17.29135568193491,-6.171426084761953,0.7847
