geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06037920017,06037920017,Census Tract 9200.17; Los Angeles County; California,2865,2051,961,Santa Clarita city,California,46154,0.5190721706083222,0.23485279159146352,06037,2865,2051,961,0.009245,0.009493868073,0.003212018401,0.84275952847723,0.7715895067098918,0.8801648478454954,-0.1865780999318815,-0.2960259196163327,-0.13615080453149442,-4.9418801395382514,-7.840816330933833,-3.6062161483153528,-172.49145338702448,-273.67596268529957,-125.8714187893666,0.8284647578025841,0.7518391627891652,0.8690012909568207,-0.2070519482957792,-0.3300717088083179,-0.15074627668152504,-5.484169425614182,-8.742584595827754,-3.9928053244928026,-191.4195261994479,-305.1512947932899,-172.49145338702448,-0.5422892860759303,-0.9017682648939216,-0.3865891761774498,-18.928072812423395,-31.475332107990283,-13.493514002703307,0.8990903776086392,0.8671343550360138,0.9318780969974232,-0.11223523786313425,-0.15322382764833262,-0.07310173210645309,-0.7393888826261052,-1.0094155532039768,-0.4815832268840155,-36.05016492569991,-49.21577538780969,-23.48041086708998,0.889577284673601,0.8548600705241518,0.9253265311893328,-0.12412942329897143,-0.16978209005230133,-0.08069958689576154,-0.8177459890624613,-1.1184988978842816,-0.5316367525857456,-39.87059917418144,-54.53431974082309,-25.920855806228456,-0.07835710643635607,-0.10908334468030478,-0.0500535257017301,-3.820434248481525,-5.318544353013397,-2.4404449391384744,0.8671343550360138,0.8359972669187808,0.9318780969974232,-0.15322382764833262,-0.1961761593858804,-0.07310173210645309,-1.3979540199253586,-1.7898342238025515,-0.6669514907059222,-145.46868053333597,-186.24705762773692,-69.40182005264539,0.8548600705241518,-0.16978209005230133,-1.549025102314279,0.8211553814619407,-0.21779631793882184,-1.98708805843378,0.9253265311893328,-0.08069958689576154,-0.7362713335041352,-161.18887641147543,-206.77295092963377,-76.61512315339596,-0.1510710823889203,-0.19725383463122848,-0.06931984279821302,-15.72019587813947,-20.525893301896826,-7.213303100750574,0.421
06037920115,06037920115,Census Tract 9201.15; Los Angeles County; California,3013,2194,1133,Santa Clarita city,California,114378,0.4874239540067079,0.25369240630355816,06037,3013,2194,1133,0.009245,0.009493868073,0.003212018401,0.8537181410540391,0.7868480409765136,0.8886904840658283,-0.17134678521104718,-0.2708934227744346,-0.12525116216494409,-4.772896401208983,-7.54578640666509,-3.4888942935695177,-158.4101029276131,-250.44096935496484,-115.7946994214908,0.8403224398772913,0.7682099973152855,0.8782650140230386,-0.1900193932058101,-0.30172739679874827,-0.13860848836427414,-5.293025351335583,-8.40467245739754,-3.8609650859572033,-175.6729290187714,-278.94697834044274,-158.4101029276131,-0.5201289501266002,-0.8588860507324503,-0.3720707923876856,-17.26282609115832,-28.50600898547794,-12.348848071280637,0.9063420051910092,0.8765205280677753,0.9368565473702368,-0.10333626188852688,-0.14087459218374054,-0.06739927559561538,-0.7282280364402485,-0.9927669704266346,-0.474974043259248,-33.19179746765034,-45.249178232754545,-21.648771342718685,0.8974728493511052,0.865044204545482,0.9307657757401536,-0.11423983547025904,-0.15601028796606695,-0.07438415341903881,-0.80506735532496,-1.0994307670289412,-0.5241976533373228,-36.69404536576846,-50.11079156923159,-23.892326952475972,-0.07683931888471152,-0.10666379660230652,-0.04922361007807485,-3.5022478981181187,-4.861613336477052,-2.2435556097572857,0.8765205280677753,0.8473833485354434,0.9368565473702368,-0.14087459218374054,-0.1801034345651567,-0.06739927559561538,-1.515324950503114,-1.9372920541408052,-0.7249838482063728,-133.74447930301096,-170.98782472557858,-63.98798307205409,0.865044204545482,-0.15601028796606695,-1.678132857213996,0.8334660577701084,-0.19980890724625763,-2.149255006098697,0.9307657757401536,-0.07438415341903881,-0.8001170534066718,-148.1141091980579,-189.69594052062635,-70.61933392821463,-0.16280790671088186,-0.2119629519578916,-0.07513320520029898,-14.369629895046945,-18.708115795047803,-6.631350856160545,0.4975
06037920029,06037920029,Census Tract 9200.29; Los Angeles County; California,2576,1955,933,Santa Clarita city,California,39893,0.41449360082657255,0.23697353508828223,06037,2576,1955,933,0.009245,0.009493868073,0.003212018401,0.8795168463757075,0.8231686443192004,0.9086527614396772,-0.1369878861567879,-0.21481789533789575,-0.10053041429774733,-3.2623829473702424,-5.115913955619429,-2.394143880150568,-126.6453007519504,-198.59914423988465,-92.9403680182674,0.8682975560601786,0.8073051093244439,0.899990128328305,-0.15167892967176982,-0.2386890513263368,-0.11112329849379482,-3.612251911604759,-5.684408400022869,-2.646414688425543,-140.2271704815512,-220.66802795119833,-126.6453007519504,-0.3498689642345165,-0.5684944444034405,-0.2522708082749747,-13.581869729600797,-22.068883711313685,-9.793121439245914,0.9232761682744538,0.898538731286934,0.94843041887014,-0.08309954741812334,-0.11291808041234676,-0.05437360517316037,-0.5218232734495881,-0.7090686313360585,-0.34143883477427933,-26.69172754217842,-36.26949520900555,-17.46490203448999,0.9159352814877404,0.8889769126855395,0.9434220489939024,-0.09178019474881936,-0.12488860591336085,-0.05997098654460555,-0.576333363414017,-0.784237498025802,-0.37658756856096,-29.479967438057137,-40.11445002689524,-19.262791230739644,-0.05451008996442885,-0.07516886668974354,-0.03514873378668071,-2.788239895878714,-3.844954817889695,-1.7978891962496526,0.898538731286934,0.8742154351291332,0.94843041887014,-0.11291808041234676,-0.14388280029886075,-0.05437360517316037,-1.0002033914723134,-1.2744820343024394,-0.48162937327816074,-107.20293584912255,-136.6004324011189,-51.62158341673748,0.8889769126855395,-0.12488860591336085,-1.106235659822059,0.8625421303731408,-0.1593636586393689,-1.411608054852339,0.9434220489939024,-0.05997098654460555,-0.5312097399531797,-118.56759483623354,-151.2977550752775,-56.93566344621432,-0.10603226834974566,-0.13712602054989964,-0.04958036667501891,-11.364658987111005,-14.69732267415859,-5.31408002947684,0.661
06037920328,06037920328,Census Tract 9203.28; Los Angeles County; California,1278,951,431,Santa Clarita city,California,76799,0.5568741086560299,0.28737762134689543,06037,1278,951,431,0.009245,0.009493868073,0.003212018401,0.8298543100988861,0.7537513806650457,0.870088600642858,-0.2050307961657019,-0.3266974040136227,-0.1493082420125468,-2.422461410085346,-3.859965765135393,-1.7640933032848618,-189.55097105519135,-302.0317500105941,-138.03546974059952,0.814520537860144,0.7327417421411541,0.8580642867925247,-0.22771612687279283,-0.36473731805954873,-0.16541384531692394,-2.690491087776003,-4.309411533978555,-1.954382777942441,-210.52355929389697,-337.1996505460528,-189.55097105519135,-0.2680296776906572,-0.44944576884316145,-0.19028947465757917,-20.972588238705573,-35.16790053545864,-14.889630254896648,0.8905047336163093,0.8560547570813148,0.9259662897548022,-0.12295865732126332,-0.1681495742275422,-0.07995292168228074,-0.37559314185412185,-0.5136346497387612,-0.24422655312999497,-39.49454698781513,-54.0099526539181,-25.681025565719768,0.880237477921757,0.842852733189247,0.9188713146034714,-0.13605705855765496,-0.1864468852300304,-0.08829167273715449,-0.4156039046651393,-0.5695261556857611,-0.2696983480899566,-43.70177756731223,-59.88708261679928,-28.359447748681024,-0.04001076281101745,-0.05589150594699998,-0.0254717949599616,-4.207230579497104,-5.877129962881177,-2.678422182961262,0.8560547570813148,0.8225975913550067,0.9259662897548022,-0.1681495742275422,-0.2156612303626746,-0.07995292168228074,-0.6880440358006321,-0.8824549451648847,-0.3271559334065665,-159.63898742474063,-204.7459269524094,-75.90624905024745,0.842852733189247,-0.1864468852300304,-0.7629140184591383,0.8066890778670319,-0.23963498135378483,-0.9805521093175672,0.9188713146034714,-0.08829167273715449,-0.3612769114446563,-177.01021309956806,-227.50628986486475,-83.82294929110354,-0.0748699826585062,-0.09809716415268256,-0.03412097803808978,-17.371225674827425,-22.760362912455346,-7.916700240856096,0.3654
06037920046,06037920046,Census Tract 9200.46; Los Angeles County; California,2504,1334,701,Santa Clarita city,California,0,NA,NA,06037,2504,1334,701,0.009245,0.009493868073,0.003212018401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8169
06037920340,06037920340,Census Tract 9203.40; Los Angeles County; California,1612,1012,279,Santa Clarita city,California,53022,0.4860259099702541,0.23852583918342593,06037,1612,1012,279,0.009245,0.009493868073,0.003212018401,0.8542055051316878,0.7875289947338298,0.8890689985059036,-0.17067847724282215,-0.2697945176456411,-0.12477209494484448,-2.543611105641144,-4.020731508801931,-1.8594710446373208,-157.7922522109891,-249.4250315633952,-115.35180177650872,0.8408501434633786,0.7689413353822963,0.878676504167433,-0.1892725567972182,-0.3004893273201756,-0.13807527031523834,-2.8207175575955348,-4.478174415692937,-2.0577274689917777,-174.98247875902825,-277.8023831075023,-157.7922522109891,-0.27710645195439065,-0.4574429068910062,-0.19825642435445712,-17.190226548039124,-28.37735154410708,-12.2987856299291,0.9066636876442008,0.8769374926766106,0.9370770802681628,-0.10294480040147698,-0.14033213125347732,-0.067148072508433,-0.33462852029493806,-0.45615838049176893,-0.21826901462263423,-33.06605931768162,-45.074938783771636,-21.5680844488769,0.8978232436039395,0.8654968711097343,0.9310067876423104,-0.11380498012717316,-0.15540567895734472,-0.07410602508324214,-0.3699302145774466,-0.5051558912360604,-0.24088627518664943,-36.55436902939196,-49.91659004308898,-23.80299161923413,-0.03530169428250857,-0.04899751074429148,-0.02261726056401519,-3.488309711710333,-4.841651259317341,-2.234907170357233,0.8769374926766106,0.8478898840433814,0.9370770802681628,-0.14033213125347732,-0.17939843229552677,-0.067148072508433,-0.371710232606038,-0.47518862859197425,-0.17786108874861298,-133.22947405234336,-170.31850487167534,-63.7494941751301,0.8654968711097343,-0.15540567895734472,-0.4116368828546704,0.8340141120203602,-0.19902047889519123,-0.5271632935572871,0.9310067876423104,-0.07410602508324214,-0.1962912383297696,-147.5401013816023,-188.9474170456226,-70.35528255547297,-0.0399266502486324,-0.05197466496531283,-0.0184301495811566,-14.310627329258924,-18.628912173947253,-6.605788380342869,0.7648
06037920331,06037920331,Census Tract 9203.31; Los Angeles County; California,2312,1855,707,Santa Clarita city,California,58358,0.4891913173752386,0.22233896604267697,06037,2312,1855,707,0.009245,0.009493868073,0.003212018401,0.8531024286215545,0.7859880432162744,0.888212208617034,-0.17219218519375573,-0.27228398527283654,-0.1258570759312373,-3.68051153089282,-5.819917706175128,-2.690124518067676,-159.19167521162717,-251.72654438473737,-116.35486669842888,0.8396558075127682,0.767286458080686,0.8777450968799184,-0.1909641915801237,-0.303294212309482,-0.13928292343033946,-4.081752655077859,-6.482743943356285,-2.977094489886385,-176.54639511582437,-280.3954992801161,-159.19167521162717,-0.4012411241850393,-0.6628262371811564,-0.2869699718187091,-17.354719904197204,-28.66895489537874,-12.412196012919944,0.9059355076701786,0.8759936982266131,0.936577830881615,-0.1038313340556988,-0.14156072358103583,-0.06771692327874641,-0.618657628614409,-0.843460428897155,-0.4034773467344639,-33.35081555872825,-45.46956490011617,-21.750800363043876,0.8970300876405001,0.8644722964990265,0.9304611853508792,-0.11478980892418723,-0.15677506850114098,-0.07473585759829136,-0.6839514451393212,-0.9341119709850642,-0.4452982219165221,-36.870697851176345,-50.35644048437003,-24.00529498202275,-0.06529381652491217,-0.09065154208790915,-0.04182087518205818,-3.5198822924480955,-4.886875584253863,-2.2544946189788777,0.8759936982266131,0.8467434353060888,0.936577830881615,-0.14156072358103583,-0.18099527944791283,-0.06771692327874641,-0.9501788956357192,-1.2148701305743768,-0.4545271438939419,-134.39588339967742,-171.83453049142528,-64.2895535917881,0.8644722964990265,-0.15677506850114098,-1.0523000849621569,0.8327737401829837,-0.2008063556137974,-1.347845337231042,0.9304611853508792,-0.07473585759829136,-0.5016393872590098,-148.84018174853702,-190.6429048417315,-70.95323723606927,-0.10212118932643732,-0.13297520665666518,-0.04711224336506792,-14.444298348859592,-18.80837435030625,-6.663683644281176,0.267
06037920110,06037920110,Census Tract 9201.10; Los Angeles County; California,2143,1672,824,Santa Clarita city,California,31487,0.5362771900748902,0.2304396802149596,06037,2143,1672,824,0.009245,0.009493868073,0.003212018401,0.8368612016444444,0.7634189829268566,0.8755643977771538,-0.1949412854066904,-0.3098966915469146,-0.14212044543925964,-3.862183569422339,-6.139684099311676,-2.815695239258202,-180.22321835848527,-286.49949133512257,-131.3903518085955,0.8220888862170327,0.7430862928005842,0.8640062883802342,-0.2164134764084361,-0.3457387246791289,-0.15739898360544957,-4.28759136907561,-6.849787714198265,-3.118394172155593,-200.07425893959913,-319.63545096585466,-180.22321835848527,-0.4254077996532706,-0.7101036148865889,-0.3026989328973908,-19.851040581113885,-33.1359596307321,-14.125008534642593,0.8951725266201451,0.8620739623107695,0.9291827556785748,-0.11710309494824012,-0.15999327635360072,-0.07621454863280133,-0.6289015585571973,-0.8592430533277211,-0.4093098345614853,-37.61372957877974,-51.39013476840437,-24.480253263246727,0.8853141782309941,0.8493740353965255,0.9223829264175064,-0.12954251110963494,-0.1773376137323949,-0.08414842833654217,-0.6957073779499354,-0.95239072644846,-0.45191869398824386,-41.60929293958944,-56.96116784978828,-27.028630023220327,-0.06680581939273811,-0.0931476731207389,-0.04260885942675857,-3.995563360809696,-5.571033081383906,-2.548376759973599,0.8620739623107695,0.8298717405897169,0.9291827556785748,-0.15999327635360072,-0.20500548589519133,-0.07621454863280133,-1.2516189680129273,-1.603747110760092,-0.59622239684956,-151.89550582681156,-194.62950373302087,-72.35708699630582,0.8493740353965255,-0.1773376137323949,-1.387302805144536,0.8145393571375215,-0.2276877614781315,-1.7811893571114992,0.9223829264175064,-0.08414842833654217,-0.6582887195941991,-168.36199091559902,-216.1637569310072,-79.88940771774261,-0.1356838371316087,-0.17744224635140715,-0.06206632274463908,-16.466485088787465,-21.534253197986303,-7.532320721436781,0.0491
06037930400,06037930400,Census Tract 9304; Los Angeles County; California,1009,698,349,Santa Clarita city,California,410799,0.7516210566464733,0.19356692787051985,06037,1009,698,349,0.009245,0.009493868073,0.003212018401,0.7664355160199608,0.6681830209513014,0.8199773101479138,-0.3047412066613524,-0.49659594548853714,-0.21954594063049424,-2.842688447684461,-4.6323487816858995,-2.04796954111908,-281.7332455584203,-459.10295160415257,-202.97022211289195,0.7463167408938554,0.6417782272036264,0.803862961180421,-0.33991366561375935,-0.558170653992466,-0.2439931285446519,-3.170784355146598,-5.206730285425792,-2.276017921655865,-314.2501838599205,-516.0287696160349,-281.7332455584203,-0.32809590746213724,-0.5743815037398923,-0.228048380536785,-32.51693830150022,-56.925818011882285,-22.601425226638753,0.8475555964216176,0.8011792346283039,0.8960991212375323,-0.1798636033105122,-0.24816015790016863,-0.11594797528534376,-0.40325219204546375,-0.5563723055121442,-0.2599540670623018,-57.77252035035298,-79.70949935704071,-37.24270301752175,0.8336524204694716,0.7836148416899857,0.886322259631912,-0.19954069039570432,-0.27613713625350234,-0.12825779690481667,-0.4473680017708739,-0.6190963788662942,-0.2875525498035344,-64.09283692992463,-88.69575628456937,-41.1966403729992,-0.04411580972541013,-0.06272407335414998,-0.02759848274123261,-6.320316579571651,-8.98625692752865,-3.9539373554774513,0.8011792346283039,0.7568943577878616,0.8960991212375323,-0.24816015790016863,-0.32118833983998957,-0.11594797528534376,-0.8222439302275882,-1.064212584034336,-0.3841773784609908,-235.59998000790495,-304.931972502675,-110.0794780690518,0.7836148416899857,-0.27613713625350234,-0.9149417300347248,0.7361033506957727,-0.35850488800898594,-1.1878557404887502,0.886322259631912,-0.12825779690481667,-0.424964248498637,-262.1609541646776,-340.3598110282952,-121.76626031479572,-0.09269779980713666,-0.12364315645441426,-0.04078687003764619,-26.56097415677268,-35.42783852562013,-11.686782245743895,0.7186
06037920039,06037920039,Census Tract 9200.39; Los Angeles County; California,1087,794,373,Santa Clarita city,California,0,NA,NA,06037,1087,794,373,0.009245,0.009493868073,0.003212018401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1244
06037920343,06037920343,Census Tract 9203.43; Los Angeles County; California,2612,1603,340,Santa Clarita city,California,48017,0.5804315591720245,0.25618485826012716,06037,2612,1603,340,0.009245,0.009493868073,0.003212018401,0.8219121650885588,0.7428441850464317,0.8638677012722039,-0.21667502012487275,-0.34617732780326566,-0.15758466085410563,-5.232255385474219,-8.35946934115359,-3.8053449352252913,-200.3160561054449,-320.04093955411906,-145.68701895962064,0.8059497210644111,0.721086725788849,0.85131828281632,-0.2407721894602908,-0.386795740700992,-0.1746488007890692,-5.814152384755734,-9.340320338703112,-4.217408762526396,-222.5938891560388,-357.5926622780671,-200.3160561054449,-0.5818969992815148,-0.9808509975495224,-0.4120638273011043,-22.277833050593983,-37.551722723948025,-15.775797369873828,0.8851958392275482,0.8492218772482594,0.9223011472866042,-0.12969351603892965,-0.17754856156121204,-0.08424455823565292,-0.6677744698919114,-0.914173662629528,-0.4337638991929644,-41.65779600074306,-57.028924680569446,-27.05950712370333,0.8744667488299492,0.835455439727151,0.9148713421360368,-0.1435540589027728,-0.19695192879058537,-0.09304986826366791,-0.7391405408105125,-1.0140789906786465,-0.4791012561848643,-46.10982787339442,-63.26132193878019,-29.887788907352732,-0.07136607091860114,-0.09990532804911834,-0.04533735699189994,-4.45203187265135,-6.232397258210751,-2.828281783649404,0.8492218772482594,0.8143560139822134,0.9223011472866042,-0.17754856156121204,-0.22796416165699412,-0.08424455823565292,-0.5731116908044425,-0.735848969888806,-0.2719342853975345,-168.5622620013066,-216.4261676143547,-79.98067217574544,0.835455439727151,-0.19695192879058537,-0.6357441137446407,0.7978031353857642,-0.2534420531156059,-0.8180894415861392,0.9148713421360368,-0.09304986826366791,-0.3003570789917996,-186.9835628660708,-240.6145416429821,-88.34031735052929,-0.06263242294019822,-0.08224047169733317,-0.02842279359426508,-18.42130086476418,-24.188374028627404,-8.359645174783848,0.848
