geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04013216806,04013216806,Census Tract 2168.06; Maricopa County; Arizona,1916,1592,864,Scottsdale city,Arizona,70532,0.4310197541910621,0.2277394447360601,04013,1916,1592,864,0.010697,0.00781773244399999,0.00314654663299999,0.8736033267403563,0.814794121513912,0.9040903365737204,-0.14468428563712418,-0.22730389627992156,-0.10608415945441203,-2.9653698314299684,-4.658696095618111,-2.174242798058248,-154.76878034603175,-243.14697785063208,-113.47822536838454,0.8618778251671443,0.7982752707324946,0.8950205562276904,-0.1602572554945008,-0.25270071197671384,-0.1172927739389297,-3.284544887639277,-5.179215312684564,-2.4039684182121848,-171.42718620246748,-270.3139516014908,-154.76878034603175,-0.31917505620930875,-0.520519217066453,-0.22972562015393683,-16.65840585643574,-27.166973750858716,-11.98985491408856,0.9194113400932552,0.8935013903930715,0.9457952918385824,-0.08765245368691096,-0.11919243859271143,-0.0573112476126267,-0.4390776325721991,-0.5970709496020651,-0.2870893610279954,-27.580253302273817,-37.50445663329555,-18.03325132085398,0.9117186561185454,0.8834963424341502,0.9405391169738818,-0.0968295902348804,-0.1318665986153001,-0.06322000005425545,-0.4850486832363055,-0.6605596477899909,-0.3166880878678918,-30.467882112833266,-41.4924401878135,-19.89246783089773,-0.04597105066410639,-0.0634886981879258,-0.02959872683989639,-2.887628810559447,-3.987983554517952,-1.8592165100437432,0.8935013903930715,0.8680617315976878,0.9457952918385824,-0.11919243859271143,-0.15199180380809635,-0.0573112476126267,-0.8050878094455802,-1.0266318050566787,-0.3871100158853898,-93.1814594265718,-118.82312558526374,-44.80439998673493,0.8834963424341502,-0.1318665986153001,-0.8906956873413899,0.8558657987877549,-0.1684074786215271,-1.137511822549031,0.9405391169738818,-0.06322000005425545,-0.42702080734123304,-103.0897786274757,-131.6564609431749,-49.42370455338345,-0.0856078778958097,-0.11088001749235232,-0.03991079145584325,-9.908319200903902,-12.83333535791115,-4.619304566648524,0.1035
04013218200,04013218200,Census Tract 2182; Maricopa County; Arizona,5688,2134,898,Scottsdale city,Arizona,79700,0.35949987062630495,0.2038870625620748,04013,5688,2134,898,0.010697,0.00781773244399999,0.00314654663299999,0.8994848908875537,0.8516611073578277,0.9240014814724123,-0.11174741246989096,-0.17417596196493598,-0.08224934705351616,-6.799219460931129,-10.597655588110175,-5.004423357774158,-119.53620711904234,-186.316026513892,-87.98212654314624,0.8900066670079385,0.838095475964788,0.9167268134969114,-0.12358708880444869,-0.19318147953111536,-0.09083751590666124,-7.519599073897475,-11.75403748586421,-5.526966506733422,-132.20110889411876,-206.64622865443403,-119.53620711904234,-0.7203796129663464,-1.1563818977540326,-0.5225431489592642,-12.664901775076416,-20.330202140542063,-9.186764222209288,0.9362544385878238,0.915506770814286,0.9572522551222844,-0.06808572412038472,-0.09229121168657516,-0.04465671890452184,-0.4571772893748995,-0.619710615361743,-0.2998578331200213,-21.42349059863634,-29.03986013878833,-14.051444850985066,0.9301077831575602,0.9074604717852478,0.953079301719566,-0.07514421243220595,-0.101976373728653,-0.049230634004724,-0.5045731362308,-0.6847438684666788,-0.33057044041555383,-23.644476861799436,-32.08734154014427,-15.490648566801958,-0.04739584685590053,-0.0650332531049358,-0.03071260729553254,-2.220986263163099,-3.0474814013559417,-1.439203715816895,0.915506770814286,0.8950088309139015,0.9572522551222844,-0.09229121168657516,-0.11730741134575295,-0.04465671890452184,-0.6479141839085931,-0.8235360041282133,-0.3135046236397767,-72.15079998982105,-91.70779555993464,-34.91142802224685,0.9074604717852478,-0.101976373728653,-0.7159071568671238,0.8851360976038158,-0.1297697638895718,-0.9110257534819328,0.953079301719566,-0.049230634004724,-0.3456149883782835,-79.72240054199597,-101.45052934097248,-38.48719246974204,-0.06799297295853068,-0.08748974935371967,-0.03211036473850681,-7.571600552174909,-9.742733781037826,-3.575764447495191,0.4756
04013218000,04013218000,Census Tract 2180; Maricopa County; Arizona,3773,2222,915,Scottsdale city,Arizona,80365,0.3186089215071819,0.1664196929034139,04013,3773,2222,915,0.010697,0.00781773244399999,0.00314654663299999,0.9146255595855745,0.8734842742255535,0.9355819424301332,-0.0933435978468715,-0.144840301660402,-0.06885346397616829,-3.767327166851805,-5.84572285498776,-2.7789107271695412,-99.84964661679844,-154.935670686132,-73.65255041530722,0.906499705054804,0.8617486259960481,0.9293729203283332,-0.10314431921358788,-0.16043120909436293,-0.07599433782373964,-4.162882134854498,-6.474968464613696,-3.0671148318061485,-110.33347826277492,-171.61326436824,-99.84964661679844,-0.39555496800269285,-0.6292456096259356,-0.2882041046366073,-10.483831645976489,-16.677593682108018,-7.638592754747079,0.9460226309039416,0.9283308395147644,0.9638649375290436,-0.0570571647366218,-0.07720217559797647,-0.03748975718900189,-0.3989223917501879,-0.5397687859189306,-0.2621143842847021,-17.953302959054366,-24.29202456880876,-11.796326925504143,0.9407878031756016,0.9214527191189666,0.9603240393031752,-0.06293895033984215,-0.08524287709100818,-0.04131518016107782,-0.44004564053812634,-0.5959863685092329,-0.28886031336338897,-19.80403422763845,-26.82206878979446,-13.00001410276278,-0.04112324878793838,-0.05621758259030229,-0.02674592907868689,-1.8507312685840855,-2.530044220985702,-1.203687177258636,0.9283308395147644,0.9107898416651148,0.9638649375290436,-0.07720217559797647,-0.09794812618000902,-0.03748975718900189,-0.5522445469215125,-0.700645003137813,-0.2681726753511402,-60.35459529196858,-76.57322438664623,-29.308489109414232,0.9214527191189666,-0.08524287709100818,-0.6097614953566652,0.902318778972251,-0.10825577756345577,-0.774377954625072,0.9603240393031752,-0.04131518016107782,-0.2955367873030913,-66.64060058542789,-84.63147045082754,-32.299102437496316,-0.05751694843515276,-0.073732951487259,-0.02736411195195109,-6.2860052934593185,-8.058246064181311,-2.9906133280820875,0.3204
04013103220,04013103220,Census Tract 1032.20; Maricopa County; Arizona,1995,1416,616,Scottsdale city,Arizona,73483,0.4032659101017983,0.21654613895959796,04013,1995,1416,616,0.010697,0.00781773244399999,0.00314654663299999,0.883557247370258,0.8289072547053246,0.911765551401106,-0.1317885773404179,-0.20640758579860505,-0.09677317646329638,-2.812436111561849,-4.404844180848918,-2.0651894239126234,-140.97424118104507,-220.7941945287678,-103.51826686278812,0.8726863094419604,0.8134980846057199,0.9033821342622774,-0.14588711794900328,-0.2292591942421996,-0.10695126909568888,-3.1133062288974735,-4.892509273613574,-2.2823951624055847,-156.0554500700488,-245.23856008088092,-140.97424118104507,-0.3008701173356245,-0.4876650927646562,-0.21720573849296132,-15.081208889003737,-24.44436555211309,-10.887505688870242,0.9259111548825252,0.9019772379412662,0.9502248829467492,-0.08001722921987554,-0.1086754276443468,-0.05238246013816531,-0.3565175675482446,-0.4842044581369227,-0.23339057666361707,-25.177794318378854,-34.19523009441544,-16.482385357600077,0.9188111311253804,0.892719735161049,0.9453857215069008,-0.08836295743955323,-0.120172390744333,-0.05776930754364098,-0.39370204335810144,-0.535429292570216,-0.257391729321334,-27.80381662133485,-37.812803147614126,-18.177382014218495,-0.03718447580985684,-0.05122483443329329,-0.0240011526577169,-2.6260223029559917,-3.6175730531986785,-1.6949966566184254,0.9019772379412662,0.8784210626936259,0.9502248829467492,-0.1086754276443468,-0.13840621823611512,-0.05238246013816531,-0.523350776601443,-0.666526034177586,-0.2522594278011017,-84.95954165607841,-108.20227827558216,-40.95120581186716,0.892719735161049,-0.120172390744333,-0.5787169683649306,0.8671076440033606,-0.15325935241798463,-0.7380546168346169,0.9453857215069008,-0.05776930754364098,-0.27820099374842294,-93.94755979950172,-119.8140611744508,-45.162498985133595,-0.05536619176348756,-0.07152858265703088,-0.02594156594732122,-8.988018143423306,-11.611782898868649,-4.211293173266432,0.1224
04013216840,04013216840,Census Tract 2168.40; Maricopa County; Arizona,2952,2626,1046,Scottsdale city,Arizona,208381,0.42485897278997414,0.13975695994440315,04013,2952,2626,1046,0.010697,0.00781773244399999,0.00314654663299999,0.8758031638717138,0.8179060511025703,0.9057884776679656,-0.14180907451766,-0.22263430946862384,-0.10401051090271143,-4.477982290180687,-7.030244703155086,-3.28439648449285,-151.69316701154088,-238.15192083858693,-111.26004351263042,0.8642654675363393,0.8016296338003392,0.8968699457862843,-0.15705189847580436,-0.2474588735688738,-0.1149888617611127,-4.959313234403245,-7.814143468311549,-3.631065841771454,-167.99841579956794,-264.7067570566243,-151.69316701154088,-0.48133094422255773,-0.7838987651564633,-0.34666935727860393,-16.305248788027022,-26.554836218037373,-11.74354191323184,0.9208502136171466,0.8953759496845829,0.9467767832837286,-0.0859529434998435,-0.11684929704921532,-0.05621516882963272,-0.7102146854803792,-0.96550604753359,-0.46449646543677375,-27.045494496587175,-36.767176219862534,-17.688365020440738,0.9132882968441544,0.8855354818348038,0.9416128132458648,-0.09494450268932147,-0.12926022786577568,-0.06200763831246831,-0.7845104236099867,-1.0680554771109283,-0.5123586645005471,-29.874730525894392,-40.67233347718692,-19.510992555237895,-0.07429573812960744,-0.10254942957733848,-0.04786219906377337,-2.829236029307214,-3.90515725732439,-1.8226275347971581,0.8953759496845829,0.8703506890292189,0.9467767832837286,-0.11684929704921532,-0.14896215123973852,-0.05621516882963272,-0.9555173814678554,-1.218115369837986,-0.4596910060677577,-91.3496540600244,-116.45462426749388,-43.94751492043572,0.8855354818348038,-0.12926022786577568,-1.0570058834519422,0.8583486041344476,-0.16502781641777428,-1.3494899070420083,0.9416128132458648,-0.06200763831246831,-0.5070580455985162,-101.05218771051074,-129.01433145717098,-48.47591258112009,-0.10148850198408688,-0.13137453720402248,-0.04736703953075855,-9.702533650486318,-12.5597071896771,-4.528397660684373,0.2308
04013216836,04013216836,Census Tract 2168.36; Maricopa County; Arizona,2312,1870,963,Scottsdale city,Arizona,112806,0.4418370220891414,0.1920364916219562,04013,2312,1870,963,0.010697,0.00781773244399999,0.00314654663299999,0.8697541526527304,0.8093587289893042,0.9011163928913428,-0.1497501873949354,-0.23554607392541657,-0.10973455581179371,-3.7035413685510985,-5.825399247627779,-2.713896216615367,-160.18777545636237,-251.9636352780181,-117.38305435187574,0.8577014851240902,0.7924195114536243,0.8917825692163784,-0.165906807139692,-0.26195782101022147,-0.1213495694120975,-4.103118228130236,-6.478600419832736,-3.0011525073307905,-177.47051159732854,-280.2162811346339,-160.18777545636237,-0.39957685957913736,-0.6532011722049571,-0.28725629071542347,-17.28273614096615,-28.252645856615793,-12.42458004824496,0.9168903641146148,0.8902194781266478,0.944074423431875,-0.09064293740903148,-0.12331849006985462,-0.059238525247645,-0.533346869182985,-0.7256112000688171,-0.3485619826426835,-28.521222950961764,-38.802737971594496,-18.639678216186283,0.908969162066454,0.8799273196537305,0.9386568530077352,-0.10014733363076483,-0.13645749786871098,-0.0653520472318539,-0.5892711376724461,-0.8029216764721626,-0.3845342040110775,-31.511825543981075,-42.93698804663971,-20.56332641770468,-0.05592426848946108,-0.07731047640334554,-0.03597222136839401,-2.990602593019309,-4.134250075045216,-1.923648201518396,0.8902194781266478,0.8640572722446002,0.944074423431875,-0.12331849006985462,-0.1573306910573825,-0.059238525247645,-0.928400335215919,-1.184460385743339,-0.445975835954988,-96.40709607641942,-122.99692479162398,-46.31109407632274,0.8799273196537305,-0.13645749786871098,-1.027317044607617,0.8515237838503348,-0.17436531893249108,-1.3127051787226458,0.9386568530077352,-0.0653520472318539,-0.492001341589012,-106.67882083152826,-136.31414109269426,-51.09048199262845,-0.09891670939169794,-0.1282447929793069,-0.04602550563402402,-10.27172475510882,-13.317216301070292,-4.779387916305714,0.0717
04013613000,04013613000,Census Tract 6130; Maricopa County; Arizona,3964,3148,1489,Scottsdale city,Arizona,242229,0.4113509285763611,0.15952200020043808,04013,3964,3148,1489,0.010697,0.00781773244399999,0.00314654663299999,0.8806459039316784,0.8247708869236356,0.9095229703340436,-0.13553017794718686,-0.21245792723111548,-0.0994774542447527,-5.7468736667181926,-9.008833942251684,-4.218133340414457,-144.97663135010578,-227.26624475912425,-106.41103280561194,0.8695237553126314,0.8090337792732214,0.9009382777568956,-0.1500548362137119,-0.23604233298927163,-0.10995394988627018,-6.362761414925095,-10.00888132984945,-4.662367221264124,-160.51365829780764,-252.49448359862384,-144.97663135010578,-0.6158877482069025,-1.0000473875977658,-0.44423388084966664,-15.53702694770188,-25.22823883949964,-11.206707387731246,0.9240129541610907,0.8994998588592062,0.9489323542240262,-0.08223590967715134,-0.11172891262957328,-0.05381589693791557,-0.8145737245755352,-1.1067116161388186,-0.5330641538737769,-25.875912470633267,-35.1560233843335,-16.933422931187323,0.916739334105246,0.8900229582946065,0.9439712767906436,-0.09082261750666332,-0.1235665222795185,-0.05935426700677296,-0.8996278889422591,-1.2239670319356757,-0.5879235304256764,-28.577760131583833,-38.88078246301384,-18.676096900434448,-0.08505416436672386,-0.11725541579685704,-0.05485937655189943,-2.7018476609505675,-3.724759078680339,-1.7426739692471231,0.8994998588592062,0.8753905725014924,0.9489323542240262,-0.11172891262957328,-0.1423472349518536,-0.05381589693791557,-1.3005919835984168,-1.65700773692823,-0.6264495241233146,-87.34667451970563,-111.28325969967965,-42.07182834945027,0.8900229582946065,-0.1235665222795185,-1.4383889052128755,0.8638176065370737,-0.15765179180459496,-1.835162016664172,0.9439712767906436,-0.05935426700677296,-0.6909194947354761,-96.60100102168406,-123.24795276455151,-46.40157788686878,-0.13779692161445878,-0.17815427973594233,-0.06446997061216153,-9.254326501978428,-11.964693064871884,-4.329749537418505,0.0024
04013216858,04013216858,Census Tract 2168.58; Maricopa County; Arizona,0,0,0,Scottsdale city,Arizona,42472,0.39564381496860446,0.14295814604119578,04013,0,0,0,0.010697,0.00781773244399999,0.00314654663299999,0.8863107094862497,0.8328257818900148,0.9138847925444652,-0.1282725000351743,-0.20073131949709827,-0.09422982870277366,-0,-0,-0,NA,NA,NA,0.8756783182108675,0.8177293341455497,0.9056921333798598,-0.14197186250213317,-0.22289852918741873,-0.1041279515901307,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.9277042412766712,0.9043190178828469,0.9514450176186484,-0.07792974905864185,-0.10580445641976824,-0.05103288312222046,-0,-0,-0,NA,NA,NA,0.9207685909509248,0.895269585287948,0.9467211202544406,-0.08604920913652041,-0.1169819866921619,-0.05627726962639243,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.9043190178828469,0.8812876430131477,0.9514450176186484,-0.10580445641976824,-0.13470330365801045,-0.05103288312222046,-0,-0,-0,NA,NA,NA,0.895269585287948,-0.1169819866921619,-0,0.8702207783392056,-0.14913367376549516,-0,0.9467211202544406,-0.05627726962639243,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
04013103219,04013103219,Census Tract 1032.19; Maricopa County; Arizona,2529,1979,1068,Scottsdale city,Arizona,84350,0.43653102963487106,0.22842541711597383,04013,2529,1979,1068,0.010697,0.00781773244399999,0.00314654663299999,0.8716400922865556,0.8120203047988294,0.902573921575094,-0.1472625098929542,-0.23149629891058068,-0.1079424921283861,-3.983850415793751,-6.262602934990152,-2.920137260053988,-157.52670683249312,-247.6315909446482,-115.4660838297346,0.8597474924100413,0.7952864406271756,0.8933693721290071,-0.16313220896615038,-0.2574085875415958,-0.11935782801337728,-4.413168830217293,-6.963600642498166,-3.2289530655492555,-174.50252393109105,-275.34996609324503,-157.52670683249312,-0.429318414423542,-0.700997707508014,-0.30881580549526744,-16.975817098597943,-27.71837514859684,-12.210984796175069,0.9181260664776976,0.8918277842165632,0.9449181372795652,-0.08917504524885568,-0.12129271782944284,-0.05829273515589021,-0.5552944145449353,-0.7552916687365382,-0.3629897820660585,-28.059343837540947,-38.16531928936525,-18.342080953312703,0.9103167824010996,0.8816761605817861,0.9395796536459188,-0.09851869078184776,-0.13420328767893225,-0.06430572024375784,-0.6134774427842714,-0.8356859910046921,-0.400432735133444,-30.99936547671912,-42.22769029836746,-20.234094751563617,-0.05818302823933607,-0.0803943222681539,-0.03744295306738549,-2.9400216391781746,-4.062371009002218,-1.8920137982509089,0.8918277842165632,0.8660191913265769,0.9449181372795652,-0.12129271782944284,-0.1547088217158213,-0.05829273515589021,-1.012713928443112,-1.2917162827940412,-0.486705763345386,-94.82340153961724,-120.94721749007876,-45.571700687770225,0.8816761605817861,-0.13420328767893225,-1.1205086431192297,0.8536508318881614,-0.17143914425542567,-1.4314034047120092,0.9395796536459188,-0.06430572024375784,-0.5369102097373533,-104.9165396179054,-134.0265360217237,-50.27249154844131,-0.10779471467611734,-0.13968712191796806,-0.05020444639196725,-10.09313807828814,-13.079318531644953,-4.70079086067109,0.1473
04013010102,04013010102,Census Tract 101.02; Maricopa County; Arizona,3573,3247,2516,Scottsdale city,Arizona,5576358,0.5403468577056846,0.14668775407640622,04013,3573,3247,2516,0.010697,0.00781773244399999,0.00314654663299999,0.835472062035531,0.7614990181846834,0.8744797306213642,-0.19692811458424556,-0.3131993293752008,-0.14353708265993428,-7.526667569021521,-11.970597697664664,-5.486041986891181,-210.65400417076748,-335.0293226326522,-153.5416173213317,0.8205879305718825,0.7410308396717835,0.8628289777299295,-0.21863844536816668,-0.34947150167585306,-0.15897822837494666,-8.356444683219015,-13.35693394269324,-6.076208459195471,-233.87754501032788,-373.8296653426599,-210.65400417076748,-0.8297771141974941,-1.3863362450285752,-0.5901664723042899,-23.223540839560428,-38.800342710007705,-16.517393571348723,0.8942482994143233,0.860881304510581,0.9285463418045876,-0.1182576479652659,-0.16160032139216834,-0.07695217242097531,-1.2082191034906269,-1.651044129455292,-0.78620779606098,-37.21032040316067,-50.84829471682452,-24.213359903325532,0.8843087763787321,0.8480815283021397,0.9216880180166184,-0.13082672784841803,-0.17913191907622525,-0.08496582406691289,-1.3366353428579494,-1.83016160389391,-0.8680819680399856,-41.1652400017847,-56.3646936832125,-26.734892763781502,-0.1284162393673225,-0.17911747443861792,-0.0818741719790056,-3.9549195986240377,-5.516398966387986,-2.5215328604559777,0.860881304510581,0.8284293875304631,0.9285463418045876,-0.16160032139216834,-0.20710348407724471,-0.07695217242097531,-3.178583757979088,-4.073604340868061,-1.5136042013488995,-126.33480755083816,-161.90796267361134,-60.15914949717406,0.8480815283021397,-0.17913191907622525,-3.5234200254437624,0.8129822173553443,-0.23003920461265467,-4.524736542483439,0.9216880180166184,-0.08496582406691289,-1.6712280398687778,-140.04054155181885,-179.8384953292305,-66.42400794391008,-0.34483626746467433,-0.4511322016153781,-0.15762383851987827,-13.705734000980696,-17.93053265561916,-6.26485844673602,0.0467
04013216841,04013216841,Census Tract 2168.41; Maricopa County; Arizona,2463,2113,925,Scottsdale city,Arizona,131447,0.4332234364430401,0.18917580114450505,04013,2463,2113,925,0.010697,0.00781773244399999,0.00314654663299999,0.8728177978811715,0.8136838764477852,0.9034836929262522,-0.14571449210542278,-0.2289785123500243,-0.10682683907790912,-3.8390976120133553,-6.032830690096021,-2.8145358562291785,-155.87079220517074,-244.938314660821,-114.2726697616394,0.861025379462252,0.7970788423035926,0.8943599647776771,-0.16140595138385322,-0.25458103631248874,-0.11811802784417262,-4.2525159547904305,-6.707372989805647,-3.112021543500369,-172.65594619530776,-272.32533454346924,-155.87079220517074,-0.4134183427770752,-0.6745422997096258,-0.2974856872711906,-16.78515399013704,-27.387019882648225,-12.078184623272051,0.9188972079851684,0.8928318228318076,0.9454444641290636,-0.08826100602989403,-0.12003176234051058,-0.05770358592261943,-0.5868168056594983,-0.79804954104513115,-0.38365112170533217,-27.771737134855577,-37.76855376455898,-18.15670239968444,0.9111578583813358,0.8827680926960889,0.9401553582756398,-0.09750466486289382,-0.1328003450440416,-0.06365399207437654,-0.6482746860189168,-0.8829434171963657,-0.42321330762884246,-30.680297492613196,-41.78624785595673,-20.02902544386382,-0.06145788035941846,-0.08489387615123456,-0.03956218592351029,-2.9085603577576173,-4.017694091397755,-1.8723230441793797,0.8928318228318076,0.8672444449459823,0.9454444641290636,-0.12003176234051058,-0.15307743488894482,-0.05770358592261943,-0.8679979875529138,-1.1069645469874312,-0.4172778561172233,-93.83762027599067,-119.67184291756014,-45.11111958024035,0.8827680926960889,-0.1328003450440416,-0.9603327485733084,0.8549794560283084,-0.16961874691745807,-1.226581432320694,0.9401553582756398,-0.06365399207437654,-0.4603076381027243,-103.81975660251985,-132.60339808872368,-49.762987902997224,-0.092334761020394715,-0.11961688533326288,-0.04302978198550106,-9.98213632652916,-12.931555171163554,-4.651868322756871,0.1342
