geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04013422213,04013422213,Census Tract 4222.13; Maricopa County; Arizona,1789,1113,388,Tempe city,Arizona,54944,0.37612540998592936,0.19281048829687925,04013,1789,1113,388,0.010697,0.00781773244399999,0.00314654663299999,0.8934008668938059,0.8429448770065905,0.9193341586664754,-0.11931836766268213,-0.18631719259168303,-0.08774376604316877,-2.2833876076301145,-3.565539631375134,-1.679146571935796,-127.63485788877108,-199.30350091532335,-93.85950653637764,0.8833870053812878,0.8286651851469562,0.9116344672543284,-0.1320066900558263,-0.2067600014143941,-0.09693088175111672,-2.526203183150114,-3.956752294147165,-1.8549597897020436,-141.20755635271738,-221.1711735129774,-127.63485788877108,-0.24281557551999944,-0.3912126627720305,-0.1758132177662477,-13.572698463946308,-21.86767259765402,-9.827457672791937,0.9323117638898244,0.9103435258452836,0.9545766451086451,-0.07260257644692193,-0.09848641925746382,-0.04758481691764519,-0.25426194781486644,-0.3449099194437194,-0.1666470919904555,-22.84473924661873,-30.98921109107991,-14.97278454541379,0.9258002220082416,0.9018324096867112,0.9501493707539412,-0.08014664095759738,-0.10885347350445232,-0.05246609720585555,-0.2806820644387948,-0.38121644649746333,-0.1837418549403356,-25.218514325138795,-34.25125305457892,-16.508702150973548,-0.02642011662392834,-0.03630652705374393,-0.0170947629498801,-2.373775078520067,-3.2620419634990054,-1.5359176055597576,0.9103435258452836,0.8886710069778435,0.9545766451086451,-0.09848641925746382,-0.12527582440295834,-0.04758481691764519,-0.29873690434751493,-0.3799966762309354,-0.14433808241884344,-76.99404751224611,-97.93728768838542,-37.20053670588749,0.9018324096867112,-0.10885347350445232,-0.33018308460564627,0.8782438405895826,-0.13863593888535564,-0.420521646803437,0.9501493707539412,-0.05246609720585555,-0.15914437321047456,-85.09873314578512,-108.3818677328446,-41.01659103362746,-0.03144618025813134,-0.04052497057250154,-0.01480629079163112,-8.104685633539004,-10.44458004445916,-3.81605432773998,0.2699
04013218200,04013218200,Census Tract 2182; Maricopa County; Arizona,5688,2134,898,Tempe city,Arizona,79700,0.35949978550870343,0.2038870546821312,04013,5688,2134,898,0.010697,0.00781773244399999,0.00314654663299999,0.8994849221416883,0.8516611522121449,0.9240015054282108,-0.11174737384033484,-0.17417590012477707,-0.08224931899496112,-6.799217110533711,-10.597651825474404,-5.004421650564395,-119.53616579700618,-186.315960363474,-87.9820965289099,0.890006701025216,0.8380955245186318,0.9167268396408252,-0.12358704585940827,-0.19318141040588377,-0.09083748479732665,-7.519596460926418,-11.754033279971567,-5.526964613900393,-132.20106295580902,-206.6461547111738,-119.53616579700618,-0.7203793503927072,-1.156381454497165,-0.5225429633359981,-12.664897158802868,-20.330194347699805,-9.186760958790405,0.9362544588157156,0.9155067973233209,0.9572522688397572,-0.06808570104426222,-0.09229118005864403,-0.044656703934539,-0.4571771344249556,-0.6197104029887088,-0.29985773260062065,-21.423483337626788,-29.03985018691232,-14.051440140610152,0.930107805262162,0.9074605006889024,0.9530793167430076,-0.07514418688072182,-0.1019763386294453,-0.04923061746564403,-0.5045729646594698,-0.6847436327849578,-0.3305703293600889,-23.6444688219058,-32.087330496014886,-15.490643362703322,-0.04739583023451416,-0.06503322979624893,-0.03071259675946824,-2.220985484279014,-3.047480309102574,-1.43920322209317,0.9155067973233209,0.8950088634770248,0.9572522688397572,-0.09229118005864403,-0.11730737069473766,-0.044656703934539,-0.6479139618702776,-0.8235357187449256,-0.31350451854565087,-72.15077526395073,-91.70776378005851,-34.9114163191148,0.9074605006889024,-0.1019763386294453,-0.715906910459323,0.8851361330281317,-0.12976971867469533,-0.9110254360588624,0.9530793167430076,-0.04923061746564403,-0.3456148722685879,-79.72237310237449,-101.4504939931918,-38.48717953993184,-0.06799294858904537,-0.08748971731393695,-0.03211035372293702,-7.57159783842376,-9.74273021313329,-3.575763220817041,0.4756
04013318700,04013318700,Census Tract 3187; Maricopa County; Arizona,3722,780,320,Tempe city,Arizona,77931,0.4232544276291476,0.27834666844238226,04013,3722,780,320,0.010697,0.00781773244399999,0.00314654663299999,0.8763770092863292,0.8187184868375493,0.9062312734418372,-0.141061426080018,-0.2214210575147556,-0.10347107775483429,-5.61625262632354,-8.815709796419936,-4.119621701963166,-150.89340747779528,-236.854105223534,-110.68301187434622,0.8648884021692899,0.8025055722845276,0.8973522371055592,-0.15621853350308185,-0.24609726653144157,-0.11438959936795244,-6.219721248028541,-9.798174156443183,-4.55433427640191,-167.10696528824667,-263.25024600868306,-150.89340747779528,-0.6034686217050007,-0.982464360023247,-0.4347125744387439,-16.21355781045139,-26.396140785149033,-11.679542569552495,0.9212253306058896,0.895864814607474,0.947032575032546,-0.08551075049391056,-0.11623984299255366,-0.05592988706395217,-0.20986957996049552,-0.2852881875391613,-0.13726907830361618,-26.90635640519173,-36.575408658866834,-17.598599782514896,0.9136975454064944,0.8860673377066496,0.941892653278286,-0.09445407293406996,-0.12858239712145908,-0.06169211164294522,-0.23181923322779072,-0.3155805968059648,-0.1514113428147601,-29.720414516383425,-40.45905087255959,-19.411710617276935,-0.02194965326729522,-0.03029240926680349,-0.01414226451114392,-2.8140581111916956,-3.883642213692755,-1.8131108347620413,0.895864814607474,0.87094782675441,0.947032575032546,-0.11623984299255366,-0.14817440181980063,-0.05592988706395217,-0.29079423739147287,-0.3706841051126233,-0.1399183656605167,-90.87319918483529,-115.83878284769476,-43.72448926891147,0.8860673377066496,-0.12858239712145908,-0.32167128886519125,0.8589964199061922,-0.1641492057780709,-0.41064786293377825,0.941892653278286,-0.06169211164294522,-0.15433357527357533,-100.52227777037228,-128.32745716680571,-48.22924227299229,-0.03087705147371838,-0.03996375782115496,-0.01441520961305861,-9.649078585536996,-12.488674319110926,-4.5047530040808175,0.6103
04013319909,04013319909,Census Tract 3199.09; Maricopa County; Arizona,1738,1415,746,Tempe city,Arizona,80708,0.4239866239669884,0.2116999917447598,04013,1738,1415,746,0.010697,0.00781773244399999,0.00314654663299999,0.8761151018405268,0.8183476508953815,0.9060291871897782,-0.14140253706301611,-0.22197454701051145,-0.10371720264519307,-2.6288691479178388,-4.126814485647564,-1.9282465492170056,-151.25829389630832,-237.4461729371441,-110.94629166956302,0.8646040849664439,0.8021057397517757,0.8971321226745328,-0.15659874546950692,-0.24671841933142857,-0.11466301866306736,-2.911387724139354,-4.5868373671004505,-2.1317444398902894,-167.51367802873156,-263.91469315882915,-151.25829389630832,-0.28251857622151544,-0.46002288145288617,-0.20349789067328383,-16.255384132423213,-26.468520221685047,-11.708739394320128,0.9210541358644864,0.8956416995297396,0.9469158419299047,-0.08571251250222804,-0.11651791171073674,-0.05606005910927066,-0.3816232609320963,-0.518780095530318,-0.24959976018402005,-26.9698417619856,-36.66290427776099,-17.639559023605656,0.913510771734567,0.8858245982112488,0.941764944565076,-0.09467784173054464,-0.12889165870907884,-0.06183608316597291,-0.4215401654254873,-0.5738725148469646,-0.27531671878657704,-29.790824411695212,-40.556361473283715,-19.45701192838,-0.03991690449339097,-0.05509241931664654,-0.02571695860255699,-2.820982649709609,-3.893457195522725,-1.8174529047743455,0.8956416995297396,0.8706752862346272,0.9469158419299047,-0.11651791171073674,-0.14853380566784885,-0.05606005910927066,-0.6795357705813629,-0.8662533734938483,-0.3269438570116828,-91.0905858688154,-116.11975516003328,-43.826254291110295,0.8858245982112488,-0.12889165870907884,-0.7516998145300018,0.8587007438320206,-0.16455005679559592,-0.9596606049840376,0.941764944565076,-0.06183608316597291,-0.3606297933680754,-100.76405020509408,-128.64083176729727,-48.34179535765085,-0.07216404394863885,-0.09340723149018935,-0.03368593635639255,-9.673464336278666,-12.52107660726399,-4.515541066540557,0.056
04013319707,04013319707,Census Tract 3197.07; Maricopa County; Arizona,0,0,0,Tempe city,Arizona,39788,0.32099830274168384,0.1892088871989126,04013,0,0,0,0.010697,0.00781773244399999,0.00314654663299999,0.9137338750891956,0.8721938349126627,0.9349012861569254,-0.09441055789070264,-0.14653413034057416,-0.06963164433185695,-0,-0,-0,NA,NA,NA,0.9055276137522864,0.8603483176287562,0.9286291944074718,-0.10432855366634594,-0.16231993427515956,-0.0768560863930921,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.945449052703787,0.9275765732057886,0.963477285011498,-0.05769845253978381,-0.07807811116219712,-0.03790718842745345,-0,-0,-0,NA,NA,NA,0.940160377472172,0.9206292069434264,0.9598991965861364,-0.06364831358743273,-0.08621363786631539,-0.04177605685730474,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.9275765732057886,0.9098601023107018,0.963477285011498,-0.07807811116219712,-0.09907006303537964,-0.03790718842745345,-0,-0,-0,NA,NA,NA,0.9206292069434264,-0.08621363786631539,-0,0.9013056294512066,-0.10950155787763924,-0,0.9598991965861364,-0.04177605685730474,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
04013319001,04013319001,Census Tract 3190.01; Maricopa County; Arizona,639,13,0,Tempe city,Arizona,44740,0.4208364639272202,0.24861352730440087,04013,639,13,0,0.010697,0.00781773244399999,0.00314654663299999,0.8772424739251032,0.8199443086343696,0.906898951891216,-0.13993568451563312,-0.2195950255030321,-0.10265867869252064,-0.956513999031522,-1.501016104207992,-0.7017113871373177,-149.68920172637274,-234.9007987805934,-109.81398859738933,0.8658279795397565,0.803827372994314,0.8980795142561714,-0.15496383072716657,-0.2440482043736942,-0.11348715133341351,-1.059237134167352,-1.668162947356475,-0.775728144942842,-165.76480972885005,-261.0583642185407,-149.68920172637274,-0.10272313513582998,-0.16714684314848305,-0.0740167578055243,-16.075608002477303,-26.15756543794727,-11.583217183963114,0.921790900496736,0.896602012114326,0.9474181700555816,-0.08484472938615321,-0.11532205648506808,-0.05550012824995085,-0.00347058266851135,-0.00471726097106844,-0.00227023864178736,-26.696789757779655,-36.28662285437267,-17.463374167595102,0.9143146075193976,0.8868694194938715,0.9423145143356794,-0.09371543643284144,-0.1275617109119526,-0.06121680690123745,-0.00383343988258247,-0.0052179253356064,-0.00250407998929529,-29.487999096788275,-40.13788719697238,-19.262153763809987,-3.628572140711205e-4,-5.006643645379611e-4,-2.33841347507935e-4,-2.7912093390086192,-3.8512643425997006,-1.798779596214885,0.896602012114326,0.8718484553138923,0.9474181700555816,-0.11532205648506808,-0.14698832567176962,-0.05550012824995085,-0,-0,-0,NA,NA,NA,0.8868694194938715,-0.1275617109119526,-0,0.8599735672614839,-0.1628264380083436,-0,0.9423145143356794,-0.06121680690123745,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
04013810600,04013810600,Census Tract 8106; Maricopa County; Arizona,5063,3259,1760,Tempe city,Arizona,100469,0.38672110335738136,0.19597249878693623,04013,5063,3259,1760,0.010697,0.00781773244399999,0.00314654663299999,0.889544919794801,0.8374364989998099,0.9163719151793298,-0.12417032321501947,-0.1941203914497964,-0.09125998236677142,-6.724929483843473,-10.513349003814684,-4.942541262863543,-132.82499474310632,-207.6505827338472,-97.6208031377354,0.8791939119845569,0.8227105639761195,0.9084038111086788,-0.1374055101709634,-0.21549429870822295,-0.1008320174037258,-7.4417327962588,-11.67093654474606,-5.460952256518836,-146.9826742298795,-230.51425132818608,-132.82499474310632,-0.716803312415327,-1.1575875409313774,-0.5184109936552934,-14.1576794867732,-22.86366859433888,-10.23920587903009,0.9298077079939188,0.9070681194214524,0.95287534389232,-0.07549119178364587,-0.10245303366832204,-0.04945521616204761,-0.7741316338139134,-1.050614415654674,-0.5071432359667696,-23.753655532798817,-32.23732481296943,-15.561314389897808,0.9230653661160136,0.8982637906200922,0.9482867850963136,-0.0833468968808835,-0.11325872248471348,-0.05453330755677882,-0.8546887117722759,-1.1614223833165382,-0.5592170090147037,-26.225489775154216,-35.63738518921566,-17.159159527913584,-0.08055707795836253,-0.11080796766186428,-0.05207377304793414,-2.4718342423554014,-3.4000603762462194,-1.597845138015776,0.9070681194214524,0.8846552572630803,0.95287534389232,-0.10245303366832204,-0.1303838323346089,-0.04945521616204761,-1.4096727133193152,-1.7939784125389775,-0.6804646603305279,-80.09504052950655,-101.9305916215328,-38.662764791507264,0.8982637906200922,-0.11325872248471348,-1.5583504452291366,0.8738793339952786,-0.14432274697252742,-1.9857668536892212,0.9482867850963136,-0.05453330755677882,-0.7503351816668578,-88.54263893347367,-112.82766214143302,-42.63268077652601,-0.14867773190982136,-0.19178844115024377,-0.06987052133632987,-8.447598403967124,-10.897070519900211,-3.969915985018743,0.287
04013421303,04013421303,Census Tract 4213.03; Maricopa County; Arizona,3698,2029,752,Tempe city,Arizona,70318,0.3603137338884128,0.18045957348834335,04013,3698,2029,752,0.010697,0.00781773244399999,0.00314654663299999,0.8991860999674884,0.8512323348231052,0.9237724533130764,-0.11211683547616744,-0.1747674037873693,-0.08251766591819916,-4.435062392049506,-6.913362623923283,-3.2641930646651587,-119.9313789088563,-186.94869183134892,-88.26914723269763,0.8896814657221489,0.8376313505064987,0.9164768690732852,-0.12399778856616536,-0.19384261273807413,-0.0911350125084672,-4.905043265192817,-7.667930316442043,-3.605073804113766,-132.64043442922707,-207.3534428459179,-119.9313789088563,-0.46998087314331105,-0.7545676925187603,-0.34088073944860753,-12.70905552037077,-20.40475101456897,-9.21797564760972,0.9360610468882524,0.9152533362408682,0.9571211026697796,-0.06830639232804295,-0.09259366822655196,-0.04479986619312297,-0.43609144579933434,-0.5911497485456182,-0.286017717433379,-21.492924879218055,-29.135029499537612,-14.09648681288216,0.9298964510819296,0.9071841477322332,0.952935663912568,-0.07538855410890669,-0.10231203058363232,-0.04938878653590854,-0.48130639662808267,-0.6531951083817439,-0.31531495944453053,-23.72136010981186,-32.192957534832125,-15.540411998251871,-0.04521495082874832,-0.06204535983612569,-0.02929724201115152,-2.228435230593806,-3.0579280352945144,-1.4439251853697153,0.9152533362408682,0.8946975284391717,0.9571211026697796,-0.09259366822655196,-0.11769616905562688,-0.04479986619312297,-0.5443521382011727,-0.6919281038392335,-0.2633754923034768,-72.38725242036871,-92.01171593606828,-35.023336742483615,0.9071841477322332,-0.10231203058363232,-0.6014857568406973,0.8847974481054084,-0.13020217467994688,-0.7654500954866315,0.952935663912568,-0.04938878653590854,-0.290353455791415,-79.98480809051826,-101.7885765274776,-38.61083188715625,-0.0571336186395246,-0.07352199164739792,-0.02697796348793824,-7.597555670149548,-9.776860591409298,-3.587495144672638,0.72
04013319500,04013319500,Census Tract 3195; Maricopa County; Arizona,5330,2342,1053,Tempe city,Arizona,79474,0.37115318487960186,0.18178276959115347,04013,5330,2342,1053,0.010697,0.00781773244399999,0.00314654663299999,0.8952160991631821,0.8455422615176209,0.9207275454584032,-0.1170487225763325,-0.18267299638595325,-0.08609762457158746,-6.673534088176823,-10.415102715675088,-4.9088569259253045,-125.20701853990286,-195.4053042340542,-92.0986290042271,0.8853615803028332,0.8314743400785879,0.9131544708315378,-0.12948203564238167,-0.202682935357312,-0.09510497067312045,-7.382419556970747,-11.555969586226498,-5.422410853977668,-138.50693352665567,-216.80993595171665,-125.20701853990286,-0.7088854687939241,-1.1408668705514096,-0.5135539280523638,-13.299914986752796,-21.40463171766247,-9.635158124809829,0.9334891621407948,0.9118846456923112,0.955376059017492,-0.07124971617953675,-0.0966299352927374,-0.04670824704190236,-0.525054278748903,-0.7120864994442322,-0.3442029846184165,-22.419055454692696,-30.405059754237072,-14.69696774630301,0.9270863956341476,0.9035119342894544,0.9510246842928076,-0.0786481224503115,-0.10679224263531874,-0.05149741801245788,-0.579574704607226,-0.7869746988405434,-0.3794954018318959,-24.746998488779933,-33.60267714946812,-16.20390272552929,-0.05452042585832306,-0.0748881993963112,-0.03529241721347948,-2.327943034087236,-3.1976173952310503,-1.50693497922628,0.9118846456923112,0.8905617510000284,0.955376059017492,-0.0966299352927374,-0.12288676094283334,-0.04670824704190236,-0.7954646101502353,-1.0116126963127856,-0.38450566495184496,-75.54269801996537,-96.069581796086,-36.5152578301847,0.9035119342894544,-0.10679224263531874,-0.8791214585585867,0.8802994741094264,-0.1359770503233245,-1.1193729044435343,0.9510246842928076,-0.05149741801245788,-0.4239304664638676,-83.48731800176512,-106.30321979520744,-40.259303557822186,-0.08365684840835141,-0.10776020813074871,-0.03942480151202265,-7.944619981799754,-10.233637999121434,-3.744045727637479,0.2717
04013422211,04013422211,Census Tract 4222.11; Maricopa County; Arizona,1716,1285,647,Tempe city,Arizona,78735,0.4038790981668934,0.20242007317066296,04013,1716,1285,647,0.010697,0.00781773244399999,0.00314654663299999,0.8833361068878327,0.8285928165109372,0.9115952748223382,-0.132071917136046,-0.20686539887085817,-0.09697804236083953,-2.424318978688951,-3.7972320186742134,-1.7801339884337726,-141.2773297604284,-221.28391717215695,-103.73741191339002,0.8724460508254674,0.8131586388876298,0.9031965539662308,-0.1462026781528176,-0.22977233737313796,-0.10717871498587304,-2.6837039627123835,-4.217712972982864,-1.9673780655738649,-156.39300482006897,-245.78746928804568,-141.2773297604284,-0.25938498402343235,-0.4204809543086503,-0.18724407714009209,-15.11567505964058,-24.50355211588871,-10.911659506998372,0.9257670540248594,0.9017891084201816,0.9501267926606002,-0.08018533998634528,-0.1089067173941271,-0.05249110721290363,-0.3242143813417435,-0.4403438834319315,-0.212237945912217,-25.230691154999494,-34.268006492757316,-16.51657166632039,0.918653836891382,0.8925149187916877,0.9452783722395288,-0.08854930969850837,-0.1204294504721879,-0.05788943169283153,-0.3580325239879157,-0.4869338932380344,-0.23406505834748084,-27.862453228631573,-37.893688189730305,-18.215179637936252,-0.03381814264617217,-0.04659000980610289,-0.02182711243526383,-2.6317620736320753,-3.625681696972987,-1.6986079716158629,0.9017891084201816,0.8781908555123394,0.9501267926606002,-0.1089067173941271,-0.13870463774824518,-0.05249110721290363,-0.5508581149282193,-0.7015781680875469,-0.26550384642623,-85.14035779416064,-108.43557466577232,-41.0361431879799,0.8925149187916877,-0.1204294504721879,-0.6091409387436757,0.8668576807691527,-0.15359190116734234,-0.776879031612848,0.9452783722395288,-0.05788943169283153,-0.29280896513642174,-94.14852221695142,-120.07403888915736,-45.25640883097709,-0.05828282381545635,-0.07530086352530108,-0.02730511871019175,-9.00816442279078,-11.63846422338502,-4.22026564299718,0.3318
04013319904,04013319904,Census Tract 3199.04; Maricopa County; Arizona,3402,2333,994,Tempe city,Arizona,79473,0.37453864871681786,0.18141712360916984,04013,3402,2333,994,0.010697,0.00781773244399999,0.00314654663299999,0.8939797526253596,0.8437728992973454,0.9197785939625496,-0.118593566647667,-0.18515302024129143,-0.08721817029013917,-4.315761491027179,-6.737939479286763,-3.173973355353491,-126.85953824300938,-198.05818575210944,-93.29727675936186,0.8840166626693376,0.8295606240414555,0.9121192632937248,-0.13120039726450877,-0.2054574084389367,-0.09634785739414364,-4.774539109729808,-7.476840409238583,-3.5062135699146157,-140.34506495384505,-219.77778980713055,-126.85953824300938,-0.4587776187026291,-0.7389009299518197,-0.33224021456112496,-13.48552671083566,-21.71960405502115,-9.766026295153583,0.932687339663392,0.9108350525209572,0.9548316853626068,-0.07217065942044558,-0.09789362764669332,-0.04730500184463414,-0.5297971098200495,-0.7186266747941819,-0.34726097085125596,-22.708834540079273,-30.80268644638585,-14.88473942782923,0.9262104781755957,0.9023680484897454,0.9504286176143087,-0.0796682002235079,-0.10819526652529088,-0.05215687056027556,-0.5848357568286566,-0.7942499065634164,-0.3828780213731046,-25.06797071704486,-34.04414515916916,-16.41140254492519,-0.05503864700860717,-0.07562323176923458,-0.03561705052184866,-2.359136176965588,-3.2414587127833077,-1.526663117095956,0.9108350525209572,0.8892739541168406,0.9548316853626068,-0.09789362764669332,-0.12451286284789942,-0.04730500184463414,-0.7607143517809231,-0.9675677980958574,-0.3675989405981704,-76.53061889144095,-97.34082475813454,-36.98178476842761,0.9023680484897454,-0.10819526652529088,-0.8407665955295816,0.8788993225665034,-0.13778674567624705,-1.070716832554215,0.9504286176143087,-0.05215687056027556,-0.4053019684016352,-84.58416454019935,-107.71799120263732,-40.774845915657465,-0.08005224374865849,-0.10314903445835756,-0.03770302780346479,-8.0535456487584,-10.377166444502771,-3.793061147229859,0.2495
