geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
20173010110,20173010110,Census Tract 101.10; Sedgwick County; Kansas,775,594,337,Wichita city,Kansas,92713,0.6278543779361998,0.2028796200428593,20173,775,594,337,0.013074,0.007719528038,0.00363067118,0.8061538407788945,0.7213635580440184,0.8514791544168805,-0.24045802353780768,-0.38626354055298545,-0.17442687212328906,-2.436404854793306,-3.913757385122042,-1.767354117758408,-314.3748199733298,-505.0009529189732,-228.0456926139881,0.7889686018779082,0.6981835605023079,0.8378985178826674,-0.2674775619965022,-0.43228809237580784,-0.19346195112858755,-2.710176275295259,-4.3800942527840165,-1.960224200517744,-349.700164554227,-565.1734519721311,-314.3748199733298,-0.27377142050195324,-0.4663368676619743,-0.19287008275933615,-35.325344580897195,-60.172499053157985,-24.886462291527245,0.8746044515877801,0.8356317630991664,0.9149668939246444,-0.14337401117107682,-0.19669936467138288,-0.09293571892051292,-0.309203070849977,-0.42420552437539977,-0.20042690754870848,-52.05438903198266,-71.41507144367,-33.741903627728696,0.8629643439257514,0.8207604737676104,0.906871843983412,-0.15879642888934822,-0.21838225884539775,-0.1026916389944635,-0.3424633450061527,-0.4709672590074917,-0.22146670702975269,-57.6537617855476,-79.28741734132856,-37.28395741241628,-0.03326027415617572,-0.04676173463209188,-0.0210397994810442,-5.599372753564936,-7.872345897658566,-3.5420537846875764,0.8356317630991664,0.7980147084901089,0.9149668939246444,-0.19669936467138288,-0.2531097351476882,-0.09293571892051292,-0.5117096498348466,-0.6584601539440432,-0.2417705022353037,-151.8426260637527,-195.38876971633331,-71.74198879385867,0.8207604737676104,-0.21838225884539775,-0.5681172859435228,0.7802108502374412,-0.2817048105594411,-0.7328496978573893,0.906871843983412,-0.1026916389944635,-0.26715034244576014,-168.58079701588215,-217.46281835530837,-79.2730986485935,-0.05640763610867627,-0.07438954391334607,-0.02537984021045644,-16.738170952129458,-22.074048638975093,-7.53110985473485,0.1595
20173007206,20173007206,Census Tract 72.06; Sedgwick County; Kansas,2077,1202,468,Wichita city,Kansas,37392,0.5831848931440842,0.17563533081280114,20173,2077,1202,468,0.013074,0.007719528038,0.00363067118,0.8209888828549355,0.7415797259660186,0.8631435277648167,-0.21804329009007395,-0.34847267931623976,-0.15855586913752884,-5.920899693322351,-9.462670368083336,-4.305536742557116,-285.06979746376265,-455.59318093805183,-207.2959433104052,0.8049538908412057,0.7197366745411262,0.8505332969570186,-0.242307182284645,-0.3893970327933586,-0.1757329237758632,-6.579778358170485,-10.573958827599748,-4.771974473790585,-316.79241011894493,-509.09768067403695,-285.06979746376265,-0.6588786648481344,-1.1112884595164108,-0.4664377312334684,-31.722612655182207,-53.50449973598511,-22.457281234158327,0.8845774187501585,0.8484268359866222,0.9218737228816408,-0.1304833006170618,-0.17865201521721763,-0.08474726546510934,-0.5694378347440143,-0.7796493209234843,-0.3698427240781941,-47.37419590216425,-64.86267228980735,-30.768945430798173,0.8737947549631477,0.8345951115725544,0.9144049736340372,-0.14443351178295294,-0.1981857862979663,-0.09360734995325992,-0.6303174875651822,-0.8648960019623935,-0.40850872426919305,-52.43905886565577,-71.95474225976652,-33.98575077114751,-0.06087965282116792,-0.0852466810389092,-0.03866600019099897,-5.064862963491508,-7.092069969959168,-3.2168053403493317,0.8484268359866222,0.8133981650626679,0.9218737228816408,-0.17865201521721763,-0.22941019902959264,-0.08474726546510934,-0.6454231245607925,-0.828799200970463,-0.3061697614100146,-137.9109240514514,-177.09384636121004,-65.42088919017407,0.8345951115725544,-0.1981857862979663,-0.7159935435401862,0.7967709788214767,-0.2550657925306519,-0.9214861673043272,0.9144049736340372,-0.09360734995325992,-0.33817893526266773,-152.9900734060227,-196.89875369750584,-72.26045625270679,-0.07057041897939365,-0.0926869663338643,-0.03200917385265312,-15.079149354571292,-19.80490733629579,-6.839567062532717,0.6391
20173007201,20173007201,Census Tract 72.01; Sedgwick County; Kansas,2639,1952,683,Wichita city,Kansas,225423,0.5876968908447392,0.2202863970056239,20173,2639,1952,683,0.013074,0.007719528038,0.00363067118,0.8194781054996806,0.739512258571652,0.861958108196881,-0.22028885614978735,-0.35224262804172174,-0.16014918879513418,-7.600469117492822,-12.153175894087102,-5.5255131144777145,-288.00565053023195,-460.52201190174696,-209.37904943075844,0.8033246439677486,0.7175297547712091,0.8492484741323968,-0.2448267428481223,-0.39367042739413527,-0.17751168292838315,-8.44708230219437,-13.582529675694689,-6.124558852736393,-320.0864835996351,-514.6847167750924,-288.00565053023195,-0.8466131847015488,-1.4293537816075863,-0.5990457382586785,-32.080833069403134,-54.16270487334546,-22.69972482980972,0.8835649225454051,0.8471255792748182,0.9211737137708528,-0.13177874594564554,-0.1804625246425092,-0.08557157575249234,-0.9339252159208072,-1.2789505703892952,-0.606451759635757,-47.84452950413971,-65.5200087289598,-31.068225391176075,0.8726946482627019,0.8331871727435843,0.91364123101092,-0.1458761687042867,-0.20021050817083663,-0.09452153214837548,-1.0338346398518967,-1.4189059148444696,-0.6698807283933942,-52.96284015634717,-72.6898521949011,-34.31766026605503,-0.0999094239310896,-0.13995534445517444,-0.06342896875763715,-5.118310652207459,-7.169843465941313,-3.2494348748789523,0.8471255792748182,0.8118309352789369,0.9211737137708528,-0.1804625246425092,-0.23178356052225343,-0.08557157575249234,-0.951477409330917,-1.2220643711379209,-0.4511707977633314,-139.30855187861158,-178.92596941990055,-66.05721782772056,0.8331871727435843,-0.20021050817083663,-1.055597421196342,0.7950824292499121,-0.25773122787206976,-1.3588718294015742,0.91364123101092,-0.09452153214837548,-0.4983588848304322,-154.55306313270015,-198.95634398266097,-72.96616176141028,-0.10412001186542497,-0.13680745826365337,-0.04718808706710081,-15.244511254088575,-20.030374562760375,-6.9089439336897245,0.485
20173007302,20173007302,Census Tract 73.02; Sedgwick County; Kansas,2298,1374,675,Wichita city,Kansas,124818,0.558718901810687,0.24128543751237505,20173,2298,1374,675,0.013074,0.007719528038,0.00363067118,0.8292295975452311,0.7528914845229253,0.8695998270374847,-0.2059386241884041,-0.32821265820751927,-0.1499542305646,-6.187230733924871,-9.860838170244936,-4.505232700702832,-269.24415726391953,-429.1052293405107,-196.0501610401581,0.813846076998569,0.7318222739364019,0.8575340808661568,-0.22873357538068992,-0.3664519865200274,-0.16613441064633228,-6.872083432883368,-11.009702538511004,-4.991350872447761,-299.046276452714,-479.0993271762839,-269.24415726391953,-0.6848526989584975,-1.148864368266068,-0.4861181717449288,-29.802119188794496,-49.99409783577319,-21.153967438856775,0.8900878454311841,0.8555176932199937,0.925678746131738,-0.1234846146175283,-0.16888289736732903,-0.08028838749818817,-0.6160082112332764,-0.8424794605981152,-0.40052200931064474,-44.833203146526664,-61.31582682664593,-29.15007345783441,0.8797841987869099,0.8422710920135155,0.918557445042787,-0.1366423736398648,-0.18726620144284087,-0.08866354020288772,-0.6816462473910011,-0.934185348778504,-0.4423018120205378,-49.61035279410488,-67.99020005665967,-32.19081601313958,-0.06563803615772468,-0.09170588818038872,-0.04177980270989306,-4.777149647578215,-6.674373230013735,-3.0407425553051723,0.8555176932199937,0.8219491910062798,0.925678746131738,-0.16888289736732903,-0.21662021319801972,-0.08028838749818817,-0.8799949764218966,-1.1287389213312642,-0.4183572094321988,-130.36962613657727,-167.22058093796508,-61.97884584180723,0.8422710920135155,-0.18726620144284087,-0.975784517510242,0.8059896586711223,-0.2407107079373113,-1.25426681480401,0.918557445042787,-0.08866354020288772,-0.46199746206755904,-144.5606692607766,-185.81730589689036,-68.44406845445319,-0.09578954108834548,-0.12552789347274573,-0.04364025263536025,-14.191043124199329,-18.596724958925293,-6.465222612645964,0.2691
20173010106,20173010106,Census Tract 101.06; Sedgwick County; Kansas,2027,1095,527,Wichita city,Kansas,126045,0.6138808687058046,0.20210644667017225,20173,2027,1095,527,0.013074,0.007719528038,0.00363067118,0.8107654966054958,0.7276276276394384,0.8551109605683773,-0.23340226512695617,-0.37432934376638366,-0.16943887531896148,-6.185392961324935,-9.920101190494249,-4.490299295950048,-305.15012142698254,-489.39818404017007,-221.52438559201025,0.7939347006832215,0.7048555094176253,0.8418306240793524,-0.25954943037437306,-0.4187304868003837,-0.1878874103607548,-6.8783189352524,-11.096775793235995,-4.979203886195544,-339.33492527145535,-547.4482384428218,-305.15012142698254,-0.6929259739274647,-1.17667460274175,-0.4889045902454958,-34.18480384447285,-58.0500544026517,-24.11961471364064,0.877712050346056,0.83961344012986,0.9171219081263196,-0.13932581830878296,-0.1910242883264633,-0.09036758487538513,-0.553901625314158,-0.759433284246056,-0.35926400968452477,-50.58462331636146,-69.35463783069005,-32.80949860132646,0.8663378062129437,0.8250633961966405,0.909221663275967,-0.15428415201148743,-0.21202807518765043,-0.09984181018845784,-0.6133697515415368,-0.8429356230184697,-0.3969295971772393,-56.01550242388464,-76.98042219346755,-36.24927828102642,-0.05946812622737885,-0.08350233877241364,-0.03766558749271453,-5.430879107523182,-7.625784362777502,-3.439779679699958,0.83961344012986,0.8027954291945275,0.9171219081263196,-0.1910242883264633,-0.2456473512851645,-0.09036758487538513,-0.7771233432787931,-0.9993404114772004,-0.3676326204255808,-147.4617349675129,-189.62816157062628,-69.759510517188,0.8250633961966405,-0.21202807518765043,-0.8625707657509842,0.7853538556633568,-0.2733113777805805,-1.111882962725604,0.909221663275967,-0.09984181018845784,-0.406175581191328,-163.67566712542396,-210.98348438816015,-77.07316531144743,-0.08544742247219117,-0.11254255124840352,-0.03854296076574715,-16.21393215791104,-21.355322817533875,-7.3136547942594206,0.4379
20173010109,20173010109,Census Tract 101.09; Sedgwick County; Kansas,1557,747,320,Wichita city,Kansas,94485,0.5968410599237319,0.2152659008261117,20173,1557,747,320,0.013074,0.007719528038,0.00363067118,0.8164248334614467,0.7353399191344627,0.8595606870090904,-0.22485250204876597,-0.3599152908454329,-0.1633849885335954,-4.577146549550126,-7.3265141219830365,-3.3259004445173685,-293.9721611785566,-470.553251251319,-213.60953400882264,0.8000328631006687,0.7130778679417199,0.8466505576277943,-0.2499486535144611,-0.4023713888168667,-0.18112483478646857,-5.088009279746837,-8.1907597077189,-3.6870166221273375,-326.7828696048065,-526.0603537391715,-293.9721611785566,-0.5108627301967106,-0.8642455857358637,-0.36111617760996895,-32.81070842624988,-55.50710248785252,-23.193074991006355,0.8815165159840159,0.8444945255638732,0.9197566811089992,-0.13440869441195186,-0.1841402989939989,-0.08724407285005766,-0.3645313485377468,-0.4994089988456687,-0.236615642069126,-48.79937731429006,-66.85528766340947,-31.675454092252476,0.8704693803282689,0.8303410759396338,0.9120953599072192,-0.1488054865558658,-0.20432437823020633,-0.096376589506740315,-0.4035770522238018,-0.5541504696646367,-0.2613840443437629,-54.02637914642594,-74.18346314118295,-34.99117059488125,-0.03904570368605503,-0.05474147081896791,-0.02476840227463689,-5.2270018321358815,-7.328175477773481,-3.315716502628767,0.8444945255638732,0.808663988819007,0.9197566811089992,-0.1841402989939989,-0.23660755743609263,-0.08724407285005766,-0.4548723843231608,-0.584479575561796,-0.21551458128490708,-142.14762010098775,-182.64986736306125,-67.34830665153346,0.8303410759396338,-0.20432437823020633,-0.5047320853103983,0.7916713237666763,-0.2631504640614253,-0.6500471633711628,0.9120953599072192,-0.096376589506740315,-0.23807417116931148,-157.72877665949946,-203.13973855348831,-74.39817849040985,-0.04985970098723746,-0.06556758780936678,-0.0225595898844044,-15.581156558511708,-20.489871190427117,-7.049871838876376,0.808
20173010801,20173010801,Census Tract 108.01; Sedgwick County; Kansas,1891,987,381,Wichita city,Kansas,100990,0.5656739626406992,0.22398064354538327,20173,1891,987,381,0.013074,0.007719528038,0.00363067118,0.826878592450149,0.7496583988612294,0.867759567653596,-0.20936738371333288,-0.333940900974434,-0.15239294071280532,-5.1761760092974045,-8.255998854691468,-3.767600615308599,-273.72691746681147,-436.59433393397507,-199.23853068792167,0.8113083078507018,0.7283661464266503,0.8555380939691625,-0.23257704909885069,-0.37293585774953975,-0.16885502474895597,-5.749987034785645,-9.22006859737526,-4.174591632436805,-304.0712339918374,-487.5763404217482,-273.72691746681147,-0.5738110254882409,-0.964069742683792,-0.4069910171282056,-30.344316525025963,-50.98200648777324,-21.522528668863337,0.8885178880410146,0.8534959349212803,0.9245954796319564,-0.12546974400794425,-0.1716517432414392,-0.0815540655661209,-0.4496173715457098,-0.6151092937000682,-0.2922467475217298,-45.55393835316209,-62.321103718345306,-29.609599546274552,0.8780773874659095,0.8400818515654485,0.9173750880997128,-0.13885178490469222,-0.19036019899317247,-0.0900666619053716,-0.4975715464863397,-0.6821505295556298,-0.3227514020210743,-50.4125173745025,-69.11352883035762,-32.700243365863656,-0.04795417494062992,-0.06704123585556165,-0.03050465449934447,-4.858579021340417,-6.792425112012325,-3.0906438195891055,0.8534959349212803,0.8195092470268628,0.9245954796319564,-0.1716517432414392,-0.22024248491148615,-0.0815540655661209,-0.5048518394397933,-0.6477640222619765,-0.23986193928096355,-132.5070444723867,-170.0168037433009,-62.955889575056055,0.8400818515654485,-0.19036019899317247,-0.5598760304033276,0.8033582244672908,-0.2447747088954034,-0.719916731986626,0.9173750880997128,-0.0900666619053716,-0.26489867843154896,-146.94908934470538,-188.95452283113545,-69.52721218675826,-0.05502419096353428,-0.07215270972464949,-0.0250367391505854,-14.442044872318707,-18.937719087834513,-6.5713226117022066,0.3282
20173007205,20173007205,Census Tract 72.05; Sedgwick County; Kansas,2487,1557,569,Wichita city,Kansas,53503,0.547626383835489,0.194034174753681,20173,2487,1557,569,0.013074,0.007719528038,0.00363067118,0.8329930186019064,0.7580767598705359,0.8725429070249496,-0.20049025342180865,-0.3191276305196055,-0.14607544448402218,-6.518948208639738,-10.376447033194935,-4.749648628264873,-262.12095732367266,-417.22746414133235,-190.97903611841065,0.8179099617331065,0.7373683646114695,0.8607270895963828,-0.22262846375052664,-0.3561742651204125,-0.161808443218542,-7.238772958729997,-11.581019765012288,-5.261207679971736,-291.06445350743854,-465.6622342184274,-262.12095732367266,-0.7198247500902584,-1.2045727318173522,-0.5115590517068638,-28.94349618376592,-48.43477007709498,-20.56932254551121,0.8925974881792398,0.8587520786456446,0.927409057826682,-0.12032580557653667,-0.16448044187225763,-0.07827284148316345,-0.6801963675429924,-0.929800540767725,-0.4424728527601739,-43.686343451701504,-59.71743999792711,-28.418294974962997,0.8825132334073422,0.8457744889872816,0.9204463218009172,-0.13312748426337687,-0.18234826543111493,-0.08642945961632012,-0.7525636814331328,-1.030806543780962,-0.4885818482414419,-48.33421203809459,-66.20465920237392,-31.37969481319473,-0.0723673138901404,-0.10100600301323692,-0.04610899548126807,-4.647868586393089,-6.487219204446816,-2.9613998382317317,0.8587520786456446,0.8258556606712446,0.927409057826682,-0.16448044187225763,-0.2108653456309946,-0.07827284148316345,-0.7224657767765119,-0.9262073593215424,-0.3438065254381863,-126.9711382735522,-162.77809478410234,-60.42293944432096,0.8457744889872816,-0.18234826543111493,-0.8009486096277337,0.8102043394141015,-0.23425653425054355,-1.0289510841278815,0.9204463218009172,-0.08642945961632012,-0.3796337483490846,-140.76425476761577,-180.8349884231778,-66.71946368173718,-0.07848283285122182,-0.10274372480633942,-0.03582722291089829,-13.793116494063588,-18.05689363907547,-6.296524237416221,0.4888
20173007702,20173007702,Census Tract 77.02; Sedgwick County; Kansas,3867,1886,1003,Wichita city,Kansas,54240,0.5914299143792836,0.20132173178854212,20173,3867,1886,1003,0.013074,0.007719528038,0.00363067118,0.8182302582238874,0.737806087100824,0.8609785762546905,-0.22214986545556967,-0.35536967976159606,-0.1614690859673433,-11.231265847515978,-17.966481048116414,-8.163418091366559,-290.43873409661177,-464.6103193203107,-211.10468299370467,0.8019791716286655,0.7157089651810119,0.8481869369322422,-0.2469151760751994,-0.39721597555661087,-0.1789853821810102,-12.483329569431676,-20.082110836339712,-9.048992246615718,-322.8169012007157,-519.320166442713,-290.43873409661177,-1.2520637219156985,-2.1156297882232984,-0.8855741552491594,-32.378167104103916,-54.70984712240233,-22.90080566974811,0.8827281049419382,0.846050486931665,0.920594959610664,-0.13285166111911142,-0.18196256068199565,-0.08625404642984126,-0.9096945549951764,-1.2459787801748337,-0.5906199118818556,-48.23406972402844,-66.06462249071228,-31.316008053120655,0.8717855166340578,0.8320241032521485,0.913009827025324,-0.14707113265769217,-0.2018882579137803,-0.09527846294721544,-1.0070616163069523,-1.3824189129029096,-0.6524141152716306,-53.39669227502398,-73.2989879587969,-34.5924769497153,-0.09736706131177596,-0.13644013272807598,-0.06179420338977504,-5.162622550995545,-7.234365468084622,-3.276468896594647,0.846050486931665,0.810536562936691,0.920594959610664,-0.18196256068199565,-0.2337506359699008,-0.08625404642984126,-1.4088790843180945,-1.8098579220347903,-0.6678380513955317,-140.46650890509414,-180.44445882699804,-66.58405298061133,0.8320241032521485,-0.2018882579137803,-1.5631575137109277,0.7936881048425568,-0.2599407675365994,-2.012639903347673,0.913009827025324,-0.09527846294721544,-0.7377112804369894,-155.84820675084023,-200.66200432180193,-73.55047661385737,-0.15427842939283298,-0.20278198131288283,-0.06987322904145776,-15.38169784574606,-20.217545494803872,-6.9664236332460385,0.6518
20173007600,20173007600,Census Tract 76; Sedgwick County; Kansas,2576,1799,874,Wichita city,Kansas,93000,0.6255385836106475,0.1966950747240274,20173,2576,1799,874,0.013074,0.007719528038,0.00363067118,0.8069163014201493,0.7223979459133897,0.8520799763573885,-0.23928590640693348,-0.3842785761739871,-0.1735987556883619,-8.058820070378303,-12.94197367821907,-5.846567219696201,-312.8423940364248,-502.4058104898707,-226.9630131869643,0.7897894682024412,0.6992849036315919,0.8385489038908536,-0.26616021137379486,-0.4300323012933731,-0.19253629139578612,-8.96390968261856,-14.482896183114226,-6.484357364273116,-347.9778603500994,-562.2242307109559,-312.8423940364248,-0.905089612240257,-1.540922504895157,-0.6377901445769147,-35.13546631367457,-59.81842022108528,-24.75893418388645,0.8751187043934974,0.8362903286020059,0.91532368859255675,-0.1427021214145478,-0.19575698271156763,-0.09250969079325944,-0.9320699587008424,-1.2786018945109496,-0.6042342105526033,-51.81044795446594,-71.07292354146469,-33.58722682337984,0.8635225098105548,0.8214720317022193,0.9072608533382795,-0.1580474030947804,-0.2173268978224891,-0.10221883410982124,-1.0322988545306215,-1.4194874657086856,-0.6676502321252562,-57.381815149006194,-78.90425045629159,-37.11229750557288,-0.10022889582977912,-0.14088557119773593,-0.06341602157265291,-5.571367194540251,-7.8313269148269,-3.525070682193047,0.8362903286020059,0.7988050325337351,0.91532368859255675,-0.19575698271156763,-0.2518699297976293,-0.09250969079325944,-1.3207464255750228,-1.6993330448916526,-0.6241506267302518,-151.11515166762274,-194.43169850018907,-71.41311518652766,0.8214720317022193,-0.2173268978224891,-1.46627578492708,0.7810608532555338,-0.28030997307304245,-1.8912142487133603,0.9072608533382795,-0.10221883410982124,-0.6896569302762088,-167.76610811522656,-216.38606964683757,-78.90811559224356,-0.14552935935205724,-0.19188120382170792,-0.06550630354595699,-16.650956447603804,-21.954371146648505,-7.495000405715904,0.5782
20173007101,20173007101,Census Tract 71.01; Sedgwick County; Kansas,1461,963,458,Wichita city,Kansas,71311,0.5286621277247673,0.23185796307115483,20173,1461,963,458,0.013074,0.007719528038,0.00363067118,0.8394667330995,0.7670245869615262,0.8775976156773049,-0.1912324343190766,-0.30373917211881996,-0.13947438112423363,-3.6527525284261944,-5.801756552907201,-2.6641160539334345,-250.0172846287607,-397.1085936281452,-182.34880588182304,0.8249048164370596,0.7469477338810884,0.8662135601382881,-0.2122610755495573,-0.33878175759911566,-0.154449717735143,-4.0544230018347065,-6.4711089730210745,-2.950161665726788,-277.51013017349123,-442.9232698850838,-250.0172846287607,-0.40167047340851214,-0.6693524201138734,-0.2860456117933534,-27.492845544730468,-45.81467625693863,-19.578755085102905,0.8969044846141776,0.8643100746117994,0.9303747696680112,-0.1149459247382079,-0.1569921829838036,-0.07483568192292377,-0.4018896145258585,-0.5488974754575326,-0.2616507147102577,-41.73308562054605,-56.998699424458216,-27.170375359320634,0.8871985331298087,0.8517978367660677,0.923684629690968,-0.12714343256661698,-0.17398748486682716,-0.08262059133165875,-0.44453620448109177,-0.6083187671481686,-0.288869376428982,-46.161599634588974,-63.16913469866756,-29.996819982241124,-0.04264658995523329,-0.05942129169063592,-0.02721866171872433,-4.428514014042918,-6.170435274209338,-2.8264446229204916,0.8643100746117994,0.8325773854782809,0.9303747696680112,-0.1569921829838036,-0.20108955328583883,-0.07483568192292377,-0.5550527456969566,-0.710960931690429,-0.26458483433986174,-121.19055582902982,-155.23164447389277,-57.769614484685974,0.8517978367660677,-0.17398748486682716,-0.6151403806022824,0.8174610549830406,-0.22329986719764464,-0.7894864702569635,0.923684629690968,-0.08262059133165875,-0.2921087228558028,-134.3101267690573,-172.3769585713894,-63.77919713008795,-0.06008763490532576,-0.07852553856653455,-0.02752388851594106,-13.119570940027458,-17.145314097496627,-6.009582645401979,0.7236
