geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
37067001800,37067001800,Census Tract 18; Forsyth County; North Carolina,2561,1467,818,Winston-Salem city,North Carolina,94731,0.7449231264773521,0.19132096772997265,37067,2561,1467,818,0.013777,0.009162065641,0.004054771124,0.7685339935456708,0.6709579657374463,0.8216518833424666,-0.30117861851035244,-0.49040633104475545,-0.21706043675335604,-10.62645417550306,-17.30295606640001,-7.658521032743677,-414.9337827217126,-675.6328022803597,-299.04416371509865,0.7485647805656955,0.644710650318233,0.8056689760450729,-0.3358897265301383,-0.5510834193702151,-0.24120455141374997,-11.85116262452104,-19.443819524047107,-8.510395343462546,-462.7552762405717,-759.2276268663454,-414.9337827217126,-1.2247084490179798,-2.1408634576470966,-0.8518743107188698,-47.82149351885904,-83.5948245859858,-33.263346767624746,0.848997762883944,0.8030068219770465,0.8971101648248668,-0.17785940519221088,-0.245319432701637,-0.11469030138034302,-1.0579698575077172,-1.4592456608001247,-0.6822179669258924,-72.11791803051923,-99.4714151874659,-46.504292223987214,0.8352129134700526,0.7855813387157545,0.8874223355571399,-0.19729949558048357,-0.27294266133507045,-0.12685917396048163,-1.1736063043731015,-1.6235582718179902,-0.7546026708763284,-80.00042974595102,-110.67200216891548,-51.43849153894536,-0.11563644686538432,-0.16431261101786543,-0.07238470395043595,-7.8825117154317885,-11.200586981449586,-4.934199314958142,0.8030068219770465,0.7590644444077242,0.8971101648248668,-0.245319432701637,-0.31741119922995564,-0.11469030138034302,-1.838563585757879,-2.3788603543923066,-0.8595544569596104,-224.763274542528,-290.81422425333824,-105.08000696327755,0.7855813387157545,-0.27294266133507045,-2.0455877979337793,0.7384252077639585,-0.35423329199191594,-2.6548260948881968,0.8874223355571399,-0.12685917396048163,-0.950754920612978,-250.07185793811485,-324.5508673457453,-116.22920789889706,-0.20702421217590028,-0.2759657404958902,-0.09120046365336754,-25.30858339558683,-33.736643092407114,-11.149200935619502,0.9144
37067000900,37067000900,Census Tract 9; Forsyth County; North Carolina,2423,1220,653,Winston-Salem city,North Carolina,79823,0.6768884236976375,0.22899695760786215,37067,2423,1220,653,0.013777,0.009162065641,0.004054771124,0.7901777485144166,0.6998060588125591,0.838856485037181,-0.2655380411306979,-0.4289673366029644,-0.1920990274703265,-8.864103527009426,-14.319646500226415,-6.412586534434403,-365.83175926576257,-590.9882996379041,-264.65483014586886,0.7717866735199351,0.6752669091651957,0.8242452118698558,-0.2956948264463265,-0.480895904163671,-0.21323119091154033,-9.870787412833373,-16.0531088580392,-7.11801346194723,-407.3787623951041,-662.5302871662897,-365.83175926576257,-1.0066838858239446,-1.7334623578127832,-0.7054269275128275,-41.547003129341505,-71.5419875283856,-29.11378157296028,0.8637864529993277,0.8218085647959893,0.9074447769955284,-0.15769354396297572,-0.21682839877465385,-0.1019954330564489,-0.7800816987728041,-1.0726112268618404,-0.5045531268193401,-63.941122850229846,-87.91895302146233,-41.356813673716395,0.8512302084546519,0.8058379746824784,0.8986741008983534,-0.17477033834998537,-0.24094424861775293,-0.1127504386744392,-0.8645575399533412,-1.1919080137827525,-0.5577562120056476,-70.86537212732304,-97.69737817891414,-45.71772229554489,-0.08447584118053708,-0.11929678692091206,-0.05320308518630756,-6.924249277093203,-9.778425157451808,-4.3609086218284885,0.8218085647959893,0.781462930094451,0.9074447769955284,-0.21682839877465385,-0.2796512303905902,-0.1019954330564489,-1.297247202631315,-1.673105452914526,-0.6102212208427502,-198.65960224063025,-256.21829294250017,-93.4488852745406,0.8058379746824784,-0.24094424861775293,-1.4415282051422011,0.7624286710803967,-0.31159810475510286,-1.864238134963473,0.8986741008983534,-0.1127504386744392,-0.6745665788819523,-220.7547021657276,-285.4882289377446,-103.30269201867569,-0.14428100251088585,-0.19113268204894673,-0.06434535803920205,-22.09509992509737,-29.269935995244523,-9.853806744135076,0.8824
37067003904,37067003904,Census Tract 39.04; Forsyth County; North Carolina,4950,3120,1101,Winston-Salem city,North Carolina,4581,0.7705846148152925,0.10980890004368306,37067,4950,3120,1101,0.013777,0.009162065641,0.004054771124,0.7605252129468238,0.660388528454895,0.8152546511169005,-0.31488079944815756,-0.5142601013068637,-0.22661060397508676,-21.47365823128647,-35.070559007738076,-15.453970740275611,-433.8112773997267,-708.4961415704662,-312.20142909647706,0.7399885127724143,0.633547924671019,0.7987715970418855,-0.35137232908310434,-0.5784125573756205,-0.25192233136897907,-23.96224006000075,-39.44550952467142,-17.180133098388602,-484.0856577777929,-796.8789802963923,-433.8112773997267,-2.4885818287142776,-4.374950516933346,-1.7261623581129886,-50.27438037806621,-88.38283872592618,-34.87196683056543,0.8434857261383802,0.796027394182354,0.8932427732250147,-0.1855565174507083,-0.25623817384721803,-0.11951647410428291,-2.3474543315468988,-3.241639902328438,-1.5119892778858612,-75.23892088291342,-103.89871481821916,-48.461194804034015,0.8292500596231699,0.778073841914789,0.8832150530939242,-0.20590886716899695,-0.2852250597951798,-0.13222707934718186,-2.6049295857698898,-3.6083496892518454,-1.6727896946211664,-83.49133287724005,-115.65223362986684,-53.61505431478097,-0.257475254222991,-0.3667097869234075,-0.1608004167353052,-8.252411994326636,-11.753518811647677,-5.153859510746962,0.796027394182354,0.7507838758227318,0.8932427732250147,-0.25623817384721803,-0.3319412312953174,-0.11951647410428291,-2.5847857363385174,-3.348435352440349,-1.2056145767976727,-234.7670968518181,-304.1267350082061,-109.50177809243168,0.778073841914789,-0.2852250597951798,-2.8771890430520477,0.7295690982105923,-0.3706720891176602,-3.7391303349726472,0.8832150530939242,-0.13222707934718186,-1.3338319717267515,-261.3250720301587,-339.6122011782604,-121.14731804965956,-0.2924033067135303,-0.39069498253229806,-0.12821739492907902,-26.55797517834063,-35.485466170054316,-11.645539957227886,0.4204
37067001000,37067001000,Census Tract 10; Forsyth County; North Carolina,3055,1629,650,Winston-Salem city,North Carolina,89962,0.6651837316640821,0.2305325623759952,37067,3055,1629,650,0.013777,0.009162065641,0.004054771124,0.7939623222319705,0.7048926792893399,0.8418524770470445,-0.2595056112849545,-0.4186556753691669,-0.1878565749520482,-10.92226290438546,-17.620687776858894,-7.906645601164394,-357.5208806672818,-576.7819239561013,-258.8100033114368,0.7758537840519049,0.680667947436084,0.8274839778384578,-0.2889026522207433,-0.4691451298195613,-0.2084826132974636,-12.159547170116026,-19.74572504551611,-8.774769463184423,-398.02118396451806,-646.3412453524095,-357.5208806672818,-1.2372842657305672,-2.1250372686572163,-0.8681238620200293,-40.50030329723624,-69.55932139630822,-28.416493028478865,0.8663565471276775,0.8250873165756595,0.9092347088346756,-0.1542591826833936,-0.21199293688124612,-0.0998260298285952,-1.0189161719974815,-1.4002604446626332,-0.6593731044680847,-62.54856795564652,-85.95828389580315,-40.477170317255045,0.8540166305203664,0.8093752170115882,0.9006241879730436,-0.1709373848969236,-0.2355209042503738,-0.11034104275015412,-1.1290794028638629,-1.555667896132386,-0.728827100840725,-69.31119722921194,-95.49833616527845,-44.740767393537446,-0.11016323086638093,-0.15540745146975277,-0.06945399637264027,-6.762629273565434,-9.540052269475307,-4.263597076282398,0.8250873165756595,0.7853824654161232,0.9092347088346756,-0.21199293688124612,-0.27326499385260006,-0.0998260298285952,-1.2624905820373251,-1.6273866771922392,-0.5944982146805086,-194.22932031343467,-250.36718110649832,-91.46126379700132,0.8093752170115882,-0.2355209042503738,-1.4026076899702404,0.7666361974058125,-0.3043996662091581,-1.8128043198894177,0.9006241879730436,-0.11034104275015412,-0.6571187197726445,-215.78579845696007,-278.8929722906796,-101.09518765732992,-0.1401171079329151,-0.1854176426971783,-0.0626205050921359,-21.5564781435254,-28.52579118418128,-9.6339238603286,0.4971
37067001100,37067001100,Census Tract 11; Forsyth County; North Carolina,2141,995,399,Winston-Salem city,North Carolina,23610,0.5871224653400238,0.24035481044396317,37067,2141,995,399,0.013777,0.009162065641,0.004054771124,0.8196702890488968,0.7397751487252249,0.8621089342849089,-0.22000274178578377,-0.35176208841726125,-0.1599462205196461,-6.489323413240653,-10.375770491438788,-4.717862810492312,-303.0977773582743,-484.6226292124609,-220.35790800991649,0.8035318811708556,0.7178103428797847,0.8494119379236686,-0.2445056922232675,-0.3931256493018727,-0.177285078479629,-7.212076087488067,-11.5958531227947,-5.229299422623851,-336.85549217599566,-541.6092070431902,-303.0977773582743,-0.7227526742474142,-1.220082631355913,-0.511436612131539,-33.75771481772136,-56.98657783072923,-23.887744611468424,0.8836937597209225,0.8472911322224167,0.9212628028720083,-0.13161373948799637,-0.1802318730482083,-0.08546659746006324,-0.5309952724455983,-0.7271449994880074,-0.3448147539903582,-53.36635903975863,-73.0798994460309,-34.65474914475962,0.8728346266202027,0.8333662863695143,0.9137384281576272,-0.14569240209019668,-0.19995254950426497,-0.09440510455087482,-0.5877955982566191,-0.8067080147805736,-0.3808771364316328,-59.07493449815267,-81.0761823900074,-38.27910918910882,-0.05680032581102079,-0.07956301529256626,-0.03606238244127457,-5.708575458394049,-7.996282943976508,-3.624360044349204,0.8472911322224167,0.8120302925023295,0.9212628028720083,-0.1802318730482083,-0.231481151914208,-0.08546659746006324,-0.6588672043357573,-0.8462173578884143,-0.3124371798407673,-165.12962514680635,-212.08455084922667,-78.30505760420233,0.8333662863695143,-0.19995254950426497,-0.7309593750737076,0.7952972007017761,-0.25739157527222856,-0.9409371647257356,0.9137384281576272,-0.09440510455087482,-0.3451133601314926,-183.19783836433777,-235.82385080845503,-86.49457647405829,-0.07209217073795027,-0.09471980683732129,-0.03267618029072527,-18.06821321753139,-23.739299959228394,-8.18951886985596,0.5069
37067002100,37067002100,Census Tract 21; Forsyth County; North Carolina,1391,984,372,Winston-Salem city,North Carolina,76134,0.6699181168699567,0.21975645758655177,37067,1391,984,372,0.013777,0.009162065641,0.004054771124,0.7924293365532927,0.7028307741727019,0.8406393533586067,-0.2619421743641462,-0.4228176066665469,-0.18957076658938177,-5.019809274674846,-8.10279501035962,-3.6328975837609607,-360.87773362148425,-582.5158167045017,-261.1716451301913,0.7742061194218639,0.6784781190425324,0.8261724121042836,-0.2916456934578959,-0.47388688291259695,-0.2104011043566231,-5.589041781808281,-9.081476763968606,-4.032086156477185,-401.80027187694327,-652.8739585886848,-360.87773362148425,-0.5692325071334352,-0.9786817536089868,-0.3991885727162239,-40.92253825545904,-70.35814188418308,-28.697956341928386,0.8653160600687013,0.8237595345220325,0.90851028145754,-0.15564710531387285,-0.21394649541777616,-0.10070300844111676,-0.6210155739503045,-0.8536240065537811,-0.401794408315337,-63.11133881608785,-86.7504071700997,-40.83276507269685,0.8528884646816197,0.8079425854729676,0.8998348957298946,-0.1724862527872229,-0.2377117111788364,-0.11131498094309532,-0.6882020006551784,-0.9484447170073804,-0.4441350620703264,-69.93922770885959,-96.38665823245738,-45.135677039667314,-0.06718642670487396,-0.0948207104535994,-0.04234065375498935,-6.827888892771743,-9.636251062357664,-4.302911966970463,0.8237595345220325,0.7837947057139589,0.90851028145754,-0.21394649541777616,-0.27584429023298845,-0.10070300844111676,-0.7291913625008004,-0.9401568996972066,-0.3432248973731323,-196.0191834679571,-252.73034938096953,-92.26475735836888,0.8079425854729676,-0.2377117111788364,-0.8101900721412348,0.7649315221693814,-0.3073065640751128,-1.0473894032514843,0.8998348957298946,-0.11131498094309532,-0.37939356034855687,-217.79303014549325,-281.5562911966356,-101.98751622273032,-0.08099870964043443,-0.10723250355427771,-0.03616866297542459,-21.773846677536135,-28.825941815666052,-9.722758864361449,0.334
37067003806,37067003806,Census Tract 38.06; Forsyth County; North Carolina,2129,1582,547,Winston-Salem city,North Carolina,123152,0.7905765331614769,0.1677251078324938,37067,2129,1582,547,0.013777,0.009162065641,0.004054771124,0.7543437488562242,0.6522697876666202,0.8103053402503967,-0.3256555801201411,-0.5331079545740162,-0.2341026898465025,-9.551879698254028,-15.636713629763884,-6.8665205418144994,-448.6556927315184,-734.4628290166221,-322.52327580152655,0.7333752095679735,0.6249855686554232,0.7934390504570527,-0.36355849905138377,-0.6000369450951845,-0.26033625320553605,-10.663619044806415,-17.599823445195064,-7.635983301118575,-500.87454414309144,-826.6708992576357,-448.6556927315184,-1.1117393465523904,-1.9631098154311797,-0.7694627593040755,-52.21885141157306,-92.2080702410136,-36.14198023974051,0.8392163136496822,0.7906320457876486,0.8902413886467324,-0.19158789424753064,-0.26481086281264193,-0.12329084308258582,-1.2289688869811133,-1.6986684498493854,-0.7908673499088867,-77.6845061302853,-107.37474398542258,-49.99161503848841,0.8246341374061525,0.7722747836005788,0.8799511426079016,-0.21265898977388012,-0.2948758929272523,-0.1364267305072312,-1.36413254603273,-1.891525032683729,-0.8751294428306774,-86.22835309941404,-119.56542558051385,-55.317916740245096,-0.13516365905161676,-0.1928565828343436,-0.08426209292179065,-8.543846969128746,-12.190681595091252,-5.3263017017566785,0.7906320457876486,0.7443954411414854,0.8902413886467324,-0.26481086281264193,-0.3433720099985574,-0.12329084308258582,-1.3271393356239816,-1.7208603015042234,-0.6178905420995146,-242.6214507539272,-314.5996894888891,-112.9598797256882,0.7722747836005788,-0.2948758929272523,-1.4778147409605416,0.7227433014421268,-0.3836171127489506,-1.9225546669051807,0.8799511426079016,-0.1364267305072312,-0.6837230110715654,-270.16722869479736,-351.4725168016784,-124.99506600942696,-0.15067540533656,-0.2016943654009573,-0.06583246897205086,-27.545777940870195,-36.87282731278927,-12.035186283738732,0.7462
37067002502,37067002502,Census Tract 25.02; Forsyth County; North Carolina,1719,1471,654,Winston-Salem city,North Carolina,9655,0.589069481927888,0.23672283295874513,37067,1719,1471,654,0.013777,0.009162065641,0.004054771124,0.819019064917184,0.7388844601969446,0.8615978157564329,-0.22097279884579496,-0.3533915704946031,-0.1606343257985839,-5.233224327231752,-8.369253471064429,-3.804248604120069,-304.43422496985175,-486.8675666704147,-221.30591065270903,0.802829666605857,0.7168597329138188,0.8488580044014126,-0.24559422950540052,-0.3949730387774766,-0.1780533314345877,-5.8163253721210575,-9.354013371452911,-4.216777044392647,-338.3551699895903,-544.1543555237296,-304.43422496985175,-0.5831010448893057,-0.9847599003884824,-0.4125284402725789,-33.920945019738554,-57.28678885331485,-23.998164064722445,0.8832571418755052,0.8467301211035432,0.9209608700425485,-0.13217312670306114,-0.1810138497219164,-0.08582246274350402,-0.7883556447383417,-1.0796694741487545,-0.511893942716424,-53.59317775243655,-73.3969730896502,-34.799044372292585,0.8723602605524882,0.832759336197102,0.9134090200696986,-0.14631539883152667,-0.20082712559744223,-0.09479978632540106,-0.8727081930967465,-1.1978471118187806,-0.5654398025819548,-59.32754541786176,-81.430802978843,-38.43914361536063,-0.08435254835840478,-0.11817763767002608,-0.05354585986553084,-5.734367665425205,-8.0338298891928,-3.6400992430680383,0.8467301211035432,0.8113547689068494,0.9209608700425485,-0.1810138497219164,-0.23250646735868105,-0.08582246274350402,-1.0846333455958292,-1.3931766433968078,-0.5142474182818826,-165.84607730823078,-213.023951589726,-78.63110371282608,0.832759336197102,-0.20082712559744223,-1.2033543149199948,0.7945694672105728,-0.25854320014411664,-1.5491885100735068,0.9134090200696986,-0.09479978632540106,-0.5680394597532286,-183.99913072171177,-236.87897707545977,-86.85618650660987,-0.11872096932416554,-0.15601186667669897,-0.05379204147134597,-18.15305341348097,-23.855025485733787,-8.225082793783788,0.051
37067004012,37067004012,Census Tract 40.12; Forsyth County; North Carolina,3479,2773,1001,Winston-Salem city,North Carolina,0,NA,NA,37067,3479,2773,1001,0.013777,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4002
37067003905,37067003905,Census Tract 39.05; Forsyth County; North Carolina,2977,1624,704,Winston-Salem city,North Carolina,0,NA,NA,37067,2977,1624,704,0.013777,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6572
37067002200,37067002200,Census Tract 22; Forsyth County; North Carolina,2464,1568,605,Winston-Salem city,North Carolina,80084,0.6543779151425697,0.2223732104740024,37067,2464,1568,605,0.013777,0.009162065641,0.004054771124,0.7974723449197626,0.709621483371808,0.8446278866689179,-0.2539619792089651,-0.40920198082003034,-0.1839533311454418,-8.621127438152552,-13.890986499562624,-6.2445769064220125,-349.88341875619125,-563.7575689757558,-253.4325043190752,0.7796275803920838,0.6856925494036562,0.8304853156970916,-0.2826637039919603,-0.4583795621954702,-0.2041152096236902,-9.595451342146792,-15.560394642696274,-6.929002678716469,-389.4257849897237,-631.5095228366995,-349.88341875619125,-0.9743239039942396,-1.6694081431336496,-0.6844257722944569,-39.54236623353245,-67.75195386094357,-27.77701997948283,0.8687360560236291,0.8281258844573335,0.9108903149439987,-0.15109761252133477,-0.20754588012340025,-0.0978270199979892,-0.9606606582939392,-1.319552033275101,-0.6219725637089932,-61.26662361568489,-84.15510416295287,-39.66661758348172,0.8565971626571783,0.8126545951183332,0.9024282722542664,-0.16740989066317208,-0.23053509573078448,-0.10812131085166404,-1.0643721835557869,-1.4657147332048086,-0.687422441196397,-67.88087905330273,-93.47670492377604,-43.84071691303552,-0.1037115252618478,-0.14616269992970765,-0.06544987748740372,-6.614255437617844,-9.321600760823191,-4.174099329553808,0.8281258844573335,0.7890184455430008,0.9108903149439987,-0.20754588012340025,-0.2673974932383262,-0.0978270199979892,-1.1504371312118746,-1.4821975980994808,-0.542260035104423,-190.154897720971,-244.9913385288398,-89.62975786849967,0.8126545951183332,-0.23053509573078448,-1.277867496181998,0.7705412122123954,-0.2977891177666894,-1.650659883713102,0.9024282722542664,-0.10812131085166404,-0.5993218010644165,-211.2177679639666,-272.8363444153888,-99.06145472139114,-0.1274303649701234,-0.1684622856136213,-0.05706176595999346,-21.0628702429956,-27.845005886548975,-9.43169685289148,0.3989
