geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
25027730200,25027730200,Census Tract 7302; Worcester County; Massachusetts,4168,2756,1172,Worcester city,Massachusetts,139209,0.7819408036346746,0.1671277713342077,25027,4168,2756,1172,0.01139099999999999,0.00798440667,0.00293016251099999,0.75700771239583,0.6557644495237747,0.8124395526356247,-0.32099050462132195,-0.524937804612943,-0.2308608028202379,-15.23988702937368,-24.922833306818266,-10.960737167728777,-365.64028381414784,-597.9566532346033,-262.973540492533,0.7362246165814785,0.6286698832810804,0.7957381212025003,-0.3582811243711371,-0.5906599418774712,-0.25669485142778387,-17.010359439182043,-28.043168434556705,-12.187278067294676,-408.1180287711623,-672.8207397926273,-365.64028381414784,-1.770472409808363,-3.1203351277384392,-1.2265408995659008,-42.477744957014465,-74.86408655802397,-29.42756476885559,0.8410578757631105,0.7929581249733397,0.8915366305393617,-0.18897881919562048,-0.26110064139089473,-0.12165890412715866,-1.5261037232034294,-2.1085255091205597,-0.9824598721675608,-55.37386513800542,-76.50673110016545,-35.648036000274345,0.8266248752158686,0.7747744292448961,0.8813595423096022,-0.20973857668976564,-0.29069825003725436,-0.1346107371567119,-1.6937497236359975,-2.347541822934919,-1.0870527608989158,-61.456811452684974,-85.1793114272467,-39.44313355946719,-0.1676460004325684,-0.23901631381435928,-0.10459288873135486,-6.08294631467955,-8.672580327081251,-3.7950975591928473,0.7929581249733397,0.7471482996108932,0.8915366305393617,-0.26110064139089473,-0.3384223728017439,-0.12165890412715866,-2.4433078995207285,-3.166863368991651,-1.1384505220571537,-208.47337026627375,-270.21018506754706,-97.1374165577776,0.7747744292448961,-0.29069825003725436,-2.7202741705622033,0.7256839095254534,-0.37801043522369154,-3.5373175552663443,0.8813595423096022,-0.1346107371567119,-1.259650208836186,-232.10530465547808,-301.8189040329645,-107.47868676076672,-0.27696627104147487,-0.37045418627469306,-0.1211996867790326,-23.63193438920434,-31.608718965417495,-10.341270202989127,0.7733
25027733000,25027733000,Census Tract 7330; Worcester County; Massachusetts,2744,1374,547,Worcester city,Massachusetts,75013,0.5998293554627286,0.24514574755257076,25027,2744,1374,547,0.01139099999999999,0.00798440667,0.00293016251099999,0.8154294988511593,0.7339815172124914,0.8587786612558427,-0.22634758910350675,-0.36243212744346925,-0.16444439657785748,-7.074924863239756,-11.328506214016285,-5.140022717172019,-257.8325387478045,-412.8464363708558,-187.31861214183743,0.7989600429360108,0.7116289971785394,0.84580328801066,-0.2516270479875433,-0.4052266053867836,-0.1823080072814716,-7.865082482750034,-12.666129102820577,-5.698383882028258,-286.62837036261055,-461.5936261960851,-257.8325387478045,-0.7901576195102775,-1.3376228888042938,-0.5583611648562394,-28.79583161480603,-48.74718982522937,-20.348438952486863,0.8808481310444833,0.8436364754903847,0.9192940705063404,-0.1352694803521124,-0.18534467042659,-0.08779119988145608,-0.5446007837288297,-0.7462056667293634,-0.3534511712137932,-39.63615602102108,-54.30900048976444,-25.724248268835023,0.8697433982204708,0.8294130867195687,0.911590739698542,-0.14976440412889525,-0.2056718371241568,-0.09698349977830452,-0.6029579743410601,-0.828043719819131,-0.39045976853421555,-43.88340424607425,-60.26519067097024,-28.417741523596472,-0.05835719061223043,-0.08183805308976766,-0.03700859732042233,-4.247248225053161,-5.956190181205797,-2.6934932547614507,0.8436364754903847,0.8076317179816919,0.9192940705063404,-0.18534467042659,-0.23818812180760457,-0.08779119988145608,-0.8094873708732503,-1.0402795831760494,-0.3834254711197382,-147.9867222803017,-190.17908284754105,-70.09606419008011,0.8294130867195687,-0.2056718371241568,-0.8982656707264034,0.7905597573346498,-0.264926516588034,-1.1570587322196342,0.911590739698542,-0.09698349977830452,-0.4235725692728815,-164.21675881652712,-211.5281046105364,-77.43557025098382,-0.08877829985315311,-0.11677914904358476,-0.04014709815314332,-16.23003653622543,-21.34902176299539,-7.339506060903716,0.9523
25027732203,25027732203,Census Tract 7322.03; Worcester County; Massachusetts,2187,1214,467,Worcester city,Massachusetts,65934,0.5709942066503263,0.25381102402953487,25027,2187,1214,467,0.01139099999999999,0.00798440667,0.00293016251099999,0.825084701667608,0.7471946390189917,0.8663544984306994,-0.21199677800214276,-0.3383393667183185,-0.15426191219804808,-5.281288537212405,-8.428749889392655,-3.8429908053215,-241.48552982224072,-385.4023726288366,-175.71974418479653,0.809372395388309,0.7257334186441188,0.8540144090525444,-0.2355252115069164,-0.37791642814008897,-0.17094043074684656,-5.867431625510047,-9.414698274047987,-4.258488010795838,-268.28676842752844,-430.4846032943753,-241.48552982224072,-0.586143088297642,-0.985948384655332,-0.41549720547433777,-26.801238605287697,-45.08223066553873,-18.99850047893634,0.8873188253963935,0.8519526253984051,0.9237676953794806,-0.12699062769604627,-0.17377418671884762,-0.0825232415052179,-0.45173325629930206,-0.6181525412659408,-0.2935531013733735,-37.210317652331305,-50.91866073030813,-24.18065085447887,0.8767740050460038,0.8384110434397787,0.9164716766815432,-0.14054476323979362,-0.19273238088237077,-0.09114119447848631,-0.4999482615842136,-0.6855909573003972,-0.32420903268010565,-41.18189963626141,-56.473719711729586,-26.70585112686208,-0.04821500528491151,-0.06743841603445644,-0.03065593130673216,-3.971581983930109,-5.555058981421452,-2.5252002723832097,0.8519526253984051,0.8176477127629346,0.9237676953794806,-0.17377418671884762,-0.22302060458394005,-0.0825232415052179,-0.6479549231640069,-0.8315809237017361,-0.3077058889953,-138.7483775511792,-178.06872027874434,-65.88991199042827,0.8384110434397787,-0.19273238088237077,-0.7186446813754988,0.8013511210821266,-0.247892432782302,-0.9243209550810344,0.9164716766815432,-0.09114119447848631,-0.33983980463640545,-153.88537074421814,-197.92739937495384,-72.77083611057932,-0.07068975821149182,-0.09274003137929844,-0.03213391564110546,-15.136993193038933,-19.858679096209514,-6.880924120151063,0.7475
25027731700,25027731700,Census Tract 7317; Worcester County; Massachusetts,2906,1426,466,Worcester city,Massachusetts,61754,0.4591528974281885,0.2293093196053377,25027,2906,1426,466,0.01139099999999999,0.00798440667,0.00293016251099999,0.8636278120243228,0.8007333327575712,0.8963761657941755,-0.1579062022748249,-0.24885521694993368,-0.11560306728371723,-5.227049952627013,-8.237666609860073,-3.826721171580159,-179.87095501125302,-283.4709776276694,-131.6834539428823,0.8510582416165611,0.7831351161279573,0.8866236883486854,-0.17500771521879427,-0.276918860367652,-0.1278742189513063,-5.79314844107047,-9.166636237929666,-4.232923852784002,-199.3512884057285,-315.4382738447923,-179.87095501125302,-0.5660984884434574,-0.9289696280695932,-0.4062026812038426,-19.48033339447548,-31.967296217122957,-13.978068864550677,0.9128692615604496,0.8849909912337648,0.9413262373970106,-0.09544711615178048,-0.12995500508530747,-0.06233095421331951,-0.3988173507432199,-0.5430055190093575,-0.2604443908930957,-27.967556153100976,-38.07892840177823,-18.263982531072628,0.9045851250981944,0.8742441497776539,0.9356516337330446,-0.10547915531050556,-0.14384522933819982,-0.06877385123587028,-0.44073534094705846,-0.6010445951084042,-0.2873654674561527,-30.907106658278995,-42.148989839299034,-20.15185606284381,-0.04191799020383857,-0.05803907609904679,-0.02692107656305703,-2.9395505051780204,-4.070061437520813,-1.8878735317711803,0.8849909912337648,0.8576855022790916,0.9413262373970106,-0.12995500508530747,-0.16592853364402466,-0.06233095421331951,-0.48352794198180393,-0.6173758550991321,-0.23191686994082444,-103.76136094030127,-132.48408907706698,-49.76756865682928,0.8742441497776539,-0.14384522933819982,-0.5352097647962306,0.844619056855509,-0.18396570842596133,-0.6844873757039046,0.9356516337330446,-0.06877385123587028,-0.25588917278263995,-114.85188085756022,-146.88570294075203,-54.91183965292703,-0.05168182281442668,-0.06711152060477255,-0.0239723028418155,-11.090519917258945,-14.401613863685096,-5.144270996097749,0.8329
25027739202,25027739202,Census Tract 7392.02; Worcester County; Massachusetts,2202,1774,565,Worcester city,Massachusetts,105899,0.7473095157763833,0.2193586576274592,25027,2202,1774,565,0.01139099999999999,0.00798440667,0.00293016251099999,0.7677856740268766,0.6699679683369932,0.8210548619159128,-0.3024468075253442,-0.49260867274329295,-0.21794540947790356,-7.586267829115672,-12.356094471463908,-5.466720782916884,-344.5171584521196,-561.1305391218849,-248.2616159362799,0.7477630565070649,0.6436643310686506,0.8050250505706473,-0.33732201838263987,-0.5536048087979946,-0.2421973692509859,-8.461042115295424,-13.886059454193536,-6.075032253369832,-384.24351113966503,-630.6112377017955,-344.5171584521196,-0.8747742861797514,-1.5299649827296309,-0.6083114704529482,-39.72635268754547,-69.48069857991057,-27.62540737751808,0.848483655707564,0.8023551977369503,0.8967498118117555,-0.17857308537791938,-0.24633080563384965,-0.11513823234558831,-0.9282422362799192,-1.2804542039596296,-0.5985010005712826,-52.32481602479816,-72.17892919727336,-33.73737320018504,0.8346565945194964,0.784880134990963,0.8870302356881911,-0.1980975248577413,-0.274079895029467,-0.12735728700855703,-1.0297323870857182,-1.4246969757121988,-0.6620169699659804,-58.04579408600441,-80.30986334341594,-37.31775478951411,-0.10149015080579891,-0.14424277175256917,-0.06351596939469772,-5.720978061206253,-8.130934146142568,-3.580381589329071,0.8023551977369503,0.7582905569517334,0.8967498118117555,-0.24633080563384965,-0.3187557076009478,-0.11513823234558831,-1.1112450100541011,-1.437967486796311,-0.5194104157263506,-196.68053275293823,-254.5075197869577,-91.9310470312125,0.784880134990963,-0.274079895029467,-1.2364264182221891,0.7375971202980133,-0.3557536661693682,-1.604872298947406,0.8870302356881911,-0.12735728700855703,-0.5745328901032882,-218.8365341986176,-284.04819450396565,-101.68723718642268,-0.1251814081680882,-0.16690481215109498,-0.05512247437693762,-22.15600144567933,-29.54067471700796,-9.7561901552102,0.3503
25027736500,25027736500,Census Tract 7365; Worcester County; Massachusetts,2873,2287,1015,Worcester city,Massachusetts,316302,0.8370893179078842,0.16291349590994406,25027,2873,2287,1015,0.01139099999999999,0.00798440667,0.00293016251099999,0.7401558099463525,0.6337650408774558,0.7989063375430159,-0.351066878840661,-0.5778718223641481,-0.25171118691514516,-11.489135092878913,-18.911631468724178,-8.237586639922151,-399.90028168739696,-658.2537928550009,-286.7242130150418,0.7182166481607656,0.6055097036080707,0.7811698140945761,-0.3923375384862425,-0.6515011964982014,-0.2801313900730555,-12.83977285627647,-21.321251621510537,-9.167675956597607,-446.9116900896787,-742.1250129311011,-399.90028168739696,-1.3506377633975577,-2.4096201527863563,-0.9300893166754562,-47.011408402281845,-83.87122007610012,-32.37345341717564,0.8293666261094137,0.7782204287653884,0.8832973977369857,-0.20573937812163137,-0.2849829727374991,-0.1321215284478447,-1.3787175218929428,-1.9097511693752824,-0.8853835758297566,-60.28498128084577,-83.5046422988755,-38.71375495538944,0.8139940133351593,0.7589495185910877,0.8724039957926442,-0.2285102637336638,-0.31761069149420884,-0.14625793190163616,-1.531311640087316,-2.1283987027739513,-0.9801155970705706,-66.95722081711045,-93.06509413091172,-42.85595089945652,-0.15259411819437307,-0.21864753339866885,-0.09473202124081403,-6.672239536264673,-9.56045183203624,-4.142195944067076,0.7782204287653884,0.7297418082153492,0.8832973977369857,-0.2849829727374991,-0.37034768837706056,-0.1321215284478447,-2.309551247587142,-3.0013616515963366,-1.070735693184409,-227.5419948361715,-295.70065532968835,-105.49120129895654,0.7589495185910877,-0.31761069149420884,-2.5739719174841182,0.7071086522106069,-0.4142098203348778,-3.356827947045219,0.8724039957926442,-0.14625793190163616,-1.185299549121067,-253.5932923629673,-330.72196522612995,-116.77828070158294,-0.2644206698969769,-0.35546629544888253,-0.11456385593665797,-26.05129752679575,-35.02130989644163,-11.2870794026264,0.5393
25027732600,25027732600,Census Tract 7326; Worcester County; Massachusetts,3117,1850,789,Worcester city,Massachusetts,42669,0.5685606575567618,0.23740568460068456,25027,3117,1850,789,0.01139099999999999,0.00798440667,0.00293016251099999,0.8259047672849487,0.7483205885368416,0.8669969128999818,-0.21079335004611505,-0.3363256541628183,-0.1534066443848591,-7.484375356019797,-11.94149358631452,-5.446817503647776,-240.11470503752955,-383.1085526568662,-174.74550861879294,0.8102573331306397,0.7269364797459485,0.8547110253981574,-0.2341758094755405,-0.37563601203434216,-0.1699860774981362,-8.314587044758742,-13.337237207380303,-6.0354826611712165,-266.7496645735881,-427.88698130831904,-240.11470503752955,-0.8302116887389452,-1.395743621065785,-0.5886651575234403,-26.634959536058556,-44.778428651452835,-18.885632259333985,0.8878670913774971,0.8526582087255691,0.9241462427009176,-0.12629470076262464,-0.17280287665869803,-0.08207982004816852,-0.6846183953983208,-0.9367299453098068,-0.4449383414873238,-37.00639975126058,-50.6340510978274,-24.05072116147696,0.8773699489324762,0.8391748801358941,0.916884798409346,-0.13977006075570703,-0.19164672784064057,-0.09064955786686188,-0.7576656355451453,-1.03887870595776,-0.49139318178537705,-40.9548992186565,-56.155605727446485,-26.56179361002038,-0.07304724014682451,-0.1021487606479532,-0.04645484029805324,-3.94849946739592,-5.521554629619091,-2.511072448543419,0.8526582087255691,0.8184986775371843,0.9241462427009176,-0.17280287665869803,-0.22174907234907548,-0.08207982004816852,-1.088605739940239,-1.3969519353685835,-0.5170779848426822,-137.97284409888957,-177.05347723302708,-65.53586626649964,0.8391748801358941,-0.19164672784064057,-1.2073162901109886,0.8022685733583186,-0.24646537731619245,-1.5526571642257363,0.916884798409346,-0.09064955786686188,-0.5710647352926663,-153.0185412054485,-196.78798025674735,-72.37829344647228,-0.11871055017074994,-0.155705228857153,-0.05398675044998413,-15.045697106558928,-19.734503023720276,-6.842427179972641,0.852
25027731101,25027731101,Census Tract 7311.01; Worcester County; Massachusetts,2470,1825,626,Worcester city,Massachusetts,68860,0.7204682433147296,0.2249701059105955,25027,2470,1825,626,0.01139099999999999,0.00798440667,0.00293016251099999,0.7762446698577649,0.6811878064248355,0.8277950249862412,-0.2882536123349291,-0.4680239290371727,-0.20802852133186103,-8.110237338324726,-13.168213621886212,-5.853042629633336,-328.3496898107177,-533.1260575662434,-236.96528864912293,0.7568302708874584,0.6555314793312289,0.8122974561699462,-0.3213002154728841,-0.5254797542601566,-0.23107611922741672,-9.040028963495509,-14.784777505520283,-6.501504543075174,-365.9930754451623,-598.5739880777444,-328.3496898107177,-0.9297916251707824,-1.6165638836340737,-0.6484619134418379,-37.64338563444464,-65.44793051150096,-26.253518762827447,0.8542841393426587,0.8097150147181941,0.9008112921400254,-0.1705707199123052,-0.23500241668117147,-0.1101104179370748,-0.912134870354405,-1.2566863702202644,-0.5888205891453092,-49.97999289613178,-68.85952713535696,-32.26414187097585,0.8409352891111811,0.7928032317535038,0.8914504402925358,-0.18915214160763896,-0.2613470277968258,-0.12176735217253676,-1.0114998884406718,-1.3975654053610491,-0.6511565879794553,-55.42465142140667,-76.57892632115338,-35.679813039970156,-0.09936501808626684,-0.1408790351407847,-0.06233599883414609,-5.444658525274896,-7.719399185796421,-3.4156711689943067,0.8097150147181941,0.7670406332292725,0.9008112921400254,-0.23500241668117147,-0.303711898273184,-0.1101104179370748,-1.1745981443727556,-1.5180245257630631,-0.5503581384887055,-187.63548632152649,-242.4959306330772,-87.91663554132677,0.7928032317535038,-0.2613470277968258,-1.3062747959054577,0.7469649227817811,-0.3387509500123352,-1.6931580658118257,0.8914504402925358,-0.12176735217253676,-0.6086222768555255,-208.6700951925651,-270.4725344747326,-97.22400588746412,-0.13167665153270192,-0.17513354004876258,-0.05826413836681998,-21.03460887103865,-27.976603841655365,-9.30737034613738,0.6214
25027732902,25027732902,Census Tract 7329.02; Worcester County; Massachusetts,1471,8,0,Worcester city,Massachusetts,52456,0.6757813853410407,0.23260172979469984,25027,1471,8,0,0.01139099999999999,0.00798440667,0.00293016251099999,0.7905349225001885,0.7002855792958703,0.8391393910364824,-0.2649662545423621,-0.4279888513561701,-0.19169712527119828,-4.4398172206788,-7.171450099529053,-3.212107894281367,-301.8230605492046,-487.5221005798133,-218.36219539642195,0.7721704291843342,0.6757759029676187,0.8245509931760743,-0.2950508879967454,-0.4797804947003522,-0.2127812691706508,-4.9439201824664325,-8.039279213858748,-3.5653972040077613,-336.0924665170926,-546.5179615131711,-301.8230605492046,-0.5041029617876323,-0.8678291143296955,-0.3532893097263945,-34.269405967887984,-58.995860933357946,-24.016948315866383,0.8640292075775963,0.822118112854909,0.9076139190773724,-0.15736828249546475,-0.21637023240781508,-0.10179006621729866,-0.00368891713430934,-0.00507199954798189,-0.00238609148817708,-46.11146417886683,-63.3999943497737,-29.826143602213612,0.8514933605638969,0.8061718666833746,0.8988583606258856,-0.17440727821736082,-0.24043028704790032,-0.11252233255491804,-0.00408833334622446,-0.00563599850893381,-0.00263766976402156,-51.10416682780575,-70.44998136167264,-32.97087205026956,-3.994162119151136e-4,-5.639989609519157e-4,-2.515782758444763e-4,-4.99270264893892,-7.0499870118989465,-3.144728448055954,0.822118112854909,0.7818328035413443,0.9076139190773724,-0.21637023240781508,-0.2790458464654569,-0.10179006621729866,-0,-0,-0,NA,NA,NA,0.8061718666833746,-0.24043028704790032,-0,0.7628256312697167,-0.31091557363575817,-0,0.8988583606258856,-0.11252233255491804,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
25027732002,25027732002,Census Tract 7320.02; Worcester County; Massachusetts,3272,1549,760,Worcester city,Massachusetts,173883,0.721523108412837,0.23198985543572517,25027,3272,1549,760,0.01139099999999999,0.00798440667,0.00293016251099999,0.7759104776876505,0.6807433388234632,0.8275290942314734,-0.28880847566355283,-0.4689824240194725,-0.20841672754563445,-10.76428235703971,-17.47960900744301,-7.767973215041437,-328.98173462835297,-534.2178792005809,-237.4074943472322,0.7564718614236405,0.6550609948429577,0.8120104134372635,-0.32192623545580695,-0.5265753996537941,-0.2315113001654389,-11.99862603970826,-19.626177075037234,-8.628739160443729,-366.70617480770966,-599.8220377456366,-328.98173462835297,-1.23434368266855,-2.146568067594224,-0.8607659454022922,-37.72444017935667,-65.60415854505574,-26.307027671219203,0.8540554328576492,0.8094245026558532,0.9006513287837308,-0.1708841856482591,-0.2354456737087124,-0.1103075830137651,-0.7756128550548949,-1.068645939955053,-0.5006664547158041,-50.07184345092929,-68.98940864784073,-32.321914442595485,0.840687646380128,0.7924903485265874,0.8912763106458458,-0.18950243209335416,-0.261845020395792,-0.12198651311103482,-0.8601177565858045,-1.1884678683440033,-0.5536750364190589,-55.52729222632696,-76.72484624557801,-35.74403075655641,-0.08450490153090962,-0.11982192838895034,-0.05300858170325484,-5.455448775397651,-7.735437597737272,-3.4221163139609323,0.8094245026558532,0.76669485572598,0.9006513287837308,-0.2354456737087124,-0.30429986914820817,-0.1103075830137651,-1.42871944576269,-1.846536967729381,-0.6693628571906803,-187.98940075824868,-242.965390490708,-88.07406015666847,0.7924903485265874,-0.261845020395792,-1.5889146167893802,0.7465945308942152,-0.33941511572857974,-2.059621518580791,0.8912763106458458,-0.12198651311103482,-0.7402323459896795,-209.0677127354448,-271.0028313922094,-97.39899289337887,-0.16019517102669023,-0.2130845508514101,-0.07086948879899913,-21.078311977196083,-28.037440901501327,-9.324932736710412,0.768
25027731102,25027731102,Census Tract 7311.02; Worcester County; Massachusetts,2635,1787,712,Worcester city,Massachusetts,50316,0.7264885261008651,0.2263683114334347,25027,2635,1787,712,0.01139099999999999,0.00798440667,0.00293016251099999,0.7743393135985123,0.678655051526836,0.8262784629711802,-0.29142351736320427,-0.4735026251557446,-0.2102457522663023,-8.747159929359023,-14.212316242297842,-6.310586174312458,-331.96052862842595,-539.3668403149086,-239.4909364065449,0.7547870496401574,0.6528508812687359,0.8106606195438697,-0.3248769973951556,-0.5317433562418147,-0.2335618332646588,-9.75127566675985,-15.960428384454596,-7.010424990561214,-370.06738773282166,-605.708857095051,-331.96052862842595,-1.0041157374008272,-1.748112142156753,-0.6998388162487563,-38.10685910439572,-66.34201678014243,-26.559347865227945,0.8529796972462244,0.808058415635464,0.8998987373097118,-0.17236084660446052,-0.2375342928810308,-0.11123614084574168,-0.9025159351682014,-1.2437771610974035,-0.582454725987046,-50.50452910846119,-69.60140800768906,-32.59399697745081,0.8395229319001555,0.7910192152600761,0.8904571114852918,-0.1911526916085838,-0.2641917929531129,-0.12301871376150782,-1.000913801630023,-1.3833611738286276,-0.6441506390859376,-56.01084508282166,-77.41248874250854,-36.046482321541,-0.09839786646182158,-0.139584012731224,-0.06169591309889166,-5.506315974360469,-7.811080734819473,-3.452485344090188,0.808058415635464,0.7650693186362372,0.8998987373097118,-0.2375342928810308,-0.30707110537713755,-0.11123614084574168,-1.350358119412321,-1.7456677743394926,-0.632366064458625,-189.65703924330356,-245.17805819374897,-88.81545849137991,0.7910192152600761,-0.2641917929531129,-1.5019032762356346,0.7448535029080491,-0.3425458779421869,-1.947338221947293,0.8904571114852918,-0.12301871376150782,-0.6993487843488491,-210.94147138140937,-273.5025592622602,-98.22314386922038,-0.1515451568233133,-0.2016704476078004,-0.06698271989022409,-21.284432138105796,-28.32450106851129,-9.40768537784046,0.2475
